Survey,State,6-Digit,County,Place,MSA/,PMSA,Ccity,Zip,Region,Division,Source,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Cmsa,Code,Code,Code,Code,,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200001,17,002800,043,0015,1602,1600, ,60101      ,2,3,1,,Addison village,1,1,303007,0,0,0,0,0,0,0,0,0
200001,17,005200,027,0030,7040,9999, ,62215      ,2,3,1,,Albers village,2,2,240000,0,0,0,0,0,0,0,0,0
200001,17,007900,111,0050,1602,1600, ,60102      ,2,3,1,,Algonquin village,16,16,2671000,0,0,0,0,0,0,0,0,0
200001,17,008500,119,0055,7040,9999, ,62001      ,2,3,1,,Alhambra village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,012100,073,0085,1960,9999, ,61413      ,2,3,1,,Alpha village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,012700,031,0095,1602,1600, ,60658      ,2,3,1,,Alsip village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,013000,049,0100,9999,9999, ,62411      ,2,3,1,,Altamont,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,013900,119,0115,7040,9999,1,62002      ,2,3,1,,Alton,0,0,0,0,0,0,0,0,0,1,44,3250000
200001,17,019300,097,0160,1602,1600, ,60002      ,2,3,1,,Antioch village,11,11,1097955,0,0,0,0,0,0,0,0,0
200001,17,022300,031,0190,1602,1600, ,60005      ,2,3,1,,Arlington Heights village,5,5,1485000,0,0,0,0,0,0,0,0,0
200001,17,023200,091,0200,1602,3740, ,60910      ,2,3,1,,Aroma Park village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,035500,089,0280,1602,1600,1,60504      ,2,3,1,,Aurora,54,54,6813194,0,0,0,1,3,271404,0,0,0
200001,17,037300,027,0290,7040,9999, ,62216      ,2,3,5,,Aviston village,1,1,126844,0,0,0,0,0,0,0,0,0
200001,17,041200,097,0310,1602,1600, ,60015      ,2,3,1,,Bannockburn village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,043000,031,0323,1602,1600, ,60010      ,2,3,1,,Barrington Hills village,2,2,810150,0,0,0,0,0,0,0,0,0
200001,17,044500,031,0320,1602,1600, ,60010      ,2,3,5,,Barrington village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,046300,043,0340,1602,1600, ,60103      ,2,3,1,,Bartlett village,3,3,504000,0,0,0,0,0,0,0,0,0
200001,17,047800,089,0355,1602,1600, ,60510      ,2,3,1,,Batavia,22,22,5430866,0,0,0,0,0,0,0,0,0
200001,17,049300,203,0367,6120,9999, ,61611      ,2,3,5,,Bay View Gardens village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,049900,097,0368,1602,1600, ,60099      ,2,3,5,,Beach Park village,2,2,164822,0,0,0,0,0,0,0,0,0
