Survey,State,6-Digit,County,Place,MSA/,PMSA,Ccity,Zip,Region,Division,Source,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Cmsa,Code,Code,Code,Code,,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200001,09,001000,013,    ,3280,9999, ,06232      ,1,1,1,,Andover town,2,2,285000,0,0,0,0,0,0,0,0,0
200001,09,005000,009,0020,5602,1160, ,06401      ,1,1,1,,Ansonia,1,1,65000,1,2,59000,0,0,0,0,0,0
200001,09,009000,015,    ,3280,9999, ,06278      ,1,1,1,,Ashford town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,013000,003,    ,3280,9999, ,06001      ,1,1,1,,Avon town,3,3,609630,0,0,0,0,0,0,0,0,0
200001,09,017000,005,0070,9999,9999, ,06759      ,1,1,1,,Bantam borough,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,021000,005,    ,3280,9999, ,06063      ,1,1,1,,Barkhamsted town,1,1,68830,0,0,0,0,0,0,0,0,0
200001,09,025000,009,    ,5602,1160, ,06403      ,1,1,1,,Beacon Falls town,4,4,305000,0,0,0,0,0,0,0,0,0
200001,09,029000,003,    ,3280,9999, ,06037      ,1,1,1,,Berlin town,6,6,676504,0,0,0,0,0,0,0,0,0
200001,09,033000,009,    ,5602,5480, ,06524      ,1,1,1,,Bethany town,1,1,298880,0,0,0,0,0,0,0,0,0
200001,09,037000,001,    ,5602,1930, ,06801      ,1,1,1,,Bethel town,1,1,287000,0,0,0,0,0,0,0,0,0
200001,09,041000,005,    ,5602,8880, ,06751      ,1,1,1,,Bethlehem town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,045000,003,    ,3280,9999, ,06002      ,1,1,1,,Bloomfield town,1,1,85000,0,0,0,0,0,0,0,0,0
200001,09,049000,013,    ,3280,9999, ,06043      ,1,1,1,,Bolton town,2,2,463595,0,0,0,0,0,0,0,0,0
200001,09,053000,011,    ,5520,9999, ,06334      ,1,1,1,,Bozrah town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,057000,009,    ,5602,5480, ,06405      ,1,1,1,,Branford town,2,2,275400,0,0,0,0,0,0,0,0,0
200001,09,061000,001,0200,5602,1160,1,06604      ,1,1,1,,Bridgeport,4,4,208000,0,0,0,0,0,0,0,0,0
200001,09,065000,005,    ,5602,1930, ,06752      ,1,1,1,,Bridgewater town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,069000,003,0230,3280,9999, ,06010      ,1,1,1,,Bristol,4,4,725000,0,0,0,0,0,0,0,0,0
200001,09,077000,001,    ,5602,1930, ,06805      ,1,1,4,,Brookfield town,1,1,122860,0,0,0,0,0,0,0,0,0
200001,09,081000,015,    ,9999,9999, ,06234      ,1,1,1,,Brooklyn town,0,0,0,0,0,0,0,0,0,0,0,0
