Survey,State,6-Digit,County,Place,MSA/,PMSA,Ccity,Zip,Region,Division,Source,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Cmsa,Code,Code,Code,Code,,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200001,01,001000,067,0005,9999,9999, ,36310      ,3,6,1,,Abbeville,0,0,0,0,0,0,0,0,0,0,0,0
200001,01,005000,117,0025,1000,9999, ,35007      ,3,6,1,,Alabaster,16,16,1583766,0,0,0,0,0,0,0,0,0
200001,01,006000,095,0030,9999,9999, ,35950      ,3,6,1,,Albertville,2,2,325000,0,0,0,0,0,0,0,0,0
200001,01,007000,123,0035,9999,9999, ,35010      ,3,6,5,,Alexander City,4,4,411275,0,0,0,0,0,0,0,0,0
200001,01,014000,015,0060,0450,9999,1,36202      ,3,6,5,,Anniston,1,1,63205,0,0,0,0,0,0,0,0,0
200001,01,016000,095,0065,9999,9999, ,35016      ,3,6,1,,Arab,0,0,0,0,0,0,0,0,0,0,0,0
200001,01,025000,083,0095,3440,9999, ,35611      ,3,6,1,,Athens,5,5,705000,0,0,0,0,0,0,0,0,0
200001,01,028000,081,0110,0580,9999,1,36830      ,3,6,1,,Auburn,22,22,2771660,1,2,73788,2,6,658488,1,27,1434000
200001,01,031000,069,0120,2180,9999, ,36312      ,3,6,1,,Avon town,0,0,0,0,0,0,0,0,0,0,0,0
200001,01,034000,003,    ,5160,9999, ,36535      ,3,6,5,,Baldwin County Unincorporated Area,61,61,7781515,1,2,236748,0,0,0,0,0,0
200001,01,048000,073,0185,1000,9999,1,35203      ,3,6,1,,Birmingham,7,7,759300,0,0,0,0,0,0,0,0,0
200001,01,072000,117,0285,1000,9999, ,35040      ,3,6,1,,Calera,15,15,1443560,0,0,0,0,0,0,0,0,0
200001,01,075000,123,0295,9999,9999, ,36850      ,3,6,5,,Camp Hill town,0,0,0,0,0,0,0,0,0,0,0,0
200001,01,106000,049,0405,9999,9999, ,35961      ,3,6,5,,Collinsville town,0,0,0,0,0,0,0,0,0,0,0,0
200001,01,114000,069,0425,2180,9999, ,36320      ,3,6,1,,Cottonwood town,1,1,56000,0,0,0,0,0,0,0,0,0
200001,01,124000,043,0450,9999,9999, ,350560278  ,3,6,1,,Cullman,2,2,160000,0,0,0,0,0,0,0,0,0
200001,01,130000,003,0465,5160,9999, ,36526      ,3,6,1,,Daphne,6,6,1075000,0,0,0,0,0,0,0,0,0
200001,01,136000,103,0480,2030,9999,1,35602      ,3,6,1,,Decatur,11,11,1226764,0,0,0,0,0,0,0,0,0
200001,01,141000,069,0500,2180,9999,1,36301      ,3,6,1,,Dothan,25,25,1710990,0,0,0,0,0,0,0,0,0
200001,01,142000,133,0505,9999,9999, ,35553      ,3,6,1,,Double Springs town,0,0,0,0,0,0,0,0,0,0,0,0
