Survey,State,6-Digit,County,Place,MSA/,PMSA,Ccity,Zip,Region,Division,Source,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Cmsa,Code,Code,Code,Code,,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200001,02,009000,013,0070,9999,9999, ,995530109  ,4,9,5,,Akutan,0,0,0,0,0,0,0,0,0,0,0,0
200001,02,041000,020,    ,0380,9999, ,995196650  ,4,9,4,,Anchorage Borough,39,39,5421230,2,4,353268,0,0,0,0,0,0
200001,02,049000,232,0160,9999,9999, ,99820      ,4,9,1,,Angoon,0,0,0,0,0,0,0,0,0,0,0,0
200001,02,069000,000,    ,9999,9999, ,99519      ,4,9,5,,Balance of State-Part 1 Anchorage,3,3,522697,0,0,0,0,0,0,0,0,0
200001,02,073000,000,    ,9999,9999, ,99707      ,4,9,5,,Balance of State-Part 2 Fairbanks,0,0,0,0,0,0,0,0,0,0,0,0
200001,02,077000,000,    ,9999,9999, ,99801      ,4,9,5,,Balance of State-Part 3 Juneau,0,0,0,0,0,0,0,0,0,0,0,0
200001,02,085000,050,0310,9999,9999, ,99559      ,4,9,1,,Bethel,0,0,0,0,0,0,0,0,0,0,0,0
200001,02,097000,060,    ,9999,9999, ,99633      ,4,9,1,,Bristol Bay Borough,0,0,0,0,0,0,0,0,0,0,0,0
200001,02,661000,282,3610,9999,9999, ,99689      ,4,9,1,,City and Borough of Yakutat,0,0,0,0,0,0,0,0,0,0,0,0
200001,02,133000,261,0820,9999,9999, ,99574      ,4,9,1,,Cordova,0,0,0,0,0,0,0,0,0,0,0,0
200001,02,137000,201,0830,9999,9999, ,99921      ,4,9,1,,Craig,0,0,0,0,0,0,0,0,0,0,0,0
200001,02,177000,090,1080,9999,9999, ,99701      ,4,9,5,,Fairbanks,1,1,91824,0,0,0,0,0,0,0,0,0
200001,02,181000,090,    ,9999,9999, ,99707      ,4,9,5,,Fairbanks North Star Borough Unincorporated Area,7,7,752893,0,0,0,1,3,125160,0,0,0
200001,02,209000,100,1280,9999,9999, ,99827      ,4,9,1,,Haines,0,0,0,0,0,0,0,0,0,0,0,0
200001,02,221000,122,1370,9999,9999, ,99603      ,4,9,5,,Homer,1,1,123946,0,0,0,0,0,0,0,0,0
200001,02,253000,110,    ,9999,9999, ,99801      ,4,9,5,,Juneau Borough,4,4,254517,1,2,220235,0,0,0,1,6,581125
200001,02,277000,122,1630,9999,9999, ,996117794  ,4,9,1,,Kenai,0,0,0,0,0,0,0,0,0,0,0,0
200001,02,289000,130,    ,9999,9999, ,99901      ,4,9,5,,Ketchikan Gateway Borough,2,2,229811,1,2,182275,0,0,0,0,0,0
200001,02,297000,013,1670,9999,9999, ,99612      ,4,9,5,,King Cove,0,0,0,0,0,0,0,0,0,0,0,0
