actual id,name
060379108131,Agua Dulce
060379108052,Acton
060379108051,Tujunga Canyons
060379108111,Tujunga Canyons
060379108121,Southeast Antelope Valley
060379108041,Acton
060379102051,Southeast Antelope Valley
060379108132,Agua Dulce
060372215002,Adams-Normandie
060372221001,Adams-Normandie
060372221002,Adams-Normandie
060372222002,Adams-Normandie
060372222001,Adams-Normandie
060372220011,Jefferson Park
060372221003,Adams-Normandie
060372216021,Pico-Union
060372214021,Harvard Heights
060372214022,Harvard Heights
060372216012,Adams-Normandie
060372220012,Jefferson Park
060372214012,Jefferson Park
060372215001,Adams-Normandie
060372216011,Adams-Normandie
060372218101,Adams-Normandie
060372219001,University Park
060372219002,Adams-Normandie
060372218102,University Park
060372217101,University Park
061110074023,Westlake Village
060378003241,Agoura Hills
060378003321,Agoura Hills
060378003322,Agoura Hills
060378003324,Agoura Hills
060378003325,Agoura Hills
060378003326,Agoura Hills
061110074052,Agoura Hills
061110074033,Agoura Hills
060378003272,Agoura Hills
060378003271,Agoura Hills
060378003273,Agoura Hills
060378003292,Agoura Hills
060378003281,Calabasas
060378003244,Agoura Hills
060378003261,Unincorporated Santa Monica Mountains
060378003291,Unincorporated Santa Monica Mountains
061110074053,Agoura Hills
060378003242,Westlake Village
060378003243,Agoura Hills
060378003311,Westlake Village
060378003323,Agoura Hills
061110074031,Agoura Hills
060379108081,Castaic Canyons
060379200111,Castaic Canyons
060379108101,Tujunga Canyons
060374810021,Alhambra
060374802012,San Gabriel
060374802013,San Gabriel
060374803021,Alhambra
060374815003,Alhambra
060374815002,Alhambra
060374823015,San Gabriel
060374821012,Monterey Park
060374808042,Alhambra
060374809011,Alhambra
060374809021,Alhambra
060374809031,Alhambra
060374810011,Alhambra
060374810012,Alhambra
060374804002,Alhambra
060374804003,Alhambra
060374805001,South Pasadena
060374805002,South Pasadena
060374641002,San Marino
060374816061,Alhambra
060374816051,Alhambra
060374816062,Alhambra
060372011201,El Sereno
060372011203,El Sereno
060372015011,El Sereno
060374819011,Alhambra
060374809022,Alhambra
060372016021,El Sereno
060372016022,El Sereno
060374807042,South Pasadena
060374808021,Alhambra
060374808022,Alhambra
060374808031,Alhambra
060374808033,Alhambra
060374810022,Alhambra
060374811011,San Gabriel
060374811033,San Gabriel
060374814011,San Gabriel
060374814012,San Gabriel
060374815001,Alhambra
060374815004,Alhambra
060374816041,Alhambra
060374816042,Alhambra
060374817131,Monterey Park
060374817141,Monterey Park
060374818001,Alhambra
060374818002,Alhambra
060374818003,Alhambra
060374819012,Alhambra
060374819013,Alhambra
060374819014,Alhambra
060374819021,Alhambra
060374820011,Monterey Park
060374820012,Monterey Park
060374641001,San Marino
060374641006,San Marino
060374816031,Alhambra
060374816032,Alhambra
060374808032,Alhambra
060374803022,Alhambra
060374809012,Alhambra
060372015012,El Sereno
060372017001,El Sereno
060374803043,Alhambra
060374810023,Alhambra
060374808034,Alhambra
060374808041,Alhambra
060374816052,Alhambra
060374816053,Alhambra
060374816063,Alhambra
060374817121,Monterey Park
060374814013,San Gabriel
060374804001,Alhambra
060374803031,Alhambra
060374803041,Alhambra
060374803042,Alhambra
060374803032,Alhambra
060374803023,Alhambra
060374810013,Alhambra
060372017003,El Sereno
060376038021,Lawndale
060376038022,Lawndale
060376026001,Gardena
060376036001,Gardena
060376035002,Gardena
060376036003,Gardena
060376037021,Alondra Park
060376037022,Alondra Park
060376037023,Alondra Park
060376037024,Alondra Park
060376037043,Alondra Park
060376041004,Lawndale
060376025072,Hawthorne
060376037032,Hawthorne
060376037041,Alondra Park
060376037042,Hawthorne
060374611002,Altadena
060374611003,Altadena
060374611004,Altadena
060374612001,Altadena
060374612002,Altadena
060374612004,Altadena
060374613001,Altadena
060374613004,Altadena
060374613005,Altadena
060374625003,Pasadena
060379301011,Angeles Crest
060374614003,Pasadena
060374602003,Altadena
060374614002,Pasadena
060374604011,Pasadena
060374603014,Altadena
060374603022,Altadena
060374610003,Altadena
060374609004,Pasadena
060374610001,Altadena
060374603012,Altadena
060374610004,Altadena
060374611001,Altadena
060374613003,Altadena
060374610002,Altadena
060374601005,Altadena
060374602001,Altadena
060374602002,Altadena
060374602004,Altadena
060374602005,Altadena
060374601001,Altadena
060374601002,Altadena
060374601003,Altadena
060374601004,Altadena
060374603011,Altadena
060374603023,Altadena
060374603024,Altadena
060374612003,Altadena
060374603021,Altadena
060374614001,Pasadena
060374615011,Pasadena
060374603013,Altadena
060374625001,Pasadena
060374613002,Altadena
060379303011,Angeles Crest
060374304001,Arcadia
060710008042,Angeles Crest
060374006031,Azusa
060374600001,Pasadena
060379303012,Southeast Antelope Valley
060710092011,Angeles Crest
060710092012,Southeast Antelope Valley
060710092021,Angeles Crest
060379302002,Tujunga Canyons
060374604012,Pasadena
060374303012,Monrovia
060374300033,Duarte
060374600003,Pasadena
060374002074,La Verne
060374004042,Glendora
060374005011,Glendora
060374006042,Azusa
060374002071,La Verne
060374004031,San Dimas
060374002051,Claremont
060374304002,Arcadia
060374304003,Arcadia
060374305014,Sierra Madre
060374305026,Sierra Madre
060374306002,Arcadia
060374306004,Arcadia
060374307011,Arcadia
060374307012,Arcadia
060374307013,Arcadia
060374307014,Arcadia
060374307211,Arcadia
060374307213,Arcadia
060374307241,Arcadia
060374307242,Arcadia
060374308011,Arcadia
060374313002,Mayflower Village
060374314003,Monrovia
060374314004,Mayflower Village
060374308012,Arcadia
060374308013,Arcadia
060374308022,Arcadia
060374308023,Arcadia
060374308024,Arcadia
060374308031,Arcadia
060374308033,Arcadia
060374310014,Monrovia
060374317005,Arcadia
060374307212,Arcadia
060374307232,Arcadia
060374314001,Mayflower Village
060374320004,Temple City
060374631012,East Pasadena
060374305021,Sierra Madre
060374316001,Arcadia
060374316002,Arcadia
060374316003,Arcadia
060374317001,Arcadia
