Geoid,Boroname,Ntaname,overlap_sqkm,_COL5,percentoverlap,keep
360470108001,Brooklyn,Sunset Park East,0.056567912,0.056567912,1,1
360470212002,Brooklyn,Dyker Heights,0.059361861,0.059361861,1,1
360470106001,Brooklyn,Sunset Park East,0.056552849,0.056552849,1,1
360470104002,Brooklyn,Sunset Park East,0.039113884,0.039113884,1,1
360470118001,Brooklyn,Sunset Park East,0.086520165,0.086520165,1,1
360470106002,Brooklyn,Sunset Park East,0.056563598,0.056563598,1,1
360470214001,Brooklyn,Borough Park,0.076652411,0.076652411,1,1
360470214002,Brooklyn,Borough Park,0.091098528,0.091108798,0.999887274,1
360470216003,Brooklyn,Borough Park,0.054945931,0.054945931,1,1
360470104001,Brooklyn,Sunset Park East,0.056523511,0.056525505,0.999964716,1
360470108002,Brooklyn,Sunset Park East,0.037726959,0.037726959,1,1
360470110001,Brooklyn,Sunset Park East,0.100116867,0.100116867,1,1
360470110002,Brooklyn,Sunset Park East,0.057749804,0.057749804,1,1
360470112001,Brooklyn,Sunset Park East,0.068660449,0.068660449,1,1
360470114001,Brooklyn,Borough Park,0.059759056,0.059759056,1,1
360470114002,Brooklyn,Borough Park,0.051255667,0.051255667,1,1
360470116001,Brooklyn,Borough Park,0.068413882,0.068416109,0.999967436,1
360470116003,Brooklyn,Borough Park,0.033542879,0.033542879,1,1
360470120001,Brooklyn,Sunset Park East,0.193071698,0.193109002,0.999806826,1
360470116002,Brooklyn,Borough Park,0.058113842,0.058113842,1,1
360470470002,Brooklyn,Borough Park,0.083993927,0.083993927,1,1
360470478001,Brooklyn,Borough Park,0.077275027,0.077280055,0.999934946,1
360470498003,Brooklyn,Kensington-Ocean Parkway,0.057536095,0.057536095,1,1
360470175001,Brooklyn,park-cemetery-etc-Brooklyn,1.957636975,1.959018667,0.999294702,1
360470094001,Brooklyn,Sunset Park East,0.056522516,0.056522516,1,1
360470094002,Brooklyn,Sunset Park East,0.056652156,0.056652156,1,1
360470244002,Brooklyn,Borough Park,0.057384928,0.057384928,1,1
360470112003,Brooklyn,Sunset Park East,0.037676921,0.037676921,1,1
360470226002,Brooklyn,Borough Park,0.045601432,0.045601432,1,1
360470230003,Brooklyn,Borough Park,0.056514057,0.056514057,1,1
360470222003,Brooklyn,Borough Park,0.073714314,0.073714314,1,1
360470114003,Brooklyn,Borough Park,0.056573773,0.056575574,0.999968169,1
360470470001,Brooklyn,Borough Park,0.097599842,0.097599842,1,1
360470236004,Brooklyn,Borough Park,0.037654407,0.037654407,1,1
360470216002,Brooklyn,Borough Park,0.056569714,0.056569714,1,1
360470496003,Brooklyn,Kensington-Ocean Parkway,0.060112585,0.060112585,1,1
360470222002,Brooklyn,Borough Park,0.045760881,0.045760881,1,1
360470112002,Brooklyn,Sunset Park East,0.02705098,0.02705098,1,1
360470224004,Brooklyn,Borough Park,0.056499547,0.056499547,1,1
360470244003,Brooklyn,Borough Park,0.058565948,0.058565948,1,1
360470218002,Brooklyn,Borough Park,0.05650076,0.05650076,1,1
360470232003,Brooklyn,Borough Park,0.037700188,0.037700188,1,1
360470242002,Brooklyn,Borough Park,0.086911688,0.086911688,1,1
360470472003,Brooklyn,Borough Park,0.077723057,0.077723057,1,1
360470216001,Brooklyn,Borough Park,0.056457103,0.056457103,1,1
360470218003,Brooklyn,Borough Park,0.044703659,0.044703659,1,1
360470220001,Brooklyn,Borough Park,0.037521456,0.037521456,1,1
360470220002,Brooklyn,Borough Park,0.056429092,0.056429092,1,1
360470220004,Brooklyn,Borough Park,0.057159601,0.057159601,1,1
360470222001,Brooklyn,Borough Park,0.056496168,0.056496168,1,1
360470224002,Brooklyn,Borough Park,0.037727724,0.037727724,1,1
360470224003,Brooklyn,Borough Park,0.043388851,0.043388851,1,1
360470226001,Brooklyn,Borough Park,0.110389772,0.110389772,1,1
360470228001,Brooklyn,Borough Park,0.037018702,0.037018702,1,1
360470228002,Brooklyn,Borough Park,0.05481634,0.05481634,1,1
360470228003,Brooklyn,Borough Park,0.075336138,0.075336138,1,1
360470230001,Brooklyn,Borough Park,0.056568168,0.056568168,1,1
360470232002,Brooklyn,Borough Park,0.056588668,0.056588668,1,1
360470232004,Brooklyn,Borough Park,0.037682848,0.037682848,1,1
360470232005,Brooklyn,Borough Park,0.037680056,0.037680056,1,1
360470234001,Brooklyn,Borough Park,0.056521444,0.056521444,1,1
360470234003,Brooklyn,Borough Park,0.056517894,0.056517894,1,1
360470236001,Brooklyn,Borough Park,0.056582451,0.056582451,1,1
360470236002,Brooklyn,Borough Park,0.037648039,0.037648039,1,1
360470236003,Brooklyn,Borough Park,0.037760842,0.037760842,1,1
360470238001,Brooklyn,Borough Park,0.056558398,0.056558398,1,1
360470238002,Brooklyn,Borough Park,0.056547346,0.056547346,1,1
360470240001,Brooklyn,Borough Park,0.037702694,0.037702694,1,1
360470240002,Brooklyn,Borough Park,0.078146185,0.078146185,1,1
360470240003,Brooklyn,Borough Park,0.053697226,0.053697226,1,1
360470242001,Brooklyn,Borough Park,0.104306594,0.104306594,1,1
360470248002,Brooklyn,Bensonhurst West,0.101441198,0.101441198,1,1
360470250001,Brooklyn,Bensonhurst West,0.115177402,0.115177402,1,1
360470496002,Brooklyn,Kensington-Ocean Parkway,0.065877944,0.065877944,1,1
360470254001,Brooklyn,Bensonhurst West,0.059379129,0.059385769,0.999888197,1
360470254002,Brooklyn,Bensonhurst West,0.058031681,0.058031681,1,1
360470254003,Brooklyn,Bensonhurst West,0.057864339,0.057864339,1,1
