"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.418604651163,297.827234042553,291.880029261156,293.881223755249,297.703562340967,306.876411489525,311.007613255438,314.261878277451,317.790057662065,317.706247432098,318.012020680591,318.306801736614,313.612565445026,306.297171815492,308.396291208791,316.402997502082,322.935996563574,329.514207149404,338.102409638554,339.953632148377,341.389432485323,344.145569620253,345.28201178875,347.222222222222,345.552628531728,344.434761168759,343.734268227008,348.321722609246,356.257744733581,360.356465220428,363.264129181084,368.812877263581,368.537666174298,367.668147175579,368.003731343284,368.381606656622,368.452380952381,366.010513144781,367.088607594937,369.56531036023,376.036518069805,383.57094365241,388.604640534824,385.727249797535,385.786802030457,389.939358738282,389.004871259569,390.175312797249,392.183752272165,390.487859293493,388.333333333333,392.973978170589,397.727272727273
"Cook","IL","Chicago","17","031",2,164.688384175831,167.228820179131,168.338323353293,168.294051627385,165.889407061959,164.807302231237,159.8,157.936507936508,153.688524590164,153.760683760684,150.272434135796,142.790426587302,138.734667527437,136.456908344733,137.875101378751,138.457418318157,138.888888888889,138.339313172732,137.178387650086,136.414392059553,136.167146974063,132.954545454545,128.143206203551,123.23780550314,123.214285714286,124.254473161034,123.954357506361,124.910778015703,125.046546475188,123.499046315671,120.105890592218,118.75,117.09327870531,116.539561487131,119.58205244123,117.663043478261,116.085946573751,119.706042460533,123.287671232877,127.516403402187,130.208333333333,133.22632423756,131.578947368421,131.49312482799,133.037475345168,129.8828125,126.391231028668,125,120.380434782609,127.105263157895,133.452677306118,139.410797120159,143.891797556719,146.451612903226,147.478693181818,146.734409391049,143.104747550867,141.050698269079,138.103025347506,132.034346103038,128.273743371543,132.095605596909,141.666666666667,144.732308027132,149.184339314845,151.881331403763,151.304139106938,149.835796387521,149.364655637411,148,143.932038834951,141.054313099042,140,144.727875907827,152.380317460317,158.571428571429,162.484567901235,163.590909090909,162.680115273775,159.616879599945,159.493670886076,157.401989467525,153.508771929825,150.561355234414,149.870801033592,156.25,164.046775953201,168.367346938776,171.609856998371,174.025069637883,174.384632657932,173.539191856139,172.633310506192,171.360759493671,167.96218487395,164.065247655334,163.33750865252,170.031055900621,179.351804697944
"Harris","TX","Houston","48","201",3,73.7650702138378,74.8128342245989,75.0081539465101,75.2150537634409,74.8997629875046,74.4050222762252,73.3590733590734,73.2284135550056,73.9702463239915,73.3159001529386,73.7877723120169,73.0769230769231,72.3361479694411,72.230017115193,72.433521353747,72.2087378640777,72.4137931034483,72.7367786544658,72.219248156079,71.9861660079051,70.6671501087745,71.3714285714286,69.8324022346369,69.8035160289555,69.6670070957595,69.4875776397515,70.0892857142857,71.0676268002505,71.2285456187895,71.5403820014945,71.3837185745909,71.4637374272102,71.3835085777532,71.3235294117647,73.6220670089026,73.9324244844192,73.8658777120316,76.0722160970232,77.7858176555716,79.0023926366745,80.0397191716824,80.4036458333333,81.0146443514644,81.8215460526316,82.1283391405343,83.6120401337793,83.026706231454,83.5284280936455,83.9147286821705,85.4166666666667,87.0803229919252,89.5798319327731,90.0125393040246,90.7089151450054,91.1536707706338,92.0551966558997,92.3217067380178,93.5160427807487,94.4891391794047,97.6041820740988,99.3928262748487,102.099099099099,102.839627477785,105.904907100405,103.308063404549,102.017714754757,105.376075421153,106.836752136752,109.245299886563,110.32060348892,110.256176725753,111.913710260932,113.239634574842,110.812309401509,112.322140387001,112.743902439024,113.233802816901,114.207980652963,113.088057901086,114.157242864836,113.342228152101,112.997542997543,111.947758210149,111.425917324663,113.08089178904,114.473684210526,115.230582524272,115.64226519337,115.806451612903,115.841106564638,115.341545747327,116,118.175675675676,118.378826805306,119.424019607843,119.8385518591,120.740223463687,121.417678484701,123.433345993164
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.999346671913,124.120391973868,121.689533641667,122.902271753108,124.832214765101,124.268104149715,122.489601901367,123.497106530371,122.85306122449,124.780092666188,121.357754006747,126.498316485111,118.739001189061,120.820350906432,128.648233486943,129.414634146341,133.293864370291,134.902411021814,132.448548812665,134.323161189358,131.773994767802,133.355431280323,133.910225367852,135.627282211789,136.981577704299,137.841966646115,137.320426605663,144.869565217391,142.565777348597,140.758765044479,147.510351966874,146.738474961702,147.695608529478,145.518044237485,145.590113022941,145.98961338719,145.948778307509,139.892578125,147.137795471687,149.875440658049,151.869152046784,151.500679205852,150.946360376743,150.862337662338,152.12723556464,153.70849557401,154.471544715447,156.863412940632,155.664976382328,155.39512065765,156.490793343241,157.336112163698,156.795193248532
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.358452138493,263.371150729336,264.756944444444,269.679238095238,276.49604565903,279.58833619211,281.456953642384,284.290819131391,285.8318262533,285.588752196837,286.216791173997,283.279220779221,282.454760031471,278.121137206428,282.16053748232,283.464901446143,288.459177409454,290.329575021683,295.86129753915,292.134831460674,303.460144927536,305.825242718447,305.728871242201,301.560062402496,301.813022423497,302.267901716582,303.131672597865,308.167467398765,313.511972633979,314.634503774177,316.666666666667,318.155518541247,321.30322087193,320.11217948718,322.168602504909,321.715695767242,318.571428571429,317.14501510574,320.062717830906,322.794117647059,326.96682464455,330.155993800147,338.392857142857,337.405423640623,341.409691629956,343.208479348595,339.578454332553,340,337.152777777778,338.238532110092,340.667678300455,343.88586381526,350.274725274725
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.724754414499,349.231672999457,349.166666666667,348.506267873588,348.990683229814,353.437876960193,357.063492063492,359.92,361.749732278984,363.573883161512,363.372494816862,364.282596792941,366.197183098592,362.958359229335,361.841457410143,356.870910172516,362.142658714209,367.848375029226,370.159910983945,372.17659137577,375.14450867052,377.850852180001,378.38519764508,380.199179847686,380.599214145383,379.659790083243,380.997177798683,384.861717612809,386.372115495466,388.93028647127,391.540785498489,393.978219090327,397.237564042004,399.355152003389,399.03078677309,398.573831706596,399.577746291205,401.216788330202,402.30998509687,403.375187223886,406.698564593301,409.303764636135,412.400455062571,415.227422544496,417.623244070139,416.666666666667,418.873246252641,420.012746972594,420.816949312039,420.505431625222,423.452166940078,424.521615875266,428.342674139311,432.599345105331,432.951118132588
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731.277533039648,737.534626038781,748.856941977501,781.300321957502,799.104286628279,849.137931034483,849.486998304127,853.242320819113,853.242320819113,853.242320819113,930.735930735931,951.904761904762,983.933450429352,940.376569037657,909.83606557377,937.998228520815,911.131059245961,897.277227722772,908.745247148289,928.217821782178,908.352723076632
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.275109170306,129.213701630467,132.445141065831,142.748467830859,139.922363986519,138.121546961326,139.872521246459,139.915156950673,144.704433497537,143.859649122807,145.318895166353,145.037453183521,145.854292421194,149.696948373643,150.974421437272,158.013544018059,159.927165475468,156.784492588369,163.398692810458,167.474443559746,167.67425422653,159.671694764862,160.204334893238,170.32338781871,173.942288557214,176.977687626775,177.331783303188,185.076380728555,187.120314464068,192.786069651741,196.078231292517,194.753577106518,200.823892893924,203.09259043325,202.625299990886,202.76153590099,203.151862464183,206.013178890625,207.612456747405,211.500970373767,212.428362149457,212.527560377669,214.338507021434,214.163335237007,215.759849906191,219.568589754621,223.242650080474,223.047955390335,221.274868047097,224.113732518987,224.630247375746,228.265454406553,230.940456316082,232.261693309651,231.221121589974,231.000334916575
"Dallas","TX","Dallas-Fort Worth","48","113",9,74.5760884446878,74.9279744750926,76.7003836763167,77.4966916619149,77.1873675137083,76.9734122464921,76.599535048264,76.1316872427983,76.3743479042993,75.6424174276611,73.9619367540571,71.4645674376093,69.7169811320755,68.8971456692913,68.1032858396572,67.5138999205719,69.4645441389291,70.3402194211018,69.0184049079755,67.5444197731426,65.9515951595159,65.9173553719008,64.6531382727702,62.5,63.112927191679,64.3794749403341,63.0191693290735,62.3441396508728,63.9296769851952,66.1835748792271,65.8226386325787,64.9298440253214,64.6244229962232,65.6488549618321,74.798143556488,74.8906933166771,74.1409925643941,75.5429650613787,78.6812193046019,80.8881296457374,82.4652777777778,82.2909809084924,83.206106870229,82.4789484151687,82.541205689772,82.7446651949963,82.4365591397849,81.75108440886,79.7905083556123,79.5325331648768,83.2466181061394,85.7732775565191,87.431162941367,85.4612095296274,85.9687850220594,88.6998784933171,86.9453044375645,86.5921787709497,84.6861719864806,85.9168221361968,85.9512296645103,90.3351955307263,92.5371255875333,93.960396039604,96.0877967711301,96.4117647058823,96.4549223758809,98.031862745098,99.4640225579301,99.3763063680303,99.4531784005468,98.7493259902284,99.2647058823529,101.601067061593,105.080508780699,108.575539673572,110.359453367293,111.690389872816,113.192818110851,113.329355568783,114.671289325165,117.056856187291,118.386914833615,117.140337555531,119.741100323625,123.746305683792,125.504758002453,129.777365491651,130.208333333333,133.502469104105,133.573730292368,134.140074184947,135.063831799735,135.536300898928,135.371094195018,136.038186157518,135.135135135135,137.728327687123,140.062761506276
"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.222107438017,430.263086298836,448.327235772358,463.148834745763,462.798207460129,465.760869565217,458.220452801228,459.372413585542,458.590452801228,450.73813559322,449.5,441.536385936222,447.154471544715,448.327235772358
