"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.634349030471,312.278630460449,309.877494131455,307.308970099668,312.970381250672,310.150011774024,318.256603426394,325.732903763664,328.342267706303,327.12017510336,326.631259484067,326.991676575505,327.783558792924,324.944485566247,317.524115755627,320.229508320894,332.727272727273,337.630448127686,344.457245789808,347.305389221557,346.045197740113,345.238095238095,350.952858575727,352.288412688416,353.684598378777,348.973874998709,349.411764705882,357.385086344903,364.623739332816,368.020304568528,370.892018779343,370.441298917569,374.443200325733,375,374.039247751431,375.225140712946,374.488403819918,372.601279317697,372.359471077978,376.344086021505,381.189667527273,389.147182233975,397.41653418124,397.855272933102,393.326592517695,393.736840587234,395.335888537836,398.02084748484,399.189219503597,402.861445783133,400.14064697609,403.296404909308,406.779661016949,409.116890707189
"Harris","TX","Houston","48","201",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.180293501048,143.809145633401,159.580291970803,162.812160694897,165.687361419069,165.384615384615,163.294797687861,169.398282458796,169.642857142857,176.233635448137,174.981343283582,177.417380660955,181.562088971281,179.027637237541,178.630433893592,181.489045847756,182.095006090134,177.301255230126,180.378890392422,178.429372768995,178.400954653938,179.58785292611,182.135627530364,178.871548619448,174.660194174757,175,170.27145944412,167.431972789116,168.367346938776,165.225391225374,165.506922659382,168.640721940214,171.201015806296,169.642857142857,171.330589849108
"Maricopa","AZ","Phoenix","04","013",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.550660792952,124.916666666667,125.459874671518,125.526537489469,124.958333333333,124.796380090498,125.577437933189,126.190564178369,125.960573441436,125.698324022346,126.4,128.5,130.104166666667,128.11934277042,130.77593722755,131.335282651072,131.460674157303,134.244451519717,135.732323232323,134.615384615385,128.5,134.326579441689,139.02627511592,141.339927029693,144.508670520231,146.271777003484,147.692745182792,147.855029585799,147.017973856209,149.501661129568,150.622133999794,149.916666666667,148.530815858315,149.088655187446,150.449748734038,151.015228426396,153.131021194605,155.015197568389,157.306050827091,159.911111111111,158.045977011494,160.402684563758,160.987074030552,160.358650916671,158.629441624365,159.578618806087,160.23166023166,162.004662004662,163.152843721588,163.59918200409,164.550709333185,165.614880288793,166.23962720261
"San Diego","CA","San Diego","06","073",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.077278901079,290.656146179402,293.959731543624,298.934328527642,307.517516880955,313.359253296976,315.573770491803,322.019867549669,320.044818581245,321.198072805139,317.876332154997,311.236305628919,309.465961284007,304.660633484163,312.498922413793,316.50641025641,324.655078925172,327.337105413407,331.395348837209,320.51282051282,340.168934772407,340.022296544036,339.589069999228,335.869565217391,338.265306122449,341.713483146067,344.734585194282,344.296983161081,347.717474059456,352.040816326531,354.581689449507,355.709491850431,358.562586600255,360.944547174603,361.990950226244,360.03600360036,353.625783348254,353.536452665941,360.843373493976,370.45907103188,374.362317264709,382.194244604317,387.655533643045,392.422192151556,395.809739524349,395.157393850659,403.885480572597,404.349920006441,402.298850574713,403.508187134503,412.826086956522,419.633225458468,417.921146953405
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.888888888889,326.210473991476,326.24633431085,328.580665448481,329.240214888718,331.412786108919,334.872979214781,337.91329904482,338.709677419355,339.87915407855,343.406342538842,340.51202256322,341.381623071764,338.61459100958,337.690081995249,343.733392249012,343.925732622185,346.533333333333,351.473922902494,354.239239862305,354.655294953802,354.982206405694,356.183456183456,354.545454545455,354.033652147142,357.031658817373,358.151476251605,362.727272727273,365.763716166789,365.993946064942,370.46004842615,372.201492537313,373.471997893883,373.507057546146,372.692192041696,374.141161773891,375.051169407819,374.209535474506,375.995575221239,380.099253667695,386.046720948266,390.5540417802,395.441030723489,393.060590367685,395.335391756636,396.102236421725,397.510889856876,398.174557900742,398.380700594845,397.805212620027,399.182148282891,406.365655070318,407.560400806066
"Kings","NY","New York","36","047",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760.252408831589,760,752.741774675972,843.790012804097,869.502579757431,832.406890141862,911.251980982567,870.647103148733,886.888386568809,853.644646924829,845.604395604396,876.288659793814,888.631090487239,892.857142857143,900,897.358146709714,916.71686047052,925.840092699884,919.72027972028,939.597315436242,949.419568822554,932.0394798872,908.076841851945,891.594574301384,893.155004820998,902.439024390244,877.505978000956,883.64434687157,788.351086364462,671.550671550671
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.257173966492,232.65475695887,243.888888888889,244.708994708995,243.058823529412,240.44547224927,243.321287845282,250.291036088475,229.741379310345,229.750778816199,242.420234086901,266.26942800789,261.538461538462,267.67136028378,270.27027027027,266.129032258065,269.607843137255,262.71186440678,268.915456874466,265.333333333333,271.022273149885,280.94212488431,284.482783012195,311.875,322.236430804206,321.100917431193,328.330206378987,330.492424242424,323.243361522199,309.848484848485,302.743614001892,324.953271028037,332.375447288742,342.47919663382,343.010752688172,366.13942589338,367.781489094439,371.664167916042,371.066213519334,363.636363636364,371.621621621622,371.234532538955,368.761552680222,372.306284652992,370.489690721649,372.620095627708,372.470908134027,371.376811594203,372.083300925566,373.385416666667,374.149659863946,372.796521777725,371.249624962496,372.007075576808,371.588089330025,371.006590854452,368.371212121212,370.642442227214,366.995073891626,370.967741935484,373.78640776699,372.732755784626,371.285714285714,371.302268154381
"Dallas","TX","Dallas-Fort Worth","48","113",8,142.870752619879,141.754670999188,139.385415684198,137.647425520185,136.318181818182,137.504982064568,137.454545454545,131.1447079661,129.995569032011,129.551688158457,125.204359673025,123.267326732673,122.38236127528,123.424369747899,123.156992151177,123.115907516831,122.056338028169,121.756887301834,121.288163948139,119.440491085393,115.753424657534,116.953762466002,115.9739378804,114.942528735632,116.637220259128,119.355385569903,120.317725752508,120.398009950249,122.613636363636,120.06540151272,118.104056245047,117.227874874153,115.497547856352,119.851380042463,128.23928453302,128.022759601707,132.139368575892,132.430841671571,134.005763688761,136.328671328671,136.95652173913,136.95652173913,137.092737830018,138.846214276985,144.280333068993,142.819289878113,143.832868262051,139.964788732394,138.358974358974,140.390252446044,140.062485899378,143.53971291866,150.235070683621,139.444014631985,139.136037648816,143.79622021364,142.022615066093,142.715559960357,146.52365024338,145.967741935484,150.735294117647,153.276955602537,155.777906938201,165.544091258652,161.377084454008,159.521435692921,157.004830917874,159.230769230769,161.524500907441,166.533333333333,165,178.098676293622,184.091840918409,182.951945080092,185.744616317865,195.771339075959,200.573065902579,202.604166666667,199.798680021804,203.771608171818,208.722358722359,212.51665001665,215.221243971244,215.72982774252,216.763005780347,216.483759018539,218.1198371912,223.490252020922,221.306273062731,221.333333333333,221.739130434783,215.336134453782,214.92628992629,216.584158415842,213.966987037855,211.907164480323,218.717773072612,222.03196347032,223.754982595202
"Riverside","CA","Riverside","06","065",9,164.23589093215,161.618945417297,163.907807525703,162.447864321608,159.914712153518,158.091699118247,152.297367062468,155.141843971631,151.617821694414,149.832495812395,151.356993736952,148.800531914894,146,141.386680416486,140.669014084507,141.67916041979,138.935810810811,136.363636363636,133.025531315585,130.677164299116,130.630630630631,130.58677061545,132.094539115496,131.856345472913,132.983193277311,133.781447952648,131.672597864769,132.686084142395,133.287128939788,132.910300145563,131.257631257631,133.500278241514,134.784283513097,138.613861386139,150.560224089636,153.13375995869,155.983326345664,160.875721256244,160.669975186104,162.866449511401,164.383458097879,164.933837429112,163.507109004739,164.305349506938,164.423479523568,167.253521126761,172.519083969466,174.698203193991,176.023523663534,177.664974619289,176.706827309237,177.540529853697,180.662557781202,178.268251273345,177.452359307731,176.666666666667,177.676739472809,178.800956608372,180.311401305876,180.473913497546,180.663201668392,180.683311432326,182.032313213999,182.481751824818,184.147794994041,184.325804361683,183.915622940013,183.168557493992,184.343434343434,185.233751425314,187.236533957845,188.027628549501,187.174139728884,185.288251441372,185.744280851092,185.907553551297,186.008079185586,186.797752808989,186.257034443292,186.587436332767,188.172043010753,188.540646425073,190.238554438169,189.949324324324,190.36954087346,190.561529271207,189.739985945186,189.15447667087,189.671163575042,192.307322485207,192.856490568868,192.382182052937,194.036300777874,197.453581537062,197.317964887292,198.148587005566,199.85078493004,200.97645031591,203.686374534317
"San Bernardino","CA","Riverside","06","071",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.191270860077,167.156387064749,171.911421911422,173.488203792155,175.895765472313,180.288461538462,180.467128144381,186.186318884631,185.356806316381,185.25989562274,186.078149624548,184.811827956989,185.015531994586,183.645747442358,188.206785137318,184.696774884817,184.349134687735,186.191284663271,189.303307529909,191.250658761528,190.918472652219,193.810584740463,193.452958573046,193.609248652291,193.431771894094,191.813804173355,194.17459429211,195.294045275591,200.561797752809,201.153037460088,201.498127340824,203.545577503307,208.006962576153,208.161503333291,210.024509803922,208.080975072586,204.411438225431,207.075471698113,211.271777819408,215.157743638291,219.298245614035,219.789967163008,220.265169653278,222.630834199052,223.481524290617,224.797001873829,227.069245029088,225.31847133758,225.360954174513,222.222222222222,224.137931034483,222.929936305732,229.264744825151
