"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,187.92182293362,183.32075336065,184.819500154273,186.58673392405,186.759948915105,183.231521075137,183.662280701754,185.217391304348,185.855263157895,183.762111593719,182.254779466409,175.112169917728,173.673276727937,170.842157246583,170.659722222222,173.402152426971,176.576040699474,174.122310305776,173.322615219721,174.174982557875,172.168624188128,174.271003424025,171.686169192404,168.717745136959,168.020656064186,167.997361397974,168.67266591676,170.023987648808,174.302788844622,177.750089909667,178.650610666959,175.270108043217,175.99765258216,183.323342924126,184.188596491228,186.882008338125,191.138140747176,192.690058479532,201.595664038811,207.092922586099,211.485557083906,215.515414381458,221.482467820684,222.002262443439,221.618953603159,224.46813690946,233.355746647473,231.387806269882,226.173894670555,228.519195612431,231.442901234568,235.251074751765,241.388888888889,245.620689655172,247.426610751048,251.151109250733,252.905886764154,254.303158607425,255.469169763589,250.728862973761,252.103668798384,255.63446969697,257.216172333912,260.840108401084,269.114283293799,274.957698815567,276.302209126332,277.922170084579,285.759694850604,283.482142857143,283.285509325682,282.008030466098,283.788973305102,284.860557768924,285.862998459581,288.331071913161,294.204322200393,297.955965552247,298.611111111111,300.328227571116,304.166666666667,305.995004163197,306.938675453128,306.075812263067,307.620639428585,310.185791620919,315.729047072331,318.75953648447,321.287012682622,324.675324675325,326.387265101922,329.636365086582,332.9007731051,334.306775335695,336.046605945437,334.431872475351,336.294416243655,340.788476118271,345.751723143207
"Maricopa","AZ","Phoenix","04","013",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4450402144772,80.7836890444171,79.5918367346939,80.0754349997372,82.7756004618275,85.9053497942387,89.3760281027565,89.7129186602871,88.994689360363,91.7060013486177,93.7885643767997,95.073261223806,94.9097886920851,94.3799233218353,91.8136020151133,92.8926794598436,93.6455060841313,94.5040214477212,98.2360097323601,99.6500777604977,94.7368421052632,100.245645377401,106.382978723404,105.693727048568,106.123007238598,104.391648668107,101.538461538462,98.0392156862745,104.48319957193,108.995716325559,115.839644307886,123.30090704906,114.942528735632,110.915492957746,114.942528735632,120.957858232261,115.591490206408,128.264425139425,126.156433978133,129.02394955218,119.460345213004,122.574055158325,129.608294930876,131.372388630453,136.974789915966,147.093451066961,137.718164188752,150.255754475703,165.625,138.219901350068,138.375239463602,150.599270453361,164.511158436488
"San Diego","CA","San Diego","06","073",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.106043329532,270.801929392447,290.441176470588,300,320.283882783883,332.680039138943,319.58748714233,344.63172862076,350.175131348511,331.813975590236,299.909444908993,281.519396551724,319.293917875888,307.030703101013,313.339898053753,307.030703101013,289.826498422713,288.922465801218,312.406576980568,324.953527398269,323.992119089317,318.246059544658,299.089349600859,298.614429049212,297.62604363853,312.298325722983,337.162162162162,316.24500665779,328.739839741742,346.077626641651,393.576826196474,377.301539390281,393.498199374952,353.781512605042,347.329206906643,339.579316623822,351.947442515251,363.276018099548,358.371559633028,346.36908727515,342.825333296034,358.371559633028,373.491436846583,388.418079096045,450,476.112026359143,474.237288135593,458.333333333333,455.267857142857,503.082959641256,481.588180373454
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",4,277.001180637544,276.77821726283,266.622222222222,260.133091349062,268.517268170868,263.213797301579,273.717441860465,269.0886035313,262.187088274045,258.949441891005,257.825600894354,250.1001001001,251.67486805589,245.071193866375,245.934153113844,243.292682926829,245.726495726496,242.647062005679,244.648289877239,253.341300191205,256.578947368421,258.112449799197,258.748151798916,234.946400514915,235.897940642035,259.641256867355,252.48833592535,254.207787672429,254.787497817356,256.267409470752,260.323851862909,256.513952565685,263.314680710994,287.272727272727,285.529616583453,286.115263140116,283.783783783784,289.101703665462,289.550986151909,289.995166747221,296.459450156165,306.804128614916,320.621387795625,316.473988439306,317.186392629341,317.186392629341,310.907749077491,312.378436882278,310.131034482759,317.366951519273,326.67078466486,317.907720420283,325.310559006211,322.018942719624,329.423888182802,337.171080582913,335.708791208791,379.992749244713,338.501552795031,330.602770356053,349.485949280329,349.485949280329,350.047983761043,350.421348314607,352.294007490637,385.793909388723,357.142857142857,382.221545952526,357.706121588986,343.532608695652,360.045219638243,368.656013211018,342.776372341645,338.654985058408,339.309970116816,347.593315508021,353.571271339954,349.050478525405,361.110869565217,382.867796030081,406.472795161135,429.954739501296,426.5625,427.142857142857,466.793294299086,463.95431834404,451.808863976324,452.668360864041,432.666666666667,423.076923076923,403.740375936899,431.796695402299,427.827380952381,427.827380952381,427.857142857143,402.926925602011,390.492093181313,392.745210817917,407.826126045132
"Kings","NY","New York","36","047",5,255.872483221477,256.696428571429,256.687242798354,256.286096256684,253.018218623482,253.712871287129,255.113636363636,253.381236566516,255.882443405512,246.902618193392,244.021739130435,241.071428571429,238.095238095238,233.796719863798,235.052083333333,232.198142414861,232.712765957447,233.683425848275,233.806719778317,227.64598540146,227.272727272727,228.125,229.357798165138,230.288461538462,230.454545454545,231.97715917202,229.166666666667,232.879901960784,234.382808595702,239.078396169958,236.270114942529,234.492481203008,237.865639732485,237.1875,249.184821112292,249.166666666667,251.707899248027,253.489847715736,259.761388286334,264.5,266.460505529226,271.85441370224,277.777777777778,282.71743517304,287.820512820513,296.296049382716,312.5,311.875,314.401856089499,314.141781142186,315.602836879433,318.115942028986,324.074074074074,329.545454545455,338.083364994934,347.240330291178,350.877192982456,358.400389282551,356.872817263131,359.765051395007,375.93984962406,379.966714217784,380.617679645457,392.50632326475,412.087912087912,416.203703703704,414.555456945203,418.871252204586,432.01486013986,443.786982248521,452.421652421652,454.851752021563,458.4017515052,467.040673211781,479.680992012102,492.100492100492,495.726495726496,503.039874551971,497.251374312844,499.017857142857,509.090909090909,515.463573883162,515.022824024209,515.914802981896,500,502.428868841083,504.387890270012,516.184573002755,525.900449405815,535.511619528013,528.659611992945,520.631067961165,527.13703507533,525,527.523474178404,520,519.480519480519,518.277792185339,524.96719160105
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.750312109863,147.160664819945,153.294001966568,167.989192253587,171.305850914509,152.813037560901,154.649726350718,166.216216216216,171.513795674869,173.328819679531,184.837278106509,189.308352158827,190.498868912966,185.439620558184,200.874855990783,208.835532895155,200.613460467619,203.572066326531,200.408527062318,207.170529626022,209.537572254335,210.178113650929,211.551543694401,211.473928755808,220.825852782765,224.59499263623,221.890732798807,218.852124183007,214.170692431562,215.12386822836,214.740848608126,221.833041447752,224.037954665261,227.759914255091,223.32268370607,221.524829241277,222.591464610353,229.93342539605,227.258842781792,227.033934402953
"Queens","NY","New York","36","081",7,,,,,,281.981851994357,279.803081005314,281.425151387129,279.106858054226,277.113578138343,278.230926777493,278.150134048257,276.818181818182,269.840634920635,270.898033126294,270.072742015466,273.939290001715,272.727272727273,270.205479452055,268.138170498084,267.532385995019,264.657171248758,263.390939656101,262.339055793991,262.034161490683,261.105555555556,261.111111111111,263.636363636364,263.975155279503,263.636363636364,267.261904761905,262.034161490683,258.940837400329,254.2071197411,270.472262952102,267.482517482517,271.099193671079,274.655963302752,279.358017604286,283.179559971611,289.791969037252,291.6,292.508417508417,293.888888888889,299.019607843137,296.875,292.59956143885,296.875,297.356828193833,298.168789808917,302.20600162206,303.064437660123,309.144158802473,310.323383084577,314.500851261415,318.962225374466,320.054945054945,321.320346320346,317.535545023697,317.009955223505,324.708267134472,324.013157894737,329.855072463768,335.628092667566,341.796875,343.916451319811,346.654228855721,352.695349064644,359.586455166803,363.81074168798,373.387096774194,371.67109929078,371.177961423537,375.654899056397,378.99548449182,387.946428571429,391.194542291402,396.508347201997,403.486394557823,403.041788143829,407.470288624788,411.003390548845,408.909815284317,405.183869393068,410.024154589372,413.107279693487,424.689503550997,434.920634920635,443.939393939394,449.5,453.25,457.142857142857,456.537618699781,458.150288603339,455.08358662614,456.766917293233,456.566328572538,466.56050955414,466.626213592233
"Riverside","CA","Riverside","06","065",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.903997962821,131.244850315847,128.398791540786,139.408713357404,125.757575757576,139.98,141.678759449244,138.523391812865,144.524572649573,143.75,140.388768898488,136.717533478667,127.824074074074,128.333333333333,137.472222222222,149.66726007326,135.169848484849,124.133934039017,141.428571428571,147.967533211177,144.337606837607,138.308457711443,141.6015625,148.873110398534,147.538200339559,148.4375,160.208131655373,163.376257700488,153.385416666667,153.909203178694,153.909203178694,145.614035087719,137.754492902242,154.421784065824,159.754098360656,159.453477868112,165,168.306493506493,168.573468513494,171.363636363636,157.135410512728,160.672268907563,174.323636363636,179.556530214425,183.394446895605,191.666666666667,190,181.468013468013,188.71191733196,187.148936170213,197.204202766047,199.3125,192.078947368421,196.867201426025,185.271498485202,181.481481481481,183.125
"San Bernardino","CA","Riverside","06","071",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.854988399072,124.446362799263,124.613425925926,126.108647450111,122.560945458142,126.108647450111,135.416666666667,137.13641178099,138.107416879795,139.647885574457,144.840650768888,139.616055846422,145.708333333333,142.286570144783,146.135115590608,145.768280416339,151.906280141464,160.938202878992,143.739424703892,143.640545685279,141.304347826087,145.053102291783,145.151327980235,142.069439083953,147.002831905032,145.729705202047,144.388888888889,144.558918222795,140.664961636829,142.577944784007,142.896741323648,143.995098039216,143.550150414557,151.638524590164,154.204921042967,157.793240166444,163.450531479967,157.793240166444,149.947776628749,151.071428571429,163.763727278445,164.076923076923,156.642880488071,162.721893491124,163.789596857326,173.327541268462,169.902912621359,164.820354166064,167.35257985258,172.792607802875,165.989940429358,168.878364668375,172.251308900524,175
"Clark","NV","Las Vegas","32","003",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.6118067978533,61.046511627907,60.3041426324069,61.046511627907,62.5,62.6118067978533,62.5559033989267,62.6795405394377,65.51901336074,64.9726402188782,64.6896640699115,63.9460154241645,64.2352185089974,66.7525773195876,66.9807407145883,70.5467372134039,66.6681929577739,61.4076700289624,58.8235294117647,65.0759219088937,65.1658767772512,64.8751357220413,64.8990384615385,60.8935128518972,63.7920298879203,65.8633144475921,64.8565573770492,65.3539399762204,66.4226662605424,67.2043010752688,71.218487394958,75.1616379310345,73.5216764040081,73.1179971988796,74.2545871559633,73.7456747404844,76.1316872427983,79.1044776119403,77.0577338316205,79.3523337127988,79.8319327731092,80.2893313962196,79.8319327731092,80.1301098128494,82.9001260239446,87.5230627306273,88.2813765182186,91.0775228214475,94.0766550522648,93.2835820895522,92.4724205061648,92.3344947735192
