"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319750,323000,319000,309750,324250,325000,325000,324950,320000,325000,319900,319700,318350,329000,339000,331250,369000,375000,365000,359000,360936,370000,378500,380000,379000,390000,389924,388000,395000,398300,399999,419000,419900,415000,409000,425000,428500,436400,425000,425000,435000,442450,439000,435000,439500,449900,446000,444950,436000,443000,450000,449999
"Harris","TX","Houston","48","201",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77000,79999,81950,80250,80000,79950,79950,85500,89000,96750,97500,97950,97950,95000,95000,102000,107000,106000,115000,115450,112000,112000,120000,109900,120000,129000,126250,127250,135950,137000,137950,129000,139725,139500,145000,150000,145000,149000,143000,148000,144900,149950,162900,162000,159950,165000,169000,159999,165000,168950,167900,167475,168947.5,167500,159900,160000,154900,149900,149900,149500,149500,149500,150000,149500,149999.5
"San Diego","CA","San Diego","06","073",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249000,249000,240000,249000,255000,255250,269000,265444,259900,259000,257500,264950,253200,249900,245000,249000,259000,265000,275000,289499.5,285000,283450,289999,299000,299900,299000,314900,315000,319950,323700,321400,325000,325000,317750,316500,317750,322250,329000,329000,329450,328000,329900,338450,329900,329000,339000,325000,323000,325000,329000,340000,349000
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000,256500,270000,269900,271900,270000,279000,267000,258500,245000,260000,279000,279450,279000,285000,295000,289900,290100,289900,279000,270000,275000,279997,289900,295000,299000,3e+05,319000,320000,312000,310000,309000,309450,305000,310000,319900,314900,324888,328000,326700,329900,319900,324900,330000,338900,335000,330000,334900,349000
"Kings","NY","New York","36","047",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499000,550000,525000,545000,550000,589000,599000,617000,625000,699000,689500,665000,669000,650000,625000,625000,575000,568000,575000,560000,565000,550000,599000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240000,245000,239000,240000,239900,244125,245000,249000,249000,250000,252500,255000,275000,279900,275000,279450.5,275000,269700,259900,255000,260000,265000,274900,273250,295000,295000,298000,295000,289983,298900,299000,297000,299000,295000,295000,296000,298000,295000,295000,295000,294900,290000,290000,290000,291950,290000,290000,289000,289000,290000,289000,289900,289500
"Dallas","TX","Dallas-Fort Worth","48","113",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119900,115000,112999,129900,130000,130000,130000,137900,135950,125000,128800,145000,145000,146000,147375,155000,155000,161450,164950,169900,169900,169900,169450,170000,169419,169983.5,177900,190000,183500,179900,180000,185000,170000,171950,174500,175000,179000,181250,182500
"Queens","NY","New York","36","081",8,195000,195000,199000,199000,205000,199999,199999,199500,199000,199000,199000,196000,196000,195000,199000,189000,189000,189000,189000,189000,189000,189000,185000,182500,185000,180000,180000,182250,180000,181000,179000,179000,178000,179000,179000,179000,175000,174688,174894,175000,179000,175000,175000,178444,179000,179000,179000,179000,179000,179000,189000,189000,189000,189999,189000,192000,195000,192888,189900,189900,199000,199000,199000,195000,199000,215000,209000,218000,224888,228888,229888,236500,245000,255000,249000,249900,250000,250000,259950,266000,269000,278000,288000,290000,298440,299000,299000,299888,310000,325000,304000,309000,299000,3e+05,3e+05,309000,306500,320000,335000
"Riverside","CA","Riverside","06","065",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130000,136000,137000,145000,139950,134900,134950,138500,132500,135000,132500,139900,144900,142000,142900,144950,144950,145949.5,143500,145450,145000,149000,144950,144700,144900,145000,149000,145000,142000,149900,149900,149000,141000,145450,146888,139900,139000,136900,139000,139000,145000,144450,143900,152000,157000,164000,159950,160000,158900,159000
"San Bernardino","CA","Riverside","06","071",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130000,135000,139000,139999.5,139900,139000,140000,137500,130000,139900,144900,145000,149000,155000,149999.5,149900,159900,159000,155500,157500,159000,154900,150000,150000,160000
"Clark","NV","Las Vegas","32","003",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129000,127000,113250,115000,119450,125000,129888,129693.5,138000,145500,138000,138250,132000,135000,135000,130000,139900,136250
"King","WA","Seattle","53","033",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325000,3e+05,315000,325000,325000,325000,318950,320000,310000,285000,289500,298250,299950,3e+05,325000,330000,342500,345000,349950,345000,350000,379975,365000,377500,405000,395000
"Tarrant","TX","Dallas-Fort Worth","48","439",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244950,215000,214360.5,214721,211138,214950,214360.5,219450,225000,205000,214721,219900,239040
"Santa Clara","CA","San Jose","06","085",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349944,349694,349888,339000,345000,347750,386944,391750,375000,375000,389000,379950,375000,369000,399250,4e+05,405000,4e+05,399000,440000,458000,469950,475000,449000,449000,449000,449000,449000,427000,475000,499888,480000,467000,458500,456000,453000,456000,454500,469494,470000,487000,485000,485000,509500,495000,499000,539500,549000,548000,556500,560000,554940,549000
"Broward","FL","Miami-Fort Lauderdale","12","011",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89900,88000,92000,91000,92000,90000,90000,95000,94000,90000,90000,90000,87000,87000,87500,94500,95000,94900,94900,94900,95000,96500,94500,98874.5,109000,105777,99999,109000,109000,110000,110000,110000,119500,119000,121495,124900,124450,123000,117750,120000,119900,119900,120000,124900,123450,124900,124900,125000,125000,125000,128900,128900,129000
"New York","NY","New York","36","061",16,650000,625000,630000,635000,636000,625000,625000,628500,629000,625000,610000,619000,610000,560000,610000,610000,609000,616500,6e+05,619000,6e+05,6e+05,630000,625000,619000,645000,625000,640000,645000,649000,645000,639999,631500,639000,670000,675000,675000,675000,675000,675000,665000,590000,596500,683000,685000,650000,699000,685000,715000,725000,727500,650000,665000,740000,745000,749000,755000,785000,815000,825000,849000,849000,847000,869500,865000,865000,890000,925000,949000,949000,950000,975000,1071000,1073260,995000,1e+06,999000,999000,999000,1e+06,999000,1e+06,1030000,1050000,1073500,1160000,1177000,1055000,1086500,1100000,1172500,1189000,1149500,1149000,1149000,1165000,1150000,1175000,1255000
"Philadelphia","PA","Philadelphia","42","101",17,,,,,,,,,,,,,,,,,,,,,,,,234900,234900,241000,249000,239450,2e+05,219900,234900,239000,229000,234900,230000,239000,245000,239900,245000,250000,249000,239900,250000,250000,250000,259000,265000,264900,259450,262850,269900,269900,264700,269000,275000,278450,279800,269900,235750,229900,259500,269900,275000,277450,279950,285000,274900,270000,279950,282500,289000,289000,285000,289900,289900,289900,284750,285000,289000,276000,279900,279900,285000,289000,289000,289000,309900,299900,299900,299949.5,298000,291500,289900,289900,295000,297000,299000,299000,309900
"Alameda","CA","San Francisco","06","001",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299700,299950,318500,320000,310000,3e+05,305000,308000,299475,299000,299000,319000,322444,339999,330000,360000,369745.5,370000,370000,369000,369500,364500,388888,389000,379999,380000,389000,399000,409000,407000,399955,399000,399000,389900,399800,439000,429000,429000,449000,435000,432500,432500,439700,429000,425000,439000,447000,450000
"Middlesex","MA","Boston","25","017",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264000,275000,275000,260000,265000,239000,244500,240000,261499.5,287000,299000,299900,289900,299900,279000,264900,289900,269900,249900,239900,259000,279000,289900
"Suffolk","NY","New York","36","103",20,174900,173100,169000,169000,169999,167000,159000,159495,164990,166000,159995,159000,152000,142000,142000,145000,145000,140000,140000,140000,139900,139900,144450,139000,139000,139999,137000,139900,140000,139000,139000,139500,140000,145000,142000,142900,145000,144950,147500,140000,144900,142945,144950,149500,155000,156000,154450,149950,156900,139990,152500,150000,159000,159950,161950,169000,169000,181900,165000,159990,152250,164700,164900,155000,155000,159000,150000,149950,149990,145000,145000,148000,149990,159000,149000,159000,159000,159000,155000,159000,151500,151495,149900,150000,164995,174990,183950,179900,181350,191500,189000,184990,199947.5,197750,197000,209495,189000,189900,184993
"Sacramento","CA","Sacramento","06","067",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165000,180000,149000,159000,153000,151250,154900,169000,179700,159444,162500,169000,170000,185000
"Bronx","NY","New York","36","005",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135500,139000,135000,144000,145000,145500,145000,145000,149000,149000,145000,149000,150000,150000,149000,149000,149000,149000,149000,149000,149000,154500,149945,149000,149450,145000,145000,149999,150000,161450,165000,165000,169000,165000,165000,165000,164900,165000,169450,169900
"Nassau","NY","New York","36","059",23,220000,219000,219000,219000,218000,219000,215000,215000,218000,212000,211000,207000,199000,195000,199945,199000,199000,195000,189000,189000,194000,191000,189000,185000,185000,179500,188000,180000,179000,179000,177500,179000,179000,176250,179000,179000,179900,179000,175000,178000,179000,179000,179000,180000,183499.5,179000,179000,179000,180000,180000,185000,189000,186500,183000,189000,194000,192000,193000,179999.5,183000,185000,189000,198000,193250,193500,199000,199000,199000,198000,198000,191500,190000,190000,189000,195000,199000,198000,199999,199000,199999,199999,199000,2e+05,209950,216500,221000,225000,225000,219000,225000,224500,225000,230000,228944,229000,229000,225000,219000,229000
"Palm Beach","FL","Miami-Fort Lauderdale","12","099",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58000,55000,54900,56250,57900,59900,59900,62000,69900,65900,65900,69000,65000,59900,64949.5,68000,65900,69900,68250,73700,69900,69900,69995,69000,69900,69900,73400,69900,70000,74250,74900,74900,75000,75000,79000,79950,79900,83000,79949.5,84500,84900,81200,84900,88900,88900,87000,85000,85000,89900,90000,95000,93900,92500
"Cuyahoga","OH","Cleveland","39","035",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53250,48700,45000,49900,50000,54000,49999.5,54900,52500,49900,52700,49950,52700,53250,53000,54900,54000,54900,55000,52400,55000,55950,64900,59950,59900,59900,59900,64900,65000,66750,75000,65000,63000,60000,58000,59900,58659.5,56500,59000,59900,62500,69900,69900,71500,72450,69900,60000,67000,61250,59000,59000,59000,59900
