"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930000,942000,865000,849000,850000,899500,959500,959000,975000,949888,950000,947500,947500,829000,889000,930000,989998,999925,1099000,1159944,1169000,1150000,1149888,1150000,1149888,1100000,1150000,1198000,1199000,1199000,1239000,1251000,1250000,1241250,1230000,1250000,1249000,1200000,1272450,1296000,1298800,1300000,1320000,1299000,1300000,1299000,1299000,1299880,1299000,1300000,1350000,1400000,1399999
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,379000,369000,370000,369900,349900,314900,279900,309900,365000,375000,387000,384900,375000,375000,375450,379900,364900,339900,329700,359900,395500,409400,419900,419000,399000,384900,371235,359000,349900,329949.5,316950,349900,375000,395900,4e+05,420000,424900,399900,399900,399500,395000,369000,364950,399000,425000
"Harris","TX","Houston","48","201",3,349000,345290,341817.5,339450,341591,339000,329850,330000,339000,330900,330450,325000,315000,319900,324990,329500,334900,337900,329900,320000,312500,317990,309900,319900,309900,310000,329376,339000,345000,350000,350000,340000,338705,329000,340039.5,356490,357720,371490,375000,375000,389045,399000,402490,399900,409602.5,415495,412183.5,417495,415717,433970,436990,447900,442990,449925,445867,450000,462990,459700,458055,458990,467577,469900,474817,479105,469900,466900,475000,473695,459861.5,475000,479000,478000,480000,479105,478194,479950,479950,474950,464974.5,462990,465000,460000,456248,444445,449900,455997.5,460000,465126,468711,460465.5,459000,450000,454995,458000,459900,459990,450000,463990,467490
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616490,598730,559000,525990,549450,549000,533000,500362,499900,498750,536500,530990,527240,520400,510400,522990,524490,524900,520900,549990,598990,632990
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910000,925000,950000,978450,995000,1049000,1049500,999000,959000,970000,998000,995000,970000,925000,950000,1012450,1099000,1100000,1149000,1050000,1150000,1150000,1175915,1180000,1195000,1227500,1190000,1249000,1250000,1202500,1199949.5,1185500,1195000,1195000,1175000,1149999,1165547,1200000,1222500,1200000,1250000,1286268,1250000,1227500,1225000,1200000,1208242.5,1239000,1246999,1282450,1299950,1390000,1346950
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275000,1235000,1249000,1199000,1272000,1295000,1299000,1299000,1278000,1298000,1350000,1379000,1349900,1325000,1389000,1350000,1345000,1350000,1385000,1385000,1369000,1385000,1379000,1350000,1348500,1399000,1475000,1425000,1432500,1399000,1450000,1450000,1450000,1419889,1399999,1389000,1398000,1407367.5,1459000,1459000,1454500,1450000,1499000,1488500,1532000,1574615,1574230,1599000,1614800,1649950,1629500,1650000,1626500
"Kings","NY","New York","36","047",7,550000,560000,569500,559000,550000,550000,550000,550000,550000,529393,529000,519000,507000,515000,519000,499000,519000,539000,549000,539000,549000,549000,539000,529000,539000,545000,539000,539000,549000,550000,549000,549000,549000,549000,579999,589000,589000,595000,599000,599000,599000,649444,669000,679000,698900,699000,725000,725000,775000,769000,799000,788000,799000,8e+05,829000,799000,799000,849000,879000,899000,995000,949000,949000,989000,1100000,999000,995000,999499.5,1100000,1199000,1270000,1264500,1340000,1350000,1327000,1300000,1299000,1254000,1241500,1295000,1295000,1259900,1275000,1350000,1299000,1299000,1299000,1299000,1327000,1450000,1499500,1499000,1519000,1580000,1594000,1599499.5,1598800,1649999.5,1600000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999000,1050000,1e+06,1079000,1094900,1100000,1e+06,974500,975000,976000,995000,1015000,999999,1099000,1050000,1099999.5,1100000,1150000,1049000,998900,999000,999900,997388.5,1074000,1130000,1159000,1190000
"Dallas","TX","Dallas-Fort Worth","48","113",9,463990,472375.5,495000,489900,472630.5,452500,481500,455000,449000,4e+05,380860,354900,350000,369900,369000,385000,414900,364950,349900,319450,349999.5,349000,329000,325969,345000,374900,399950,399000,425000,424900,429000,399900,409450,389000,435000,420000,425000,449000,510000,575000,572000,550000,546500,549000,562783.5,544944,549888,510000,499900,499900,546990,599000,575000,560000,547500,579990,549900,549990,550000,552990,542000,564990,619900,601990,600981,599000,594990,590990,574950,599000,588445,572132.5,568719.5,595000,650000,689000,719245,725000,731000,682036.5,724900,734000,695000,679242,675749,710000,820000,949000,999000,949000,799000,750000,808900,814999.5,839000,775000,696278,725000,850000
"Queens","NY","New York","36","081",10,648700,645000,640000,639000,629000,625000,619000,625000,625000,6e+05,599000,598000,589000,599000,599000,579000,585000,589499.5,589999,575000,567865,584950,579000,569000,569000,569000,559000,572499.5,585000,579000,569000,559000,549000,549000,590000,592000,579000,589000,585000,585000,587500,569499.5,583475,576500,579000,589499.5,583000,589000,589999,599000,599000,625000,629000,649000,649000,662000,649000,639000,625000,629000,632499.5,629000,629000,677000,679000,669000,675000,699000,699000,715000,719000,719000,729000,729999,739000,769000,769000,789000,779499.5,799999,829499.5,850000,799000,799000,819000,769000,799250,829000,875000,896500,899000,929000,927000,929500,945000,950000,984500,982500,999000
