"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469000,464900,449888,455000,460000,480000,495425,499000,499900,499000,499900,499000,489900,469000,475000,499000,509900,529000,550000,558800,559000,559000,559000,559000,550000,550000,550000,567000,575000,585000,589888,599000,599000,595000,595000,599000,599000,595000,595000,598000,599999,619900,629900,625000,629000,629000,625750,629000,625000,619000,624000,635000,639999
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000,189000,179900,195000,209900,224000,229900,233000,230000,229000,225000,219900,210000,199000,190000,205000,224900,229000,234500,235000,232000,229900,227700,225000,220000,215000,215000,225000,239900,249900,250000,250000,249500,242700,244900,239900,235000,229700,229900,246000,258900,264999.5,269000,270000,269900,264900,264500,259988,255000,249900,249900,265000,275000
"Harris","TX","Houston","48","201",3,139900,143925,145000,145000,144900,144000,140000,142900,153000,151950,153900,149900,149586.5,149900,149999,149990,151437.5,150000,149900,149570,144900,144900,139900,139999,140000,140000,144900,146500,147900,148990,148500,149000,146880,146860,159000,159950,159990,169420,173240.5,176000,179000,179900,179900,180000,184000,189900,185000,186990,188597,196500,199900,209999,214900,214783.5,215000,219900,220990,223990,229000,235000,246390,254995,260994.5,269900,259950,250000,267995,269900,270000,274900,273990,279666,280900,269900,275000,275000,275000,278000,274999,274900,269900,268500,265000,261992.5,260000,265000,269990,274997,275000,274975,269900,269900,274990,274940,275000,276000,279900,280000,284500
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235000,238500,235000,239000,244900,248000,249900,250000,249000,249500,249900,250000,248500,244000,250000,259900,265000,273000,275000,274995,268990,275000,275000,277460,279900,279900,280945,284900,285000,288900,289000,289899,287777,284900,284900,284900,284900,285000,285000,289900,292000,296900,299000,295000,295000,292900,295000,298047.5,298000,298450,299900,302000,304900
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449900,450876,459000,465000,475000,489000,459000,485000,499000,496000,489900,485900,485000,475000,479900,490000,524383.5,535000,549000,525000,556000,551050,559690,560000,565000,575000,569000,569000,569900,575000,579000,579000,585000,579000,579000,575000,574374,574900,579850,589000,595000,615000,625000,624900,625000,620000,619000,614450,615000,615000,615000,629000,639000
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599900,599800,597730,599000,605000,624900,625000,634900,634000,635000,645000,638000,630000,615000,629000,648000,659000,669000,685000,692000,685000,684900,688000,689000,679900,689000,680000,689900,698250,699900,7e+05,709000,709000,708450,705023,715000,713445,714999.5,719900,729000,749000,750000,759000,749900,750000,750000,764900,750000,758000,758000,774450,784900,788000
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499000,499000,509000,499000,519000,525000,529000,535000,549000,549000,549000,595000,599000,599000,649000,639000,649999,650000,699000,699000,699000,699000,725000,729000,709000,719000,765000,784500,769000,799000,789000,789900,779000,790000,799000,825000,802000,824999,807250,827335,835000,835000,835000,831491,828000,807500.5,816944,813750,805000,799000,799000,759000,749999
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269000,269899,269000,269900,265000,270000,270000,270000,269900,274900,280000,280000,298000,299900,297000,309000,315000,310000,290000,295000,318000,320000,329000,330000,350000,359000,359900,360000,355000,369000,370000,369900,373000,370000,375000,375000,375000,377000,376000,379900,379900,380000,384994.5,388390,389000,385000,389000,385000,389000,390000,390000,390000,394500
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179990,179000,179900,173990,175000,185000,192000,2e+05,192000,192000,206990,197000,193900,187990,194900,197500,219000,225000,230000,235000,234900,225000,225000,232719,236150,239000,235753,234900,237000,259850.5,269000,275000,275000,274000,270000,274900,279000,275000,275000,276000,289900,295945,311950,319900,315000,309000,299900,299900,3e+05,299990,299000,296500,3e+05,305000
"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310000,305000,319000,299900,319000,325000,325877.5,335000,339000,348000,349000,349000,349000,349000,345000,359000,365000,365000,369900,375000,379000,379000,379000,389000,389000,389999,399000,399999,399000,410000,425000,429000,435000,438000,449000,439999.5,440000,459000,470000,475000,475000,479999,488000,488000,489000,489000,489000,485000,489000,490000,499000,499000,519000,539000,549000,549999,550000,555000,564999.5,565000,555277.5,559000,539000,525500
"Riverside","CA","Riverside","06","065",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319000,320000,320000,324900,325000,329900,330000,332875,329900,329950,329000,327500,325000,325000,329900,337481.5,339000,339990,346000,349000,347750,345000,349000,349900,350000,350000,354800,357000,359000,360000,365000,365000,369000,365000,360172.5,365000,365000,369000,370000,374900,375000,377215,379000,379900,380000,380000,385000,388118,389900,393990,395000,399000,399000
"San Bernardino","CA","Riverside","06","071",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,232700,230000,235000,245000,249900,250000,259000,259900,259900,259900,259000,255000,249990,260000,260000,267838.5,269000,274900,279900,279900,279900,280000,284900,284900,284900,285000,285000,289000,289900,297740,299900,3e+05,299900,299500,299000,299000,299000,296050,299900,305000,310000,315000,311500,315000,315000,319900,319900,319900,317625,317694,320000,329000
"Clark","NV","Las Vegas","32","003",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180000,180000,179990,175925,179000,180000,185000,189900,191000,191000,199990,204000,204890,199900,199900,2e+05,209900,213900,215000,220000,220990,224900,225000,225894,225819,228990,229000,227900,224900,229900,234800,239000,240000,244000,245000,249000,249900,249900,249990,254000,259000,260000,265000,269900,274900,279000,279900,283743,285000,287000,289900,290000,290000,290000
