"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,398000,388444,394900,395000,4e+05,419000,419000,419000,419000,425000,428000,424925,405000,403150,429999,449000,450000,459900,465000,459000,459000,465000,468200,459888,459900,468750,479000,479000,485444,488000,495000,495000,489500,494000,495000,495000,488900,492000,499000,499900,520000,525000,520000,527500,529000,531000,530000,532944,525000,529000,545000,549000
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193000,185000,181900,199900,219000,225000,229900,229000,229000,225000,224900,219900,214999.5,2e+05,199900,215000,225000,225000,225000,225000,224900,219900,217950,211900,208000,205000,210000,225000,234250,239000,239000,239000,237500,234900,239600,244000,239900,239000,244900,254900,259900,264900,264900,267555,265000,259000,259900,259900,259000,255000,265000,274999,275000
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143500,150995,153500,165000,175000,175000,175000,179900,185000,170000,155000,175738.5,179945,185000,188000,188000,190000,195000,2e+05,204949.5,209000,212000,210000,215000,220000,217000,199900,209900,209000,199900,199900,205000,206990,199000,198000,186944,184700,185000,179900,179000,184000,188500,189900,190000
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145000,144900,148500,145000,145000,144900,145000,147900,144600,143000,149500,151777,154000,149999,155000,155000,154998,158763,160000,159000,149500,159500,169000,169900,174000,175000,179900,179000,175000,175000,179900,179900,179900,179900,184900,185000,189862.5,190000,194900,195247.5,195000,193900,192995,192000,189900,190000,190000,194000,193000,195000,196000,199000,199900
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317950,319000,320000,325000,339900,349250,330000,339900,359900,359900,355000,349000,353500,349000,349000,349900,365000,375950,382000,362500,387950,389000,392250,389000,389000,389000,389000,398900,399900,414950,419000,423999.5,425000,424900,419000,415000,409900,399995,419900,420000,420000,429000,447750,448000,447000,445000,445000,449000,449000,445000,450000,459000,455000
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389999,389000,389000,385000,393500,399000,399900,409088,405000,407150,409900,4e+05,399900,399000,399500,414990,419000,420000,429999,435000,435000,435000,429900,426750,423950,425000,429000,439000,437000,438888,449000,459000,455000,449900,450000,450000,449900,449000,450000,465000,479900,479950,489000,485000,495000,492000,495000,488800,490000,488000,490000,495000,499000
"Kings","NY","New York","36","047",7,399000,409000,399000,399000,409000,409000,409000,405000,414999,416770,399000,399000,395000,365000,378000,373000,375000,365000,350000,349000,349000,350000,350000,365000,355000,379000,365000,379000,399000,385000,379000,359000,355000,349000,365000,349000,349250,362500,369000,389000,389000,385000,365000,368000,385000,395000,439000,439000,459000,449000,459000,475000,459320,475000,479000,479000,475000,525000,538000,540000,589000,560000,595000,605000,650000,662200,665000,649500,675000,675000,675000,684500,730000,750000,730000,795000,749450,759000,749000,755000,783840,795000,787500,790000,780000,799000,810256,815000,821946.5,821946.5,8e+05,795000,795000,795000,780000,749999,759000,706750,699000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269000,265700,270000,270000,269000,275000,274900,272000,268000,270000,280000,285000,305000,318000,309900,315900,318350,310000,297750,294000,310000,320000,330000,335000,365000,377700,370000,373000,360000,375000,375000,374000,375000,374900,375000,375000,375000,375000,375000,379000,375000,375000,375000,378000,379000,375000,379000,375000,379000,382000,380000,379900,383600
"Queens","NY","New York","36","081",9,249000,249000,245000,245000,249000,249000,249000,240000,240000,245000,245000,239888,239000,239000,238888,230000,229999,229900,229000,229000,229000,225000,224000,223000,220000,224000,225000,225000,225000,225000,221000,219900,219000,219999,220000,219000,219000,219800,220000,225000,226000,225000,225000,225000,229000,221000,228000,228000,234900,235000,245000,249000,239000,248000,245000,249000,254400,249000,245000,249000,255000,259000,259000,250000,265000,285000,279999,289000,299000,299000,309000,3e+05,329000,339000,329949.5,329000,330000,339000,349000,350000,362500,365000,369500,375000,379000,380000,395000,409000,425000,429000,419000,419999,419000,416250,419000,410000,419000,395000,382280.5
"Riverside","CA","Riverside","06","065",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235000,238950,244000,249000,249900,249900,249000,244450,239000,239000,239900,249900,259000,269000,268500,265000,265000,269000,259000,254990,249900,249900,250000,259000,264700,269000,274900,273000,275000,275000,275000,269000,265000,269000,273000,280000,284000,284500,279950,280000,279900,279000,279000,279000,275000,279000,279900,289000,289000,290000,289990,289000,280900,279900,284000,280000,280000,289000,298000,299000,305000,309000,305000,309900
"San Bernardino","CA","Riverside","06","071",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249000,249900,250000,259000,259000,262000,269500,275000,279000,279900,275450,275000,275500,274694,277068,285000,286000,289900,299000,299000,294700,290000,290000,291900,295000,289900,295950,299969,3e+05,309900,309900,310000,316888,315000,318000,307000,310000,315000,319000,324000,332500,337000,339250,338352,340000,339000,335000,329888,335000,329900,338250,344900,344900
"Clark","NV","Las Vegas","32","003",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90000,90000,90000,89900,89990,90000,94900,95000,96450,93900,96400,97900,97500,97000,97000,98000,105000,104000,103000,1e+05,103000,105000,107500,109900,110000,115000,115000,116000,117000,115000,117500,118000,118000,119900,119900,122000,120000,120000,119900,122600,125000,129567,134650,135000,135000,139900,140000,147900,149000,150000,155000,155000,155000,155000
"King","WA","Seattle","53","033",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224975,219950,210000,219950,225000,229000,235000,239488,239000,239500,239000,235000,220000,209000,220000,239000,250000,255000,259900,259000,264925,265000,275000,275000,272900,270000,275000,289950,294950,290000,297125,299000,299950,299500,299900,299900,285000,285000,295000,299999,315000,325000,329000,329950,328000,329000,339000,350000,360000,350000,359950,380000,390000
"Wayne","MI","Detroit","26","163",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139500,139900,135950,134000,130000,124900,125000,129397.5,115000,123450,125000,119900,127700,132950,129999,128450,125000,135000,139000,137510,143900,145200,149900,149700,154950,157200,152450,159750,159900,155000,149900,150000,153450,154950,159900,170000,180000,189900,180000,179900,184950,192450,194950,199499.5,204900,204900,190000
"Tarrant","TX","Dallas-Fort Worth","48","439",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197749.5,216950,214900,229900,245000,239040,249990,234470,217500,214624.5,212569,215000,211138,214810.5,220000,214950,219900,215000,239040
"Santa Clara","CA","San Jose","06","085",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450000,450000,449000,464944,464888,489000,499000,499894,518944,519000,509900,520000,5e+05,485000,473475,478944,5e+05,528944,542450,579950,589000,598000,599000,599000,599000,595000,589000,594150,624975,639888,648888,659475,649888,645000,645000,648000,645000,629894,625000,648944,649000,668444,670000,685000,685000,690000,690500,698000,699950,699950,688000,698800,748888,760000
"Broward","FL","Miami-Fort Lauderdale","12","011",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132900,129900,130000,130000,135000,135000,135000,135000,136250,133000,137500,135000,133900,130000,134900,134900,134999.5,134900,135000,137000,134900,131500,134900,134800,139500,138900,135000,139000,149900,149999,150000,152000,149999,159000,159900,165000,169900,169000,169900,174500,178250,175000,174500,175000,175949.5,178000,179000,179000,175000,175000,178250,175000,179000,179000,179000,179900,179900
"Bexar","TX","San Antonio","48","029",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213450,198000,198000,209950,230000,237000,215000,216000,2e+05,189495,188000,194900,185000,189000
"New York","NY","New York","36","061",19,,,,,,,,,,,,,,,,899000,899000,914000,9e+05,899250,920000,975000,969000,960000,947000,989000,975000,985000,998000,999000,995000,965000,965000,955000,995000,1e+06,1005000,1e+06,1099000,1099000,1099500,1125000,1159000,1199000,1200000,1250000,1329000,1339000,1395000,1350000,1350000,1355000,1450000,1445000,1495000,1499000,1595000,1675000,1695000,1750000,1790000,1795000,1799000,1835000,1875000,1875000,1875000,1899000,1995000,2e+06,2110000,2195000,2395000,2295000,2100000,2195000,2e+06,1999000,1995000,1995000,1995000,1995000,1999000,1999999,1997500,2050000,2e+06,1999000,1995000,1995000,1986000,1942500,1900000,1927500,1940000,1925000,1925000,1650000,1595000
"Philadelphia","PA","Philadelphia","42","101",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e+05,299000,288450,299000,299000,299900,296000,298000,299000,299900,310000,299000,298999.5,3e+05,3e+05,310000,319000,309900,315000,325000,319700,315000,324250,330000,342450,345000,329950,329900,328950,325000,324900,324900,324900,325000,339900,329900,339995,340000,346450,350000,350000,350000,345900,339990,350000,349900,349900,345000,350000,349900,350000,349900,345000
"Alameda","CA","San Francisco","06","001",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389000,389000,4e+05,413000,425000,427000,439925,445000,439000,440000,429975,429000,429450,425000,399000,430000,459500,469000,495000,499000,499972.5,499888,499000,495000,495000,485000,509750,519450,535000,549000,569000,584000,576944,575000,556500,550600,549000,549000,550000,579800,595500,599000,619747.5,603500,599694,6e+05,599000,598500,599000,598000,629000,649000,655000
