"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,415000,399000,399000,399000,399000,389900,378450,379900,390000,389000,375500,365000,350000,349950,350000,349000,350000,349949.5,349900,350000,349940,355000,368000,359000,355000,359000,369900,365250,379000,380000,379800,378150,369990,398500,399700,399999,420000,425000,440000,450000,475000,488000,499900,525000,529900,545900,545900,555000,538500,539000,530000,550000,569000,577000,585000,595450,595000,595000,589000,595000,595000,599000,6e+05,649000,650000,655000,665000,686990,685000,690000,695000,695000,688800,695000,699000,699000,719000,725000,725000,729000,749000,749000,749999,740000,769000,765000,779749.5,799000,798000,798000,799000,799000,799000,8e+05,803000,811000,845000,875000,899000
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169900,159500,152000,159500,169900,167500,172000,190000,195000,194900,196000,199000,189900,180000,167000,167750,175000,185000,195000,199000,199000,199900,199000,199800,199000,190000,188500,185000,199000,219900,220000,214950,210950,2e+05,2e+05,199900,195000,190000,184900,189900,199999,209000,219900,225000,220000,219900,220000,229900,224950,215000,204900,209999,225000
"Maricopa","AZ","Phoenix","04","013",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147450,150000,159000,165000,167500,168500,170750,170000,167536,172900,169000,169900,172900,175000,175000,170000,169000,171500,185000,175000,168900,174900,169700,169500,175000,175000,175000,177800,185000,189900,210000,212450,220900,220000,220000,216937.5,234000,225000,230000,242450,230000,225000,229500,239900,240000,249900,240000,242000,249000,265000,279950,291950,284250,298000,287000,299900,330000,295000,299000,3e+05,330000
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",4,,,749000,735000,749000,725000,725000,727000,715000,725000,713495,675000,681500,669000,690000,694500,699000,699900,699000,677450,657000,669000,629000,647000,580000,629000,599800,605000,599000,664000,630950,635000,637500,659000,655000,649900,698000,699900,708000,729500,750000,799000,799500,774900,769000,769000,699000,749000,769000,799000,762995,799000,814990,815000,858500,850000,850000,869000,859900,839000,859710,799900,837002.5,820569,850000,925499.5,892500,950000,879000,899000,889900,898500,899000,944000,934000,952500,967000,950000,1028000,1100000,1149000,1199394,1150000,1100000,1225000,1159000,1125000,1177500,1050000,1091900,1099999,1157500,1199900,1199900,1192000,1300000,1299000,1349500,1449000
"Kings","NY","New York","36","047",5,549000,549000,549000,540000,539000,539999,545000,535000,545000,529000,528500,525000,525000,525000,529000,525000,525000,529000,529000,521500,519000,520000,529000,529000,529000,535000,529000,529000,529000,539000,539000,539000,539000,545000,559000,562500,559000,570000,589000,595000,589000,599000,629000,640000,649999,660000,680000,699000,7e+05,729000,749000,749000,749000,769000,789000,792500,788800,799000,799000,815000,865000,869000,875000,899000,939000,9e+05,899000,915000,950000,995000,999000,999000,1050000,1100000,1150000,1195000,1150000,1180000,1150000,1175000,1185000,1150000,1150000,1195000,1188000,1180000,1195000,1200000,1200000,1250000,1250000,1200000,1249999,1250000,1279000,1275000,1264500,1282500,1295000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275990,269900,258495,262950,255000,265000,260000,275000,290495,279000,269000,291445,279000,290000,296000,315000,298000,295000,299900,299999,319700,339000,359950,353850,384090,360000,329900,389000,390000,389000,398900,385000,4e+05,422000,415000,425000,436450,425000,420000,425000,425000,415000,449000,425000,425000,420000,417500,427000,449000,459000,450000
"Queens","NY","New York","36","081",7,590000,595000,595000,589000,579994.5,575000,569000,570000,569000,559000,559000,549000,549000,540000,544999.5,528000,535000,539000,538000,539000,539000,539000,532500,529000,529000,529000,525000,529000,549000,539000,539000,535000,524900,508500,530000,529000,529000,539000,539000,549000,550000,549000,559000,555000,559000,558000,539000,549000,558900,552500,559000,589900,599000,609450,625000,629000,619990,609000,599000,599000,599999,599000,599000,629000,649000,649000,675000,689000,699000,699000,702500,719000,729000,729000,729999,759000,759943.5,769000,769000,769000,799000,810000,789000,795000,799000,768500,799000,825000,850000,869000,865000,875000,869999,889000,889000,899000,899000,899000,899000
"San Bernardino","CA","Riverside","06","071",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257000,254900,259000,269000,259900,259450,275000,275000,279000,275000,279500,265000,275000,275000,279400,277900,289000,279000,287000,279900,275000,279913.5,295000,282061,290000,289000,287000,289694,285000,289000,295800,297900,295800,298800,299900,299900,321500,314950,305000,299900,325000,343000,333400,350000,345000,339000,338000,340000,349900,348988,335000,350000,352450,359000
"Clark","NV","Las Vegas","32","003",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178000,179000,179700,185000,185000,188000,189950,195000,193964,189500,190000,197000,190690,189000,179000,165000,160000,180000,182500,189900,194500,179000,189900,189900,189000,188500,196950,189900,195000,202450,204900,210000,214900,215000,215000,223298,219000,227500,229000,229450,235000,235000,245000,245000,259950,265000,267450,274900,275000,277000
"Tarrant","TX","Dallas-Fort Worth","48","439",10,120000,117000,120000,120000,119950,122500,119900,109900,109900,119900,119000,114900,105000,109900,108750,108000,107000,107000,105900,105000,104900,102950,1e+05,99975,89900,99000,99000,98500,99000,99000,89900,94900,92000,89950,85500,92000,95000,95000,99975,107000,110000,110000,110000,114000,112500,112500,112500,115000,109950,109900,109500,110000,112500,109900,115000,119900,124900,126900,120000,127200,129450,124949.5,135700,134900,129950,139900,139900,135000,139500,130450,130450,134900,134950,134900,135000,137280,147000,149900,150000,145750,145000,149000,149000,154500,159950,155000,159999,169990,169990,160000,169990,165000,168500,170000,180000,182500,189000,175000,175000
"Broward","FL","Miami-Fort Lauderdale","12","011",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346695,339000,345000,342750,349900,350000,350000,369000,377949.5,380000,385000,388850
