"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497500,494500,475000,480000,494900,515000,529000,539000,549000,544000,545000,530000,519000,489000,499000,529000,539900,568000,599000,599000,599900,599000,599000,599000,599000,595000,595000,599000,620000,628000,635000,649000,645000,639000,639000,645000,642700,629900,635000,630000,649000,660000,675000,665000,669000,665000,650000,655000,650000,649000,649950,665000,675000
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000,189900,179000,189900,202144,219900,229900,235500,235000,229900,225000,219900,209900,195000,188900,199900,220000,229900,239900,239900,239350,237900,232500,231500,229000,219900,219000,225000,244000,254900,259900,259900,250053,249000,245000,239900,234900,225000,224900,239900,254900,265000,269900,274900,272000,267000,264900,260000,252945,245000,245000,259900,274900
"Harris","TX","Houston","48","201",3,142000,145589,149000,149000,147965,146448,144900,145000,156900,155000,155990,153500,150000,150000,154900,154900,155900,155000,154900,150000,148990,148000,143786,144900,144900,144900,147990,149900,149900,150000,149999,150000,149900,149900,161990,165000,165000,173900,179000,181990,184900,185000,185000,185500,188500,194500,189750,189900,190000,199900,205000,215000,219900,218990,219900,224900,225000,227900,232900,240000,250000,260000,268125,275000,265000,259500,271720,274900,275000,279000,278190,284990,287990,274945,280000,279990,279800,280000,279000,275990,274900,270000,269000,265500,265990,269900,275000,279900,279900,279500,275000,275000,279900,279888,279900,281740,285000,287992.5,289900
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245000,249900,249500,249900,258900,260000,264900,264990,259990,260000,260000,264999,259900,255900,267955,275000,280000,289000,289990,289000,282990,289000,289900,289900,295000,294500,297990,299595,299900,299900,299995,3e+05,299900,297900,298000,297499.5,298000,298900,299000,3e+05,304900,309900,310000,308000,305000,302990,305000,309900,310000,310000,315000,319900,320000
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510000,520000,525000,529999.5,539000,549900,534900,549900,559000,550000,549900,549000,540000,529925,539000,549900,587000,599900,625000,599000,635000,635000,639000,635000,635000,640000,636250,635000,639900,649000,649000,649000,649000,649000,640000,639900,629000,629900,647388.5,649000,659000,675000,682495,676999.5,679000,679000,679000,669600,669900,668823.5,675000,689900,699000
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710000,710000,699900,712250,729000,739900,749000,749994,749000,749000,749999,748900,739000,724949.5,744995,752450,775000,779525,795000,798000,790000,794567.5,795000,797000,790000,798775,795000,799650,8e+05,819000,819900,825000,825000,825000,825000,825000,824000,826950,829000,839000,849650,859000,869000,859000,869000,875000,879888,875000,879000,879000,895000,909995,899999
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599000,599000,609000,590000,619000,649000,649000,649888,650000,649000,650000,695000,699000,699000,739000,749000,749000,734500,769000,799000,795000,798000,799000,799000,799000,792000,840000,829000,829000,829000,839000,826000,835000,850000,875000,880000,879999.5,889000,880000,876500,875000,878000,850000,850000,876500,865000,877000,895000,9e+05,920000,9e+05,907500,949000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269900,270000,265000,267900,259900,265000,269000,270000,269999,274900,279900,279990,286990,289900,283000,299900,310000,310000,289000,295000,320000,324000,325000,329000,344900,349000,350000,350000,349900,364900,369000,369000,369900,370000,376295,375000,376990,379000,379000,379990,380000,387000,392000,399000,399000,393900,398000,395000,399000,399000,399000,399900,399970
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,180000,175000,177000,189500,198500,209900,199000,199900,206097,199999.5,199900,189900,199500,199900,225000,234637.5,239000,242000,240000,229900,230000,239000,240000,242000,239000,235000,239900,264900,272325.5,279000,279000,275000,270100,274000,279000,275000,275000,275000,289000,295000,310000,320000,318500,309990,3e+05,3e+05,3e+05,3e+05,299900,299000,3e+05,309000
"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,395000,399000,399000,399000,399000,399000,399000,399000,399000,399000,399000,399000,399000,409000,399999,419000,429999,449000,449000,449000,445000,449000,445000,440000,439000,439000,439000,459000,479000,469000,484450,499000,499000,509999,499000,499000,515499.5,525000,529000,535000,539000,549000,545000,529000,529000,525000,519999,515000,519000,519000,529000,549990,599000,624000,629000,645415,638000,650000,649000,639000,639949.5,650000,669000
"Riverside","CA","Riverside","06","065",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329000,329900,329900,330000,335000,340000,345000,345000,340000,339989,339000,339000,334900,335000,339900,349778,349900,350000,359000,359900,359000,355000,359000,364900,367000,368000,369900,371130,374900,377777,379900,379900,379900,375000,374990,377450,379000,382500,389000,389000,390000,395000,399000,398490,399000,399000,399000,399900,4e+05,407995,410000,415000,415000
"San Bernardino","CA","Riverside","06","071",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229900,230000,229900,231450,240000,249000,250000,258000,259000,259000,259000,255000,250000,249900,259900,259500,264900,265000,269900,277250,279000,279000,279900,280000,280000,284888,284000,284900,289000,289888,295000,299000,299900,299900,299000,298950,299000,299000,294900,299000,299900,305000,310000,309000,310000,310000,317950,319000,319000,315000,315000,319900,325000
"Clark","NV","Las Vegas","32","003",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195000,194900,190000,194000,198500,199990,204000,209900,213000,217000,219900,219995,219000,219500,219900,224900,225990,229990,235000,235000,238000,239888.5,239950,240000,240000,239999,240000,237200,244900,249900,250000,254900,255000,259000,259900,259999,263990,265000,267000,269900,273000,275888,279900,285000,289832.5,289990,295000,299000,299900,299990,300470,301390,3e+05
"King","WA","Seattle","53","033",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424999,419437.5,405000,417000,429000,445000,449000,467499.5,469000,459888,459650,449950,425000,399000,417500,439900,465000,485000,495000,499950,499950,499950,5e+05,5e+05,5e+05,499950,499950,499995,525000,544950,550000,559000,550000,540480,549900,549950,549000,535000,540000,559000,590500,599950,619000,625000,625000,6e+05,610000,629950,625000,620000,628725,650000,689000
"Tarrant","TX","Dallas-Fort Worth","48","439",15,144900,144900,145000,147900,146900,145000,144900,145000,155000,149900,143000,139300,137000,135000,140000,145000,147806,149900,148000,145950,144799.5,144000,137900,134900,134900,135990,136900,137900,138918,140000,139900,135000,134900,139000,160390,161709,163820,167990,169900,174475,178500,179900,178990,177649,176500,175482.5,174900,175000,174000,179000,182000,189000,190000,187000,189900,192000,192669.5,192499,189900,196000,199500,202250,215000,217500,210000,209990,209600,209000,209900,209900,210000,211262,214898,212000,219900,225000,229500,234714,234900,234000,234990,237000,235000,234100,235000,240000,249000,250000,255000,258900,255000,250000,250000,250000,252327.5,255000,254900,259900,265000
"Santa Clara","CA","San Jose","06","085",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749950,750000,775000,799000,845939.5,849000,849925,844024,830000,820577,824999,825000,799000,775500,794997.5,849925,884958.5,914414,935000,939000,929950,919750,919779,908888,899950,899888,925000,995000,1038950,1050000,1024888,999999,1005000,998888,999000,998000,984407.5,948000,949000,998000,1074990,1098000,1099000,1070000,1084000,1099999,1124950,1164000,1149000,1149000,1174000,1249000,1295000
"Broward","FL","Miami-Fort Lauderdale","12","011",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,295900,289900,295000,295000,298944.5,299900,310000,303000,299900,299000,299000,295000,295000,295000,309000,318000,315000,299900,309000,319947.5,324900,324900,319900,320000,320990,324999,327995,329000,345994.5,349000,349900,350000,350000,355445,355000,355000,355000,350000,359000,361900,369949.5,379000,379999,380000,379900,385000,379900,385000,385000,384999,389000,389000
"Bexar","TX","San Antonio","48","029",18,147397.5,149900,149900,150000,150000,154500,151198,149999,158600,157500,149900,149900,149900,149900,152571.5,154999.5,159000,159900,159000,155000,149900,149000,144000,139900,142000,140500,144900,145000,145000,149900,149500,149900,149495,151995,168182.5,168754.5,169990,175900,179900,182000,184900,189000,188512,189305,191595,196990,194000,198740,198995,206605,210000,213990,220000,214992.5,214013,219970,215000,210900,214900,220500,224953.5,229900,226990,238865,238000,241624,247990,248500,249900,243990,244990,247990,249000,235000,240000,242092,240000,244500,245000,241900,237990,243900,240000,234990,239900,244995,251490,259000,259000,260000,259800,258450.5,259900,249500,249000,249000,246900,244990,242500
"New York","NY","New York","36","061",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500000,7995000,7500000,7497500,7495000,6200000,6687500,6990000,7600000,7450000,7700000,7750000,8547500,8950000,8950000,9e+06,8950000,8575000,8700000,9245000
"Philadelphia","PA","Philadelphia","42","101",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129900,129900,128949.5,129900,135000,144900,147900,149000,139900,137500,137500,136999,130000,120000,125000,129900,137500,145000,149900,149000,144000,139900,139900,139900,139900,134900,129900,129900,139000,144900,148900,149900,145000,139900,140000,145525,140000,139000,140000,143250,154900,164900,169625,168000,169900,165000,170000,179900,177000,174900,170000,174900,179000
"Alameda","CA","San Francisco","06","001",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545500,550000,550000,579000,589500,614950,639000,639950,635000,628500,613000,620000,594950,569950,598000,629000,650000,659000,695000,699000,695000,688400,689000,698000,695000,680000,671745,698000,729000,749950,750000,750000,750000,748888,749000,748000,739000,728000,749250,780000,799000,799800,809990,799000,799000,798888,798894,799000,799000,798944,775000,799000,835880
"Middlesex","MA","Boston","25","017",22,335000,359900,365000,369900,369900,374900,365000,359000,369900,369900,369850,355000,359000,369900,380000,399500,399900,4e+05,398900,379900,379900,370000,349900,325000,329900,339900,359900,379900,385000,375000,364900,349900,355000,359900,409900,399900,399900,419900,429900,449900,449900,459000,458250,429900,439000,449000,439900,428949.5,429900,459000,475000,489900,499000,495000,479900,469000,475000,479000,475000,465900,469900,479900,499900,519900,524900,519900,499900,490000,499000,499000,499000,489000,499000,529000,549900,559900,559900,553500,544900,529900,543760,549900,549900,549900,549900,575000,619000,619000,6e+05,607000,599000,589900,599000,599000,599900,599000,599000,610000,625000
"Suffolk","NY","New York","36","103",23,390000,389500,395500,394500,399000,399000,389000,379900,379000,360000,350000,345000,335000,329000,339900,345000,349000,349000,349990,349900,349900,350000,349999,349000,350000,359000,359000,359000,359000,349000,349000,345000,339900,349000,399000,399000,399000,399000,410000,409000,419000,415000,425000,425000,430000,429000,438900,439000,449000,406800,439000,445000,449000,449999,449990,450000,459900,479900,449000,479000,459000,459000,449900,449000,454990,454999.5,449990,450000,455000,458000,450000,450000,459000,455000,459000,462500,469990,475000,479990,479000,489000,489990,495000,495000,489000,499000,499000,499900,499999,524999,505000,509990,525000,524945,525000,525000,510000,524999,507602
"Sacramento","CA","Sacramento","06","067",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309000,310000,315000,324250,322000,319900,319000,316000,319900,319900,319900,325000,323934,326750,335000,339900,339900,340000,339900,335000,334900,329999,329000,327500,330000,345000,350334,350000,349999,350000,355000,359000,359000,355000,355000,355000,364970,368444
"Bronx","NY","New York","36","005",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,399000,399000,399000,398000,399000,399000,399000,415000,399000,399000,399000,399021,409000,399000,399000,399000,419000,425000,419000,420000,429000,429000,425000,429000,429000,429000,429000,429000,438990,439000,439950,445000,449000,449000,449000,439000,440000,439000,449000,449999,459000,459000,459000,469000,469000,459000,469900,459947.5,459997.5,465000,469000,475000
"Nassau","NY","New York","36","059",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449000,449999,459000,464800,473000,479250,479000,485000,479000,479999,479000,479943.5,479000,475000,475000,488000,499000,499990,509000,509000,499000,499000,499194.5,499000,499000,499995,499000,499000,499999,529000,539000,539000,535000,530000,529000,529000,528000,529000,529999,549000,549000,559000,569000,569994.5,569000,569000,569900,569900,574444,560000,559000,569999,589000,599000,599000,599000,599000,599000,595000,598000,587499.5,579000,595000,599000
"Palm Beach","FL","Miami-Fort Lauderdale","12","099",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325000,329000,335000,339900,340000,347500,339900,345000,339900,339750,339000,335000,334800,339900,345000,349000,349900,340000,339000,340000,344650,344900,345000,350000,359900,360000,374900,375000,379900,383900,385000,385638.5,385000,383999.5,389000,394990,394900,395000,398000,399000,399500,4e+05,409999,410000,413990,410000,419900,415000,419000,419000,420000,424900,419900
"Cuyahoga","OH","Cleveland","39","035",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104900,104500,101250,107950,110000,116900,119900,121900,119900,119900,115000,113250,109900,1e+05,108300,111900,117825,119900,119945.5,120000,119900,118000,115000,114900,112500,109900,109500,112000,119900,124000,126900,128900,128250,125000,124900,120000,119900,115000,115000,119000,124900,129900,136900,139000,139500,137900,136444.5,134900,129900,127900,129900,130000,139000
