"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,1.87607209706096,1.9,1.99724517906336,1.99724517906336,1.97841726618705,1.93935119887165,2.00510101010101,1.9,1.81648690958683,1.8452380952381,1.89169884169884,1.89473684210526,1.90779014308426,1.92857142857143,1.95,1.99146514935989,1.96875,1.91798339347651,1.88356164383562,1.84615384615385,1.77453027139875,1.84375,1.80176520033623,1.86,1.94614443084455,2,1.98487712665406,1.97658402203857,1.97628458498024,1.96978477032796,1.92442361560009,1.93844492440605,2.03203342618384,2.00712589073634,1.97940657011657,1.99400299850075,2.0653734063919,2.12866242038217,2.09375,2.15129353927687,2.12663120567376,2.11061946902655,2.11213523061351,2.12031558185404,2.1875,2.09533159258277,2.19085213032581,2.14285714285714,2.10144927536232,2.08333333333333,2.13296945767042,2.28130941064639,2.30666666666667,2.33892215568862,2.35568760611205,2.4,2.39880059970015,2.39333333333333,2.42142857142857,2.45081967213115,2.5,2.48502994011976,2.5,2.51312403033335,2.55555555555556,2.58333333333333,2.62441684168988,2.63438162020636,2.61143410852713,2.73378147482014,2.64235624123422,2.70956316410862,2.74875,2.7722497249725,2.74375,2.69230769230769,2.72919418758256,2.78571428571429,2.69933554817276,2.75632674453429,2.65294117647059,2.66666666666667,2.61127260981912,2.76835236541599,2.83455724007236,2.94165535956581,2.92036585365854,2.91666666666667,2.92666666666667,2.94041450777202,2.92465969411888,2.92602739726027,2.93882352941176,2.91666666666667,2.91666666666667,2.88461538461538,2.9,2.9274995030809
"Cook","IL","Chicago","17","031",2,1.76696832579186,1.69839572192513,1.67857142857143,1.63819628647215,1.61739130434783,1.68421052631579,1.49673202614379,1.63895348837209,1.73333333333333,1.77883252609655,1.77777777777778,1.73794862415153,1.77222222222222,1.8,1.87637969094923,1.91069330199765,1.9264905502767,1.90984578884935,1.91162790697674,1.94444444444444,1.90411631029852,1.89640086206897,1.92061890868459,1.91578014184397,1.8768177028451,1.82222222222222,1.81818181818182,1.97211538461538,1.98630136986301,1.98462523392101,1.98801168890273,2.03656998738966,1.99319444444444,1.93840885142255,1.95,1.94444444444444,2.1,2.11724137931034,2.16033707865169,2.16248348745046,2.2,2.21138211382114,2.19428571428571,2.23249669749009,2.1664464993395,2.1625,2.20588235294118,2.15304798962387,2.10033365194947,2.11111111111111,2.1106853528858,2.19517680727018,2.26522187822497,2.3448275862069,2.21081081081081,2.31527093596059,2.28442437923251,2.22222222222222,2.11726384364821,2.22316145393068,2.35132972097658,2.23956882544104,2.22506544502618,2.25,2.23173139137683,2.21004851782259,2.14285714285714,2.29801324503311,2.37862950058072,2.471013173229,2.39310344827586,2.3488354843495,2.42142857142857,2.25724205786078,2.21889880952381,2.21428571428571,2.16666666666667,2.15549442151918,2.15635939323221,2.12681638044914,2.15549442151918,2.21666666666667,2.16316913939861,2.15555555555556,2.16666666666667,2.1525641025641,2.14393939393939,2.1954576708208,2.22615384615385,2.20779220779221,2.23076923076923,2.3125,2.32191780821918,2.33553355335534,2.30140231161029,2.30250481695568,2.2929843951475,2.30666666666667
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48010063717874,1.2785016286645,1.45758354755784,1.28965001301067,1.26315789473684,1.291781943318,1.43995098039216,1.45327952787733,1.41025641025641,1.38036809815951,1.45327952787733,1.46751736998318,1.40526976160602,1.41808534786063,1.42274575018477,1.42436755071434,1.42185798072895,1.46675900277008,1.47360703812317,1.48201770035554,1.47139526075756,1.48812136795017,1.50712959323366,1.49941383352872,1.69375619425173,1.67681809017169,1.69144981412639,1.59150826380988,1.61744886633899,1.58370368545526,1.58957380726426,1.53985507246377,1.52777777777778,1.47360703812317,1.5045045045045,1.44539007092199,1.3896556207742,1.38192823317548,1.46040816326531,1.51622002820874,1.53913043478261,1.54310134310134,1.56610169491525,1.53566009104704,1.52842574477386,1.54856825584839,1.55548780667198,1.59961992536528,1.60251046025105,1.61172013832189,1.61764705882353,1.66411934044388,1.66771653543307
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,0.986359306966618,1.01137656427759,1.0030959752322,0.954325229034531,0.958333333333333,0.968523002421308,0.947652503624401,0.964285714285714,0.9375,0.950542822677925,0.92653912190336,0.928571428571429,0.930385426481806,0.919642857142857,0.916083916083916,0.916304347826087,0.900273224043716,0.931111111111111,0.939295232454842,0.938,0.938160104986877,0.9375,0.9433465085639,0.958333333333333,0.962326755931407,0.96039603960396,0.952344322344322,0.944827586206897,0.951470588235294,0.958666666666667,0.962609433452891,0.961538461538462,0.958666666666667,0.960380946631249,0.970909090909091,0.985824742268041,1.00143266475645,0.995383874518437,0.992752100840336,1,1.03969754253308,1.04545454545455,1.04545454545455,1.05882352941176,1.03993067590988,1.04430379746835,1.05,1.05882352941176,1.05520504731861,1.05910735826297,1.06,1.06842105263158,1.06865284974093,1.08333333333333,1.09238451935081,1.1125,1.10871212121212,1.11138888888889,1.12232174665377,1.14263803680982,1.15353598014888,1.15044821688877,1.22526636225266,1.28,1.27144686299616,1.27337278106509,1.30111524163569,1.28268551236749,1.28374721078061,1.3704347826087,1.25868055555556,1.27118644067797,1.2994708994709,1.25,1.24030131826742,1.22516672516673,1.28289473684211,1.35004488330341,1.51936909958226,1.55445544554455,1.45502645502646,1.44401041666667,1.42306543489826,1.39949109414758,1.38349679824917,1.3954356126345,1.38888888888889,1.37696421225833,1.36842105263158,1.38157894736842,1.38461538461538
"San Diego","CA","San Diego","06","073",5,,,,,,,,,1.79592213981307,1.80574714425208,1.84931506849315,1.83166666666667,1.83000765696784,1.83333333333333,1.86335403726708,1.84252622377622,1.90968170148209,1.91986644407346,1.92195755350587,1.92153846153846,1.8968253968254,1.80909090909091,1.8332238282961,1.8520501410854,1.86692708333333,1.88850038850039,1.84615384615385,1.82328190743338,1.8671875,1.86599423631124,1.90542420027816,1.93388429752066,1.90715883668904,1.94540852140284,1.91666666666667,1.79375,1.85,1.85437483266399,1.8988173455979,1.84659090909091,1.84615384615385,1.72813921747043,1.81623931623932,2.03178122690318,1.96223316912972,1.9,2.08333333333333,2.09045454545455,2.06953642384106,2.06047770106363,2.125,2.24010866954851,2.24503088959419,2.25251029637979,2.23809409064831,2.25846925972396,2.29776674937965,2.31207400194742,2.26965590282281,2.32782369146005,2.35310304319879,2.29220928325406,2.34375,2.35544799007328,2.4037037037037,2.41568712076976,2.42744063324538,2.46819338422392,2.4429018235793,2.45510355946918,2.45980253878702,2.46029045643154,2.44391447368421,2.44375,2.44375,2.41655251141553,2.45179063360882,2.50344827586207,2.46710526315789,2.50399553096404,2.45384615384615,2.44285889834414,2.42441209406495,2.48693181818182,2.54,2.58476711309946,2.63187588152327,2.6873128742515,2.64443255932829,2.66624843161857,2.65905848787447,2.64739058838432,2.62012012012012,2.59586458385523,2.58333333333333,2.62896825396825,2.63693467336683,2.65321375186846
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,1.89295039164491,1.79190751445087,1.81016432902074,1.85505319148936,1.8885361567222,2.04359673024523,1.96751085956796,1.8597006441834,1.82539682539683,1.85,1.81159420289855,1.82935216559868,1.83294056035611,1.84615384615385,1.88235294117647,1.91358024691358,1.91831683168317,1.89395043731778,1.93514700149771,1.91860465116279,1.84782608695652,1.86013986013986,1.89562565830438,1.90173986948537,1.884684643088,1.88,1.88,1.8917619047619,1.90659925093633,1.92828146143437,1.9375,1.99333333333333,1.95070178048901,1.91088547644557,1.92307692307692,1.93212121212121,1.95473823975721,1.98846723485753,1.97529644268775,1.96864111498258,1.97268602916805,1.91176470588235,1.96640316205534,2.00481154771451,2,2.04401164267156,2.237017310253,2.21704394141145,2.22916666666667,2.21952793343522,2.22068965517241,2.19102564102564,2.20372836218375,2.21025120367305,2.25475841874085,2.35019973368842,2.43754373357036,2.43831640058055,2.41315837937385,2.41519674355495,2.41116751269036,2.40942171261028,2.41046831955923,2.42937853107345,2.41895027596257,2.42028985507246,2.44340878828229,2.44491525423729,2.4591630557463,2.44517760974814,2.48520710059172,2.49326145552561,2.49664429530201,2.51819505094614,2.51477108097258,2.53225806451613,2.51020408163265,2.55934959349594,2.54362416107383,2.57539203860072,2.51898734177215,2.55047106325707,2.54545454545455,2.57289855072464,2.61684898280446,2.62893982808023,2.62490544629349,2.65467625899281,2.6413881748072,2.64800995024876,2.67232375979112,2.67767546251626,2.69494617804025,2.69208740858225,2.6576444333895,2.64663805436338,2.6943231441048,2.69675599435825
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3.1,3.06666666666667,3.125,3.14285714285714,3.16666666666667,3.17914438502674,3.27037296037296,3.19098143236074,3.06666666666667,3,2.94117647058824,2.9,2.85714285714286,2.875
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,1.89973614775726,1.83986392738336,1.83046859955962,1.81188442430053,1.83747131149188,1.82098765432099,1.89655172413793,1.98442990427723,1.93920916481892,1.88933873144399,1.8504400440044,1.83401898467401,1.80505415162455,1.82389937106918,1.83333333333333,1.8562874251497,1.88769414575866,1.85714285714286,1.84931506849315,1.86550248756219,1.85185185185185,1.87436676798379,1.90909090909091,1.90518859873699,1.9047619047619,1.92307692307692,1.95167286245353,1.99386503067485,2,1.98317307692308,1.97547683923706,1.97080291970803,1.9180470793374,1.91544674539155,1.94029850746269,1.93515537743906,1.96194615833544,1.99814126394052,2.03686984657134,2.05882352941176,2.13824777230102,2.23333333333333,2.23514386597551,2.17391304347826,2.17391304347826,2.19058050383352,2.20166339671337,2.16346153846154,2.17117626739429,2.14093959731544,2.1078431372549,2.18681997847431,2.1889400921659,2.2093023255814,2.22019464720195,2.21300138312586,2.19261847564971,2.22882615156018,2.2289461798562,2.23577235772358,2.28658536585366,2.35294117647059,2.36686390532544,2.41666666666667,2.44471610975278,2.44861850584797,2.48007936507936,2.44233378561737,2.40811153358682,2.4330471278213,2.42669688191135,2.43654822335025,2.44233378561737,2.48028824236396,2.44285945694211,2.42687448077471,2.42424242424242,2.36270753512133,2.33896027086906,2.38805970149254,2.35723147819922,2.41525423728814,2.30769230769231,2.33937673953154,2.32273838630807,2.33235065369559,2.34782608695652,2.34042553191489,2.34172554575791,2.32057471491792,2.34652603463827,2.37028676532063,2.33830845771144,2.33160621761658,2.32323232323232,2.325,2.36363636363636,2.375
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,1.43155694879833,1.48876426838484,1.38382687927107,1.4364547125982,1.33300395256917,1.20674953531599,1.21168178932826,1.19294605809129,1.15346534653465,1.19305856832972,1.1977886977887,1.1010498687664,1.06973443223443,1.04689203925845,1.03627760252366,1.1264433447532,1.13562271062271,1.15079365079365,1.20591456736035,1.13221153846154,1.20901639344262,1.25571428571429,1.24280782508631,1.19047619047619,1.22731614135626,1.22731614135626,1.22731614135626,1.25,1.3196661281637,1.28004807692308,1.31019677142824,1.30834512022631,1.32005899705015,1.35826771653543,1.35838150289017,1.3,1.35185185185185,1.4,1.41277018737162,1.39834379562493,1.45121641315796,1.44230769230769,1.42857142857143,1.45306531316795,1.42679900744417,1.42275652140408,1.39697917359771,1.37829343233901,1.39699248120301,1.40972222222222,1.45333333333333,1.40215924426451,1.3109375,1.4368054294992,1.41818181818182,1.468820861678,1.48155706727135,1.48127753303965,1.48969696969697,1.47410358565737,1.51851851851852,1.51033386327504,1.56234096692112,1.57608695652174,1.55968169761273,1.56303972366149,1.60518731988473,1.57691441844759,1.55980941493444,1.58969790382244,1.56332968583523,1.57123834886818,1.67307080695059,1.59340659340659,1.601238082426,1.55234159779614,1.66936790923825,1.68343137254902,1.68607954545455,1.67440952090327,1.69005102040816,1.71016166281755,1.71030303030303,1.71603563474388,1.68918918918919,1.67722602739726,1.71086623721106,1.70134874759152,1.72143418081869,1.76623825588282,1.74406604747162
"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61538461538462,2.61538461538462,2.6,2.58115503586118,2.57142857142857,2.56330128205128,2.58333333333333,2.61538461538462,2.63333333333333,2.61152570480929,2.64705882352941,2.7,2.64285714285714,2.61194029850746,2.57142857142857,2.57142857142857,2.6,2.625,2.6,2.64285714285714,2.76223776223776,2.78623949579832,2.78571428571429,2.69491525423729,2.70714285714286,2.7362962962963,2.76,2.70588235294118,2.73333333333333,2.61707988980716,2.64285714285714,2.66666666666667,2.65301003344482,2.7112676056338,2.66,2.66666666666667,2.64285714285714,2.625,2.58333333333333,2.57142857142857,2.57352941176471,2.54826762246117,2.5703800623053
