"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29614438063987,1.25670241286863,1.27583156404812,1.26933041052212,1.22802017281598,1.22907970582389,1.22996794871795,1.26315789473684,1.3,1.25,1.28654364503421,1.31784107946027,1.33582625596823,1.34285714285714,1.43076371021309,1.55864197530864,1.60734082990181,1.66954624730086,1.66666666666667,1.61153846153846,1.575,1.58348457350272,1.598,1.58333333333333,1.61130468447542,1.61849710982659,1.6,1.56576200417537,1.5740157480315,1.56576200417537,1.57142857142857,1.62986257928118,1.66402777777778,1.66666666666667,1.7375,1.74583333333333,1.78052566225166,1.84150717703349,1.8452380952381,1.79759011426046,1.82142857142857,1.90909090909091,1.88571428571429,1.78947368421053,1.8292174796748,1.87905727433337,1.86412593206297,1.87934006992002,1.91125035768078,2,1.90350877192982,1.8952380952381,1.88356164383562,1.85714285714286,1.95392491467577,1.94444444444444,1.99333333333333,2.1027027027027,2.11875,2.15833333333333,2.12583333333333,2.12903225806452,2.15254186163133,2.13380920550038,2.12666666666667,2.10294681820362,2.1,2.12903225806452,2.1042993701305,2.08333333333333
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7925,1.855,1.89385474860335,1.9,1.93017004251063,1.82100189840272,1.82017543859649,1.88888888888889,1.875,1.82857142857143,1.86875,1.86875,1.8295964714222,1.83333333333333,1.83333333333333,1.81268882175227,1.9,1.9,2.05095541401274,2.08442824423217,2.07520491803279,1.99,2.0049894615112,2.04166666666667
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11111111111111,1.14472624798712,1.16263086126507,1.10542165209388,1.12865497076023,1.16792238223925,1.12426035502959,1.11538461538462,1.16152450090744,1.1875,1.09790566623774,1.13484848484848,1.09732419283503,1.14810281517748,1.14069264069264,1.20077519379845,1.17727272727273,1.13636363636364,1.16666666666667,1.19100173970625,1.20381967805437,1.19806295399516,1.20730976632714,1.21520460671404,1.21171663273475,1.20833333333333,1.17023001508296,1.18011695906433,1.23010596082405,1.2186890328874,1.21117968423344,1.16666666666667,1.14128815126914,1.13578081391575,1.15833333333333,1.17023001508296,1.15384615384615,1.16041848299913,1.16666666666667,1.17104329311568
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,0.875598086124402,0.885542168674699,0.884123053052456,0.9,0.850694444444444,0.802156177156177,0.780891299357208,0.8,0.762413240790176,0.754180648769575,0.785714285714286,0.770800900930741,0.785714285714286,0.791139240506329,0.808868501529052,0.795940170940171,0.793394237526353,0.809090909090909,0.8,0.833333333333333,0.840978593272171,0.830258302583026,0.811011075508498,0.814907407407407,0.811107313738893,0.807554287817446,0.813953488372093,0.8125,0.815,0.812341370558376,0.8,0.797872340425532,0.808426320971447,0.811224489795918,0.809337797619048,0.798611111111111,0.80952380952381,0.833333333333333,0.888483373884834,0.875,0.875,0.859533457134769,0.860577967634093,0.855347282766638,0.845588235294118,0.847868217054264,0.852123255658677,0.878676470588235,0.895,0.92456989712112,0.928400546821599,0.869061413673233,0.911737750357654,0.885895117540687,0.895833333333333,0.869061413673233,0.887777777777778,0.904761904761905,0.906923950056754,0.928571428571429,0.958333333333333,1.02453987730061,1.05825791855204,1.06222345132743,1.06845238095238,1.09429921929922,1.08490237099024,1.07042253521127,1.07692307692308,1.06382978723404,1.05893186003683,1.07519230769231,1.06360053235053,1.08866310160428
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,1.31578947368421,1.25394736842105,1.27222222222222,1.30277777777778,1.28571428571429,1.22727272727273,1.25241312741313,1.26538987688099,1.29705882352941,1.32777777777778,1.31211180124224,1.375,1.396255192108,1.43333333333333,1.41338582677165,1.44647442875933,1.41684901531729,1.3919696969697,1.38932022084196,1.4,1.40454545454545,1.4125,1.42761354129565,1.44970627111176,1.42222222222222,1.44545454545455,1.46,1.49166666666667,1.49058577405858,1.48845421663811,1.5411036036036,1.53571428571429,1.53001200480192,1.53072033898305,1.60246913580247,1.61135462282079,1.56428571428571,1.59,1.63175990675991,1.77824267782427,1.70857142857143,1.695,1.66111111111111,1.6991847826087,1.69230769230769,1.73018292682927,1.75,1.8,1.82916666666667,1.83572151898734,1.85185185185185,1.82054924242424,1.86932367149758,1.92925228485555,1.9375,1.992,1.95101263989739,2.06933333333333,2.0025873221216,1.98076923076923,1.991,2,1.91611842105263,1.85299567634342,1.93333333333333,1.93968696642003,1.98759541984733,1.96666666666667,2.03804347826087,1.96478873239437,2.00381679389313,2.10878455648369,2.10555555555556,2.11452667891224,2.12876047220107,2.19195847984201,2.19766666666667,2.17924439419634,2.23880597014925,2.21082854799016,2.1875,2.16421622613803,2.1875,2.21428571428571,2.13730158730159,2.13333333333333
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,1.5483850129199,1.55737704918033,1.55257936507937,1.55333333333333,1.52,1.5,1.45605501509561,1.5,1.6173513986014,1.71428571428571,1.61111111111111,1.61543035967339,1.65934756282168,1.65384615384615,1.66111111111111,1.67058823529412,1.64285714285714,1.74478351238131,1.76470588235294,1.7645432066632,1.75157232704403,1.7407163717376,1.77065767284992,1.74573055028463,1.74474027514231,1.72872340425532,1.74657258064516,1.76923076923077,1.77462428983536,1.75808720112518,1.77038626609442,1.78571428571429,1.75332591296974,1.75808720112518,1.8037518037518,1.79789635710621,1.83333333333333,1.75481365529866,1.8037518037518,1.78571428571429,1.81081081081081,1.85739495798319,1.85045317220544,1.81363636363636,1.81619547052383,1.8037518037518,1.77810846560847,1.78571428571429,1.87116576040621,1.85422049956934,1.83125,1.85045317220544,1.82857142857143,1.95,1.81956903726995,1.8290613147914,1.8018759018759,1.86326490585774,1.80851063829787,1.95539215686275,1.96844018506279,1.95539215686275,1.990625,2,2.02631578947368,2.04567868504772,2.08660714285714,2.078125,2.06741573033708,2.04858844524716,2.02736692320026,2.03923076923077,2.02316153061627,2.094375
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66,2.77777777777778,2.88333333333333,2.86666666666667,2.93114224137931,3,3,3,3.06666666666667,3,2.88888888888889,2.82677165354331,2.8,2.81764705882353,2.8,2.83505154639175
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65745153144347,1.67458472510608,1.64564537266399,1.6099668286662,1.73658536585366,1.77531737801365,1.81818181818182,1.78571428571429,1.82119205298013,1.75824175824176,1.79244927474785,1.92475940507437,1.90140845070423,1.91387559808612,2.06185567010309,2.1011396011396,1.93351749539595,2.01091924330339,2.02702702702703,2,1.98917009833375,2.05562273276904,2.10040142729706,2.10186100131752,2.15877437325905,2.13075696016143,2.15007288629738,2.10721127531472,2.17647058823529,2.22222222222222,2.197265625,2.06611570247934,2.08933717579251,2.14516937002297,2.15355805243446,2.05811138014528,2.02049361980078,2.06538461538462,2.1,2.0935960591133,2.09552323923581,2.1003859348199,2.12765957446809,2.13815789473684,2.15116279069767,2.14912280701754,2.14876033057851,2.14850862618354,2.15659475264738,2.16644562334217,2.14968152866242
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44340224830668,1.39693967737296,1.47972972972973,1.47435897435897,1.48372093023256,1.49088541666667,1.54244977316915,1.40909090909091,1.37211855104281,1.4832674436472,1.50943396226415,1.41010575793184,1.39385346413243,1.32142857142857
"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42857142857143,2.41666666666667,2.41454417999132,2.42956349206349,2.45,2.42857142857143,2.46666666666667,2.46575342465753,2.5,2.52467745861733,2.46666666666667,2.41666666666667,2.41341510903427,2.42142857142857,2.4,2.4,2.4,2.44444444444444,2.49113680742006,2.41042780748663,2.4875859434683,2.5,2.41578947368421,2.47772828507795,2.5,2.33333333333333,2.41666666666667,2.44444444444444,2.4878078817734,2.54545454545455,2.53731343283582,2.57,2.5,2.5260029717682,2.4375,2.42647058823529,2.42857142857143,2.42857142857143,2.37745132279752,2.36363636363636,2.39933333333333
