"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,2.07692307692308,2.08909090909091,2.09518512633084,2.03932584269663,2.11566541510221,2.18842729970326,2.13578500707214,2.0750469043152,2.0750469043152,1.9875,1.94875,1.96586063190541,2.04523659305994,2.10298913043478,2.14285714285714,2.18796992481203,2.25,2.24859550561798,2.275,2.20714285714286,2.20714285714286,2.25614906832298,2.33333333333333,2.27083333333333,2.21111111111111,2.31666666666667,2.39907407407407,2.35948051948052,2.3672131147541,2.32295081967213,2.37024221453287,2.4247491638796,2.35,2.34930139720559,2.21111111111111,2.28571428571429,2.3125,2.32379032258065,2.31153186471566,2.38341618191433,2.46027777777778,2.45057628979144,2.578125,2.53632373113855,2.57432432432432,2.58823529411765,2.58242984693878,2.64705882352941,2.64243614931238,2.72905876049295,2.71132376395534,2.74134419551935,2.73405909797823,2.79958027282267,2.83333333333333,2.90423861852433,2.8958413926499,2.89191982402245,2.92307692307692,2.92808219178082,3,2.9893924783028,3.04257246376812,3.05830065359477,3.05154867256637,3.14285714285714,3.2031746031746,3.09747596153846,3.125,3.08823529411765,3.08463541666667,3.01679292929293,3.23076923076923,3.46292929292929,3.52949438202247,3.47136288132831,3.41885964912281,3.52899159663866,3.62727272727273,3.58081705150977,3.58367346938775,3.55912650321618,3.49499549594635,3.46526104417671,3.29859154929577,3.51680482750213,3.53587412587413
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36329966329966,2.36388888888889,2.425,2.44350758853288,2.39806226968959,2.38356164383562,2.43202979515829,2.46218808808075,2.56455848769348,2.57389937106918,2.61267459989182,2.64132553606238,2.62699822380107,2.65662741545894,2.6219512195122,2.64749536178108,2.60601503759399,2.58792184724689,2.6,2.58456486042693,2.55212355212355,2.5915973272819,2.63468536705758,2.70095794179363,2.79310344827586,2.86278195488722,2.71980676328502,2.85892304290137,2.7941102300003,2.65559002401108,2.53544741838672,2.65108551292762,2.81294964028777,2.71307281170595,2.68354430379747,2.73626373626374,2.72768133569217,2.70022556492838,2.6,2.67850098619329,2.69285714285714,2.73655292076345,2.69484379912539,2.66314452628905,2.74164170714723,2.63157894736842,2.56628514780101,2.62727272727273,2.55071669477234,2.6003937007874,2.62,2.61182525377099,2.61220472440945,2.61182525377099,2.55791505791506,2.61220472440945,2.57064220183486,2.56928649720181,2.56805672092633,2.59,2.63069139966273,2.6320272572402,2.67562252405207,2.73247836594683,2.73684210526316,2.71562537363724,2.7,2.64814814814815,2.74847605893186,2.74920866263986
"Maricopa","AZ","Phoenix","04","013",3,0.872594100935926,0.838345078834209,0.819608268803893,0.807038584405189,0.862919132149901,0.823344339171213,0.791324736225088,0.820707070707071,0.833017915720414,0.82256169212691,0.82046332046332,0.765802274072815,0.754830917874396,0.753920386007238,0.768185334074147,0.766563944530046,0.756808106396453,0.738847583643123,0.73162803256896,0.723288753366047,0.722222222222222,0.718172508683039,0.714285714285714,0.71841155234657,0.717060810810811,0.732899022801303,0.7421875,0.744416873449132,0.749185667752443,0.748055056852184,0.745784695201038,0.735790703861356,0.73189926547744,0.728332119446468,0.72407307898979,0.725646123260437,0.729713952130765,0.729421352893236,0.738150738150738,0.727994705493051,0.727170667841323,0.733669351445067,0.714784118384667,0.732718894009217,0.730282375851996,0.726600887676247,0.726433430515063,0.721347946651721,0.720616379418076,0.72463768115942,0.72992700729927,0.757575757575758,0.759878419452888,0.759404342189862,0.761079564695105,0.757064529734289,0.757989620322316,0.757575757575758,0.760708824814329,0.762804889393291,0.783922462941847,0.799853907962016,0.822764704936226,0.830775957754532,0.837581937363438,0.826825576552103,0.823271130625686,0.826000867121389,0.827796234772979,0.840058694057227,0.841346153846154,0.845980241622838,0.856904781085109,0.875880281690141,0.891376451077944,0.861220472440945,0.859291084854995,0.854819277108434,0.853374709076804,0.843881856540084,0.842318059299191,0.859325270528326,0.824518834823524,0.872732579737834,0.883222468588322,0.910746812386157,0.933110367892977,0.945626477541371,0.9447870409633,0.947606142728094,0.937045868974342,0.931853604067372,0.934854890971912,0.938677787199288,0.932982917214192,0.945965154920379,0.962577160493827,0.99009900990099
"San Diego","CA","San Diego","06","073",4,,,,,,,,,,,,,,,,,,,,2.33187134502924,2.20935458740337,2.18390804597701,2.06521739130435,1.9875,2.14123006833713,2.15176767676768,2.1363884811844,2.15909090909091,2.15732483650962,2.15909090909091,2.15909090909091,2.05072463768116,2.1,2.14204360559714,2.17063833091737,2.16173120728929,2.1203830369357,2.18567251461988,2.1125,2.08467309753483,2.04280587188849,2.16419893697798,2.24418604651163,2.1900826446281,2.22984562607204,2.27380952380952,2.45384615384615,2.40712209302326,2.30217391304348,2.31666666666667,2.50201938610662,2.57410714285714,2.396,2.51354679802956,2.59901386776905,2.6525198938992,2.64835618846695,2.63739209623201,2.6986301369863,2.78779008310159,2.71190069247441,2.91666666666667,2.87698412698413,2.90355172801981,2.92051756007394,2.9,3.04990757855823,3.075,3.08571428571429,2.90301386377336,2.88888888888889,2.86731391585761,2.87857142857143,2.87375415282392,2.8735632183908,2.85171102661597,2.95295698924731,3.1,2.9986962190352,3.07017543859649,2.95138888888889,2.8625,3.10536044362292,3.41606780643292,3.34881974248927,3.29268292682927,3.33756805807623,3.26584507042254,3.25,3.27171903881701,3.2902033271719,3.21803278688525,3.14285714285714,3.0625,3.11065414507772,2.92775443510738,3.40835213840533,3.3641404805915
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68889274256481,2.625,2.71920488625558,2.72350703038008,2.58144588045234,2.68067226890756,2.68067226890756,2.76785714285714,2.77594728171334,2.60416666666667,2.68275862068965,2.68275862068965,2.68275862068965,2.74285714285714,2.77374734962616,2.78964068209501,2.78676470588235,2.82362459546926,2.8000739918609,3.14141774560778,2.84383954154728,2.96985815602837,2.65102040816327,2.88758581235698,2.78860569715142,2.90189894121624,2.97794117647059,2.98263088738136,3.00604229607251,2.9848615916955,3.05555555555556,3.11274509803922,3.16190476190476,3.1530612244898,3.02,3.07209229073155,3.03500058285733,3.07961267605634,3.13876565174309,3.16139925154953
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",6,,,,,,,,2.13690476190476,2.08928571428571,2.03089735487948,2.08333333333333,2,1.97968234323432,2.04766885631715,2.09786235914301,2.1244358478401,2.15311004784689,2.11028445579553,2.125,2.08955223880597,2.06688679441196,2.11301430098362,2.09091674546938,2.06378986866792,2.12372296443093,2.16302952503209,2.23004694835681,2.27272727272727,2.30769230769231,2.35109717868339,2.37358101135191,2.3469387755102,2.25552140255009,2.24,2.30221093013865,2.26293103448276,2.24382946896036,2.29711499006645,2.32161616161616,2.35690235690236,2.44107744107744,2.44444444444444,2.45614035087719,2.46865203761755,2.44276094276094,2.47933884297521,2.45901639344262,2.43478260869565,2.41522988505747,2.3901914230598,2.41935483870968,2.5,2.62297758554829,2.58620689655172,2.5990099009901,2.61111111111111,2.62948374120013,2.64941654315482,2.63157894736842,2.62295081967213,2.67241379310345,2.71629778672032,2.73589065255732,2.88599488810157,2.85597762759264,2.84090909090909,2.83712121212121,2.7972027972028,2.7992277992278,2.7992277992278,2.74509803921569,2.78384279475983,2.77777777777778,2.77777777777778,2.76842224231465,2.77649295919416,2.74223053438863,2.77983844378503,2.74809160305344,2.76422764227642,2.75,2.7996138996139,2.68512584479142,2.67774699907664,2.7,2.7,2.6463963963964,2.71739130434783,2.67034990791897,2.66666666666667,2.75,2.82392026578073,2.77777777777778,2.70086455331412,2.64993026499303,2.50320924261874,2.65333333333333,2.66666666666667
"Dallas","TX","Dallas-Fort Worth","48","113",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63223140495868,1.64818123289876,1.68195718654434,1.67868852459016,1.6297520661157,1.67436454691486,1.67504488330341,1.6796277048096,1.64330189179164,1.83126931276499,1.5973630831643,1.67949450880096,1.51351351351351,1.71995011510762,1.76642441097759,1.78179104477612,1.73621460506706,1.85411140583554,1.89265536723164,1.88040712468193,1.959011231912,1.90036900369004,1.88040712468193,1.9010024360877,1.85975609756098,2.04313725490196,2.21601489757914,2.09923664122137
"King","WA","Seattle","53","033",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18700475435816,2.15929203539823,2.23385689354276,2.26702508960573,2.19440831758034,2.15159948529192,2.17385788372755,2.26728863588446,2.24896694214876,2.26325088339223,2.3,2.33369486623283,2.3503653556845,2.52231540389435,2.48039185531496,2.40520446096654,2.49488752556237,2.41490139949109,2.4125,2.424,2.51887482364514,2.61402743252058,2.61250536250536,2.66146993318486,2.69620253164557,2.74294670846395,2.70456566229506,2.68156399538287,2.65217391304348,2.63975155279503,2.67515923566879,2.72833170413816,2.7903488372093,2.79334500875657,2.85526315789474,2.86727372303256,2.875,2.85393258426966,2.84090909090909,2.85714285714286,2.84738041002278,2.88488764474261,2.96875,3.0081072245832,2.98831385642738,3.03125,3.05872494419684,3.04474708171206,3.125,3.06451612903226,2.9693201960171,2.96846557008821,3.0142566191446,3.08158508158508,3.17460317460317,3.22641509433962,3.28472222222222,3.28511655708308,3.38477366255144,3.40599381073891,3.44827586206897,3.52290076335878,3.43137254901961,3.3623204518166,3.2967032967033,3.22493386243386,3.40466926070039,3.35322590218424
"Wayne","MI","Detroit","26","163",9,0.874890638670166,0.834128878281623,0.843243282664405,0.827796234772979,0.837014693003795,0.820568927789934,0.837548329731759,0.837776085300838,0.863186600303997,0.85587108406581,0.839537219257847,0.804093567251462,0.822368421052632,0.80749354005168,0.817555938037866,0.828328882073344,0.826582928855656,0.833333333333333,0.846951070540156,0.823045267489712,0.768245838668374,0.761492748934226,0.766283524904215,0.760456273764259,0.770142180094787,0.772399588053553,0.779510022271715,0.7847533632287,0.774336283185841,0.779376498800959,0.780487804878049,0.772105834295233,0.776255707762557,0.774620612910616,0.772519242770959,0.775862068965517,0.771570116261853,0.77683615819209,0.778388278388278,0.773480662983425,0.765864332603939,0.77120822622108,0.771902855236189,0.770020533880904,0.774428274428274,0.779721146693624,0.782374446919689,0.778816199376947,0.771442347430776,0.771775082690187,0.777893038266482,0.794661506824916,0.798403193612774,0.798403193612774,0.797660196756182,0.794621026894866,0.793183654645109,0.791666666666667,0.788643533123028,0.784673400587246,0.792141951837769,0.790697674418605,0.793650793650794,0.802469135802469,0.801068090787717,0.815727699530516,0.817864135920835,0.805954825462012,0.802139037433155,0.804802856599619,0.810967398452914,0.817843866171004,0.811123986095017,0.822669104204753,0.831984434627691,0.833333333333333,0.837629893427592,0.843286993004037,0.839542458610971,0.844277673545966,0.858585858585859,0.837209302325581,0.832785808147175,0.849385731659555,0.835806631952677,0.849150849150849,0.85724083872232,0.861219780592681,0.879439668273197,0.887743413516609,0.875,0.882190803554057,0.870069605568445,0.866859344894027,0.865384615384615,0.864718614718615,0.883908142195435,0.892857142857143
"Santa Clara","CA","San Jose","06","085",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9875,2.9875,2.99666666666667,2.9875,3,2.86092715231788,2.83974377512363,2.83507853403141,3.15604395604396,3.25375811688312,3.38164251207729,3.17357512953368,3.09325396825397,3.19090378752713,3.17357512953368,3.15604395604396,3.09325396825397,3.2089552238806,3.26325411334552,3.2375,3.56779661016949,3.69,3.64197530864198,3.63258185721954,3.65432098765432,3.6231884057971,3.67512531328321,3.82945736434109,3.91847953638678,3.88066957908501,3.91612919498152,3.99305555555556,4.02466857041399,4.10384565160616,4.04560810810811,4.03120207973931,4.08038277511962,4.15006499250781,4.15037593984962,4.13988657844991,4.15584281460316,4.07592190889371,4.05,3.93138132166766,4.18060200668896,4.04332129963899,4.02646502835539,3.88307155322862,3.7475,3.85085034013605,3.995,3.8990388731912,3.99205525553228,4.00333333333333,4.07392389270118,4.10592459605027,4.05405405405405,4.03789473684211,4.00742293575244,4.06086672473868,4.0625,4.0625,3.91462645626094,4.0625,4.06918501413689
