"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,1375,1450,1500,1495,1497.5,1500,1337.5,1295,1350,1365,1250,1294,1295,1295,1300,1295,1295,1250,1200,1195,1195,1150,1195,1250,1300,1300,1300,1300,1300,1320,1350,1390,1380,1329,1345,1430,1475,1450,1475,1450,1400,1395,1350,1395,1295,1400,1395,1350,1345,1395,1495,1495,1525,1575,1595,1595,1595,1630,1615,1675,1695,1695,1700,1749,1750,1780,1785,1750,1844,1795,1850,1895,1900,1910,1885,1890.5,1944,1800,1850,1795,1795,1790,1865,1929,1995,1995,1975,1995,2000,1995,1990,1995,1965,1973,1947,1971,1970
"Cook","IL","Chicago","17","031",2,,1100,1130.5,1099.5,1099,1025,985,1130,1297.5,1300,1344.5,1150,1230,1202.5,1245,1265,1350,1300,1267.5,1295,1280,1267,1305,1326,1272.5,1200,1175,1250,1300,1300,1295,1370,1425,1387.5,1425,1417,1537,1455,1495,1505,1549,1550,1550,1525,1500,1550,1608.5,1595,1500,1476,1450,1438,1485,1602,1450,1640,1669,1634,1425,1550,1625,1450,1450,1460,1450,1400,1405,1595,1657,1754.5,1671,1620,1690,1545,1500,1495,1460,1425,1430,1445.5,1425,1500,1500,1470,1460,1465,1450,1475,1475,1465,1475,1550,1585,1595,1550,1535,1539.5,1530
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1159,1032,999,1035,1121,1133,1119,1102,1142,1155,1099,1090,1081,1100,1108,1129,1155,1152.5,1150,1145,1155,1160,1295,1289,1299,1225,1250,1215,1213,1193,1159,1120,1150,1100,1050,1095,1120.5,1164.5,1195,1199,1202,1185,1180,1195,1205,1217,1230,1245,1245.5,1271,1275
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,650,650,645,650,662.5,659,650,650,659,675,689,675,672,674,679,699,695,699,699,690,687,695,699,695,688,688,697,688,688.5,679,679,700,731.5,725,724,735,720,725,707,725,710,720,730,745,750,759,775,797,785,795,795,800,819,804,819,926,919,900,946.5,925,925,977,895,920,926.5,895.5,862,850,920,971,1069,1095,1035,1023.5,1008,985,981.5,975,974,960,960,980,1009
"San Diego","CA","San Diego","06","073",5,,,,,,,,,1191.5,1232,1289,1200,1195,1150,1200,1205,1250,1280,1335,1350,1275,1200,1210,1248,1250,1295,1245,1240,1250,1248,1250,1293,1279,1300,1295,1221.5,1245,1240,1244,1225,1200,1100,1175,1295,1245,1175,1300,1350,1300,1295,1350,1500,1495,1479,1500,1500,1510,1550,1501,1590,1625,1560,1595,1600,1609,1633,1675,1695,1650,1649,1650,1650,1650,1695,1655,1600,1614,1815,1637,1742.5,1612.5,1620,1600,1651,1696.5,1729,1750,1775,1771,1792.5,1780,1780,1754,1745,1725,1748,1769,1777.5
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,1395,1387.5,1400,1395,1395,1597.5,1650,1395,1300,1347.5,1345,1350,1350,1350,1350,1395,1435,1385,1395,1395,1325,1350,1376,1367,1350,1350,1350,1355,1372,1375.5,1370,1405,1370,1350,1365,1380,1399,1428,1400,1398.5,1400,1375,1400,1495,1500,1490,1626,1605,1590,1585,1590,1602.5,1600,1600,1627,1670,1725,1730,1730,1730,1740,1720,1715,1721,1720,1730,1736,1745,1765,1770,1795,1805,1830,1850,1818,1835,1828,1821,1818,1855,1815,1850,1825,1870,1910,1905,1910,1930,1927,1925,1946,1945,1950,1960,1925,1922,1945,1953.5
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2000,2000,2099,2100,2125,2100,2150,2100,2095,2000,2000,2000,2000,2000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,1400,1450,1400,1400,1350,1387,1500,1477.5,1475,1499,1450,1410,1450,1450,1450,1450,1400,1425,1450,1425,1475,1500,1500,1500,1500,1500,1550,1550,1550,1550,1500,1500,1499,1500,1500,1500,1550,1600,1600,1670,1775,1750,1650,1675,1700,1700,1695,1699,1650,1600,1675,1695,1700,1698,1689,1650,1700,1700,1700,1750,1800,1800,1850,1900,1875,1900,1850,1850,1890,1889.5,1900,1900,1900,1850,1850,1827,1800,1799,1800,1800,1850,1750,1800,1795,1800,1795,1798,1800,1800,1800,1800,1800,1800,1775,1795,1800,1800
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,1285.5,1215,1260,1149,950,950,920,900,920,919,840,845,748,704,810,845,895,950,864,919,949,913,862,940,939.5,950,1017,1101,1006,1030,1034.5,1000,1040,1054.5,995,1060,1095,1125,1120,1150,1105,1100,1128,1100,1135,1098,1060,1045,1059,1140,1150,1119,1100,1100,1125,1124.5,1137,1150,1150,1186,1166,1200,1200,1199.5,1209,1240,1227,1200,1205,1185.5,1189,1276,1218,1209,1154,1270,1279.5,1283,1274,1290,1300,1306,1315,1293.5,1280,1314,1294,1297,1335,1309
"Queens","NY","New York","36","081",10,1200,1200,1300,1287.5,1300,1300,1300,1350,1400,1392.5,1450,1375,1375,1400,1400,1402.5,1425,1450,1450,1450,1450,1450,1450,1495,1450,1500,1500,1525,1495,1500,1500,1549,1575,1575,1550,1550,1595,1600,1600,1625,1675,1745,1750,1767.5,1750,1725,1750,1750,1750,1750,1750,1800,1825,1850,1800,1800,1800,1800,1795,1780,1795,1795,1800,1800,1800,1850,1850,1850,1800,1850,1850,1850,1850,1850,1850,1900,1875,1900,1900,1900,1935,1975,1850,1850,1750,1790,1800,1800,1800,1800,1800,1800,1800,1800,1800,1795,1799,1799
