"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,1900,1900,1950,2000,2100,2150,2200,1995,1950,1900,1975,1850,1848.5,1800,1850,1950,1935,1900,1800,1795,1700,1650,1650,1675,1725,1795,1770,1795,1775,1750,1770,1799,1795,1795,1725,1750,1805,1850,1850,1895,1850,1850,1800,1890.5,1881,1750,1945,1900,1850,1850,1895,1995,2027.5,2100,2100,2100,2162,2162,2200,2200,2200,2218,2299,2305,2350,2369,2395,2395,2390,2400,2350,2399,2415,2480,2471,2450,2483,2475,2400,2495,2400,2400,2345,2420,2542.5,2600,2600,2600,2600,2596,2595,2588.5,2595,2549,2550,2507,2582.5,2595
"Cook","IL","Chicago","17","031",2,,,1395,1462.5,1450,1500,1500,1475,1492.5,1550,1550,1572,1500,1550,1557,1650,1650,1750,1700,1650,1668,1625,1575,1600,1600,1575,1500,1455,1500,1600,1592,1595,1600,1650,1558,1600,1595,1695,1600,1600,1695,1750,1800,1850,1800,1700,1795,1850,1650,1595,1600,1600,1675,1700,1800,1695,1800,1800,1725,1589,1600,1750,1600,1675,1695,1673.5,1685,1695,1750,1775,1850,1745,1695,1822,1695,1695,1740,1700,1700,1650,1650,1600,1595,1600,1600,1650,1650,1690,1700,1695,1695,1672.5,1650,1650,1650,1675,1675,1700,1750
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1229,1175,1229,1300,1298,1300,1300,1350,1385,1299,1295,1297.5,1289,1332,1400,1400,1425,1418,1409,1400,1400,1570,1543,1575,1500,1539,1500,1476,1460,1439,1395,1400,1350,1350,1320,1395,1451,1435,1450,1480,1460,1469,1489,1500,1495,1500,1500,1484,1519,1545
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,850,875,950,900,867,830,825,838,825,810,820,810,825,836,825,815,824.5,825,839,839,830,835,829,825,842,845,840,850,849,829,818,836,825,800,840,850,850,850,865,875,890,869,865.5,860,875,885,899,899,915,929,950,944,956,950,959,960,955,964.5,1095,1075,1059,1100,1095,1098,1100,1050,1044,1069,1002,995,985,1049,1100,1186,1229,1179,1162,1175,1150,1145,1126,1108,1107,1117,1160,1195
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,1875,1775,1800,1647.5,1695,1650,1750,1750,1750,1702.5,1700,1750,1650,1595,1600,1595,1600,1638,1595,1595,1600,1600,1590,1603,1595,1595,1590,1564.5,1595,1595,1600,1595,1625,1575,1610,1750,1695.5,1600,1795,1800,1750,1750,1788,1897,1900,1895,1895,1900,1950,1950,1947,1941,1975,1950,1995,1950,1980,1980,2020,2050,2025,2022.5,1995,2000,2050,2095,2100,2000,1995,2100,2003,2140,1990,1995,1992,2037.5,2055,2100,2150,2180,2192,2195,2200,2200,2195,2154.5,2150,2164,2179,2195
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,2000,1917.5,1995,1900,1935,2100,2100,1895,1850,1850,1850,1800,1840,1850,1895,1899,1899.5,1900,1900,1885,1800,1790,1837.5,1800,1797,1776,1790,1788,1795,1799,1798,1800,1750,1718,1740,1735,1767,1773.5,1777,1805,1830,1800,1825,1950,1975,1920,2020,2000,2000,2000,1995,2000,2019,2015,2050,2100,2135,2130,2130,2135,2129.5,2110,2125,2135,2145,2150,2175,2175,2200,2200,2235,2220,2250,2275,2260.5,2260,2285,2250,2275,2290,2225,2275,2255,2291,2350,2375,2395,2400,2400,2385,2395,2400,2393,2390,2400,2397,2424,2430
"Kings","NY","New York","36","047",7,,,1700,1900,1900,1975,1800,1850,1950,1800,1800,1800,1700,1600,1800,1900,1900,1800,1800,1800,1800,1800,1800,1800,1800,1800,1857.5,1950,2000,2075,2100,2100,2100,2000,2000,1990,1999,2000,2050,2100,2300,2350,2400,2400,2450,2400,2400,2400,2300,2300,2300,2300,2400,2450,2400,2400,2500,2500,2500,2400,2400,2427,2450,2500,2600,2500,2500,2500,2500,2500,2500,2450,2400,2450,2495,2500,2500,2500,2500,2500,2599,2670,2600,2400,2400,2300,2300,2399,2400,2400,2450,2495,2400,2400,2383,2375,2349,2320,2350
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,1900,1900,1895,1900,1900,1850,1875,1900,1900,1900,1900,1900,1900,1950,1950,2000,2000,2000,1999,1950,1895,1890,1930,1900,1950,2000,2000,2100,2200,2300,2250,2200,2200,2200,2232,2200,2200,2200,2200,2250,2200,2200,2200,2200,2200,2200,2100,2175,2200,2300,2400,2450,2500,2500,2500,2400,2450,2450,2450,2495,2500,2500,2500,2450,2400,2375,2285,2350,2300,2400,2200,2300,2300,2370,2350,2350,2375,2300,2350,2375,2350,2300,2300,2330,2375,2350
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,1130,1100,1225,1050,1105,1169,1179,1101,1189,1195,1210,1300,1421,1329,1371.5,1352,1386,1433,1409,1275.5,1448.5,1490,1523,1525,1550,1500,1500,1535,1490,1485,1455,1429,1400,1400,1500,1517,1500,1453,1448,1475,1485,1469,1430,1468,1500,1504.5,1540,1570,1550,1602.5,1615,1595,1564,1555,1499,1495,1570,1544.5,1517,1499.5,1605,1650,1693,1724,1701,1730,1735,1735,1690,1665,1691.5,1695,1695,1745,1712
"Queens","NY","New York","36","081",10,,,1500,1550,1500,1550,1500,1500,1500,1600,1500,1500,1500,1580,1600,1600,1625,1700,1750,1795,1750,1700,1775,1725,1798,1750,1800,1800,1800,1795,1850,1801,1900,1900,1900,1895,1800,1850,1900,1900,2000,2100,2195,2250,2300,2300,2200,2250,2200,2200,2200,2200,2300,2300,2300,2295,2300,2300,2299,2250,2200,2250,2200,2250,2250,2300,2300,2300,2300,2250,2275,2250,2275,2300,2300,2300,2350,2350,2350,2395,2350,2300,2350,2250,2225,2100,2200,2200,2200,2200,2200,2200,2195,2150,2130,2150,2150,2100,2100
"Riverside","CA","Riverside","06","065",11,,,,,,,,,,,,,,,2000,2300,2100,1900,1600,1550,1500,1497.5,1350,1400,1375,1310,1312,1280,1237,1227,1235,1247,1235,1249,1285,1252.5,1220,1275,1295,1300,1317,1300,1298,1295,1395,1400,1295,1350,1350,1300,1250,1250,1400,1400,1397,1400,1474,1400,1400,1495,1450,1500,1495,1500,1500,1500,1500,1500,1508.5,1500,1500,1550,1525,1502,1525,1544.5,1475,1416.5,1402,1421,1400,1420,1600,1400,1450,1455,1500,1544.5,1595,1560,1590,1546,1600,1600,1595,1597,1619,1675,1685
"San Bernardino","CA","Riverside","06","071",12,,,1000,1100,1050,1075,1020,1050,1097.5,1150,1175,1197.5,1000,995,995,1000,1000,999.5,950,935,900,950,900,900,900,995,1050,962.5,944,930,949.5,950,950,995,1025,1000,1010,1015,1000,1000,950,900,950,950,900,900,899,895,900,900,900,935,950,950,937.5,950,927.5,950,900,950,937.5,950,995,995,1000,1050,1050,1025,1025,1032.5,1100,1150,1165,1175,1200,1295,1264,1265,1388,1300,1200,1150,1200,1195,1252.5,1250,1300,1350,1410,1480,1450,1410,1501,1500,1495,1500,1520,1567.5,1613
"Clark","NV","Las Vegas","32","003",13,,1000,1050,995,1000,900,1000,1050,995,995,925,875,900,895,875,900,950,900,900,900,895,875,850,850,850,850,837,820,825,825,825,800,800,806.5,825,825,805,804,829,849,845,825,850,850,850,841.5,825,850,850,850,850,850,890,895,895,895,895,898,895,895,895,896.5,900,935,935,940,950,941,900,925,950,989,950,958.5,995,1000,975.5,999,990,975,1000,995,995,985,1025,1030,1050,1081,1065,1070,1070,1095,1094,1080,1075,1070,1099.5,1150,1175
"King","WA","Seattle","53","033",14,,,,1395,1295,1295,1295,1295,1350,1295,1395,1300,1395,1361.5,1299.5,1298.5,1300,1295,1295,1350,1395,1350,1325,1295,1295,1295,1295,1300,1310,1350,1350,1395,1400,1399,1395,1408,1365,1435,1486,1520,1486,1495,1500,1550,1600,1616,1650,1695,1630.5,1620,1605,1672,1825,1835,1850,1850,1850,1795,1826,1786,1795,1895,1895,1895,1885.5,1900,1975,1995,2000,1990,1798.5,1899.5,1908,1953,2025,2000,2049,2139,1950,2000,2000,1957.5,1900,1972,2000,2050,2175,2165,2175,2195,2185,2146,2150,2111,2099,2095,2100,2125,2115
"Wayne","MI","Detroit","26","163",15,,,,,,,,,,,,,,,,,,,,,,,665,700,740,700,730,715,725,698,700,719.5,725,725,719.5,675,650,699,722.5,699,730,700,675,685,750,750,750,750,723.5,725,739.5,750,800,800,795,800,795,795,780,750,775,800,800,800,800,800,800,800,800,800,800,800,790,767.5,795,775,800,779.5,877.5,900,795,885,850,900,850,878.5,915,900,915,930,920,919,950,920,915,912.5,950,940,1000
"Tarrant","TX","Dallas-Fort Worth","48","439",16,,,,,,,,,,,,,750,785,825,825,825,805,805,795,795,788,775,750,759,789,797,800,809,815,810,840,830,839,829,850,853,845,867,859,878,874,862,845,854,875,850,925,910,900,900,950,955,950,910,945,931,950,973.5,964,958,999,1000,1010,1001,1010,1041,1065,1032,1035,1057.5,1039,1032.5,1071,1126.5,1138,1150,1114.5,1100,1175,1194,1100,1121,1082,1156,1154,1210,1250,1270,1300,1296.5,1303,1282,1180,1195,1190,1225,1299.5,1369
