"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4050,3600,3350,3650,4000,3950,4000,4275,4200,4000,3995,3900,3900,3900,3695,3900,3895
"Harris","TX","Houston","48","201",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2675,2795,2725,2600,2400,2372.5,2462.5,2500,2385,2320,2395,2500,2850,2950,2850,2550,2600,2600,2600,2700,2800,2900,2825,2850,2675,3000,2600,2900,2800,2450,2495,2600,2500,2500,2695,2700,2700,2550,2600,2690,2690,2800,2600,2500,2400,2750
"Maricopa","AZ","Phoenix","04","013",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3250,3100,2949.5,2999.5,2999,3225,3200,2947.5,2750,2522.5,2647.5,2995,2847.5
"San Diego","CA","San Diego","06","073",4,,,,,,,,,,,,,,,4000,3797.5,3800,3850,3995,3800,3800,3600,3500,3800,3700,3772.5,3500,3595,3800,3500,3400,3400,3300,3150,3300,3200,3500,3195,3500,3500,3400,3500,3495,3500,3400,3420,3525,3525,3500,3500,3500,3950,4000,4000,3825,3950,3981.5,3988,3950,3950,4000,3950,3997.5,3825,3950,3695,3697.5,3780,3800,3800,3800,3995,4000,4150,4200,3997.5,3950,3775,3700,3795,3800,3950,3800,4000,4500,4500,4400,4500,4500,4375,4500,4400,4391.5,4300,4250,4600,4650,4625
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",5,,,,5850,6500,6250,6400,6000,6000,5975,5500,4972.5,5000,5350,5590,5450,4685,4500,4575,4500,4600,4500,4500,4500,4397.5,4800,4600,4500,4500,4500,4425,4500,4200,4285,4350,4500,4550,4500,4800,4500,4800,4675,4500,4700,4300,4500,4500,4500,4500,4400,4500,4500,4500,4350,4400,4444,4500,4400,4500,4700,4695,4500,4500,4700,4500,4862.5,4800,4995,5000,4900,4995,4975,4900,4900,4500,4600,4950,4797.5,4500,4500,5200,4900,4490,4500,4800,5000,5500,5150,5400,5195,5097.5,5397.5,5500,5200,5250,5000,5495,5250
"Kings","NY","New York","36","047",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100,4100,4200,4299,4225,4199.5,4200,4200,4100,4000,4250,4234,4195,4000,4200,4200,4500,4500,4500,4500,4495,4400,4500,4500,4500,4700,4595,4850,4800,4597,4699,4500,4300,4395,4497.5,4500,4500,5000,4800,4995,4825,4500,4799.5,4800,4375,4000,3950,4000,3800,4400
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,4200,4250,4500,4400,4350,4200,4150,3841,3850,4000,3900,4200,4250,4500
"Dallas","TX","Dallas-Fort Worth","48","113",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2195,2500,2525,2500,2495,2457.5,2500,2500,2300,2275,2375,2447.5,2200,2225
"Queens","NY","New York","36","081",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3900,3900,3900,3300,3100,3300,3500,3600,3695,3675,4000,3999,3999,3800,4000,3500,3850,3600,3500,3400,3600,3400,3500,3600,3600,3500,3800,3500,3500,3800,3700,3550,3600
"Riverside","CA","Riverside","06","065",10,,,,,,,,,,,,,,2275,2300,2300,2300,2200,2195,2195,2195,2262.5,2200,2200,2250,2199,2172.5,2150,2195,2195,2150,2150,2190,2197.5,2100,2150,2195,2165,2100,2100,2095,2195,2195,2200,2195,2100,2162.5,2162.5,2150,2179,2177,2200,2200,2250,2290,2292.5,2200,2200,2200,2283,2300,2300,2300,2300,2309.5,2300,2300,2350,2400,2400,2419.5,2450,2350,2350,2397.5,2350,2397.5,2377,2350,2350,2350,2450,2450,2495,2500,2595,2550,2600,2600,2600,2600,2650,2600,2650,2650,2695,2700,2700
