"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2400,2400,2400,2495,2400,2500,2600,2600,2600,2650,2650,2650,2695,2650,2675,2695,2687.5,2700,2695,2600,2650,2600,2600,2795,2550,2750,2568,2655,2700,2800,2850,2895,2900,2850,2825,2800,2850,2800,2800,2800,2800,2850
"Cook","IL","Chicago","17","031",2,1450,1450,1400,1450,1450,1450,1450,1500,1560,1598,1650,1550,1575,1550,1599,1595,1600,1600,1600,1600,1605.5,1600,1577.5,1600,1600,1645,1600,1550,1600,1600,1618.5,1620,1650,1600,1600,1600,1628,1620,1600,1600,1600,1600,1600,1650,1695,1675,1687,1680,1675,1668,1675,1750,1750,1750,1750,1750,1750,1715,1733,1700,1702,1750,1700,1725,1750,1750,1750,1700,1695,1700,1700,1700,1750,1750,1795,1750,1750,1706,1737,1700,1700,1695,1688,1700,1725,1745,1750,1795,1800,1800,1800,1795,1750,1750,1700,1749,1750,1775
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1232,1275,1269,1240,1275.5,1269,1250,1250,1250,1279,1230,1261.5,1277.5,1268,1250,1250,1268,1260,1250,1250,1400,1387.5,1350,1350,1350,1350,1346,1350,1390,1399,1400,1400,1375,1350,1350,1317,1324,1300,1280.5,1300,1319,1275,1299,1295,1300,1300,1300,1275,1269,1281,1268,1275,1275.5,1295,1295,1300
"Maricopa","AZ","Phoenix","04","013",4,,1100,1100,1050,1100,1050,1100,1195,1150,1199,1199,1095,1025,1000,1095,1000,1000,999,995,1000,995,995,995,995,995,995,941.5,925,950,950,950,950,950,988,995,979,975,995,995,950,950,950,900,950,999,995,995,995,995,995,995,1050,1045,1050,1050,1025,1050,1050,1075,1075,1150,1180,1200,1200,1200,1195,1200,1200,1200,1200,1200,1200,1250,1250,1250,1175,1150,1119.5,1100,1079,1100,1150,1025,1195,1195,1200,1221,1200,1245.5,1250,1250,1250,1225,1216,1250,1256,1250,1295
"San Diego","CA","San Diego","06","073",5,,,,,,,,,2450,2200,2337.5,1962.5,1980,1895,1950,1900,1900,1850,1850,1850,1880,1850,1850,1800,1800,1800,1675,1649,1695,1695,1695,1700,1700,1750,1750,1700,1700,1725,1745,1700,1700,1695,1650,1850,1900,1895,1950,1995,1950,1900,1900,1977,2000,1995,2000,2100,2100,2095,2050,2075,2095,2000,2000,1995,1995,2000,2075,2100,2100,2100,2100,2100,2100,2100,2099,2087.5,2100,2100,2095,2150,2025,2000,2050,2130,2195,2200,2250,2300,2350,2350,2350,2300,2300,2300,2300,2300,2300,2350
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,1975,1950,1990,1900,1995,2150,2200,2100,2000,2000,2000,2000,1995,2000,1995,1995,2000,2075,2100,2000,2000,2000,2000,2000,2000,1995,1950,2000,2100,2100,2075,2100,2095,2000,2000,2000,2050,2050,2050,2100,2100,2095,1895,2150,2200,2200,2200,2200,2200,2200,2195,2250,2250,2275,2300,2350,2300,2300,2300,2300,2300,2300,2300,2300,2398,2400,2400,2399,2400,2395,2400,2400,2400,2400,2400,2395,2495,2400,2400,2400,2300,2485,2395,2450,2500,2500,2550,2592.5,2600,2600,2600,2600,2550,2590,2600,2600,2600,2600
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,1850,1800,1800,1800,1800,1833,1900,1950,1950,1900,1900,1875,1850,1900,1950,1999,2050,2200,2200,2195,2275,2300,2500,2500,2519,2600,2650,2700,2700,2700,2700,2700,2700,2699,2650,2650,2600,2700,2600,2650,2650,2700,2800,2850,2897,2850,2850,2800,2800,2830,2800,2750,2650,2600,2600,2699,2700,2600,2700,2680,2500,2575,2650,2700,2700,2700,2700,2700,2700,2700,2650,2600,2597.5,2562.5,2500,2500
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,1800,1800,1800,1800,1850,1900,1986,1800,1850,1900,1700,1654,1650,1675,1700,1700,1700,1700,1700,1700,1750,1750,1750,1750,1800,1800,1800,1800,1800,1800,1775,1750,1750,1800,1800,1800,1850,1850,1895,1950,2000,1950,1900,1950,1950,1950,1925,1900,1900,1850,1900,1950,2000,1950,1950,1900,1950,1925,1950,2000,2100,2199,2200,2250,2300,2300,2200,2200,2200,2250,2250,2300,2300,2200,2200,2190,2100,2000,2050,2000,2150,1950,2000,2025,2100,2100,2100,2050,2050,2100,2100,2099.5,2050,2050,2092.5,2100,2150
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125,1300,1300,1322,1200,1200,1200,1200,1250,1250,1300,1295,1250,1250,1295,1233,1300,1285.5,1300,1343,1350,1300,1372,1350,1323,1369,1381.5,1375,1395,1389,1395,1369,1330.5,1322,1300,1350,1300,1322,1366.5,1350,1395,1400,1450,1481,1450,1475,1450,1450,1450,1405,1400,1400,1397,1400,1449
"Queens","NY","New York","36","081",10,,1600,1675,1600,1600,1550,1500,1600,1600,1550,1562.5,1500,1450,1425,1400,1437.5,1400,1495,1500,1587.5,1600,1600,1575,1595,1575,1575,1550,1550,1575,1550,1600,1650,1675,1650,1695,1695,1650,1675,1700,1750,1800,1850,1900,1975,1850,1850,1875,1850,1850,1850,1850,1950,1950,1984.5,1980,1950,1950,1950,1982.5,2000,2000,2000,2000,2000,2100,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2050,2100,2100,2100,2100,2100,2100,2100,2100,2150,2137.5,2200,2200,2250,2285,2250,2200,2200,2200,2195,2150,2100,2100
