"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,1595,1700,1700,1795,1860,1797.5,1595,1517.5,1550,1647.5,1500,1535,1545,1500,1500,1495,1495,1495,1400,1350,1325,1350,1395,1395,1428,1400,1425,1395,1395,1375,1372.5,1350,1350,1342.5,1350,1350,1395,1400,1450,1405,1400,1400,1400,1400,1395,1400,1395,1375,1395,1395,1480,1450,1550,1500,1475,1500,1542.5,1550,1595,1595,1600,1675,1600,1650,1675,1700,1695,1695,1800,1850,1975,2000,2100,2100,2100,1900,1995,1775,1795,1850,1750,1795,1850,1950,1995,2020,1995,1995,1995,1950,1950,1980,1950,1950,1895,1900,1950
"Cook","IL","Chicago","17","031",2,,1300,1350,1377.5,1235,1300,1250.5,1342,1400,1400,1363.5,1350,1350,1362.5,1425,1432,1495,1450,1425,1425,1400,1400,1405,1340,1300,1325,1420,1525,1550,1525,1528,1457,1495,1489,1499.5,1500,1578,1525,1550,1624,1610,1600,1610,1575,1545,1570,1625,1590,1510,1519,1527,1500,1550,1675,1605,1650,1655,1700,1556,1621,1783,1600,1606,1683.5,1685,1700,1645,1850,1995,2133,1900,1750,1869,1580,1500,1540,1550,1495,1500,1475,1450,1500,1500,1459,1495,1487,1495,1495,1500,1510,1550,1577,1600,1625,1640,1600,1600,1615
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315,1127,1267,1080,1035,1039,1200,1200,1245,1300,1300,1360,1200,1195,1200,1180,1250,1225,1229,1197,1150,1150,1150,1150,1185,1150,1200,1195,1198,1150,1195,1150,1195,1150,1195,1115,1100,1075,1094,1075,1099,1150,1150,1150,1100,1100,1100,1095,1075,1047.5,1075,1095,1075
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,749,769,750,795,749,650,650,660,650,650,650,667,668,662.5,675,650,675,695,715,750,750,725,725,750,750,750,780,731.5,725,725,750,725,700,699,699,725,725,725,775,750,775,750,750,775,757.5,775,775,795,799,850,800,825,825,795,795,799,775,750,750,849,850,875,905,925,920,950,950,925,903.5,921.5,899.5,900,899,925
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,1300,1350,1350,1350,1299,1250,1275,1295,1262.5,1335,1350,1297.5,1300,1300,1250,1200,1200,1200,1200,1200,1250,1250,1295,1300,1295,1295,1250,1250,1300,1282.5,1250,1277,1300,1375,1350,1350,1375,1450,1397.5,1405.5,1400,1395,1375,1395,1375,1375,1395,1375,1375,1395,1450,1500,1500,1500,1495,1500,1550,1595,1595,1595,1600,1650,1550,1525,1512.5,1595,1595,1525,1500,1600,1650,1650,1650,1650,1650,1650,1695,1695,1750,1695,1695,1725,1725,1725
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724,1650,1637.5,1700,1662.5,1650,1700,1625,1650,1650,1650,1750,1799.5,1782.5,1700,1650,1750,1750,1700,1697.5,1700,1927,1895,1770,1900,1800,1900,1935,1905,1895,1950,1900,1885,1792.5,1850,1895,2100,1975,2000,1995,1972.5,2072.5,2100,2010,2145,2150,2095,1950,1890,1950,2095,1945,1950,1995,2000,2050,2085,2095,2095,2090,2095,2097.5,2000,2000,2000,2000,1995,2000
"Kings","NY","New York","36","047",7,1400,1600,1800,1800,1900,1697.5,1600,1600,1525,1500,1600,1550,1600,1650,1700,1700,1750,1800,1850,1800,1800,1800,1800,1850,1850,1900,1925,2000,2000,2100,2195,2100,2000,2000,2000,2000,2000,2000,2025,2200,2250,2299,2360,2400,2300,2300,2300,2250,2200,2250,2300,2400,2450,2450,2500,2500,2500,2500,2450,2450,2500,2500,2600,2700,2600,2500,2595,2595,2600,2599,2550,2545,2500,2500,2500,2500,2550,2595,2550,2600,2750,2650,2400,2400,2400,2400,2400,2475,2500,2500,2550,2500,2480,2400,2400,2399,2395,2400
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,1500,1500,1450,1500,1500,1475,1450,1495,1500,1559,1599.5,1500,1500,1599.5,1550,1595,1500,1350,1400,1450,1450,1500,1550,1600,1600,1650,1900,2000,1920,1900,1950,2000,2100,2100,2150,2195,2250,2000,2100,2000,2100,2000,1850,1900,1900,1999,2000,2000,1950,1975,2000,1950,1950,2000,2000,2050,2100,2100,2150,2000,2000,2100,2100,2000,2000,2100,2150,2000,2000,2050,2100,2100,2200,2200,2200,2200,2200,2200,2200,2200,2250,2200,2200
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1162.5,1066,1205,1082,1170,1349,1413,1425,1275,1245,1290,1228,1155,1100,1090,1062,1050,1099.5,1192,1175.5,1192.5,1256,1305,1306,1250,1195,1190,1200,1175,1195,1130,1275,1299,1300,1379,1350,1350,1395,1472,1360,1315,1312.5,1301,1217,1200,1195
"Queens","NY","New York","36","081",10,1600,1600,1600,1600,1625,1600,1600,1600,1600,1595,1600,1600,1600,1600,1600,1600,1600,1600,1625,1600,1600,1600,1600,1600,1600,1600,1650,1650,1675,1700,1750,1725,1747,1700,1700,1700,1700,1700,1700,1750,1795,1890,1900,1950,1995,1900,1950,1950,1913,1900,1975,2150,2150,2150,2075,2095,2100,2100,2050,2050,2000,2050,2050,2100,2150,2195,2200,2200,2200,2200,2200,2200,2200,2220,2207.5,2295,2295,2300,2300,2300,2300,2300,2150,2150,2100,2100,2100,2150,2200,2200,2250,2200,2200,2179.5,2150,2147.5,2156,2200
