"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,1850,1850,1900,2000,2050,2000,2000,1800,1800,1795,1850,1664.5,1650,1650,1750,1800,1800,1825,1800,1750,1595,1450,1445,1495,1530,1580,1595,1595,1580,1575,1595,1600,1600,1599,1540,1550,1632,1665,1650,1695,1650,1652,1650,1695,1700,1595,1700,1700,1655,1650,1695,1795,1800,1850,1856,1875,1895,1900,1920,1950,1959,1995,2000,2025,2070,2095,2100,2100,2100,2100,2099,2150,2195,2200,2195,2195,2192,2187,2100,2195,2100,2105,2040,2165,2285,2300,2300,2295,2295,2299,2284.5,2269,2280,2250,2250,2200,2260,2270
"Cook","IL","Chicago","17","031",2,1625,1335,1300,1320,1300,1300,1287.5,1251,1341,1450,1450,1495,1387.5,1395,1380,1439,1450,1450,1425,1430,1438.5,1400,1360,1385,1395,1375,1350,1350,1381,1400,1400,1430,1475,1500,1450,1468,1462,1569,1508,1529,1568,1600,1599,1599,1585,1550,1562.5,1600,1575,1519,1520,1535,1575,1601,1675,1599,1680,1685,1636,1500,1580,1675,1587,1595,1600,1600,1600,1600,1650,1689,1739,1655,1625,1700,1600,1600,1614,1606,1600,1575,1560,1542,1550,1550,1550,1565,1589,1600,1625,1632.5,1625,1627,1650,1641.5,1635,1602,1616,1635,1650
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030,1038,1033,955,1000,999,1020,1095,1089,1199,1173,1300,1305,1297,1170,1329,1175,1105,1155,1289,1295,1296.5,1260.5,1295,1303,1250,1250,1250,1265,1295,1325,1340,1350,1330,1335,1350,1335,1426,1419,1436,1395,1405,1391,1395,1375,1350,1300,1305,1275,1250,1261,1275,1312,1315,1330,1333,1315,1305,1329,1333,1340.5,1372,1370,1364,1389,1400
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,900,900,999,995,950,925,900,900,850,799,805,800,804,815,805,805,805,814,825,825,815,819,800,795,809,820,825,839,852.5,839,839,880,885,850,885,899,899,899,900,944,945,910,919,922,925,925,944,950,975,989,1000,999,1000,999,1000,1000,999,960,1101,1100,1100,1114,1103,1100,1105,1051,1055,1050,1025,1025,993,1076,1115,1185,1200,1179,1170,1175,1150,1136,1125,1120,1116,1124,1150,1160
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,1797.5,1650,1774.5,1595,1650,1650,1750,1795,1795,1750,1795,1795.5,1650,1510,1550,1538,1500,1535,1500,1500,1525,1510,1500,1525,1467,1485,1475,1439,1445,1459,1485,1482.5,1517,1450,1525,1695,1631,1500,1695,1735,1690,1675,1695,1805,1847,1804,1850,1850,1834,1845,1815,1825,1850,1833,1840,1848,1850,1880,1900,1925,1910,1895,1853,1875,1890,1900,1920,1895,1900,1995,1900,1950,1868.5,1850,1835,1900,1950,1965,1995,2022,2025,2041,2050,2049,2010,1995,1991,2000,2020,2015
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,1867.5,1935,1850,1897.5,2100,2100,1825,1835,1800,1850,1780,1790,1800,1865,1875,1900,1900,1950,1900,1800,1725,1794,1700,1650,1650,1650,1650,1660,1675,1695,1700,1630,1600,1620,1614,1655,1690,1654.5,1697,1740,1700,1746,1900,1884,1850,1919.5,1895,1885,1885,1860,1929,1945,1950,1950,1975,1995,1990,1999,2000,2005,1995,1995,1985,2000,2000,2035,2030,2055,2050,2070,2065,2089,2100,2100,2120,2125,2060,2120,2130,2095,2150,2105,2135,2200,2205,2228.5,2250,2250,2240,2249,2250,2239,2235,2200,2202.5,2225.5,2235
"Kings","NY","New York","36","047",7,,,1700,1995,1900,2000,1962.5,1900,1895,1750,1700,1850,1600,1600,1695,1750,1750,1800,1800,1850,1875,1750,1700,1700,1750,1750,1800,1825,1900,1945,2000,2000,1950,1900,1900,1850,1875,1950,2000,2000,2195,2200,2200,2300,2350,2300,2300,2300,2250,2200,2200,2200,2300,2400,2300,2350,2400,2400,2400,2350,2350,2400,2400,2495,2560,2500,2500,2500,2500,2500,2500,2490,2450,2450,2495,2500,2500,2500,2595,2566.5,2600,2700,2650,2350,2400,2300,2300,2395,2400,2450,2469,2499,2450,2400,2350,2350,2300,2300,2350
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,1850,1850,1800,1800,1850,1875,1900,1800,1800,1800,1680,1650,1650,1650,1700,1695,1650,1650,1700,1700,1700,1700,1700,1750,1750,1750,1750,1800,1750,1750,1700,1700,1700,1750,1750,1750,1800,1800,1825,1900,2000,1950,1900,1900,1950,1950,1980,2000,1950,1950,2000,1950,1995,1950,1925,1900,1900,1900,1900,1950,2000,2086.5,2100,2150,2200,2200,2100,2100,2150,2180,2200,2200,2213,2200,2100,2100,2050,2000,2000,2000,2100,1950,2000,2000,2000,2000,2000,2000,2000,2042,2050,2000,2000,2000,2032,2075,2099
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,995,959.5,950,969,965,870,889,846,835,942,947,960,1021,955,1022,1057.5,1030,969,1049,1030,1055,1125,1245,1147,1164,1165,1128,1169.5,1189,1109,1210,1299,1297,1274,1315,1274,1266,1291.5,1248,1250,1226.5,1200,1194,1200,1275,1274,1272,1250,1234,1251,1250,1250,1250,1269,1295,1281,1294,1305,1305,1347.5,1356.5,1345,1319,1330,1295,1280,1365,1327,1306.5,1277,1370,1385,1390,1390,1400,1410,1415,1425,1405,1399,1434,1425,1436,1470,1444
"Queens","NY","New York","36","081",10,,1600,1600,1600,1600,1600,1600,1600,1600,1600,1550,1595,1595,1550,1550,1550,1547.5,1550,1550,1575,1550,1550,1575,1550,1550,1550,1600,1600,1600,1600,1625,1650,1650,1695,1650,1650,1650,1650,1650,1675,1700,1795,1850,1900,1950,1950,1900,1930,1900,1900,1900,1910,2050,2095,2050,2000,2000,2000,2000,1975,1956,1950,1990,2000,2000,2010,2095,2100,2100,2100,2100,2100,2100,2100,2150,2150,2195,2200,2200,2200,2200,2200,2200,2100,2100,2000,2050,2100,2100,2100,2150,2199,2100,2100,2100,2099,2099,2100,2100
