"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,975,1050,1072.5,1200,1160,995,900,865,875,875,899.5,950,950,967.5,935,925,950,1000,976,995,990,995,1050,1100,1100,1148.5,1120,1095,1100,1050,1095,950,1050,1050,1050,1000,1050,1100,1150,1200,1250,1225,1200,1225,1257.5,1290,1300,1325,1375,1335.5,1400,1398.5,1430,1409,1434.5,1450,1400,1501.5,1550,1595,1555,1640,1538,1624,1500,1550,1495,1512.5,1450,1450,1695,1841.5,1749,1700,1808.5,1895,1850,1867,1850,1790,1800,1773,1795,1795
"Cook","IL","Chicago","17","031",2,,,,,,,,,1500,1550,1600,1460,1400,1341,1350,1355,1330,1300,1300,1325,1295,1250,1261,1250,1217,1215,1260,1275,1250,1300,1350,1358,1358,1361,1364,1373,1410,1400,1395,1412.5,1420,1430,1475,1488,1465,1427,1452,1452,1445,1425,1425,1471.5,1505,1557,1470,1577,1569,1499,1439,1500,1600,1510,1492,1500,1510,1500,1485,1500,1500,1510,1495,1499,1525,1495,1462,1464,1439,1426.5,1415,1429,1464,1490,1459,1467,1469,1450,1450,1450,1458.5,1485,1500,1525,1510,1500,1495,1500,1475,1452
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240,1200,1190,1200,1199.5,1160,1195,1239,1239,1269,1250,1199,1227,1245
"Maricopa","AZ","Phoenix","04","013",4,1650,1500,1500,1412.5,1395,1350,1350,1295,1295,1295,1295,1200,1195,1195,1200,1200,1195,1150,1150,1145,1100,1100,1100,1100,1100,1100,1150,1175,1175,1150,1150,1125,1100,1100,1100,1100,1100,1125,1150,1150,1125,1150,1100,1150,1150,1150,1150,1150,1150,1150,1150,1200,1225,1216,1250,1225,1225,1250,1250,1250,1295,1300,1350,1350,1350,1300,1300,1300,1300,1299,1325,1350,1350,1395,1399,1350,1350,1350,1300,1300,1300,1325,1295,1350,1350,1395,1400,1432,1435,1425,1400,1400,1400,1400,1400,1400,1425,1450
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1429,1475,1514,1537.5,1495,1450,1515,1500,1635,1620,1625,1395,1450,1550,1525,1546.5,1592.5,1490,1475,1518.5,1395,1595,1395,1400,1495,1651,1710,1640,1695,1692.5,1647,1695.5,1645,1681,1650,1650,1685,1750,1748.5,1743
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,1697.5,1672.5,1867.5,1650,1650,1587.5,1600,1522.5,1600,1600,1600,1640,1590,1472.5,1545,1640,1600,1487.5,1300,1321,1220,1212.5,1212.5,1250,1274,1249,1217.5,1250,1288,1295,1297,1230,1250,1233.5,1295,1279,1295,1327,1345,1379,1587.5,1450,1514,1599.5,1575,1572.5,1545,1522.5,1595,1622.5,1594,1585,1610.5,1625,1625,1635,1650,1650,1695,1630,1600,1660,1730,1750,1780,1815,1800,1765,1775,1800,1795,1800,1800,1765,1790,1796,1805,1890,1813,1817.5,1800,1852.5,1835,1827.5,1830,1822.5,1845,1925,1906,1845,1867.5,1837.5,1840,1832,1830
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050,2198.5,2185,2150,2200,2275,2300,2300,2300,2255,2250,2250,2200,2100,2200
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,1350,1450,1495,1400,1350,1350,1350,1375,1350,1350,1400,1399,1350,1350,1350,1375,1400,1450,1450,1400,1400,1399,1400,1400,1400,1400,1450,1475,1500,1500,1500,1500,1500,1550,1550,1550,1550,1550,1600,1600,1600,1550,1550,1600,1650,1650,1600,1590,1598,1550,1575,1587.5,1650,1650,1650,1700,1700,1650,1650,1650,1650,1650,1650,1700,1725,1700,1700,1650,1650,1600,1600,1600,1550,1650,1500,1550,1600,1600,1600,1612,1600,1600,1610,1600,1600,1600,1595,1689,1600,1650
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,875,875,850,845.5,800,800,800,797,800,760,725,750,816,785,895,882.5,838,750,775,794,826,847,850,825,855,890,800,806,854,899,950,990,1000,999,975,950,950,974.5,958.5,1026,1036.5,1021.5,996,1025.5,1082,1029.5,1047.5,1004,1005,1100,1059,1100,1145,1150,1050,1000,1050,1050,1050,1052.5,1100,1146,1150,1082.5,1100,1085,1098.5,1150,1150,1096,1157.5,1172.5,1170,1160,1167.5,1170,1170,1215.5,1225,1230,1258,1217.5,1335.5,1342,1296
"Queens","NY","New York","36","081",10,,,1650,1650,1650,1650,1649,1600,1600,1600,1650,1650,1600,1600,1600,1600,1600,1600,1600,1600,1550,1450,1400,1365,1400,1500,1500,1500,1475,1400,1450,1400,1400,1400,1375,1375,1400,1400,1450,1475,1500,1600,1600,1700,1700,1650,1700,1700,1650,1650,1700,1975,2000,1980,1900,1842,1797,1725,1700,1700,1700,1712.5,1775,1775,1800,1800,1900,1900,1875,1925,1900,1885,1900,1900,1900,1900,1900,1995,1875,1950,1950,2000,1800,1800,1950,1925,1900,1950,2000,2050,2062.5,2000,2000,2000,2000,2000,2000,2000
