"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,196040,196106,195957,195693,195564,195487,195327,195370,196068,196951,197566,198024,198397,198677,199243,200241,201316,202400,203742,205200,207535,210657,213568,215494,217134,218797,220138,220954,222129,223710,225485,227309,229444,231774,233961,235384,236772,238554,240672,242303,243244,244401,246029,247528,249480,251836,253929,256108,258480,260573,262659,265111,267269,268846,270487,272806,274929,276686,278899,281382,283801,286295,288880,291206,293368,295757,298682,302073,305501,309054,312753,316973,321270,325772,330700,336488,342631,349034,355519,362218,368670,374474,380193,385931,391804,397599,403828,410888,418816,426384,433919,441786,450644,460047,469507,479594,491895,504971,517039,528051,539187,549934,559308,567020,573516,580093,587956,596134,602838,609473,617236,625115,633010,642301,650361,655531,659892,663975,667130,670348,673291,675720,677844,677714,673671,668113,663747,660765,657730,654509,650356,646750,642760,637618,631749,625558,618061,609797,600980,592351,585084,578824,570922,559852,547501,535177,522104,511448,505060,501072,496930,493195,489869,487001,483844,479809,474633,468950,466099,467234,468947,469772,471706,473749,474115,473216,472240,471110,472240,474500,474350,470319,467211,464333,461438,458865,457024,454372,451528,449111,446106,442915,441077,439346,436460,433620,431662,429535,428056,427437,427753,428821,432015,436983,441147,443843,446233,448853,451909,456648,461822,466897,473906,483384,492313,500403,508541,516466,523053,528298,531764,534412,536179,537592,539668,543330,546861,549892,553657,557640,559399,560783,562838,564353,566491,571267,576469,580784,584647,587986,590161,592698,595081,597781,601227,605102,608524,611811,614011,616116,618673,620958,623106,626119,630358,635280,639344,643045,647263,650917,653554,655892,658493,661480,664683,668174,673312,678933,683755,688093,692831,698415,703548,706846
139,"Cook","IL","Chicago","17","031",2,205629,208402,209760,209899,209117,207879,205733,202300,199345,197237,194426,190810,188367,187157,186956,185791,182988,177941,175310,177665,183562,188769,193331,197432,201485,205274,208534,212010,216394,221775,226174,228447,229569,230035,229289,227662,225815,224498,224512,225420,226605,228506,230778,232861,235809,239736,243405,246395,249459,252138,254480,256896,259339,261927,264392,266068,267053,268119,269023,269714,270697,271771,272671,273852,275694,277870,279864,281658,283299,285231,287700,290274,292325,294107,296069,298039,300063,302061,303766,305114,306448,308196,309996,311676,313297,314834,316242,317829,319681,321874,324151,326348,328959,331658,333962,336338,339371,342615,345764,349021,352236,355535,359046,362616,365906,369021,371693,374181,376945,380361,383999,387296,390337,393631,396652,399241,401530,403341,404888,406639,408139,408944,409719,410247,410280,409815,409480,409154,408835,408740,409193,409210,407821,405878,403789,401448,399122,397422,396188,394286,392001,389479,386392,382503,379198,375700,371525,366573,361698,357500,354185,350770,346835,343239,339942,335729,330356,324472,319696,317233,315542,313088,310937,310329,310617,310016,308395,307556,307016,306286,304868,301963,298345,295032,291175,287808,284951,283546,283182,281847,279329,277333,275544,274584,274526,273982,272617,270647,269814,268387,265731,264089,264807,265898,267077,268348,269631,270738,271524,272295,272614,273294,274913,277259,279863,283262,287377,291342,294310,296685,298652,299580,300037,300865,301846,302745,304231,306472,308454,309983,311402,312472,312783,313306,313907,313813,313687,314419,315470,316335,317214,317271,316578,316559,317837,319016,319545,320225,321876,323676,324787,325166,325661,326436,327546,328607,329943,331470,332302,332434,332932,333652,334280,335127,335522,335530,335773,336488,337949,339822,341181,342454,343981,345166
1090,"Harris","TX","Houston","48","201",3,138832,138987,138640,138223,137992,138029,138275,138721,138942,138678,138255,138146,138365,138779,139225,139539,139607,139519,139376,139348,139495,139483,138926,138637,139234,140113,140524,140737,141192,141791,142146,142023,143183,146946,150388,151094,150686,150752,151157,151926,152492,152749,153038,153592,153450,153972,158998,165094,165470,162205,160245,159100,158345,158065,158016,157965,157414,155639,152795,150360,149543,149675,149828,149821,149766,149694,149727,149809,149897,149836,149263,148777,149123,150089,150923,151657,152364,152980,153375,153559,153810,153726,153060,152554,152829,153381,153657,153887,154137,154390,154486,154523,154962,156338,158193,159728,160985,161967,162761,163459,164128,164665,165325,166008,166591,167041,167279,167494,167807,168158,168372,168386,168116,167768,167620,167615,167780,168174,168512,168554,168806,169403,169894,170202,170668,171321,171938,172564,173067,173424,173571,173731,174029,174751,175766,176899,177912,178846,179776,180842,181715,181271,179968,178807,177992,177067,176058,175070,174463,174072,173622,173208,172921,172793,172595,172276,171897,171353,171050,171211,171491,171604,171897,172176,172188,171980,171985,172274,172621,172712,172607,172331,171868,171463,170930,170121,169323,168900,168656,168811,169090,169146,168713,167898,167023,166503,166352,166332,165892,165347,165461,165700,165352,165161,165578,166292,167058,167361,167256,167325,168058,169098,170086,170679,171261,172219,173458,174590,175586,176644,177706,178597,179387,180043,180609,181688,183175,184487,185693,187140,188361,189357,190442,191874,193365,194715,195754,196982,198602,200234,201513,202597,203608,204822,206036,206971,207881,209048,210090,211120,212544,214197,215663,217301,218811,219575,219904,220689,221796,222974,224028,224986,226046,227089,227745,228083,228735,229871,230993,231646,232170,233244,234698,235847
2841,"San Diego","CA","San Diego","06","073",4,204783,204484,204181,204061,204334,204979,205809,206820,207983,209079,210125,210888,211752,212854,214000,215102,216555,218101,219725,221625,224452,227816,230727,232912,234887,237009,239188,241125,242992,245004,246990,249313,251858,254111,256337,258740,260920,262786,264880,267437,269840,272167,275318,279252,283522,288001,292097,295921,299577,303117,306777,310747,314356,317091,319157,321548,324208,326594,329286,332719,336366,339541,342285,345205,348725,352619,356921,361576,366435,371398,376253,380895,386006,391296,396446,401895,407296,412502,418013,424282,430294,435628,440711,446333,451944,457111,462933,469810,478010,487342,497417,504730,511716,522968,536905,548990,560734,575740,593001,608297,619865,630162,638113,643705,647384,647926,647890,650915,653978,654060,652509,649937,647287,644751,641675,639175,638826,638525,637685,637322,637623,637344,636139,632872,629032,626324,625108,623321,621247,619836,616633,610615,604612,599640,593484,588117,582857,576867,570039,563699,556744,548197,537995,527569,517684,508582,500090,492585,487054,483346,479908,476584,474020,471854,468701,464298,459239,453617,450244,450538,451179,450208,450170,451869,452513,452961,454754,456847,458243,459724,460420,458937,456959,454186,450812,447750,444141,439457,437009,436634,435694,433528,429747,425946,423184,420915,419526,418711,418453,419462,420482,421157,423766,427636,430999,433642,437138,442117,447161,452125,457739,462180,466717,474120,482170,490396,500531,509790,516175,521021,524773,527071,530026,534542,538733,541279,543087,544890,547290,550010,551031,551842,553649,554995,555452,557337,560962,564729,568089,571583,575186,579189,583172,586269,588410,590909,595715,601313,603544,604362,606775,609118,609948,611631,614707,618320,622065,626774,630908,633326,635964,640228,645346,649991,653370,655616,658283,662084,665267,667739,671939,678236,683819,687683
1286,"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",5,235783,235719,235712,235928,236313,236629,237005,237608,239126,240552,240977,241095,241896,242999,244763,246647,248665,250984,253562,256205,259748,263849,267874,271275,274374,277372,280338,283657,287283,290569,293517,296352,299238,302158,304771,306662,308276,310087,312084,313712,315042,316875,319537,323226,326864,330147,333720,337350,340333,343668,347369,350701,353596,356837,360316,363904,367529,371128,374238,377371,380621,383388,385462,387788,390932,394426,397973,401857,406015,409973,413747,417823,422139,427022,433402,440748,447826,454498,461411,468750,476302,483241,489195,495537,503498,511344,518237,526453,536899,548125,560559,571228,580217,591970,608287,624597,641260,659720,677931,692196,701685,708117,712217,715912,721105,726045,730076,735299,740854,743601,746386,750729,756502,762776,767973,773591,781065,787480,791042,795169,798120,798815,796712,793554,790262,787295,781792,773936,767317,764153,759793,752569,743844,735664,727386,717453,705071,693413,685360,678231,667721,655597,645435,634753,624242,617459,613466,609077,605525,603407,601611,600376,599627,598708,596785,593394,588806,584043,581613,583344,586795,588907,591620,595322,598201,597894,596091,595343,597232,598286,596006,592302,590021,588187,585216,580048,574619,571042,568749,566296,563344,559482,556107,553458,550353,546623,543906,543951,545700,546009,545866,547519,549542,552168,556327,561876,566950,573019,579364,585007,591072,599666,610051,622420,636514,649077,659302,666415,671325,674743,677242,678757,679563,681504,684383,686834,688846,691538,692326,691841,691943,692685,693269,695487,697723,699542,702192,706427,710127,713306,716600,719756,723493,727834,730623,732665,736509,739377,740216,741620,743450,744654,746247,749261,752481,754684,757367,760620,762958,765772,769066,771600,773082,775405,778686,782366,785832,790048,794502,799144,804348,810471,815783,819273
2964,"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",6,140611,141035,141434,141585,141487,141455,141524,141595,141702,141903,142064,142131,142182,142244,142346,142532,142804,142994,143172,143369,144007,144933,145605,145754,146002,146019,145537,145028,145137,145696,146496,147365,148144,148731,149094,149443,149826,150395,151055,151715,152076,152256,152666,153209,153681,154359,155414,156387,157252,158202,159294,160226,161082,162120,163275,164420,165839,167331,168504,169438,170419,171449,172703,174216,175834,177543,179384,181295,183221,185192,187252,189255,191234,193302,195591,198223,200722,202801,204766,207227,210144,213456,216855,220722,224701,228316,231652,234977,238310,241894,245670,249005,252349,256241,260668,264894,269278,274013,278931,284162,289946,296031,302468,309257,316217,323333,330419,336755,343139,351011,359329,366153,372879,379896,385194,389037,393602,398255,403116,409001,415323,420935,425959,429436,431428,432796,434007,435077,435740,436331,436726,436058,434494,433211,431323,428026,422651,416061,408950,402095,393939,383027,370338,359783,349312,336366,324475,315637,306933,297452,288186,278487,269194,260883,252853,244006,234788,225434,217780,213746,212955,213561,214299,213956,213695,214603,214645,213321,212944,213544,213322,211596,208653,205824,204644,205209,204961,203968,204252,205900,207386,208859,209589,209109,208572,208208,207823,208473,209963,210562,211337,213226,215601,218423,220830,222314,223961,225199,225624,226815,228907,231124,233626,236083,238471,241344,244423,247245,249680,252095,253924,255397,257501,260687,263548,265490,267539,270381,274137,278451,282747,286150,288937,291184,292937,294487,296206,298288,300841,303759,306458,308381,310339,313384,316500,317545,317834,319351,322495,326295,329242,331386,334203,337119,338382,339755,343281,347777,351192,353761,355753,357389,359598,361685,362916,363910,365314,367333,369202,370110,371723,374135,375771,376488
978,"Dallas","TX","Dallas-Fort Worth","48","113",7,146941,147441,147832,147858,147905,148256,148871,149592,149822,149990,150006,150174,150503,150971,151264,152007,152677,152886,152857,152785,152174,153279,156890,159764,159682,159175,158948,158423,158036,157775,156993,155360,156597,160599,163108,162631,162373,162650,163264,164034,164387,164704,165319,166441,167220,167176,167051,167586,168179,168491,168840,169294,170056,171189,172430,173611,174231,173453,172170,171645,171808,171810,171721,171753,172012,172185,172449,172883,173018,172862,172844,173191,173614,174120,174774,175564,176349,176991,177370,177810,178052,177736,177203,177087,177249,177595,177959,178239,178525,178859,179221,179449,179940,181519,184265,186833,188390,189231,189957,190614,191137,191455,192100,192802,193688,194487,194805,194924,195573,196380,197120,197872,198269,198355,198364,198455,198460,198778,199472,200192,200963,201779,201866,201484,201273,201764,202615,203340,203550,203194,202658,202819,203170,202901,202572,202701,202860,202602,201959,201707,201556,200543,198616,196385,194597,193967,193889,193435,192783,192113,191413,190647,190149,189984,189876,189510,188820,187736,186966,186724,186856,187132,187537,187659,187220,186632,186238,186070,186057,186237,185847,185203,184749,184864,184798,184400,183922,183778,183643,183120,182475,182115,181937,181257,180458,179778,179364,179412,180119,180841,181394,181971,182466,182849,183578,184590,185323,185497,185643,185869,186064,186161,186606,187485,188407,189067,189648,190422,191305,191864,192262,193010,193862,194598,195355,196393,197628,198783,199634,200498,201266,202006,202782,203785,204839,205959,207416,209596,211850,213903,215937,218137,220252,222273,224418,226800,229051,230961,232687,234293,236391,238982,242252,246269,250083,253225,256303,258820,260881,263266,265859,268591,271360,273582,274793,275513,277075,279745,281970,283086,284446,286957,289461,290990
1347,"Queens","NY","New York","36","081",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995982,996411
2832,"Riverside","CA","Riverside","06","065",9,153399,153594,153382,153000,152821,152827,152837,152863,153112,153622,153912,153866,153960,154302,154589,154867,155292,155767,156392,157325,158737,160436,162069,163469,164738,165934,167142,168185,168905,169584,170471,171417,172927,175146,177317,178986,180561,181880,182954,183917,184831,186164,188276,190765,193293,195360,196919,198031,199092,200148,201204,201930,202704,203739,205261,206850,208441,209994,211702,213628,215702,217265,218856,220849,223046,225066,227102,229191,231527,233953,236198,238218,240301,242787,245636,248725,252366,256013,259410,263051,267220,271208,275151,279345,284310,290018,295807,301529,307517,313778,320176,326398,332558,339070,346587,355135,364185,374108,385476,397260,407325,416271,423500,429839,434810,439439,443975,449446,454810,460104,464159,467121,469431,471894,474268,475622,476717,478057,479238,480473,482171,483981,485465,485277,483730,482010,479490,476619,473458,469499,464824,459066,451733,444333,437440,428961,417965,406918,397094,387321,377533,368507,358844,348171,337299,324779,311782,301996,295570,289904,284516,279103,273733,268396,262874,257309,252103,246929,243601,242799,243404,243752,244271,244569,245496,247330,248543,248838,249418,250855,251735,251425,249976,247818,246005,245677,245657,244923,245185,245662,245188,243787,241369,238557,237310,236529,235127,234239,234210,234446,235416,237337,239340,241413,243710,246121,247767,249953,253123,257302,261233,264667,268417,273662,279892,286935,294143,300760,306818,312738,317630,320732,322673,325394,328955,332022,334262,336966,339534,340295,340286,340841,342097,343456,345001,346607,347624,347922,349054,351489,353337,354387,356102,358766,360221,361158,363202,365175,366093,367290,369625,372285,375622,378642,380235,380884,382747,384905,385511,385089,385250,386993,389222,391673,395255,399937,403821,407531,411239,413876,416613,419698,421924,423095
3250,"San Bernardino","CA","Riverside","06","071",10,138533,138600,138551,138498,138461,138302,138193,138307,138665,139216,139726,140038,140369,140675,140885,140932,140929,141069,141509,142055,142744,143569,144368,145049,145630,146286,147185,148145,148779,149394,149909,150183,150760,151863,152766,153369,154274,155430,156497,157353,158494,159612,160353,160982,161880,162855,164082,165443,166646,167892,169235,170347,171074,171792,172996,174539,176227,177896,179412,180736,182240,183866,185514,187132,188819,190639,192460,194297,196307,198442,200346,202052,203865,205991,208465,211291,214368,217942,222040,226042,229846,233624,237466,241567,246641,251998,257040,262037,267547,273515,280272,287647,294837,301777,309623,318191,326692,335658,345753,356676,367338,375967,382994,390794,398819,405855,411900,418872,425291,429670,433598,438187,442592,447388,452002,455508,459242,463091,467275,472267,476577,479071,480776,480906,478872,475700,471361,464793,458478,454355,450902,447286,443487,439173,433574,426391,417852,408759,398990,389763,382181,374247,364133,350348,336008,324256,313189,302620,295665,290895,285680,280762,276498,272510,268471,264455,260528,256151,253362,253569,253513,252867,255276,259249,260276,258938,258049,258978,261026,262975,263674,262763,261756,261292,259102,255742,253602,253512,253287,251830,249664,248462,246899,244758,242816,241610,241397,241581,240282,239291,240287,242147,243315,244663,246417,248682,250419,251964,253985,256836,260841,264408,267397,271243,276865,282287,288638,294716,300373,305217,308781,311263,315359,319688,322961,325867,328862,331129,332973,334802,336967,339207,341457,343119,344901,346527,348421,350838,353647,355947,358152,360387,362539,364013,364853,365835,366774,368328,370184,372071,374198,376100,377054,377725,379178,380454,381828,383054,384580,386240,388254,390802,393392,396411,400503,404524,406573,407844,409489,411890,414564,417515,420474,422606
