"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,240916,240946,241148,241590,242133,242371,242505,243123,244572,246073,246525,246281,246337,247028,247796,248866,250084,251798,253756,255394,257870,262047,266000,268813,271596,273965,275162,276083,277531,279239,281279,283544,286163,289087,292041,294199,296146,298527,301464,303559,304386,305238,307063,309189,311464,313899,316746,319680,322045,323796,325957,328419,330803,333064,335649,338514,341391,343786,346546,349620,352682,355569,358630,361762,365128,368574,371829,375307,379302,383670,388164,393209,398872,404640,410573,416857,423333,430324,438086,446269,454550,461548,467691,474420,481856,489203,496811,505669,515924,525820,535292,545839,556878,567988,579628,592239,607297,624279,640656,655159,669775,684135,696057,705556,714679,724792,735761,746410,754646,762428,771597,781514,790495,800767,811191,817991,822400,826530,830500,834434,837772,839806,841138,840820,837764,832569,827073,823492,820507,816953,811904,807521,803238,798453,792550,786046,777495,768706,759647,750606,742997,737199,729378,717299,704038,691660,679366,668946,662103,657148,652087,647378,643270,639616,635339,630089,623502,615961,611582,612263,613624,613507,615258,618634,620206,619105,617527,616649,617732,618479,616056,609756,604190,599054,594568,590106,586464,582668,578921,574962,571083,568275,567609,567587,566922,566397,566072,564401,562447,562568,564558,567566,572978,579694,583832,585829,588346,591751,595693,602144,609488,615485,623181,633923,644221,654430,665389,674746,681562,686315,689760,692657,694682,696075,699049,704166,708643,711890,716493,721298,723906,726428,729343,730412,732007,737269,744143,749395,753697,759100,763744,766987,769884,774600,779142,782539,786671,792466,796894,800198,802604,803652,804156,807573,813364,819544,823563,828598,835504,841301,844012,847374,852424,857118,861880,868233,875909,883554,891569,900504,908557,915730,921940,926468
139,"Cook","IL","Chicago","17","031",2,332078,336307,338063,337699,336945,336585,334812,330466,327099,325643,323645,319823,316459,314097,313697,312109,307776,299784,296280,301251,309067,311508,312319,315275,321501,329467,336346,342475,349616,358101,365192,369129,370487,370868,369591,367125,364565,363403,364077,366109,368854,372938,377126,380470,386309,395120,403100,409442,415948,421225,425487,429852,433995,438094,441732,444135,446419,449041,450547,450751,450153,449186,449091,450507,452338,454579,457640,460905,464284,469122,475225,480459,484656,488185,491670,495469,500087,504354,507208,509611,511985,514464,517838,522895,528058,533064,537927,542039,545540,549368,553450,557584,562109,566189,569562,572826,576693,581293,586092,591094,596193,601885,608018,614026,619195,623793,627460,631284,636682,642103,647095,652327,657455,661437,664616,667537,670409,672898,675444,677547,678494,678820,679696,680201,680762,682040,683399,684645,687671,693277,698482,701357,701451,701556,701281,699912,698257,697971,698614,697464,694761,689631,682974,675785,670038,663722,658148,652668,646867,641684,637654,633479,628836,624810,621066,615907,608834,601240,592347,584228,577343,570381,564299,560088,554526,548479,543468,539793,535278,529596,523364,517005,510564,504157,496722,490358,486182,484493,484144,481818,478053,475916,474013,472500,472440,471986,470078,467661,467147,464880,460027,457309,458625,459634,462085,465468,467323,467136,467241,467948,468971,470473,472824,476549,481744,487655,494171,501059,506784,511818,516141,518110,518377,519122,519771,519936,521461,525767,530328,533562,536193,538181,539216,541071,542818,543981,545937,549309,551106,551401,552023,552576,552504,553356,555287,556349,556423,555902,556100,556943,558221,559103,558681,556624,555454,555680,556479,557950,559455,559567,559357,559307,559342,559167,558331,557223,556752,557060,558206,558983,558309,559647,563106,565756
1090,"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312533,310254,304255,295579,288437,285945,287389,287106,283678,280969,279807,277027,274118,271567,270123,269718,269633,269945,269905,264896,258074,256050,259059,262187,265163,268115,271365,274048,276235,278285,278877,275465,271019,269162,269026,268680,268640,268786,269396,270244,271066,271240,271171,271060,271979,274622,278043,280534,282776,285071,286937,288759,290481,292278,294146,294885,294708,294839,295466,296491,297749,298523,298815,299382,299876,299967,299922,300038,299805,299920,300933,301887,302658,303730,305268,306677,308110,308618,308341,307420,306563,305708,305595,305761,305685,305224,304970,304791,304930,306076,306062,303984,301897,300908,299278,297261,295867,295371,295071,294595,294037,293545,293124,292458,291633,290989,290393,289836,289516,289349,289043,289071,289463,289636,289221,289132,289505,289878,289840,289605,289007,288232,287814,287374,286070,284281,283204,282882,283252,283885,284694,285079,284720,283895,283462,283464,283957,283914,283956,285327,286292,285496,284939,285569,286813,288380,289313,289733,290324,291447,292747,294032,295008,295915,297074,299072,301438,303493,305294,306966,308118,309089,309895,310258,311250,313322,315533,317675,320091,322472,324688,327045,329856,333032,335835,337425,339967,344294,349154,352830,355564,357196,358494,359614,360809,362211,363655,364880,365834,366835,367667,367840,367861,368220,368530,368311,367902,367760,368151,368682,368759,368948,369411,369553,369467,369445,369379,369736,370326,370675,371242,372492,373691
2841,"San Diego","CA","San Diego","06","073",4,277722,276919,276056,276968,279516,281984,283447,285021,286957,288593,289537,290188,291645,293857,296167,298483,301275,304484,307169,310019,314656,320526,325202,328501,331627,335180,338493,340972,342845,344766,347108,350499,354402,358204,361934,365538,369061,372613,376382,380159,383455,386507,390843,396151,401746,407444,412973,418131,422978,427934,433381,439117,444418,448624,451853,455144,458050,460783,464523,469773,475052,479204,482378,485001,487896,492207,498180,504515,510724,515986,520259,524232,529093,534097,538748,544015,549742,554898,560204,566492,573151,578575,583093,588227,594275,600016,607223,616255,626661,637689,650065,659257,667664,682250,701627,718133,732514,750786,771820,789255,801242,812987,821505,826301,829281,829759,829238,831933,835335,835714,834219,832537,830746,828503,826040,823922,823873,824706,824427,823972,824350,824030,821886,817321,813510,811525,809843,807843,806661,805842,802534,795992,789210,783212,775569,769168,763829,756934,748862,742709,735597,724431,711801,701069,690645,680726,672666,665913,660344,656766,653548,650395,648730,648008,645730,641321,635890,629779,626850,628224,629452,629446,631666,634807,635279,634937,636050,637426,638950,640311,639601,636454,633810,629734,624560,620159,614955,608745,605804,605255,603553,600942,596732,592691,589284,586129,584323,583922,584482,586870,588973,590783,595849,602658,607792,611414,615797,621690,627873,634287,640297,644237,649077,657838,666535,674320,684236,693678,700771,705513,706794,706351,708985,714377,718745,720799,722034,723841,727195,730047,730006,730716,734197,736196,736364,737989,742376,747362,750946,754381,759135,764278,768581,772009,774325,776919,783276,790793,793840,794838,797833,800112,799818,800300,803049,807241,811657,816457,820038,822379,824959,829194,835393,841911,846027,849219,853661,859055,863365,867678,874236,883840,892236,897785
1286,"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",5,314609,314856,314749,314664,315044,315430,315887,316894,319533,322049,323094,323603,324335,325223,327525,329944,332037,334904,338629,342287,346459,350948,355827,360484,364948,369377,373882,378942,384225,388407,392024,396042,400473,404327,407072,409335,412229,415383,418352,420700,422968,425995,429603,434482,439331,443270,446724,450133,452656,455249,458344,461809,465457,469802,474664,479167,483353,487531,491889,496200,500436,503920,506644,508905,512012,516034,520645,526079,531555,535962,539864,544678,549854,556315,564847,574707,583786,592249,600697,609942,619475,628724,636562,644204,652829,661921,670932,682046,695237,708479,723193,734558,743643,758014,779002,798642,819501,842910,864377,880036,890519,897418,901508,906228,912925,918196,922350,928803,934802,935562,936973,942242,950092,957619,962701,968123,976289,984423,990049,997035,1002575,1005060,1002289,997578,993172,990560,985389,976520,969161,967091,963496,956077,946728,936958,926443,913723,897924,883891,875219,867775,855776,840538,826579,811652,798098,791267,790108,788117,785230,783134,781811,781496,781735,781519,779348,775088,769226,763188,759151,759294,762283,764098,765598,767470,769348,767901,765482,764835,766740,767539,765453,762027,759697,758209,755127,748941,741579,736305,733136,730390,728082,724185,720122,717783,716360,712722,709618,710975,715051,716266,716298,718934,721732,725000,729456,734966,740108,746959,753950,760502,767685,777454,789329,803662,820092,834988,847583,855790,859799,861892,864701,866637,866789,868411,871911,874633,876944,879567,879180,877439,877796,879528,880566,882486,884726,886845,889715,894805,898861,901915,905493,909916,914308,919741,924064,928081,933578,938018,938880,939857,942156,944329,947081,950938,954396,957571,962364,966644,969218,972543,976318,979938,982423,984857,987150,991555,996082,999725,1002454,1007048,1013391,1023027,1032803,1039441
2964,"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",6,198396,199156,199840,200252,200145,199899,199897,200071,200107,200146,199815,199330,199099,198972,198604,198207,197923,197776,197962,198323,199878,202033,203470,203652,203707,203506,203211,202690,202557,202931,203291,203321,203448,203498,203328,203413,204054,205156,206451,208053,209700,211084,212339,213488,214435,215703,217665,219883,221805,223246,224358,225342,226292,227470,228986,230640,232120,233636,234996,235968,237063,238710,240836,243445,246049,248334,250559,252641,254715,257436,260473,263173,265600,268070,270544,273388,276133,278480,280751,284213,288683,292905,296725,300965,305524,309841,313833,317467,321655,326405,331215,335646,340833,347083,353386,359100,364923,370718,376784,383606,390821,398131,406297,414759,423485,432625,441862,450214,459155,470250,481888,491756,501072,510174,517116,522664,528492,533622,539472,546772,555005,563366,571550,576449,579328,582359,585291,587748,589506,590915,592391,593023,591827,590287,587493,583142,576849,569600,561040,552212,541689,527840,510996,497099,482999,464890,448738,438524,428698,416751,404723,392567,381132,370974,361048,349951,338454,327044,317374,311671,309785,310411,312436,312701,312395,313834,313949,311554,310588,311015,310973,308470,303589,298791,296236,295281,293452,290744,290012,291637,293781,296279,297431,296717,296349,296735,296973,298798,302144,304669,307840,312395,317033,321905,325919,328537,331595,333938,334613,336273,338885,341718,344570,346294,347285,350087,353727,356643,358729,360887,362935,365761,369711,374133,377888,381419,384685,387079,390346,395531,401711,406366,408922,410663,411919,412520,413557,416208,419648,423293,426394,429375,432653,436516,440020,441171,441088,442471,446280,450759,454381,457159,460701,464175,465706,467354,472456,478744,483130,485990,487906,489128,491124,493227,494789,496797,499315,502498,504986,505120,505910,509263,511968,512910
978,"Dallas","TX","Dallas-Fort Worth","48","113",7,257117,259532,262844,265909,268525,271186,273000,274696,272969,270717,270912,272407,270731,270061,270314,270687,271219,272113,273052,274289,273393,273538,279542,288494,291860,289823,284985,279775,276062,274094,273037,269449,281204,306840,321762,316667,312666,309731,307370,305518,303191,301428,301303,303043,301941,297562,294768,295060,295513,296050,297537,299503,301521,302488,302264,302787,302461,299138,295073,293151,292691,292674,293087,294202,295539,296728,297791,298876,298029,295821,294240,294851,296437,298506,300428,302619,305001,306580,307575,308874,309386,308994,309474,310148,310628,312154,314029,314884,315615,315890,315342,314571,314794,316543,319939,325608,331539,335041,336416,337534,337939,338722,340726,342350,343420,344641,345475,346029,346967,348215,349847,351358,352533,353905,355786,357052,356877,357328,360296,363001,363793,363895,364108,364083,364242,365544,367751,369932,371749,372721,372902,373291,374132,374770,375620,377249,379122,379360,377741,377001,376683,374003,369262,364853,361560,360118,359701,359394,359399,359467,359599,359643,359948,360764,361842,362303,362189,361669,360490,359122,357562,357319,358256,358944,357820,356872,354382,350023,346252,344431,342471,340153,338248,336805,334645,332704,331622,330241,328160,326759,325691,324785,324774,324497,323323,322076,321422,320897,320993,321545,322959,324870,327040,328928,330100,330510,330827,330117,328925,328468,329498,330527,332975,336856,339896,340608,341604,344314,348623,352285,354939,357295,358732,359854,361242,362481,363928,366434,369159,372034,374158,375792,377710,379979,381980,383702,385532,387873,389746,390730,391456,391867,392237,393654,396203,398978,401533,403771,405874,408533,412288,416786,421693,426747,430707,433676,437449,440713,442636,444972,448072,450738,453115,454294,454216,454608,455918,458607,459739,458178,457574,459711,461200,461645
2832,"Riverside","CA","Riverside","06","065",8,207804,206706,205726,204606,203423,202619,202396,202820,203929,205193,206124,206339,206431,206744,207018,207305,207854,208617,210083,212342,214066,214361,213655,213490,215127,218361,221510,223900,225626,226745,227659,228344,229811,232130,236019,239903,242474,243481,245255,247218,248764,250769,254280,257683,259927,261817,263819,265456,266871,267882,268036,267693,267803,268221,268127,267520,268074,270148,271714,272616,273930,274947,275702,277037,278453,279882,281508,283457,286144,289245,292170,294854,297299,299988,303070,306295,310168,314144,317951,322349,327539,332387,336813,341301,346994,353867,361426,369305,377448,385847,394487,402850,410868,419055,427782,437606,448140,459851,472479,484965,495625,505568,514016,521965,528308,533460,538592,545416,552261,558693,563793,567785,571128,574129,576744,578239,579412,580795,582046,583423,585709,588612,590715,590053,587466,585079,582004,578085,573744,568892,563726,557437,549334,541069,533575,524238,511428,497291,484154,471686,459792,448452,435536,421008,406507,390395,373817,361612,354192,348290,342686,337065,331788,326806,321604,316309,311484,306554,303941,304787,307766,310265,312537,313754,314713,316511,318164,318888,319134,320370,321398,321368,319653,316932,314613,314239,313554,311778,311293,311371,310603,308863,305364,300914,298426,297193,295782,295220,296081,297038,298741,301525,304106,306018,308333,310788,312276,314357,317705,322098,326689,331280,336312,342620,350090,359133,368507,376493,382851,388308,392442,394995,396704,399370,402801,405787,408325,411229,413756,414090,413619,413414,413735,414219,415502,417291,418242,418134,419178,421886,423906,425160,427414,430608,432138,432829,434489,435924,436293,437155,439662,443094,447054,450187,451333,451854,453927,456106,456436,455946,455910,457835,460268,462561,465923,470461,474045,477948,482644,486224,489377,492285,494351,495414
3250,"San Bernardino","CA","Riverside","06","071",9,175658,175984,176387,176165,174928,173224,171977,171484,171736,172344,173199,173930,174444,174959,175310,175660,176752,178180,179501,180530,180641,179913,178946,177989,177268,177065,177401,178337,179449,180666,181240,181413,182076,183254,184369,185697,187432,189169,190714,191838,193192,194892,196401,198015,200621,203525,206383,209088,211280,212782,214434,216415,218304,219841,221632,223402,225273,228235,231640,234303,236949,239987,242518,244448,246256,248136,250322,252669,255235,257819,259934,261700,263890,266807,270350,273687,276476,279547,283602,287971,292087,295966,300298,305197,310755,316380,322132,328707,336163,343984,353000,363069,372600,381475,391158,401609,411750,422222,433770,446762,459729,470824,479554,488897,498865,508217,515359,523009,530712,536900,542142,547562,553003,559157,564662,568246,571721,575132,579297,585176,590872,594763,597609,598348,596390,593495,589222,582318,575574,571680,568826,565457,560879,555409,548818,539948,528982,517704,506226,495378,486716,477125,464613,448397,432699,419725,407204,395034,386835,380760,374339,368390,363155,358271,353358,348506,343571,338123,334415,334493,334870,334809,337945,342264,343181,341517,340662,341212,342299,342949,343163,341367,339218,337719,335102,331235,328265,327257,326486,324283,321699,320243,317435,313856,311193,309394,308210,307945,306843,306323,307041,308293,308837,309909,311590,314473,316895,318729,320881,323956,327922,331621,335538,341297,348823,355794,364142,372766,380322,386367,390421,393305,398320,403135,406084,408572,411531,414065,416083,417179,418264,419984,422418,424383,425179,425426,426385,428298,430251,432339,434710,437290,439200,440055,439994,440724,441930,443625,445503,448206,451533,454102,454953,454959,456050,457708,459261,459631,460388,462300,464836,467794,470579,473528,477264,481001,482891,484204,486553,489819,493813,498208,502304,504859
445,"Clark","NV","Las Vegas","32","003",10,203420,202798,202241,201941,202247,202730,202899,203200,203518,203980,204431,204851,205374,205895,205848,205538,205364,205311,205384,205617,205965,206226,206430,206591,206463,206441,206764,206982,206926,207117,207768,208673,209458,209991,210390,210665,210839,211316,212525,214137,215335,216074,216984,218169,219762,221384,222599,223923,225738,227544,229058,230266,231188,232156,233192,234232,235217,236306,237098,237350,237715,238557,239467,240673,242320,244245,246117,248026,249967,251997,254054,255870,257199,258270,259127,259697,260183,261072,262502,264034,265779,268042,270596,273043,275952,279584,283845,288700,294506,301271,309558,319127,329497,340243,351981,364307,377838,392752,409691,426205,441692,455212,465287,471841,476949,481988,487256,493552,498813,501517,502121,503442,504451,504440,505435,507662,509987,511679,513535,515784,518886,521155,522146,520891,517424,512939,508549,504477,501270,498102,494298,489013,482866,477252,471797,465516,459303,453348,446160,437510,427100,415200,401799,390501,380638,369797,358103,348284,339495,331354,324030,317105,310154,303180,295729,287194,278874,271086,263831,258267,255524,254348,252688,251437,251391,251764,252898,254960,254853,253854,253737,252619,250111,248331,246461,244048,241101,238585,236979,235288,233612,232121,230410,228645,226679,224111,222935,222771,223061,224565,226207,227400,228572,230099,232021,235289,238690,241329,243427,246109,249520,252414,254915,257889,262811,269291,275893,281114,286253,291281,295392,297849,299569,301319,304100,306847,309175,310961,312644,313949,314838,315385,316575,318466,320634,322288,323214,323731,324891,327160,329751,331915,333010,333365,333582,334800,336043,337211,338137,339220,340772,342459,343653,344944,346368,347237,348565,350651,352385,353739,355440,357990,361543,365137,368014,370135,372398,376207,381143,384822,388440,392693,396607,399411
