"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,119001,118915,118721,118430,118167,117974,117787,117805,118151,118490,118602,118667,118813,118854,118838,119050,119420,119831,120312,120823,121932,123748,125276,125978,126586,127201,127381,127199,127351,127763,128155,128635,129433,130306,131133,131790,132359,133082,134172,135062,135366,135647,136332,137084,137980,139121,140294,141442,142575,143614,144628,145744,146852,147805,148729,149948,151153,152206,153392,154820,156119,157531,159109,160722,162251,163776,165312,167087,169028,171049,173245,175575,177859,180204,182906,185767,188450,191320,194702,198064,201279,204277,207415,210621,214030,217470,221551,226619,232120,236981,241940,247516,253515,259701,265665,271648,279372,288091,295661,302423,310198,318751,326178,332396,337911,343462,349367,355896,361502,366644,372263,378270,384319,391098,397391,401884,405999,409674,412946,416345,419919,422921,425973,427835,427763,426510,425354,424607,423888,422730,421112,419865,418124,415731,412939,409110,403791,398247,392603,386891,381690,377179,371381,363411,354094,344438,334438,325495,318007,311420,304719,298310,292364,286594,280490,273862,266616,259001,253142,249880,247454,245039,243696,242774,241682,240710,239625,238281,238548,239983,240198,238793,237884,237044,236213,235633,234860,233474,232453,231837,230739,229592,229332,229128,228122,226847,225972,225119,224152,223603,223854,224728,226570,228801,230451,231639,232917,234366,236273,238974,241858,244435,247861,252728,257548,262405,267367,272040,276346,280093,282831,285000,286714,288752,291559,294862,298202,301494,304337,306810,308751,310539,312143,313304,315380,318747,322299,325048,327363,329613,331774,333941,335662,337735,340276,343216,345931,348535,350508,352488,354380,355915,357582,359948,363055,366591,369054,371576,375077,378117,380038,382180,384781,387593,390538,393487,397330,401713,405682,409385,413830,418515,422167,424570
139,"Cook","IL","Chicago","17","031",2,77184,78424,78981,79113,79149,79035,78347,77102,75974,75264,74456,73217,72346,72002,71947,71375,70370,68655,67534,68040,70171,72257,74037,75660,77492,79045,80282,81563,83146,85115,87162,88586,89416,89989,89826,89114,88503,88207,88279,88630,88953,89269,89849,90468,91354,92500,93665,94723,95924,97054,98076,99169,100247,101248,102196,103050,103646,104056,104521,104889,105195,105468,105880,106550,107552,108741,109966,110984,112002,113165,114257,115200,116208,116990,117612,118578,119769,120604,121048,121523,122083,122760,123484,124040,124202,124410,124906,125308,125591,126538,127389,127950,128523,129113,129456,130592,132112,133619,135128,136277,136976,137932,139350,140551,141730,143087,144336,145330,146280,147328,148375,149542,150907,152218,153424,154733,155732,156390,157355,158146,158544,158904,159413,159857,160230,160392,160540,160692,160855,161172,161444,161388,160920,160104,159130,158555,158275,157954,157735,157193,156352,155360,154449,153057,151634,150197,148937,147365,145580,143947,142739,141293,139502,137935,136511,134622,132352,129773,127704,126213,124316,121788,119458,117641,116351,114974,113299,112436,112196,112220,111398,109887,108661,107596,105282,103167,101432,99844,97946,95930,93899,91801,89344,87269,85530,83682,82224,80895,79858,78771,77801,76495,75470,75098,75176,74467,73648,73333,73057,72964,72924,72800,72687,73027,73047,72862,72910,73757,74581,75193,75421,75244,75242,75819,76369,77022,77862,78523,79313,80489,81753,82654,83678,84768,85634,86170,86767,87533,88349,89187,89932,90299,90201,90787,92053,93028,93122,93000,93940,95215,96414,97554,98527,98863,99452,100010,100705,101683,102312,102882,103647,103822,103755,104229,105058,105973,106811,107454,108366,109257,110345,111172,111318,111172
1090,"Harris","TX","Houston","48","201",3,54390,54348,54274,54275,54461,54764,55097,55324,55376,55354,55419,55422,55298,55332,55572,55689,55668,55750,55908,55964,56337,57064,57702,58087,58506,58923,59331,59699,59988,60218,60396,60571,60904,61313,61816,62426,63083,63675,64189,64626,64974,65288,65591,65910,66112,66292,66363,66372,66199,65874,65648,65746,65917,66055,66401,66975,67350,67417,67362,67276,67214,67447,67807,68005,68101,68396,68643,68830,69076,69362,69646,70029,70469,70853,71171,71548,72015,72304,72456,72626,72909,73187,73355,73469,73696,74019,74254,74421,74624,74924,75106,75215,75379,75777,76585,77602,78520,79196,79791,80411,80998,81430,81969,82504,82960,83544,84168,84677,85031,85144,85223,85328,85358,85231,85177,85204,85374,85544,85646,85594,85725,86110,86506,86805,87135,87530,87971,88322,88604,88805,88851,88900,89122,89395,89659,89851,89947,90148,90455,90810,90960,90405,89451,88672,87952,87186,86534,85917,85364,85003,84691,84322,83951,83708,83498,83178,82779,82314,81886,81529,81336,81177,80943,80514,80107,79768,79653,79687,79537,79116,78700,78528,78461,78349,78131,77925,77602,77404,77240,77152,77275,77539,77403,76993,76578,76188,75878,75476,75165,75234,75110,74667,74401,74303,74242,74744,75116,74845,74280,74413,74837,74976,75369,75822,75735,75701,76130,76179,76367,76645,76836,77007,77306,77392,77444,77702,78116,78591,79106,79517,79663,80107,80746,81425,82094,82776,83340,84128,85008,85805,86361,86724,87016,87722,88722,89522,90131,90856,91576,92190,92966,94108,95617,97200,98594,99657,100571,101419,102252,103086,104060,105405,107179,108701,109499,109964,110654,111811,113236,114164,114798,116023,117657,118930
2402,"Maricopa","AZ","Phoenix","04","013",4,70644,71094,71353,71564,71831,72065,72282,72695,73374,73970,74091,74124,74442,74945,75379,75722,76093,76590,76990,77302,77760,78366,78868,79311,79695,80111,80611,81138,81554,82012,82596,83155,83804,84406,84915,85338,85870,86391,86893,87302,87752,88138,88434,88740,89273,89877,90500,91045,91510,91796,92228,92746,93172,93558,94076,94636,95301,96073,96792,97379,97919,98330,98630,98925,99369,99878,100392,100980,101614,102208,102705,103219,103789,104458,105037,105597,106139,106736,107286,107906,108561,109199,109672,110154,110627,111058,111493,112028,112528,112991,113616,114319,115084,115794,116637,117647,118892,120249,122122,124628,127340,130075,133191,136738,140722,145207,149774,154132,158497,163314,168671,173850,178943,183715,187530,190025,190981,191377,192740,194377,195203,195728,195666,194912,194070,193791,193691,193463,193242,193024,192591,192470,192689,192411,191396,190144,188569,186619,183963,180500,176613,172761,168183,163047,158440,154662,150949,146968,142898,138781,134510,130215,125973,121608,116935,112144,107433,102824,98435,94695,91370,87827,85068,83592,82748,82054,81587,81199,80787,80371,80000,79360,78323,77684,77296,76425,75558,75022,74574,73904,72897,71495,70086,68945,68185,67711,67468,67548,67881,68227,68852,70051,71739,73435,75052,76710,78664,80763,82737,84674,86509,88330,90547,93082,95475,98035,101016,104124,106916,109218,110887,112471,113926,115179,115985,116625,117117,117979,118781,119265,119820,120722,121622,122323,122987,123686,124430,125012,125854,127145,128680,130280,131929,133356,134624,135734,136892,138111,139209,140322,141745,143212,144738,146240,147693,149121,150690,152369,153723,154634,155530,156894,158449,159858,161107,162816,164747,166566,168222,169805,171325,173094,174655,175690
2841,"San Diego","CA","San Diego","06","073",5,113734,113359,112909,112385,112013,111794,111695,111745,112036,112697,113086,113154,113352,113684,113855,114234,114972,115797,116746,118187,120005,121511,122668,123706,124777,125976,127131,128137,128983,129680,130174,130950,131985,133031,133984,134877,135811,136903,138029,139175,140378,141821,143696,145679,147958,150748,153204,155232,157407,159695,162144,164869,167410,169483,171361,173473,175532,177281,179561,182564,185479,187790,189773,191676,194026,196813,199888,203171,206673,210280,213963,217597,221320,225211,229571,234409,239229,243565,247859,252686,257645,261749,265592,270000,274580,278702,283498,288966,294704,300998,308198,313796,318723,326102,335239,343348,350746,360001,370492,379902,387187,393915,398758,402052,404962,406818,408013,410484,412987,413866,413788,412883,411732,410996,410371,409271,408617,408230,407408,406802,407243,407585,406666,404109,400978,398652,396878,394843,392830,391785,389879,386022,381742,378292,374109,369860,365471,360262,354580,349682,344742,337753,329125,320464,312333,304305,296088,288091,281386,275920,270625,265341,260401,255820,250931,245384,239465,233183,228956,227902,227946,227289,227168,227754,227734,227361,228278,230231,232385,234305,235407,235339,235257,234533,233367,232452,231327,229989,229516,229423,228682,227616,225929,224222,222674,221216,220420,220199,220351,221097,221522,221517,222681,224838,226712,228147,229897,232619,235544,238552,242021,245083,248285,253223,258241,263518,270367,276712,281136,285049,287826,289502,292026,295635,298973,301573,303453,305116,307071,309009,309997,311219,313147,314715,315335,316508,318989,321671,323895,326107,328539,330769,332585,333901,335116,336945,340322,344252,346656,348413,351169,353832,355182,357325,360809,364198,367386,371220,374162,376219,378604,381869,386450,391368,394865,397335,400053,403039,405967,408450,411470,415599,419259,421521
1286,"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,140902,140715,140444,140289,140176,140142,140176,140228,140910,141787,141959,141707,141870,142329,143128,143907,144920,146041,147143,148206,149920,151996,154050,155728,156988,158100,159299,160575,161549,162400,163219,164268,165382,166505,167527,168139,168564,169205,169872,170383,171080,172115,173660,175856,178046,180054,182305,184634,186765,188984,191180,193313,195713,198281,200695,203032,205402,207692,209852,212187,214607,216894,219166,221709,224604,227844,231109,234281,237509,240631,243427,246304,249374,252807,257227,262285,266978,271404,276084,280949,285800,290505,294753,299073,304386,309903,315170,320904,327713,334975,343121,350490,356935,364534,374498,384473,394595,405800,416850,426182,432756,437035,440304,444227,449257,453991,458019,463558,470024,474579,478988,484630,490455,495880,500896,505850,510811,515267,519059,523305,526319,528215,528450,527217,525389,523760,519898,514119,510253,509048,506878,502308,497184,492508,487436,479921,470841,462528,456287,450552,443125,434309,425575,415651,405285,396476,387611,378568,371810,367140,362396,357972,353674,349111,343908,337952,331521,325057,320680,319536,320117,320640,321950,323574,324852,324886,324786,325555,327253,328518,328734,328439,328102,327232,325275,322489,319566,317295,315588,314538,313156,311147,309690,308584,306749,304056,301661,300599,301028,301134,300913,301269,302279,304132,306614,309489,311912,314796,318322,321775,324902,329504,335702,343161,351799,359944,367293,373431,377687,380724,383945,386481,387677,389618,392656,394861,396655,398938,399917,399937,400654,401947,403612,405979,408116,410036,412366,415708,418496,420915,423537,426145,428678,432063,434440,436641,440000,442507,443085,444182,445953,447477,448981,451386,454820,458182,461454,464963,468185,471512,474608,477339,480075,483420,486605,489849,493213,496361,499142,502510,507321,512581,517410,521116
581,"Kings","NY","New York","36","047",7,126774,126843,126341,126323,126794,127003,126789,126272,126141,125979,125582,125250,124885,123829,122586,122083,122082,122263,122706,123903,125229,126013,126591,127546,128705,129543,130576,132017,133604,134734,136113,137926,139429,140225,141205,142541,144237,145923,147510,148841,149690,150362,150238,149315,148949,149435,149872,150912,152755,154454,156057,157785,160005,162499,165402,168260,171025,172942,174835,177461,180416,182392,183576,184510,185820,187705,189955,192987,197566,203794,207317,206267,203672,202229,200722,201297,204521,207646,209322,210859,211714,212943,216932,222532,227523,234942,244431,249286,248109,246573,246933,247702,249359,251869,255305,257592,259766,261497,263666,266499,271805,278660,285760,292730,298218,301766,306264,313520,319912,324559,329586,336024,343016,350350,356203,360122,364270,368447,368315,367080,368608,372505,376480,381354,384317,385339,385904,385870,385990,386509,387416,388818,390592,389930,388546,388298,387908,386465,385846,385409,384167,385343,388804,391895,394772,397176,396355,392127,387470,383249,378276,372978,367934,362700,357437,352416,347194,341302,335498,331382,329687,329047,329898,333316,337954,340277,337541,332055,327528,326050,327298,328401,327338,325290,324294,323376,322067,320501,321738,324838,326555,326688,326964,327450,327998,328272,326922,325334,324702,324752,326205,328517,330210,331189,331878,332222,332094,332238,334820,338530,340343,341058,341736,343124,346806,350851,354066,357018,359570,361348,362520,362367,361854,362421,363446,363731,362801,362476,362451,361750,361584,363944,366399,368330,370025,372207,374276,376754,379126,381187,382955,385935,390903,395456,398234,399342,400665,401945,403917,406125,409781,414082,417516,419865,423169,426596,428360,429779,432300,436076,440458,444675,446848,447866,449190,453080,458734,463747,466916,471351,477027,481210,482492,482982
2964,"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,59414,59681,59983,60129,60251,60469,60695,60825,60984,61175,61378,61602,61910,62151,62291,62327,62341,62306,62291,62410,62790,63262,63587,63664,63690,63672,63544,63494,63789,64342,64884,65273,65651,65988,66125,66165,66263,66464,66740,67035,67178,67176,67243,67399,67665,68161,68776,69322,69845,70386,70876,71365,71803,72213,72729,73411,74091,74724,75292,75806,76390,77081,77923,78859,79713,80519,81432,82397,83416,84409,85331,86274,87262,88164,89076,90102,91059,91993,92953,94055,95356,96882,98426,100059,101719,103305,104706,106057,107610,109383,111237,112903,114428,116173,118427,120702,122976,125388,127950,130644,133620,136693,139831,143110,146499,149861,153041,155935,158897,162459,166247,169565,172915,176311,178857,180771,182919,184949,187118,189869,192770,195292,197842,200015,201643,202849,203765,204642,205678,206622,206970,206406,205388,204663,203692,202368,200319,197610,194299,190832,186447,180812,174692,169877,165099,158966,153579,149538,144745,138821,132995,127049,121252,115695,110124,104204,98265,92415,86950,82344,78940,76634,75121,73655,72337,71650,70889,69628,68676,68196,67519,66447,65096,64016,63420,63038,62414,61804,61606,61908,62267,62571,62691,62598,62623,62749,62571,62579,63028,63359,63655,64201,64886,65714,66714,67723,68802,69393,69704,70436,71482,72430,73680,75035,76228,77626,79049,80296,81432,82586,83768,85081,86461,87925,89274,90310,91398,92696,94185,96014,98170,100356,102232,103761,104867,106010,107271,108788,110616,112656,114516,115970,117477,119334,121068,121991,122806,124020,125812,127792,129415,130864,132686,134638,135997,137428,139833,142736,145346,147549,149140,150575,152337,153816,154777,155981,157753,159665,161140,162276,163719,165412,166783,167615
978,"Dallas","TX","Dallas-Fort Worth","48","113",9,53758,54131,54334,54355,54457,54724,54939,55010,55076,55253,55431,55508,55515,55631,55844,56085,56277,56476,56681,56842,56999,57207,57405,57498,57497,57493,57627,57813,57964,57970,57941,58000,58205,58486,58881,59363,59770,60139,60536,60981,61237,61429,61748,62244,62672,62976,63105,63165,63348,63592,63807,64067,64398,64800,65242,65698,66126,66304,66303,66430,66753,66889,66982,67185,67514,67755,68009,68219,68342,68460,68635,68801,68909,69145,69582,70212,70838,71401,71852,72265,72630,72950,73208,73432,73640,73904,74086,74108,74213,74482,74703,74816,75146,75988,77279,78527,79351,79815,80224,80526,80664,80730,80951,81196,81563,81915,82105,82231,82494,82690,82795,82771,82690,82596,82415,82197,82028,82029,82281,82577,82775,83061,83240,83212,83143,83377,83711,84020,84155,84005,83674,83647,83979,84181,84120,84115,84155,83849,83453,83375,83331,82899,82028,80745,79481,78738,78250,77638,77031,76460,75921,75452,75167,75021,74887,74620,74216,73635,73222,73242,73199,72925,72871,72876,72633,72398,72173,71937,71713,71549,71088,70566,70339,70109,69460,69130,68989,68601,68231,68011,67559,66923,66310,65770,65656,66152,66461,66183,65803,65611,65442,65359,65338,65600,66101,66083,65729,65866,66541,66926,66705,66290,66235,66268,66069,66063,66955,68448,69177,68901,68460,67933,67930,68532,68820,68910,69890,70466,69917,69369,69545,69711,69891,70212,70582,71008,71796,72840,73516,73858,74338,75113,75596,75678,75846,76550,77479,78216,78770,79615,80838,82094,83444,84895,86495,88251,90290,92479,94551,96428,98549,100882,103289,106016,108362,109826,111001,112605,114032,115463,117006,118919,120889,122492
1347,"Queens","NY","New York","36","081",10,125803,126648,127074,127341,127565,127878,128455,129013,129430,129999,130056,129565,129468,129933,130158,130380,130964,131814,132686,133674,134881,136168,136385,135975,136313,137593,138627,139555,140614,141919,143141,144207,145362,146777,147659,148295,149478,151368,153516,155846,157756,159310,160817,162301,163934,166009,167334,167852,168716,170390,172104,173745,175205,176831,178886,180977,183049,185199,185755,185410,186367,188653,190684,192967,194752,195596,196171,197239,198998,201826,202434,201114,201136,202977,204269,205635,206805,207825,209048,210311,211354,210002,220765,240793,251269,248564,249027,248976,249796,252462,256152,259722,263301,267707,269514,269679,272769,279557,286213,292319,297156,301927,307592,313669,318955,323630,325122,325289,328648,334129,338182,343172,348908,354674,360837,367014,372784,378582,380767,380286,381741,386133,389363,392544,397867,401575,399187,395000,393517,394127,396495,399109,400903,402403,402589,400929,399404,398815,398695,398650,397256,395536,393322,390924,386057,379048,373891,371561,368570,364843,361963,359221,356355,353464,349670,345382,341840,338993,335978,333406,331002,327923,325785,325848,326581,324816,321628,319995,319157,317752,317083,317258,315705,312887,310949,307704,304437,303486,304608,304480,304877,306389,307117,305827,305017,306269,306915,306616,305801,305765,305788,305679,305256,305709,307113,307863,308099,308827,310074,311880,314112,315488,316433,317719,319258,321234,323088,324278,325842,327787,329620,331684,334065,336469,339001,341202,343094,344543,345860,348323,351551,354050,355679,357355,358631,359831,361039,362321,363403,364478,365611,367019,368296,369760,372169,375010,377414,380006,382488,384208,385995,388553,391348,394084,396970,399058,400832,403061,405882,408469,409990,411556,414375,417436,418720,420004,422241,425551,428854,431449,432621,433328,433850,434282
