"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,138521,138096,137619,137418,137234,136964,136794,136991,137420,137901,138224,138392,138437,138542,138565,138778,139240,139983,140642,141226,142381,144259,146094,147385,148461,149449,150268,150721,151389,152613,154120,155542,157214,159088,160816,162132,163439,164800,166514,167984,168831,169485,170600,171665,172873,174202,175663,177234,178959,180656,182503,184284,185919,187337,188771,190666,192730,194419,196101,198076,200273,202641,204852,206958,209226,211711,214353,217272,220385,223647,227001,230583,234190,237562,241128,245377,249790,254095,258526,263114,267479,271457,275640,279879,284047,288280,293169,298679,304727,310477,316443,323126,330346,337957,345719,353659,363002,373401,382976,391765,400780,409294,416033,421395,426283,431134,436038,441217,445718,450019,454980,459860,464189,469843,475554,479168,482294,485271,487528,489883,492118,493915,495659,495739,493333,490226,487616,485222,482183,479030,475864,473050,469498,464753,459799,454985,449268,443222,437002,430834,425562,421072,415298,407545,399346,391543,383254,376346,372344,370090,367714,365529,363800,362473,360915,358641,355438,351779,350216,351527,352991,353417,354713,356507,357421,357200,356323,355212,355885,357115,356039,352563,349951,346998,343685,340867,338484,335575,333061,330973,328324,325620,323957,322404,319899,317644,316157,314387,312366,311081,310805,311019,312140,314500,316356,317135,317859,319273,321199,324557,328270,331489,335674,342231,349590,356598,363357,369900,375715,380147,383419,386145,388214,390214,393067,396426,399033,401242,404093,407002,408227,408852,410012,410879,412368,415587,419107,421706,424392,427237,429444,431126,433171,436098,438858,441212,444241,447405,449244,451122,453193,454434,455338,457332,460463,464098,466707,469142,472104,475067,477591,480239,482947,485731,488852,492537,497186,502178,507039,511462,516345,522028,527148,530496
139,"Cook","IL","Chicago","17","031",2,108162,110659,111692,112086,112498,112554,111717,110205,108864,107923,106977,105267,103676,102654,101851,100404,99080,97336,96495,97666,100723,103647,106316,108780,111742,114538,117379,120140,122381,124473,126571,127989,128451,128506,128178,127856,127382,127134,127679,128727,129331,129428,130172,131735,133761,135488,137086,138940,140831,142602,144523,146497,148420,150648,152799,154355,155987,157810,159259,159894,160195,160232,160749,162133,164057,166246,168464,170191,171497,173142,175138,177048,178613,179699,180228,181187,182396,183135,183094,183001,182889,182963,183269,183630,183786,183843,184289,184844,185487,186553,187506,187984,188718,189891,190930,192124,193820,196157,198444,199638,200337,201582,203182,204719,206742,208958,210280,211044,212501,214740,216716,218027,219464,221514,223727,225844,227138,227581,228016,228574,228833,228801,228437,228189,228088,227714,227114,226681,226605,226897,227071,226998,226263,224744,223079,221993,221480,221110,220797,219926,218684,217026,215840,214706,213494,211608,209906,208255,206607,204886,203629,202170,200274,198585,197302,195506,193091,190229,188175,187352,186110,184095,182884,182454,182001,180892,178898,177694,177582,177801,176787,174435,171807,169350,166083,163269,161206,160044,158889,156639,153115,149426,145910,143331,141713,140483,138933,136992,135996,135225,134005,132581,131926,132341,133597,133809,132981,132187,131876,132168,132374,132747,133354,134436,135466,136994,138750,141426,144243,146776,148099,148177,147734,147694,148270,149729,151336,152190,152808,154069,155792,156652,157071,158561,160349,160578,160646,161927,163864,165203,166217,166300,165765,166209,168235,169783,170036,169810,170384,171044,172408,174330,175716,175769,176469,177277,178248,179256,179818,180222,181288,181714,181526,182002,182718,183527,183976,184251,184349,184413,184831,186548,187916,188465
1090,"Harris","TX","Houston","48","201",3,57342,57614,57840,58145,58355,58411,58629,58922,59042,59059,59007,58838,58653,58383,58120,58132,58366,58544,58447,58155,58048,58144,58277,58849,59564,59957,60342,60911,61319,61719,62297,62891,63429,63906,64408,64637,64756,64871,64848,64512,64248,63776,63158,62715,62566,62353,62141,61829,61519,61299,61272,61459,61875,62322,62549,62647,62789,63013,63032,62676,62365,62725,63358,63375,63023,62860,62926,63094,63331,63397,63381,63580,63877,64049,64090,64427,64842,65245,65806,66572,67083,67452,67773,67816,67519,67313,67446,67742,67911,67992,68079,68064,67886,68000,68895,70107,70979,71434,71610,71625,71759,72201,72453,72522,72696,73112,73202,73344,73848,74236,74199,74052,74186,74379,74480,74426,74559,74871,75090,75175,75273,75350,75369,75564,75857,76122,76531,76750,76840,76746,76425,76237,76561,76710,76677,76554,76159,75748,75513,75640,75680,75028,74206,73677,73053,72646,72760,72962,73178,73589,73933,74023,74034,74175,74410,74655,74816,74827,74708,74332,74048,73711,73189,72458,71849,71434,71712,72286,72400,71782,71101,70978,71214,71168,71145,71353,71162,70713,70461,70393,70356,70489,70479,70275,70175,70222,70682,70860,71254,72297,72077,70888,70678,70955,71548,73866,74942,73950,72546,72719,73864,74580,75369,75613,74937,74659,74660,72999,72266,72336,72198,72110,71926,71393,70785,70721,70983,71759,72113,72165,71977,72767,73518,74499,75747,77190,78469,79813,81167,82775,84057,84628,85182,86466,88024,88647,88989,89850,90797,91923,92855,93441,95701,99356,102019,103057,103773,103729,102518,100645,99830,100378,102099,103363,102444,99682,97673,97985,99279,99294,98735,99381,100810,102000
2402,"Maricopa","AZ","Phoenix","04","013",4,74308,74591,74787,74965,75069,75184,75372,75668,76110,76602,76953,77174,77441,77747,78000,78257,78703,79231,79646,80015,80524,81129,81650,81978,82195,82441,82838,83405,83920,84281,84647,85175,85737,86213,86509,86739,86996,87341,87692,87945,88201,88552,88800,88960,89349,89794,90098,90327,90690,91092,91383,91566,91859,92203,92515,92835,93240,93696,94171,94636,95042,95293,95446,95521,95598,95753,96087,96522,97010,97380,97666,97995,98302,98452,98679,99164,99684,100131,100532,101044,101706,102409,102949,103398,103820,104263,104771,105222,105519,105902,106443,106899,107371,108000,108859,109892,111194,112727,114600,116901,119482,122199,125156,128575,132563,136959,141225,145590,150349,155549,161230,167002,172474,177175,181310,184656,186241,186846,188644,190489,190888,190622,189652,187970,186391,185471,184623,183509,182215,181092,179928,179058,178704,178279,177326,175991,174371,172459,169864,166729,163773,160977,157483,153639,150476,148190,145971,143530,141258,139119,136816,134561,132511,130280,127738,125115,122534,119934,117855,116215,114324,111795,109699,108244,106943,105641,104234,102625,100778,98481,95806,93147,90500,88441,86964,85362,83788,82576,81685,80734,79428,77925,76661,75605,74795,74420,74489,74878,75381,76006,77004,78426,80148,81854,83411,85175,87310,89141,90517,91954,93493,94826,96171,97824,99691,101729,103909,106018,107894,109666,110903,111760,112633,113660,114237,114499,114723,115138,115368,115454,115706,116200,116783,117407,117990,118428,118888,119321,119984,121181,122585,123724,124720,125542,126118,126636,127298,127956,128555,129397,130585,131924,133344,134757,136025,137319,138726,140266,141522,142161,142807,144161,145714,146982,148151,149618,151308,152929,154336,155754,157199,159263,161594,163358
2841,"San Diego","CA","San Diego","06","073",5,123087,123008,122739,122295,122112,122154,122357,122703,123169,123745,124276,124635,124845,124961,125024,125353,125984,126829,127888,129473,131620,133863,135348,136336,137386,138620,139787,140936,141991,142885,143547,144413,145729,147151,148456,149601,150655,151826,153419,155159,156856,158693,160995,163467,166116,168960,171745,174287,176757,179372,182458,185723,188522,190722,192873,195442,197992,200204,202884,206290,209773,212794,215206,217546,220318,223419,226558,229802,233027,236376,239746,243125,246853,250934,255437,260322,265014,269352,273799,278911,284139,288492,292068,296317,300981,305263,309485,313953,319033,325034,332042,336633,340559,348129,358302,366701,374488,383931,394427,403679,410847,417527,422344,425361,427393,427571,427419,429119,430050,428611,426590,424587,422643,420647,418415,416639,415982,415081,413260,411393,410258,408942,406932,403614,400124,397120,394665,392223,389969,388071,385331,381218,377008,373643,369548,365641,361981,358085,353866,350222,346234,340859,334568,328696,323356,318093,312857,308022,304167,301482,299072,296627,294586,292881,290659,287539,283999,280136,277875,278136,278837,278311,278040,278502,278341,278003,278250,278596,278853,279516,279456,278242,277078,275646,273434,271238,268561,265872,264413,263467,261539,258948,255899,252902,250191,247417,245531,244511,244055,243754,243457,243416,244793,246860,248449,249510,250558,252602,255352,258451,261891,264784,267711,272662,278234,283737,290714,297434,302970,307477,310494,312291,314738,317808,320851,323286,325416,327543,329272,330631,330991,331485,332910,334215,334957,336559,338961,341018,342664,344571,347310,350247,352795,355170,357225,358841,361924,365914,368287,369805,372073,373892,374668,376544,379768,383346,386512,390005,392883,394983,397224,400275,404121,408247,411384,413594,416138,419181,422159,425170,428651,433329,437788,440922
1286,"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,138537,138462,138303,138000,137850,137787,137671,137652,138496,139499,139638,139466,139742,140054,140542,141440,142581,143829,145137,146650,148670,150903,153156,154938,156488,158039,159792,161553,163397,164999,166467,167848,169213,170529,171675,172493,173358,174432,175540,176380,177125,178316,180174,182623,184837,186854,189091,191417,193370,195451,197747,200033,202308,204667,207155,209898,212701,215346,217978,220689,223164,225325,227341,229467,232190,235466,238656,241448,244382,247134,249630,252592,255944,259310,263342,268063,272396,276300,280540,285407,290335,294962,299083,303280,308206,313269,318133,323699,330101,336845,344519,351463,357425,364968,374949,384847,395190,407140,419055,428857,435743,440416,443628,446614,450247,453486,455997,459190,462579,464217,465799,468369,472192,476177,478654,480996,484990,489101,491637,494587,496786,497275,495490,493219,491020,489427,486492,481788,477814,476106,474013,470299,465497,460398,455253,448861,440680,432683,426972,421999,414652,405836,398170,389826,381698,376431,372798,368803,365713,363655,361776,360290,358901,357280,354928,351643,347564,343423,340698,339653,339384,339204,339731,340733,341975,341564,340230,340124,341526,341796,340011,337869,336584,335056,332440,328649,324828,322072,320104,318094,315968,313317,310946,308987,306634,303492,300955,299974,299899,299406,298644,298248,298071,298783,300475,303236,305898,308974,312214,315332,318768,323607,329647,337108,346174,355118,363413,370154,375246,379185,383194,386712,388994,391385,394447,397324,399673,401976,402874,402777,403005,404092,405125,406678,408160,409589,411396,414308,416667,418194,419725,421663,424242,427687,430127,431838,434521,436452,436376,436794,437879,438860,440235,442497,444967,447382,450396,453591,456529,459571,462685,465575,468578,471805,474366,477124,480534,484238,487272,491177,495649,501613,508600,514576
581,"Kings","NY","New York","36","047",7,148384,148934,148697,149378,151097,151687,150785,149592,148953,148378,148064,148721,149724,149567,148894,148373,148242,148943,150260,151812,153477,154795,156083,157928,159805,160694,161740,163097,164106,165060,167083,169663,172327,173775,174190,174860,176438,178979,182247,184437,185097,185339,185911,186424,186508,186505,187592,190543,194413,197331,199766,203550,208870,214243,219351,223404,226635,230284,235141,240434,246543,252364,255972,257771,259886,262970,266328,270502,277390,288202,292381,284464,273564,267231,262630,261891,265279,269127,270717,271872,272916,274489,279519,287989,295062,303607,313554,316019,310083,305154,303647,304090,306648,309457,313168,317274,323017,327590,332951,340157,350888,361612,372487,382951,390507,394012,399609,409699,419585,427352,434565,442232,450666,459515,465596,469778,474119,478217,478156,477778,479269,482507,486085,491017,493956,496090,498502,498907,498610,498413,498345,499582,500957,498441,496468,498423,500029,498354,496423,494914,492809,494588,499238,502464,504161,505281,503690,499932,496353,493591,490035,486114,482735,479600,476716,474261,471769,468252,463924,460024,457830,457286,459137,463377,468796,471953,468282,459824,453024,451518,453817,455368,453308,449156,447397,447998,448027,446807,450529,457900,463555,467071,470514,472745,474643,476877,478491,479557,480286,480304,481083,482971,484702,484384,482616,482500,484636,487360,490906,495384,498975,501950,503568,505253,510038,517786,525169,531920,539431,547401,553000,556001,560811,568925,576970,583316,588974,594444,599071,604071,610892,618742,624887,631312,636910,640847,644277,648613,654018,660876,667212,672011,676064,679485,681351,680780,681225,684195,690004,695569,697511,696153,695786,696797,700166,703487,704536,706627,709711,712451,715450,721551,727328,731974,735994,742153,749694,758366,766080,770670,774948,779928,783323,784558
2964,"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,75759,76050,76265,76318,76242,76216,76428,76698,76908,77104,77363,77692,78022,78266,78469,78713,78967,79176,79308,79370,79664,80143,80470,80527,80483,80392,80261,80173,80317,80773,81294,81813,82257,82580,82746,82863,82983,83273,83669,84072,84313,84455,84753,85084,85307,85636,86209,86751,87245,87750,88240,88681,88974,89061,89280,89991,91017,92056,92885,93540,94319,95224,96310,97600,99046,100691,102580,104232,105732,107470,109376,111092,112785,114537,116243,117971,119829,121383,122454,123870,126055,128336,130173,132286,134678,136738,138164,139721,141356,143139,144882,146414,147876,149926,152574,154963,157127,159682,162799,166023,169414,173160,177204,181255,185267,189315,193192,196520,199841,204255,209710,214592,219211,223946,228042,231240,234252,236742,239572,243552,247838,250488,251655,252247,253230,254197,254826,255124,255110,254729,254016,252849,251289,250226,249054,246071,241336,236260,231162,226114,220892,214449,207308,201648,195986,189059,183256,179477,175273,170410,165669,160751,155947,151551,147160,142338,137368,132414,128342,125891,124337,122919,121677,120120,118771,118117,116973,115217,114285,113710,112374,110444,108484,106779,106073,106259,105765,104827,104648,104645,104208,104136,104009,103374,103082,103042,102695,102692,103364,104191,105361,106950,108611,110393,112039,113597,115185,116550,117639,119051,120927,123054,125415,127795,130254,132757,134938,136494,138135,140285,142101,143723,145956,148530,150471,151970,153519,155589,157912,160269,162694,165183,167120,168896,170240,171044,171625,173227,175162,177161,179561,182120,184033,185727,187702,188832,189052,189486,190982,192436,193658,194743,195930,197214,198471,199482,201310,203700,205887,207233,208041,209033,210668,211536,211893,212552,213293,214421,215747,216107,215909,216454,217057,217244
978,"Dallas","TX","Dallas-Fort Worth","48","113",9,66035,66292,66160,66041,66145,66403,66365,66220,66124,66287,66369,66238,66016,65921,65849,65574,65469,65660,65867,65866,65930,66047,66373,66689,66794,66849,67223,67877,68390,68463,68698,69322,69857,70138,70183,69725,69117,68981,69186,69270,69177,69248,69483,69603,69566,69608,69900,70386,70994,71610,72338,72785,73116,73401,73741,74036,74458,74442,74062,73861,73918,73789,73462,73516,73826,74023,74086,74242,74238,74213,74268,74626,75018,75235,75446,75802,75919,76043,76204,76302,76174,76001,75958,76107,76257,76434,76504,76288,76301,76582,76889,77115,77806,79055,80664,81894,82424,82471,82701,83264,83589,83624,83855,84159,84530,85044,85334,85406,85695,85974,86207,86349,86221,85799,85242,84868,84766,84915,85430,86208,87167,88223,88856,88940,88904,89276,90039,90887,91296,91295,90863,90466,90316,90347,90366,90871,92061,93073,93599,94046,94166,93574,92691,91575,90439,89956,89860,89530,89082,88756,88489,88265,88140,88156,88307,88384,88235,87810,87540,87516,87603,87716,87708,87465,87514,87849,87812,87520,87306,86927,86025,85450,85259,85075,84412,83804,83189,82797,82567,82452,82272,82395,82697,82522,81786,81178,80874,80751,80552,80031,79493,79367,79555,79867,80264,80114,79874,79922,80379,80447,80128,79684,79727,80006,80244,80348,80660,81279,81624,81480,81251,81381,82158,83206,84002,84601,85413,85828,85517,85077,85391,85978,86345,86662,87229,87941,88502,88871,89072,89193,89842,91221,92365,92943,93365,93853,94439,95110,96068,97645,99149,100527,102156,104354,106881,109835,112429,114833,117227,119624,121409,123292,125605,127700,129207,130258,130937,131478,133713,136146,137236,138431,140901,142635
1347,"Queens","NY","New York","36","081",10,108278,110063,111589,112251,111981,111154,111040,111779,112949,114180,114043,112523,111667,111902,111959,112132,113090,114716,116153,116978,117795,118982,119604,120125,121295,122255,122087,122261,122954,123552,123818,124179,125214,127163,128347,128595,129367,131119,133063,135204,137287,139045,140523,142102,143624,145197,145991,146275,146789,147869,148850,150225,151591,153205,155575,158280,160661,163084,164321,165067,167061,169997,171973,173613,174949,175974,177030,178436,180452,182845,182534,179867,178656,179527,180252,180970,181972,182966,183996,184946,185755,184590,194284,212383,221616,220848,225260,228668,230461,233296,236203,238111,240338,244342,246919,248360,252389,259099,265238,271368,277137,282963,289511,296178,301725,306773,309438,310835,314148,318234,320679,324330,329300,335366,342936,351287,359014,365600,367624,366866,368123,371784,373718,375684,379004,379522,374865,369186,366469,366491,368128,369413,371203,373825,375040,374134,373772,373982,374329,375270,375108,374314,373468,373269,370412,365014,361598,361691,360985,359187,358202,357712,357365,357236,356507,355411,354673,354307,353335,352729,353299,354094,354719,356210,357457,355615,351888,350131,349684,348235,347048,347232,345265,340882,338508,336344,334526,335116,337769,338400,339197,341979,344118,342467,341897,346357,349901,349338,347418,346270,345138,343810,342058,341619,342941,344127,344221,343750,343392,344717,347064,348952,349546,349698,351747,355250,358246,360319,361961,363433,366128,369626,372582,375220,379083,383619,386874,388548,389952,392479,395267,395783,395741,398468,402093,404244,405467,407143,409347,411062,412202,414882,418490,421895,425185,427949,429492,432571,437427,442995,448131,452696,456465,459792,464173,468978,472022,473692,476490,479512,481522,483822,486427,488934,490593,492201,493886,497767,502828,506614,509902,513766,515952,516660
