"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,161305,161113,160832,160580,160318,160082,160072,160366,160930,161504,161945,162274,162519,162664,162797,163185,163848,164659,165435,166355,168070,170610,172906,174447,175684,176910,177702,178047,178604,179570,180664,181764,183284,185129,186807,187895,188944,190436,192411,193971,194833,195842,197389,198837,200454,202374,204333,206285,208543,210611,212573,214661,216823,218700,220497,222586,224857,227028,229232,231487,233577,235772,238024,240173,242112,244271,246766,249566,252226,254884,257888,261506,265272,268885,272967,277812,282815,287805,293091,298562,303942,308772,313492,318341,323360,328427,334117,340747,348114,354786,361437,368948,377110,385315,393656,402719,413629,425232,435731,445132,454518,463956,472011,478340,483608,489099,495376,501821,507096,512653,519418,526351,533322,541250,548581,553857,558797,563381,567120,570597,573902,576913,579467,579820,577279,573756,570304,567293,564508,561968,558484,555062,551445,546952,541959,536484,529401,521449,513704,506220,499426,493552,486574,476955,465858,454739,442848,432832,426227,421718,417011,412755,408963,405593,401969,397562,392222,386403,383310,384090,385715,386803,388938,391012,392079,391935,391158,390204,391517,393515,393192,389831,387428,385110,382697,380712,378931,376106,373379,371544,369373,366911,365270,363687,361012,358404,356220,353894,352126,351896,352736,354051,356346,359835,362765,364802,366741,369138,372237,376900,381488,385293,390525,398272,406211,414069,421980,428885,434281,438491,441626,443877,445129,446392,448694,451673,454531,457461,460570,463387,464934,465867,466840,467670,469743,473591,477678,481000,484185,487059,489938,493385,496394,499222,502801,506503,510372,514339,517490,520566,523573,525790,527819,530904,535016,539587,542706,545670,549355,552783,555266,557684,560532,563533,566571,569829,574258,579612,584862,589719,594680,600494,605828,609562
139,"Cook","IL","Chicago","17","031",2,132781,134712,135601,135789,135500,134919,133534,131269,129101,127652,125990,123671,121954,121123,120873,119770,117924,115185,114139,116009,120158,123746,126734,129316,132086,134520,136774,139111,141472,143926,146068,147151,147605,147834,147349,146408,145468,144823,144879,145460,146149,147126,148397,149559,151222,153476,155631,157409,159193,160820,162388,164061,165814,167703,169405,170585,171664,172842,173676,174170,174820,175503,176019,176879,178401,180201,181716,183152,184561,185883,187376,189152,190850,192097,193085,194275,195735,196962,197691,198441,199310,200297,201515,202815,203806,204728,206072,207550,209075,210986,213072,214850,216539,218456,220198,221911,223937,226411,228901,231146,232916,234688,236843,238909,240834,242724,244273,245751,247655,249719,251825,253878,255721,257595,259452,261219,262575,263512,264568,265718,266395,266875,267154,267102,267097,267194,267036,266845,266800,267166,267496,267304,266259,264888,263453,262069,260845,259753,258908,257644,256154,254165,251875,249229,246971,244524,241841,238810,235775,233059,230768,228352,225643,223078,220704,217826,214317,210473,207242,205012,202901,200619,198973,198199,197742,196725,195143,194044,193563,193068,191788,189565,187148,184662,181673,179018,176810,175409,174451,172882,170463,168097,165774,164149,163261,162379,160972,159250,158226,157233,155846,154833,154791,155103,155772,156277,156717,157049,157157,157270,157347,157800,158636,159886,161168,162760,164908,167652,169621,170875,171977,172776,173018,173407,173872,174443,175411,176975,178371,179584,180860,181847,182396,183066,184032,184463,184807,185864,187315,188471,189676,190166,189874,190183,191618,192885,193530,193901,194936,195947,196810,197728,198616,199110,200206,201588,202881,204268,205401,206055,206882,207821,208527,209214,209747,210146,210648,211589,212851,214057,214996,216296,217711,218760
1090,"Harris","TX","Houston","48","201",3,98240,98244,98022,97881,98014,98358,98664,98848,98707,98128,97329,97007,97024,97139,97418,97825,98108,98385,98640,98864,99238,99848,100596,101202,101676,102442,103374,104001,104414,104766,104895,104710,105437,107633,109716,110786,111417,111640,111454,111513,111552,111642,111980,112541,112865,113869,116157,117885,117827,117385,117395,117550,117932,118340,118619,119096,119247,118396,116928,115999,115824,115924,115888,115764,115691,115745,116037,116370,116755,117100,117298,117420,117695,118037,118526,119117,119663,120077,120340,120570,120787,120600,120212,120201,120562,120909,121212,121489,121775,122025,122284,122466,122795,123853,125527,126852,127789,128545,129219,129828,130409,130905,131488,132072,132602,133052,133371,133714,133994,134248,134400,134327,134015,133700,133536,133356,133303,133527,133767,133738,133863,134202,134538,134947,135501,136128,136625,137104,137567,137860,137793,137801,138059,138528,139042,139519,139892,140209,140487,140893,141108,140259,138900,137958,137350,136641,135788,134862,134177,133721,133237,132773,132408,132164,131873,131405,130849,130208,129763,129748,129921,129945,130070,130180,130057,129846,129871,130026,130061,129892,129669,129235,128591,128187,127742,126990,126250,125866,125502,125324,125272,125166,124727,124044,123251,122591,122282,122269,121973,121560,121564,121643,121446,121384,121709,122320,123044,123235,122953,122774,123133,123696,124312,124724,125033,125589,126438,127357,128289,129210,130007,130698,131358,131921,132401,133157,134238,135241,136098,136908,137671,138667,139840,141024,142163,143205,144033,145119,146480,147687,148682,149599,150434,151271,152121,152893,153890,155146,156228,157477,159148,161065,162859,164652,166079,167096,167859,168625,169439,170158,170735,171353,172315,173134,173417,173655,174210,174899,175841,177035,177963,179232,180993,182458
2402,"Maricopa","AZ","Phoenix","04","013",4,109722,110027,110400,110831,111317,111763,112288,113062,113815,114284,114378,114586,115166,116001,116581,117067,117655,118280,118735,119191,119818,120453,120965,121333,121626,121927,122391,122985,123495,123971,124653,125469,126306,127167,127927,128504,129100,129866,130686,131323,131890,132524,133004,133317,133925,134747,135575,136329,137093,137629,138080,138549,139017,139375,139875,140490,141247,142053,142819,143456,144075,144602,144963,145074,145251,145690,146216,146694,147298,147944,148542,149092,149548,149939,150483,151199,151892,152471,153033,153795,154790,155731,156374,156983,157655,158163,158587,159075,159656,160315,161088,161987,163109,164238,165470,166998,168821,170821,173462,177122,181160,185421,190252,195821,202044,209042,216173,223484,231265,239777,249121,258521,267525,275785,282613,287280,289133,289657,291349,293222,293366,292909,291326,288244,284684,281588,278628,275722,273093,270962,269085,267491,266366,264881,262273,259025,255618,251946,247667,242992,238294,233728,228343,222302,217029,213118,209443,205512,201792,198298,194555,190907,187610,184201,180377,176404,172423,168324,165079,163274,161814,159571,158080,157754,157462,156954,156580,155999,155067,153732,152030,149758,147043,145316,144267,142468,140887,140139,139691,139052,137963,136332,134837,133638,133211,133347,133877,135014,136524,137781,139241,141512,144663,148026,151030,153877,156824,159196,161188,163389,165528,167356,169506,172073,174722,177496,180424,183313,185766,188142,189848,190949,191785,192930,193655,194345,194860,195629,196425,197115,197528,198162,198942,199844,200741,201602,202504,203382,204618,206643,208976,211281,213608,215623,217125,218385,219786,221214,222484,223791,225297,226617,227895,229279,230741,231991,233339,235051,236494,237099,237787,239281,240895,242254,243616,245297,247031,248738,250332,251682,253031,255133,257339,258802
2841,"San Diego","CA","San Diego","06","073",5,162885,162841,162591,162187,162003,162073,162246,162689,163453,164330,164998,165497,165851,166195,166634,167363,168583,169933,171289,173051,175539,178189,180547,182429,183971,185528,187205,188669,189908,191263,192670,194221,196047,197858,199310,200567,202014,203790,205954,208481,210880,213149,215914,219194,222969,227183,230964,234308,237703,241205,244688,248026,250909,253436,255692,258022,260289,262478,265228,268650,272078,274923,277011,279090,281800,284855,288436,292369,296355,300296,304484,308763,313458,318075,322852,328371,334198,339766,345139,350843,356609,361678,365971,370564,375497,380223,385632,391878,398660,405925,414360,421133,427397,436643,447989,457939,467326,479241,493189,505646,515028,523512,529702,533871,536824,537669,538447,541485,544221,544459,543428,541498,539599,538168,536409,534367,533564,533303,532601,532364,533405,533883,532754,529983,526732,523674,521377,519282,517392,516179,513625,508801,503589,499363,494543,489776,484811,479294,473184,467374,461207,453265,443907,434645,425535,416752,408441,401173,395842,392441,389251,386083,383603,381682,378949,375066,370813,366248,363683,364519,366330,366968,368357,370911,372264,372768,374250,376140,377535,378746,379154,378057,376433,374079,371095,368564,365505,361948,360113,359578,358541,356854,353843,350479,347759,345395,344111,343509,343137,343773,344770,345630,347894,351640,355013,357076,359502,363604,367973,372246,377272,381557,385880,392704,400035,406679,414857,422961,428623,432195,434298,435314,437456,440672,443391,444921,446117,447409,449556,452315,453685,454576,456502,458033,458700,460292,463339,466670,469603,472685,476336,479957,483241,485890,487466,489323,493783,499081,501621,503274,506559,509263,509966,511350,514244,517834,521906,526294,529660,532103,534874,538259,542507,547370,550926,553265,555852,559579,562945,566236,570341,576301,581750,585556
1286,"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,196400,196705,196796,196682,196629,196765,196929,197098,198064,199063,199300,199390,199732,200066,201079,202502,204145,205914,207952,210363,213619,217352,220980,223914,226512,229162,231774,234555,237165,239299,241395,243673,245785,247653,249307,250463,251501,252851,254347,255287,256170,257859,260086,263007,266323,269329,272201,275215,277878,280537,283329,286018,288579,291494,294406,297413,300515,303627,306308,309078,311989,314542,316774,319286,322609,326395,330220,334000,337908,341644,345293,349275,353382,357799,363478,370133,376781,382915,389051,395663,402248,408069,413130,418393,424696,431274,437422,444506,453182,462579,473221,481856,489234,499706,514002,527542,541732,557945,573603,586012,594465,600146,603993,608113,613484,618397,622578,628209,634348,637913,641949,647517,653466,659000,663887,669218,675528,681113,684990,689530,692557,693379,691530,688706,685767,683108,678015,671133,666004,663529,659758,654086,647697,641078,633672,624604,613692,603541,596438,589752,579853,568549,558393,547029,536065,528814,523602,518185,514174,511778,509631,507968,506695,505106,502414,498498,493822,489034,486328,486762,488691,489967,492101,495136,497817,497924,496956,496995,498537,499054,497456,495209,493894,492415,489386,484581,479776,476658,474637,472481,469784,466475,463411,460743,457484,453947,451628,451589,452481,452278,451910,452916,454253,456312,459354,463580,467835,472650,477097,481368,486393,493465,502646,514825,528364,540012,550249,558523,564171,567829,570674,572409,573191,575061,577963,580036,581942,584568,585600,585225,585596,586944,588854,591752,594658,597388,600254,603377,605995,609191,613075,616268,619319,623714,627421,630645,635049,638542,639267,640437,642417,644203,645895,649002,652618,655616,658999,662583,665315,667696,670482,673342,675894,678361,680944,683775,686637,689629,692738,696308,700991,706737,712260,716118
581,"Kings","NY","New York","36","047",7,164440,164843,164904,165344,166203,166626,166525,166280,166557,167104,167466,167924,168612,168750,168605,168761,169139,169532,170068,170913,172469,173822,174760,175879,177358,178377,179301,180089,181029,182104,183442,185245,187420,189020,190324,191835,193392,194810,196544,198352,199891,201588,203304,204813,206440,208454,211239,215523,220442,224632,228310,231241,233115,234810,237437,240210,242924,245670,249087,253179,257840,261847,264463,266275,268853,272278,276557,281419,286709,294167,297192,291844,284868,281795,279382,280099,284136,288229,290459,292268,293466,295761,301864,310421,317491,325891,336033,342017,342448,342074,342536,344134,347094,349409,351119,352671,356331,360194,364770,370498,379769,390649,401943,412157,420565,425442,431766,442116,452216,459430,466760,474409,482017,490332,497136,501937,507004,511762,512345,512315,513375,515338,518060,522344,524531,524930,524216,521912,520428,519844,519807,521402,523975,523620,522737,523243,521997,517673,514168,511885,509111,510814,516019,519610,520793,521288,518024,511934,506761,503328,498820,493831,489321,484947,480769,476656,472340,467207,461774,457871,456450,456805,459736,465407,471686,475032,471182,463075,456990,456427,459754,462116,460158,456080,454646,455354,455509,454144,457459,465441,472453,475411,477367,479236,481126,482668,483338,483442,483771,484002,485198,486637,487325,486906,485925,485859,487645,490213,493097,496535,499057,501112,502002,502867,506194,512401,518491,523757,529233,534939,538622,540773,544545,550394,556149,560938,564411,566939,569757,573665,579605,586953,592818,597128,599936,602611,605120,607884,612146,619396,627479,634458,639144,642229,645416,646952,648107,651423,658089,663971,666625,666827,666899,667795,671806,677301,681816,686441,691050,695295,701033,708942,716020,721761,726648,732202,739612,748082,753968,757605,763279,769660,772805,773770
2964,"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,97691,98026,98342,98473,98395,98396,98602,98869,99132,99436,99759,100102,100532,100795,101029,101375,101665,101761,101937,102144,102604,103199,103704,104046,104373,104459,104255,104167,104568,105365,106157,106841,107420,108036,108546,108862,109104,109548,110270,111015,111520,111831,112380,112990,113374,113825,114597,115250,115964,116862,117647,118275,118937,119658,120457,121478,122713,123925,125023,126074,127119,128244,129525,131016,132669,134286,135812,137307,138809,140492,142194,143757,145254,146796,148483,150334,152002,153434,154863,156729,159122,161625,163851,166256,168728,171045,173076,174874,176696,178863,181109,183167,185515,188311,191340,194235,197237,200570,204396,208631,213113,217921,222982,228174,233655,239464,245242,250508,256050,262522,268928,274315,280219,286330,291066,294343,297538,300460,303821,308168,312987,317217,321009,323547,324726,325348,326043,326666,326809,327093,327277,326335,324511,322820,320936,318159,313643,308057,302349,296999,290897,282701,273303,265615,257741,248064,239491,233118,226409,218894,211593,204106,196877,190236,183707,176506,169077,161763,155533,151534,149390,148471,148221,147379,146492,146615,146327,145285,144925,144959,144455,143100,141452,139908,139088,139211,138891,137886,137843,138861,139759,140555,140903,140680,140538,140538,140295,140605,141623,142328,143011,144400,146147,148134,149665,150811,152242,153424,153800,154668,156198,158043,159999,161734,163542,165961,168387,170281,171927,173638,175268,176857,179032,181728,183980,185467,187159,189557,192640,196309,200141,203386,206056,208333,209872,211207,212918,215086,217478,220036,222368,224124,226064,228552,230906,232104,232934,234339,237019,240177,242751,245177,248347,251458,252960,254340,257493,261593,264732,267092,268940,270655,272646,274439,275743,276894,278164,279794,281575,282499,283678,285507,287045,287752
978,"Dallas","TX","Dallas-Fort Worth","48","113",9,88517,88648,88881,89166,89430,89698,89938,90202,90465,90620,90711,90730,90725,90778,90944,91144,91321,91546,91786,91943,92151,92560,93020,93280,93402,93630,93943,94154,94433,94642,94658,94585,94938,95679,96392,96866,97455,98108,98738,99362,99777,100128,100744,101493,101977,102323,102594,102873,103122,103331,103553,103885,104255,104643,105097,105661,106132,106164,106008,106109,106430,106685,106924,107327,107894,108520,109058,109590,110147,110672,111076,111535,112073,112605,113180,113789,114473,115145,115683,116064,116349,116544,116671,116740,116698,116810,116967,116989,117035,117165,117245,117249,117542,118584,120478,122428,123730,124327,124771,125361,125740,125781,126098,126672,127396,128036,128251,128213,128414,128707,128967,129083,129009,129021,128967,128783,128477,128348,128553,128907,129322,129844,130078,129977,129909,130154,130523,130840,130967,130816,130496,130568,130939,131183,131358,131794,132313,132505,132469,132604,132599,131882,130655,129045,127469,126471,125844,125082,124449,123917,123365,122790,122379,122178,122020,121721,121205,120452,119859,119500,119137,118919,118916,118771,118453,118304,118166,117943,117919,118110,117885,117381,116954,116685,116315,115976,115546,115136,114751,114355,113855,113407,112929,112322,111785,111429,111108,110792,110741,110814,110780,110737,110691,110588,110789,111258,111607,111609,111597,111634,111739,111656,111775,112221,112855,113381,114021,114730,115388,115742,116061,116711,117329,117844,118521,119354,120008,120610,121250,122060,122939,123653,124204,124735,125451,126258,127133,128058,129011,129876,130485,130858,131244,131947,132785,133694,134655,135597,136580,137998,139862,141979,144502,147532,150447,153189,156102,158877,161335,163927,166600,169474,172274,174549,176051,177281,178657,180518,182380,183817,185263,187323,189455,190896
1347,"Queens","NY","New York","36","081",10,164678,165658,166151,166450,166669,166808,166908,166994,167321,168102,167998,167247,167173,167799,168101,168644,169479,170406,171480,172675,174100,175769,176178,175670,176067,177495,178517,179415,180444,181658,182914,184173,185549,187261,188137,188578,190089,192594,194846,197052,199285,201600,204114,206381,208684,211687,213909,214956,216663,219752,222580,225280,227953,230752,233562,236300,238839,241677,242822,243042,244897,248265,250873,253293,255307,256716,258445,261162,264390,267718,266781,262694,260680,262175,263587,265082,266365,267766,269173,270358,271634,269974,283999,310472,324528,321256,323350,325934,328989,333197,337770,342263,347246,353725,356698,357175,360813,368633,376054,383030,389097,395516,403417,411636,418810,425587,429106,431072,436551,444098,450048,456623,462720,468409,475132,481982,487906,493877,495608,494201,495521,501062,504724,507462,511336,512472,507012,500018,496234,495504,496669,497963,499517,501417,500679,497568,495657,494956,494395,494377,493054,490809,487993,485369,479290,470273,463451,460309,456725,452633,449470,446645,443784,441098,437472,433280,429871,427092,424235,422594,421984,421085,421119,423063,425285,424277,420928,419205,418693,417908,418239,419333,417396,412953,410129,407204,405109,405154,407411,407488,408432,411383,412851,410416,410129,414167,416255,414522,411407,409294,407844,406894,405462,404137,404776,406361,407199,408496,410752,413130,415146,417035,418470,420455,423504,427522,431000,433220,434937,436362,437848,440521,444572,449343,454176,458219,461233,463698,465748,468588,471786,474201,476091,478523,480625,482367,484811,487666,489653,490949,493536,497779,501706,504583,508806,513945,517893,521635,526077,530155,534598,539570,542767,544631,547572,550393,553455,558866,565071,569869,572477,575311,579064,583511,586715,590237,594703,600550,605253,608049,610233,612714,614241,614776
