"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,165131,165029,164805,164572,164274,164034,163955,164084,164601,165345,165951,166244,166397,166579,166784,167173,167923,168851,169645,170547,172336,174929,177350,178968,180273,181448,182225,182538,183189,184143,185292,186613,188242,190087,191890,193227,194347,195834,197821,199620,200682,201735,203274,204953,206892,208992,211056,213226,215529,217614,219722,221932,223861,225460,227189,229325,231462,233226,235100,237241,239422,241610,243722,245877,248045,250338,252928,255759,258619,261576,264726,268206,271983,275835,280109,284859,289853,295072,300713,306624,312029,316804,321868,327397,333008,338279,344174,351120,358701,365734,372670,379914,388037,396724,405333,414173,424699,436376,447220,456778,466549,476300,484281,490621,496383,502316,508857,515615,521442,527517,534558,541935,549000,557328,565094,570329,575193,580010,583360,586685,590310,593314,595656,595971,593340,589324,585693,583247,580787,577995,574588,571385,567739,563203,558137,552354,545078,537095,529120,521253,514087,507754,500282,490196,478691,466919,454385,444022,437374,432788,428065,423736,419868,416451,412701,408235,402837,396809,393406,394006,395481,396201,398155,400447,401442,401090,400500,399755,400707,402776,403096,400315,398021,395994,394001,391983,389847,387031,384811,382997,380616,378133,376677,375091,372496,369761,367356,364935,363379,363218,363882,365104,367915,371990,374979,376629,378243,380438,383287,387870,393019,397437,402978,411033,419195,426955,434730,441577,447018,451638,454978,457123,458395,459818,462155,465375,468560,471744,475639,479618,481824,483061,484411,485693,487502,490945,494819,498218,501498,505082,508290,511487,514673,518334,522203,525916,529892,534404,537743,540420,543182,545508,547409,550464,554460,558707,562129,565476,569549,573548,576232,578750,581721,584257,586638,590269,595551,601010,606108,611294,616528,621903,626954,630552
139,"Cook","IL","Chicago","17","031",2,143240,145352,146423,146591,145991,144939,143166,140571,138394,136746,134619,132005,130349,129612,129526,128552,126666,123633,122367,124269,128520,132243,135565,138322,140962,143376,145451,147497,149945,152845,155317,156567,157090,157305,156860,155830,154651,153690,153595,154172,154863,155886,157081,158035,159652,162045,164134,165837,167703,169166,170430,171989,173696,175385,176929,178245,179346,180228,180807,181330,182011,182752,183363,184134,185390,187078,188705,189961,191003,192227,193770,195381,196862,198296,199900,201515,203306,205262,206775,208183,209626,211090,212757,214765,216390,217842,219412,221136,222913,224797,226630,228320,230258,232475,234317,236027,238148,240636,243116,245713,247943,249908,252056,254367,256495,258572,260497,262235,264224,266454,268742,270719,272588,274923,277406,279392,280838,282164,283542,284999,286156,286812,286984,286936,287095,287215,287314,287249,287381,287792,288180,287875,287001,285717,284214,282852,281390,279807,278476,276827,274870,272648,270124,266881,263627,260310,256980,253179,249364,246015,243151,240236,237072,234105,231250,227827,223651,219113,215268,212758,210709,208363,206220,205147,204741,203751,202006,200937,200444,200068,198881,196578,193961,191490,188616,185921,183426,181900,180932,179219,176721,174772,173188,171980,171111,170034,168721,167326,166416,164822,162905,162001,162415,162748,163078,163533,164097,164708,165170,165368,165426,165979,167051,168454,169932,171620,173719,176101,177994,179270,180233,180876,181533,182422,183358,184081,185188,186844,188524,190051,191404,192394,192857,193457,194047,194304,194566,195683,196952,197932,199073,199741,199954,200567,201827,202818,203519,204068,204937,205764,206604,207523,208431,209236,210363,211593,213103,214867,216065,216592,217407,218294,218837,219382,219919,220097,220215,220897,222246,223574,224507,226056,227772,228814
1090,"Harris","TX","Houston","48","201",3,99857,100031,99907,99721,99856,100263,100682,100836,100602,99953,99170,98729,98655,98923,99408,99823,100159,100444,100574,100850,101390,101916,102427,102984,103598,104316,105081,105790,106414,106898,107076,106897,107573,109993,112733,114355,114869,114681,114225,114132,114203,114500,115136,115900,116292,117425,119814,121544,121609,121362,121568,121702,121682,121555,121556,121928,122065,121020,119271,118162,117913,118029,118050,117945,117870,117956,118279,118624,119065,119331,119343,119413,119846,120210,120574,121142,121832,122347,122656,122873,123006,122823,122451,122394,122668,123016,123380,123755,124034,124283,124439,124445,124695,125897,127673,129006,129864,130548,131141,131727,132330,132872,133477,134118,134732,135247,135654,136078,136310,136500,136629,136621,136389,136104,135894,135796,135774,135935,136096,136005,136156,136585,136929,137234,137700,138297,138903,139475,139871,140011,139923,139993,140311,140843,141429,141860,142122,142417,142680,142974,143169,142417,141060,140072,139419,138675,137924,137172,136560,136075,135564,135079,134703,134425,134086,133602,133057,132404,131900,131789,131976,132098,132279,132362,132261,132044,132073,132202,132253,132050,131734,131305,130715,130186,129671,129020,128297,127877,127575,127391,127298,127343,127188,126564,125753,125221,124991,124836,124504,124218,124222,124237,123976,123826,123994,124539,125322,125589,125318,125200,125602,126121,126724,127228,127679,128213,129006,130003,130925,131698,132450,133212,133873,134326,134695,135466,136556,137676,138767,139720,140435,141428,142685,143991,145148,146083,146787,147916,149277,150354,151214,152348,153396,154289,155112,155931,157219,159039,160671,162143,163985,165879,167324,168433,169421,170316,170993,171740,172497,173134,173686,174283,175090,175942,176400,176735,177415,178223,179122,180109,180922,182227,183959,185289
2402,"Maricopa","AZ","Phoenix","04","013",4,114461,114677,115068,115587,116079,116516,117023,117706,118431,118970,119095,119277,119849,120670,121324,121909,122488,123111,123659,124223,124884,125525,126044,126452,126854,127221,127659,128194,128713,129190,129803,130595,131468,132220,132887,133557,134271,135026,135776,136427,137119,137732,138118,138516,139105,139780,140506,141255,141975,142495,142978,143408,143831,144311,144982,145665,146506,147486,148336,149024,149678,150220,150528,150625,150756,151094,151495,151882,152480,153138,153822,154455,154865,155232,155805,156524,157176,157804,158472,159436,160564,161522,162170,162849,163558,164096,164572,165078,165787,166702,167674,168580,169725,170903,172220,173790,175798,178063,180934,184812,189194,193681,198625,204361,210975,218581,226168,233716,241998,251181,261133,271185,280676,288979,295941,300814,302459,302567,304218,306238,306266,305425,303386,300038,296261,292935,289737,286934,284593,282657,280774,279155,277850,276183,273719,270517,266657,262771,258627,253642,248303,243311,237556,231164,225656,221508,217580,213548,209797,206244,202392,198699,195381,191930,187954,183871,179845,175687,172319,170377,169087,167136,165702,165283,165129,164810,164568,164075,163224,162027,160295,157861,154982,153079,151912,150096,148462,147668,147346,146887,145995,144423,142924,141699,141201,141298,142001,143344,144904,146192,147757,150019,153091,156490,159663,162691,165840,168322,170246,172419,174719,176768,179153,182007,184658,187507,190864,194201,196765,199254,201096,202426,203447,204502,205144,205883,206545,207482,208363,208935,209384,210308,211525,212499,213276,214183,215147,215982,217400,219354,221333,223457,225900,227899,229127,230209,231802,233260,234229,235251,236619,238014,239476,241094,242671,243867,245099,246873,248281,248941,249599,251113,252816,254149,255373,257054,258676,260229,261693,263056,264305,266352,268638,270291
2841,"San Diego","CA","San Diego","06","073",5,176747,176497,176350,176185,176107,176243,176501,177023,177818,178671,179570,180351,180974,181401,181787,182480,183691,185016,186371,188131,190742,193660,196146,197957,199587,201559,203600,205301,206885,208784,210670,212503,214616,216934,219005,220930,223120,225232,227375,229855,232296,234496,237307,240880,244732,248662,252371,255764,259074,262400,265847,269239,272084,274462,276730,279351,281847,284222,286934,290175,293090,295693,298058,300578,303525,306793,310400,314526,319025,323392,327764,332342,337539,342690,347817,353419,359231,364737,370257,376342,382510,387992,392774,397952,403499,408695,414270,420873,428361,436300,444968,451180,456888,466377,478403,488907,499027,512089,527356,540904,551517,561493,568955,574105,577665,578490,578643,581359,584101,583970,582178,579722,577147,574811,572643,570858,570462,570140,569573,569571,570457,570880,570155,567220,563608,560839,558835,556436,554425,553220,550239,544632,538964,534301,528787,523463,518061,512156,505954,500117,493654,485479,476263,467087,457642,448590,440081,432265,426433,422776,419243,415879,413293,411178,408220,404161,399561,394493,391960,393802,396393,397164,398421,400850,402156,403034,404526,405744,406789,408105,408418,406798,404734,401683,398043,395077,391701,387719,385917,386026,385655,383839,380329,376845,374300,372177,371230,370794,370432,371191,371995,372488,374586,378317,381826,384299,387142,391406,396163,401020,406455,410547,414993,422664,430964,438790,447752,455585,460842,464655,466539,467108,469263,473105,476220,477664,478565,479864,482066,484685,486070,487696,490294,492250,493071,494768,498244,501779,504652,507987,512044,515829,519067,521580,523816,526455,531152,536423,539452,541473,544405,546425,546983,548714,551841,555281,558647,562707,566095,568700,571336,574952,579787,585138,589383,592445,595621,599556,603105,606186,610557,616785,622077,625386
1286,"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,213421,213607,213587,213540,213722,214031,214369,214908,216201,217252,217440,217516,218259,219034,220334,221824,223551,225549,227983,230465,233538,237238,241078,244337,247031,249522,252113,255187,258282,260767,262779,265096,267588,269793,271770,273462,274823,276164,277652,278656,279582,281110,283433,286682,290171,293158,296062,299194,302106,305334,308732,311675,314363,317532,320948,324553,328521,332477,335976,339299,342285,344711,347127,350114,353357,356777,360339,364038,367681,371230,374578,378266,382549,387606,393698,400593,407488,414262,421268,428468,435600,442246,447945,453788,460642,467537,473954,481466,490759,500884,512320,521374,528639,539177,554609,569302,584455,601535,618342,632022,641902,648242,652008,656416,662284,667083,670710,676122,682402,685758,688703,693267,699497,705897,710591,715534,722274,728572,732601,737577,740990,742138,740551,737802,734351,730767,725168,717885,712294,709622,705707,699036,690853,683161,675168,665074,652446,641527,634277,627787,618370,607336,597263,586139,575802,569307,565024,559906,555816,552926,550264,548245,546727,545009,542148,537894,532687,527349,524454,525326,528159,530951,534871,538600,541273,541390,540352,540197,542013,543126,541910,539937,538624,536983,533567,528511,523058,518995,516382,514455,512121,508572,505345,502857,499824,496107,493394,493251,494629,495082,495620,497946,500419,503301,506972,511833,516900,522556,528141,533410,538966,546720,556291,567428,580009,591515,601361,608695,613373,615824,618074,620220,621892,624163,627455,630165,632674,635277,635785,634824,634967,636567,638443,640952,643384,645536,647993,651431,654444,657399,660887,664426,668424,673107,676255,678932,683017,686283,686994,688153,689644,690942,692558,695804,699428,702378,705623,708916,711479,714987,719018,722056,724353,727239,730719,734323,737354,740405,743510,747522,752972,758623,763376,766877
581,"Kings","NY","New York","36","047",7,175640,176156,176221,176365,176579,176578,176417,176426,176871,177840,179029,180207,181307,181826,181720,181634,181934,182554,183529,184829,186403,187592,188314,189103,190188,190882,191472,192013,192536,193186,194131,195502,197736,199978,201874,203625,205372,206640,208119,209983,212216,214435,216895,219564,222372,224957,227667,230977,234783,238137,241150,243579,245204,246683,248938,251468,254535,257482,260153,263783,268813,272702,274900,277139,280622,284608,288916,293148,296985,301713,303530,300119,295751,293763,291658,292366,296849,301604,304245,306379,307796,310395,316966,325586,332538,343134,358401,369494,373214,375316,377685,380055,383862,388594,394172,398595,403039,406300,409585,413281,419792,428002,437751,448429,457330,461886,467409,477401,486854,493351,499909,507095,515027,524714,532080,535922,540263,544937,544239,542319,543037,545729,548422,552515,553521,551320,548837,546288,544237,542802,541548,541333,542091,540556,538168,537115,535227,531270,528014,525142,521919,523660,528803,531887,532598,531943,527233,519922,513947,509886,504798,499047,493656,488351,483240,478130,472877,466923,460781,456642,455685,456672,460110,466485,473400,476913,473537,467040,462513,462876,467272,470620,469314,465613,464065,464252,464582,463484,466798,474479,481535,484276,485765,486959,488050,488501,488011,487350,487142,487280,488535,489555,488943,488383,488582,489020,490014,492448,495689,498314,499233,500020,500028,500189,502916,508619,513994,518115,521804,525674,528412,530522,533602,538005,542308,545791,548298,549636,550425,552382,557018,562414,566498,570370,573915,576650,577876,580134,585107,591738,597223,603615,611159,617737,622610,625546,627854,630106,634440,640232,646182,648842,650452,652965,658296,664303,670146,675850,681429,685947,690887,698169,705520,712270,718248,724621,730852,737642,742355,745092,749205,759483,771682,780720
2964,"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,112739,113127,113488,113745,113915,114045,114182,114370,114741,115154,115465,115673,115854,115975,116095,116172,116266,116298,116265,116233,116664,117406,117967,118207,118497,118624,118440,118207,118271,118739,119510,120319,120925,121342,121601,121837,122098,122545,123157,123871,124344,124549,124869,125366,125903,126608,127528,128408,129281,130143,130986,131723,132395,133165,134084,135027,136063,137208,138269,139259,140384,141585,142895,144359,145881,147364,148858,150420,152018,153660,155381,157079,158700,160432,162383,164520,166575,168527,170469,172621,175156,178004,180756,183541,186209,188631,190752,192714,194850,197398,200218,202889,205525,208487,212193,215955,219656,223683,228246,233342,238867,244520,250322,256454,262740,268983,274937,280251,286068,292944,299801,305559,311549,317584,322116,325482,329471,333561,337701,342859,348529,353524,357927,360838,362292,363205,364165,364911,365358,365872,366115,365089,363141,361749,359913,356962,352259,346726,340679,334728,327581,318270,307502,298608,289712,278680,268664,261127,253217,244341,235731,226931,218438,210643,203027,194711,186125,177482,170215,165980,164147,163482,163254,162288,161429,161768,161628,160610,160623,161448,161650,160503,158686,157090,156452,156828,156546,155422,155365,156611,157705,158814,159377,158872,158385,158203,157824,158137,159313,160044,160729,161848,163057,164521,165744,166541,167660,168312,168381,169237,170684,172094,173965,175998,177921,180134,182585,184814,186478,188070,189578,191106,193417,196789,199587,201345,203241,205786,208988,212618,216402,219812,222765,224893,226434,227971,229918,232367,235397,238556,241157,243291,245582,248569,251478,253100,253933,255290,258106,261970,265175,267690,270825,274017,275926,277705,281183,285560,289010,291848,294012,295575,297613,300023,301765,303597,305912,308571,310921,312590,314808,317447,319438,320625
978,"Dallas","TX","Dallas-Fort Worth","48","113",9,90024,90214,90399,90568,90788,91045,91235,91484,91760,91951,92019,91997,91980,92087,92309,92555,92823,93106,93425,93577,93782,94187,94628,94789,94865,95057,95318,95541,95820,96015,96021,95935,96271,96981,97739,98352,98983,99559,100221,100953,101438,101848,102448,103207,103750,104124,104360,104589,104853,105095,105338,105639,106011,106355,106805,107443,108025,108099,107924,108019,108299,108577,108866,109286,109865,110480,110982,111528,112112,112631,113037,113483,114029,114582,115115,115703,116338,116914,117386,117836,118195,118365,118436,118435,118363,118455,118649,118682,118669,118825,118942,118896,119130,120235,122113,124105,125446,126095,126522,127071,127465,127648,128048,128548,129209,129817,130089,130120,130381,130600,130816,130908,130909,130911,130874,130600,130213,130087,130380,130730,131147,131706,131914,131778,131646,131841,132243,132591,132634,132427,132120,132195,132570,132822,133011,133398,133825,134008,133943,134107,134140,133395,132078,130484,128859,127793,127136,126396,125776,125286,124757,124173,123778,123610,123446,123127,122621,121853,121270,121044,120794,120392,120195,120129,119905,119719,119535,119259,119200,119440,119272,118798,118445,118319,117927,117460,117152,116984,116671,116350,115939,115440,114880,114260,113686,113238,112953,112680,112543,112469,112577,112598,112440,112337,112690,113196,113475,113478,113585,113783,113812,113673,113737,114144,114755,115444,116171,116840,117421,117923,118429,119144,119763,120230,120757,121533,122262,122758,123271,124041,124833,125439,125975,126552,127295,128064,128904,129985,131154,132080,132633,132960,133407,134175,134943,135646,136601,137779,138892,140213,142115,144394,147038,150276,153605,156538,159443,162260,164793,167292,169824,172504,175184,177422,178768,179773,181104,183026,184798,186037,187416,189530,191777,193373
1347,"Queens","NY","New York","36","081",10,172580,173693,174190,174390,174508,174624,174782,175013,175551,176551,176474,175670,175620,176314,176683,177239,178084,179092,180290,181563,183055,184742,185348,185130,185679,187178,188377,189486,190595,191964,193449,194966,196749,199111,200512,201488,203808,206970,209773,212886,215972,218633,221044,223216,225665,229009,231201,232421,234341,237151,239435,242032,244712,247403,250320,253311,255897,258844,260327,260867,263172,267225,270485,273321,275869,278321,281394,284817,288513,292390,291401,286044,282534,282885,283556,284805,286191,287296,288217,289258,290574,288941,304196,332660,347555,345306,349799,353710,356697,361061,366319,371927,377791,384172,386909,387721,392391,401006,408261,414677,420737,427856,436507,444906,452073,458957,461887,463062,468541,476453,482245,488987,495519,500870,506651,513228,519857,527018,529778,528968,531182,537385,540879,543350,547640,549352,543537,535276,529154,526083,525837,526390,526586,527335,526041,522101,519184,518003,517442,517550,516699,515029,512063,508924,502320,492764,485923,483315,479552,474731,471084,467938,464752,461874,458132,453613,449632,446439,443072,440846,440178,439317,439363,441906,445844,446407,443958,442924,443817,444192,445603,447637,445931,440934,437704,434410,431902,431849,434522,435507,437170,440151,440777,437816,437540,442258,445078,443278,438928,435716,433108,431075,428880,427337,428119,430052,431431,433439,436095,438360,440386,442234,444066,446498,449784,454074,458180,461013,463344,465863,469024,473512,478521,483071,487281,491134,494163,496244,497596,500103,503552,505810,507459,511021,514946,518544,522347,526191,529794,533534,537642,541988,545200,547589,551027,554750,556925,558636,560987,563445,565985,569520,573084,576181,580181,583683,587059,592622,600381,606558,609831,613836,619968,625250,627790,630560,634393,638949,642119,643724,644873,649423,655139,659008
