"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-03-31,3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim",0,609562,0.00616346553807351,0.025025223649694,0.0930240064265785,0.0888489134241917,0.0248352336039412,"2018-03","2018-Q1",609562,0,"2018-03"
2018-03-31,139,"Cook","IL","Chicago",1,218760,0.00481831418715637,0.0175073024614411,0.0526366440350109,0.064710398017739,-0.0129550429589214,"2007-02","2007-Q1",267496,-0.182193378592577,"2004-02"
2018-03-31,1090,"Harris","TX","Houston",2,182458,0.00809423568867304,0.025258059259509,0.0648077360769873,0.0790525015532564,0.0283515382491843,"2018-03","2018-Q1",182458,0,"2018-03"
2018-03-31,2402,"Maricopa","AZ","Phoenix",3,258802,0.00568510797042034,0.0228074820871751,0.0815819057927708,0.0850530686981377,0.0153187953609639,"2006-04","2006-Q2",293366,-0.117818697463237,"2005-08"
2018-03-31,2841,"San Diego","CA","San Diego",4,585556,0.00654232917920069,0.0266770230441087,0.0878703375140964,0.0831799739636314,0.0302517828382416,"2018-03","2018-Q1",585556,0,"2018-03"
2018-03-31,1286,"Orange","CA","Los Angeles-Long Beach-Anaheim",5,716118,0.00541656136803976,0.0215794496648316,0.0635278951855075,0.0682305458597245,0.027300321337467,"2018-03","2018-Q1",716118,0,"2018-03"
2018-03-31,581,"Kings","NY","New York",6,773770,0.00124869792509106,0.0137446464530008,0.0914433056582908,0.0900131823182713,0.0406230436013884,"2018-03","2018-Q1",773770,0,"2018-03"
2018-03-31,2964,"Miami-Dade","FL","Miami-Fort Lauderdale",7,287752,0.00246302844501733,0.0143613533654355,0.0631689789584526,0.122130597662097,0.00803723718077909,"2007-02","2007-Q1",327277,-0.120769256623594,"2005-10"
2018-03-31,978,"Dallas","TX","Dallas-Fort Worth",8,190896,0.00760602781663192,0.0304054236409861,0.126402870056764,0.11210178749522,0.0399334904721396,"2018-03","2018-Q1",190896,0,"2018-03"
2018-03-31,1347,"Queens","NY","New York",9,614776,0.00087099363279234,0.00744469735330603,0.0685976802112249,0.0789454221525883,0.0239163714145614,"2018-03","2018-Q1",614776,0,"2018-03"
2018-03-31,2832,"Riverside","CA","Riverside",10,371062,0.00311427103890135,0.0173468408570606,0.0997720799409601,0.0979795337403211,0.018591034405421,"2006-06","2006-Q2",428259,-0.133557029741348,"2005-01"
2018-03-31,3250,"San Bernardino","CA","Riverside",11,336372,0.00536498324750356,0.0218885854292806,0.0984651557703612,0.114613752032748,0.015235183964136,"2006-07","2006-Q3",393107,-0.144324573207803,"2005-05"
2018-03-31,445,"Clark","NV","Las Vegas",12,259873,0.00966645297900033,0.0378812083646181,0.167218372012594,0.127815439604714,0.00914776264634698,"2006-06","2006-Q2",318491,-0.184049156805059,"2004-08"
2018-03-31,207,"King","WA","Seattle",13,647983,0.0131113810727693,0.0465669925430145,0.180996035904679,0.134943582216227,0.0447426868850402,"2018-03","2018-Q1",647983,0,"2018-03"
2018-03-31,791,"Wayne","MI","Detroit",14,65152,0.00420783304304937,0.0174276969204822,0.125114407584575,0.156587796599408,-0.0206071463185846,"2005-09","2005-Q3",115299,-0.434930051431495,"1997-09"
2018-03-31,2049,"Tarrant","TX","Dallas-Fort Worth",15,199329,0.0120637918691261,0.0396935097721144,0.110418477170934,0.0925898862567145,0.0374802582953235,"2018-03","2018-Q1",199329,0,"2018-03"
