"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,276814,277136,277226,277401,277576,277952,278695,279608,280641,281837,283270,284534,285276,286218,288118,290586,292862,295417,298299,301806,306411,311553,316061,320252,324474,327908,330382,332376,335138,338349,341533,344683,348394,352439,356649,359688,362156,365110,368985,371707,373256,374614,377020,379371,382224,385599,389088,392179,395591,398576,401294,404575,407537,409721,412200,415583,419171,422521,425244,428454,431595,434496,437280,440745,444164,447976,451610,455201,459157,464047,468764,473894,479595,485945,492808,500025,507110,514760,523251,532051,540196,547022,555286,564101,572326,579786,588452,598285,609629,619896,629403,640154,652448,664818,677003,690117,706929,725084,740552,752994,766063,779459,791015,799077,804869,811281,819793,828313,833633,839146,846910,855685,863800,872666,880501,886000,891924,896797,898502,899813,902561,904360,905154,903382,897473,889671,882843,877536,872162,866915,860724,855198,848161,840196,832445,825864,817521,808990,800018,791427,783937,778927,771971,760336,747620,736321,724337,714170,708438,705498,702567,700237,699001,698517,697340,694861,690542,685259,683384,686494,691318,695960,702447,707523,708867,706997,705253,704008,706872,710325,708839,702693,698775,694230,688630,684480,682143,678571,674945,673110,670844,668175,667361,666302,663521,660868,658747,656380,654686,654884,656921,659615,663743,669819,675147,679929,683839,688212,694300,703679,711935,718869,729158,744100,757741,769768,781597,792014,799224,803892,807778,810403,811130,812421,815564,819106,822416,826704,832921,838718,841793,844149,846411,848181,852769,859212,864766,870854,878608,884681,889028,893525,898051,903199,908757,913924,920516,928808,934487,937253,938729,940012,942477,946904,952459,959121,963477,967890,972792,978238,983639,989260,994817,1001486,1008662,1015349,1024231,1033895,1044455,1053625,1065149,1077343,1086415,1091200
139,"Cook","IL","Chicago","17","031",2,217348,220222,221726,221832,221055,219786,217471,214004,210934,208620,205743,202167,199838,198523,198053,196664,193830,189137,187578,191054,197553,203020,208196,212831,217128,221161,224821,228470,232978,238420,242716,245043,246536,247412,246885,245425,243935,243280,243770,245042,246740,249244,251757,253962,257252,261844,265840,269009,272705,276484,279898,283319,286847,290183,292943,294901,296586,298248,299360,300220,301345,302416,303552,305313,307637,310285,312917,315036,317026,319299,322136,324966,327259,328746,330609,332931,334847,336569,338444,339902,340913,342600,344339,346081,347799,349255,350493,351789,353404,355291,356912,358535,361101,363615,365798,368376,371457,374478,377277,380229,383348,386465,389616,392965,396038,398651,400975,403489,406506,410081,413620,416625,419583,423288,426814,429650,431483,433348,435675,437918,439146,440181,441086,441322,440875,440013,439179,438845,439197,439748,439971,439285,437569,435286,433078,431056,428644,426270,425160,423810,421632,418362,414560,410306,406737,403079,399218,394790,390610,387097,384155,381408,378118,374993,372244,368928,364290,358860,354538,352092,350428,348448,347046,346094,345635,345030,343718,342600,341980,341717,340246,337460,334647,332012,327912,324167,321555,320973,321102,319769,316975,315095,313423,312146,311188,310288,309085,307582,307090,305713,303312,302123,303305,304484,306292,307876,309648,311221,312542,313651,315391,317116,319063,321824,325271,329264,333902,339475,343694,346406,348313,349569,349891,350700,351372,351782,353149,355370,356879,358230,360184,361977,362776,363200,362980,362262,362363,364194,366369,367651,368697,368941,368212,367612,368817,370988,372138,372701,374361,376271,377295,378326,379177,379821,380872,382535,384587,386802,387881,387773,388079,389068,390161,391026,391649,391726,391269,391011,391532,392163,392237,393294,395444,397341
1090,"Harris","TX","Houston","48","201",3,200867,202446,203418,203225,202625,204269,206961,208469,208504,207612,203728,200057,199831,201565,202140,202870,204274,205849,207824,210164,211009,210151,207626,204968,204440,206056,206796,206463,206527,207658,209429,210886,212581,216954,228583,241443,245207,240939,238671,240017,241666,240274,236549,233544,231086,232488,246644,265293,273243,273126,274925,275381,273723,268245,259901,252192,248645,247918,245477,241324,238617,236734,234215,231947,231057,232318,234561,236400,237578,238693,236695,232880,231138,232726,234199,235141,235428,236085,237573,238629,238757,237576,234206,230951,229999,230250,229880,229407,228932,228909,229367,230325,231349,231223,230094,229304,229494,229740,230367,231174,231874,232407,233679,235267,236642,237458,237566,237689,238536,239865,240552,240828,241384,241826,241684,241641,242182,242940,243949,244136,244105,244086,244402,245157,246090,247306,248983,250202,250889,251719,251940,252261,253106,254002,255184,256620,257713,258315,258730,259271,259912,259054,257324,255999,254804,253528,252297,251124,250370,250159,249856,249611,249409,249397,249307,249046,248762,248320,248100,248462,249150,249426,249853,250484,250796,250439,250296,250589,251136,251332,250892,249704,248437,247738,246912,245760,244514,243967,243711,243855,244103,244921,245313,245032,244394,244317,244575,244636,244025,243498,243861,244103,243543,243400,244334,245404,246449,246816,246898,247498,248912,250412,251954,253225,254577,256642,258995,261578,263884,266002,267609,268804,270000,271489,272750,274512,277237,279838,282139,284462,286913,289734,292521,295075,297460,299616,300676,302552,305021,306681,307673,309494,310880,311612,312271,312889,314132,315867,317270,318000,319103,319897,320271,320344,320605,320617,320640,321115,321689,322271,323106,323671,323976,324532,324691,324486,324673,324649,324634,325152,325760,326354,327972,329735
2402,"Maricopa","AZ","Phoenix","04","013",4,177940,177680,177890,178650,180046,181220,182238,183609,184730,185134,185401,186208,187759,189454,190530,191409,192221,192959,193755,194968,196143,196955,197415,197963,198578,199052,199758,201229,202982,204493,205877,207557,209302,210629,211411,212253,213219,214998,216992,218091,218835,219818,220722,221568,222917,224664,226912,229093,230932,232284,233481,234382,235014,235734,236739,237680,239008,240795,242302,243254,244244,245036,245203,244973,245020,245499,246336,247369,248428,249245,250147,251387,252410,252871,253658,255129,256424,257468,258650,260104,261734,263378,264588,265840,266956,267911,269003,270607,272448,274376,276293,278357,280796,283232,285791,288743,292369,296477,301992,309176,317087,325310,334666,345267,357138,369985,382943,395904,410110,426132,442894,458324,472394,485029,494879,500732,501438,500998,503781,506644,506132,504576,501687,496490,490374,485480,481566,477692,474424,471962,469222,467792,467743,465800,461452,456861,451894,445953,438247,429966,422069,414358,404842,394215,384844,378260,371678,364230,357489,351445,344996,338907,333457,327824,321466,315014,308628,301794,296380,293983,292952,290795,289748,290185,290765,291024,291681,291648,290467,288403,286585,283708,279565,277264,276259,273750,271579,270902,271150,271075,270001,268088,266210,264770,264661,264905,266065,268717,271715,273941,276472,280164,285827,292016,297296,302115,306876,310398,313190,316542,319592,322510,325694,329085,332610,337321,342063,346086,349175,352526,354344,355123,355813,356917,357278,357791,357896,358556,359217,358872,358307,358966,360301,361902,363306,364103,364993,366268,367901,370216,372910,375957,379027,381348,382527,383035,384154,385421,386118,387117,388557,389274,389975,391689,393372,394137,394880,396691,397984,397981,398191,399930,402182,403704,405378,407696,409714,411837,414023,415462,417245,420444,423598,425886
2841,"San Diego","CA","San Diego","06","073",5,263107,262707,261995,261295,261116,261988,263331,264469,265685,267692,269609,270856,272567,274521,276455,278756,281739,284366,286778,289845,294390,299223,303290,306786,309733,312880,316553,320674,324438,328012,331389,335360,339052,341992,344651,347636,350701,353522,356784,360812,364438,367312,371211,376408,382207,388447,394355,399827,404909,410500,416134,420903,424811,428915,432842,436628,440068,442996,446928,452024,457355,461349,464361,467110,470684,474494,479122,485152,491687,496966,500836,504789,510476,516870,522611,528972,536197,542718,548113,554900,562335,568709,574227,580680,586208,591012,597780,606551,616080,626623,639344,646917,653143,666306,685028,700014,713613,730984,751623,768826,780367,791191,799115,804001,807019,807524,807180,809749,811859,810276,806939,803163,799908,796978,794818,793122,793324,793461,792725,792420,793664,794255,791671,786043,781122,778303,775759,773814,771900,770058,765559,758986,752397,747125,741016,736970,733579,728297,721210,715218,709851,701233,690374,680508,672145,664264,657532,651403,646811,644298,642451,640818,640288,640536,639405,635960,631313,626164,624782,627922,630822,632342,634997,637533,637232,637202,638763,640909,642216,642423,640178,636579,633213,628322,623051,619107,614192,608299,605477,604749,603111,600335,595864,591437,588731,585743,583847,583747,584469,585895,587493,588881,593570,601288,607262,611113,615179,621048,627045,633383,640212,644891,649976,660124,670420,678854,689485,698761,704785,709630,711634,711442,714137,719434,723809,725490,725458,725575,727893,730613,731265,732136,734850,736509,737019,739284,743562,747643,752123,757831,763037,767664,772727,777593,781182,784322,789223,795479,798729,800190,802639,805204,806543,809155,812054,815744,821194,827837,832926,836716,840389,844939,851010,856975,861051,864321,868841,873734,877530,881030,887218,896769,905384,910850
1286,"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,308928,309163,309143,309068,309146,309024,309200,309935,311760,313373,314088,314695,315486,316550,318787,321510,324403,327979,332237,336589,341345,346617,352264,356985,361214,365774,370279,375073,380307,384952,388442,392219,396265,399804,402667,405265,407509,409897,412698,414978,416766,419331,422831,427313,431876,436256,440493,444653,448101,451559,454830,458308,462163,465943,469377,473667,478306,482372,486185,490393,494354,497771,501095,504347,507640,511957,516995,521930,527267,532104,535807,540068,545307,551497,559292,568061,576430,584375,592910,603090,613336,622296,629176,636421,646064,656093,664701,675112,688156,701877,717269,727670,735443,749513,771089,790938,810970,832769,853795,870007,880813,888127,892658,897804,904899,910292,915201,921762,927347,927909,929996,935038,942228,948633,953170,958477,966151,973433,977882,983666,987633,988978,986385,982471,978923,976850,972102,964245,958392,955627,950711,943121,934547,925737,915220,902419,886948,873280,864266,856335,843565,828787,815516,800641,787342,780813,779270,777158,774756,772938,771907,772019,772529,772433,770592,766839,761339,755737,751831,751544,754335,755988,756910,758398,760099,759202,757696,756949,758291,758985,757375,754070,751179,748889,745296,739344,732650,727940,724686,722331,719967,716454,712994,711154,709523,706222,704122,705657,709390,710705,711266,714495,718409,722327,727087,732900,738342,745652,752966,759248,766212,776018,788159,802690,819455,834731,846763,854333,858884,861811,864479,865962,866611,868966,872898,876119,878877,880983,881111,880413,880232,881245,883456,887194,889937,891777,894243,899651,903860,906105,908789,913818,919366,925118,928467,931662,936847,941251,942141,943834,945782,947414,949804,953468,956831,960518,965309,970269,975037,979725,983043,984988,987444,990798,994631,1000148,1006506,1011731,1016338,1022404,1028661,1037171,1047158,1054789
581,"Kings","NY","New York","36","047",7,227311,227657,226915,227214,228385,229370,229347,228699,228798,229923,231010,231936,233041,233652,233813,234074,235309,237316,240053,242807,244593,245176,246707,250019,254167,257273,258687,259118,260079,261911,264246,266866,269389,271608,274208,277195,280322,283334,286903,290826,294594,297767,300811,304047,308077,312013,316301,322169,329406,334994,339869,344696,349249,353047,357652,362875,369091,375045,382051,391347,401973,409825,414782,418214,421908,425525,430464,437388,447176,463333,469545,456318,438782,430296,423643,422117,426513,432358,435843,438629,440028,442216,450759,464320,475938,492158,516740,537082,546222,551818,556008,559320,564348,569155,574284,581364,591475,599931,607212,614092,624458,638066,654512,670996,684082,690586,699263,713125,725561,732582,738990,744999,753748,766521,777429,784464,791640,796319,793805,792866,797176,804893,812245,820986,824600,823082,819355,814917,811703,811132,811551,813154,815029,810333,803720,802877,803247,798654,795123,793510,791203,795247,804555,812077,815760,817727,815732,810136,803969,799830,794116,787455,780882,774295,768816,763758,757968,750604,742559,734859,728819,725689,728534,736548,746064,751442,746237,734791,726843,726336,731449,734827,731763,725406,723426,724387,724322,722013,728245,742686,754269,759771,763651,765883,768756,773475,775727,775043,773474,773924,775318,774762,774635,776204,776032,777641,783841,791314,798250,806026,813328,818646,821410,824340,830184,839830,850587,860681,872551,887399,900733,910793,921383,932811,942094,950534,961129,972724,981785,988795,998765,1009854,1014953,1017430,1022026,1029007,1036578,1045277,1054501,1064007,1074990,1089457,1106867,1122328,1136429,1147951,1158844,1168557,1181630,1194294,1204301,1210537,1217968,1225929,1231862,1235619,1239995,1248052,1257477,1266806,1275470,1286061,1293539,1296512,1297279,1302596,1309593,1315616,1320113,1321988,1323109,1327807,1333159,1335966
2964,"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,172516,172672,172968,173019,172766,172096,171601,171614,172043,172599,172952,173112,173221,173629,174143,174700,175159,175483,175597,175793,176806,178283,179223,179479,179830,179773,179054,178651,179104,180283,181886,183460,184360,184825,185267,185590,185813,186529,187743,188981,189596,189706,190467,191400,191588,191831,193166,194699,196236,197869,199482,200792,202299,204383,206477,208468,210851,213397,215564,217499,219694,222184,225338,228537,231892,235013,238302,241286,244395,247711,250914,253914,257323,260387,263047,266314,269603,272630,275575,279443,283764,288091,291881,296141,300245,303983,306800,309153,311795,315307,318656,321098,324373,329090,334279,339223,344343,350087,356635,364008,371138,378151,385682,394372,403452,412755,421929,430190,438624,448423,458611,467205,476735,485410,491572,495683,500755,505632,511874,519597,527838,535569,541991,544975,545470,546121,546443,547187,547706,547775,547304,546102,543151,539800,536106,531348,523758,515444,507297,498510,487443,473946,458143,443704,428778,412049,397628,387847,379182,370134,361251,352251,343774,336407,329428,321453,312967,304491,297698,294832,295141,297015,298942,299206,299717,301584,301819,300978,302393,304088,304256,302965,300510,297172,295743,297016,296546,294025,294038,296157,297882,299723,300957,299856,298875,299013,299949,301321,304458,307297,310011,313357,317543,321877,325530,328661,332327,335169,335946,338238,341463,344859,348515,352298,355623,360800,366815,372143,376026,379793,383177,385558,388786,394291,399139,402057,404831,407956,411989,416451,421170,424769,427816,430271,431628,431863,433090,435882,439449,442658,444948,446496,447945,451061,454503,455279,455119,456680,459717,463906,467174,469472,471504,472821,472308,472292,475416,479945,483249,485662,487221,487024,487112,488761,490831,493242,495184,496396,496153,496458,497818,499898,501528,502664
978,"Dallas","TX","Dallas-Fort Worth","48","113",9,193209,194319,194729,195295,195812,196400,197080,198314,199362,200063,199823,199322,199570,200810,201805,202203,202114,201834,201848,202279,201314,201609,206239,210629,209650,207127,206281,205677,205463,205128,203933,201430,202519,207203,210824,210309,209352,209388,210203,210583,210210,209950,210830,212160,212668,212553,212417,212533,212386,211940,211563,212182,212824,213723,214691,215556,215426,213992,211663,210622,211524,212301,211772,211121,211347,212173,213104,214297,214643,214318,213921,213937,214205,214660,215275,216448,218114,218607,218223,218211,218982,218958,218547,218846,219561,220176,221005,220980,220367,219718,219407,218947,219140,220898,223868,226322,227883,229386,230407,230918,231196,231757,232326,232944,234069,234889,234924,235541,236927,237904,238892,240513,242136,243680,244470,244812,245290,246833,249431,251041,251106,251481,252145,253008,253513,254285,255924,257733,258353,258309,258041,258576,260225,260907,260886,260942,261346,261595,262017,262508,262177,260711,258641,256208,253728,252382,252093,251884,251619,251079,250487,249998,250083,250494,250691,250531,250148,249334,248601,248081,247566,247422,247680,247811,247324,246599,245672,245151,244947,245431,245367,244576,244029,243967,243345,242685,242519,242157,241676,240967,240476,240547,240664,240022,239466,239606,239903,240193,240562,240645,240884,241490,241942,242148,242474,243116,243812,243996,243916,243830,243921,244571,245352,246279,247395,248185,249099,250666,252117,252905,253603,254253,255010,255932,256914,257990,259550,261119,262314,264000,265958,267530,269239,271579,274147,276273,278612,281537,284282,286176,287703,289121,290667,292199,293830,296378,298987,301104,303203,305517,307925,311017,315268,320122,324056,327295,331568,335754,339580,343609,348411,353113,357750,361366,364461,366780,369194,372359,374374,374601,375143,377940,380876,382790
1347,"Queens","NY","New York","36","081",10,241374,242792,243524,243921,244361,244585,244938,245560,246462,248085,248584,248145,248556,249822,250515,251520,252810,254177,255702,257620,259638,262150,263642,264025,264994,267104,268906,271089,273866,276902,279827,282337,284377,287083,288799,289699,291936,296032,300065,304284,307947,311412,314955,318101,321127,325687,329579,332349,335978,341316,345856,349902,354159,358602,363395,368691,373559,378787,381820,382682,384995,390199,395188,400671,405394,408601,411735,415980,424674,430869,423294,410678,406619,407904,409134,411309,413650,415651,417404,418830,419685,416466,439175,481029,502713,497560,499093,498184,497067,500193,506041,512286,518304,527095,532091,534181,539892,551758,562880,573135,582147,591886,603072,613890,622081,630031,633773,635220,641894,652563,660074,668588,677562,686021,694491,702557,709678,717488,719961,717629,718156,723409,726111,727801,730605,728210,717001,704213,695121,690062,688420,686952,684992,684482,682481,678690,676437,675431,674204,673988,672441,669868,666662,664865,659009,648371,640721,638985,636554,632821,630477,628603,626486,624584,621739,617963,615072,613276,611884,611976,612851,612706,613903,617883,623062,624301,621037,618631,618252,617637,618423,620979,619229,613341,610238,607334,605010,605739,609916,611338,613390,617283,618871,615477,614867,620150,622672,620038,615776,612885,610340,608867,606813,605389,604991,603529,602042,604297,607927,610175,611576,612884,614593,616983,621543,627912,632812,635378,638673,643245,648144,654259,661253,668618,676341,683061,687638,691432,696233,702338,708550,712421,715400,720591,727045,732744,738247,744641,749823,753678,758995,767183,773324,776294,780471,786732,790916,793772,797273,801324,806143,811354,815385,818397,822668,825874,828719,834392,842009,847873,851029,854004,860155,869056,875194,880133,886094,893980,901880,907281,910218,914097,917327,918734
