"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-03-31,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim",0,2703,0.00334075723830735,0.0119805316360914,0.0509331259720062,1791420
2018-03-31,"Cook","IL","Chicago",1,1693,-0.00235710076605775,-0.00117994100294985,0.0186522262334537,1386104
2018-03-31,"Harris","TX","Houston",2,1503,0.002,0.00737265415549598,0.016914749661705,1058797
2018-03-31,"Maricopa","AZ","Phoenix",3,1405,0.00285510349750178,0.00716845878136201,0.0392011834319527,1253112
2018-03-31,"San Diego","CA","San Diego",4,2575,0.00233553912028026,0.00155581485803189,0.0429323612798704,744503
2018-03-31,"Orange","CA","Los Angeles-Long Beach-Anaheim",5,3084,0.00423314881146206,0.00916230366492147,0.0404858299595142,742323
2018-03-31,"Kings","NY","New York",6,2399,-0.00785773366418528,-0.0139745170571311,-0.00990507635163021,138826
2018-03-31,"Miami-Dade","FL","Miami-Fort Lauderdale",7,2001,0,0.00401404917210236,0.0157360406091371,736481
2018-03-31,"Dallas","TX","Dallas-Fort Worth",8,1505,0.00133067198935462,0.00467289719626168,0.0379310344827586,573394
2018-03-31,"Queens","NY","New York",9,2243,-0.00089086859688196,-0.00752212389380531,-0.00133570792520036,244650
2018-03-31,"Riverside","CA","Riverside",10,2010,0.0029940119760479,0.0100502512562814,0.0646186440677966,588945
2018-03-31,"San Bernardino","CA","Riverside",11,1722,0.0058411214953271,0.0123456790123457,0.0675759454432734,515507
2018-03-31,"Clark","NV","Las Vegas",12,1310,0.00383141762452107,0.00846805234795997,0.0446570972886762,631270
2018-03-31,"King","WA","Seattle",13,2464,-0.000405679513184584,-0.00524828421477594,0.021982579842389,590191
2018-03-31,"Wayne","MI","Detroit",14,854,-0.00116959064327485,-0.00116959064327485,0.0190930787589499,715244
2018-03-31,"Tarrant","TX","Dallas-Fort Worth",15,1531,0,-0.00130463144161774,0.0358592692828146,502687
2018-03-31,"Santa Clara","CA","San Jose",16,3562,0.00253307064452575,0.00507900677200903,0.0182961692395655,416073
2018-03-31,"Broward","FL","Miami-Fort Lauderdale",17,1806,0.00166389351081531,0.00556792873051225,0.0232294617563739,654461
2018-03-31,"Bexar","TX","San Antonio",18,1303,0.000768049155145929,0.000768049155145929,0.016380655226209,487883
2018-03-31,"New York","NY","New York",19,3942,0,-0.0191589947748196,-0.00177260065839453,201346
2018-03-31,"Philadelphia","PA","Philadelphia",20,1223,0.00245901639344262,0.00493015612161052,0.0065843621399177,477661
2018-03-31,"Alameda","CA","San Francisco",21,3157,0.002540489044141,0.00573431028990124,0.0388285620269826,369188
2018-03-31,"Middlesex","MA","Boston",22,2558,0.00156617071260767,0.00589854502556036,0.0203430394894296,374224
2018-03-31,"Sacramento","CA","Sacramento",23,1742,0.00172512938470385,0.00635470826112074,0.0687116564417178,385214
2018-03-31,"Bronx","NY","New York",24,1842,0.00436205016357688,0.0182421227197347,0.0501710376282782,42046
2018-03-31,"Nassau","NY","New York",25,3024,-0.000330578512396694,0.00099304865938431,0.0233502538071066,350396
2018-03-31,"Palm Beach","FL","Miami-Fort Lauderdale",26,1953,0.00102511532547412,0.00308166409861325,0.0134924753502854,556440
2018-03-31,"Cuyahoga","OH","Cleveland",27,1148,0.00262008733624454,0.00790166812993854,0.00262008733624454,377432
2018-03-31,"Hillsborough","FL","Tampa",28,1428,0.00280898876404494,0.00563380281690141,0.0163701067615658,378136
2018-03-31,"Allegheny","PA","Pittsburgh",29,1164,0.000859845227858985,0.00779220779220779,-0.0143945808636749,420863
2018-03-31,"Oakland","MI","Detroit",30,1699,0.00532544378698225,0.0125148986889154,0.0481184454040716,397660
2018-03-31,"Franklin","OH","Columbus",31,1324,0.00455235204855842,0,0.0239752513534416,357912
2018-03-31,"Hennepin","MN","Minneapolis-St Paul",32,1752,0.00286204922724671,0.0115473441108545,0.0447227191413238,364337
2018-03-31,"Fairfax","VA","Washington",33,2519,0.00278662420382166,0.00639232920495406,0.00599041533546326,327857
2018-03-31,"Contra Costa","CA","San Francisco",34,2756,-0.000362713093942691,0.00620664476086163,0.0491054434716407,321035
2018-03-31,"Salt Lake","UT","Salt Lake City",35,1634,0.00122549019607843,0.00183936235438381,0.0679738562091503,283343
2018-03-31,"Travis","TX","Austin",36,1816,-0.000550357732526142,-0.00493150684931507,-0.0103542234332425,273838
2018-03-31,"Saint Louis","MO","St. Louis",37,1262,0.00557768924302789,0.0136546184738956,0.0276872964169381,372220
2018-03-31,"Pima","AZ","Tucson",38,1200,0.0025062656641604,0.00840336134453781,0.0452961672473868,291105
2018-03-31,"Montgomery","MD","Washington",39,2320,0.00259291270527226,0.00302637267617812,0.0100130605137135,307676
2018-03-31,"Honolulu","HI","Urban Honolulu",40,2387,-0.000418760469011725,-0.00954356846473029,-0.0324280502634779,265939
2018-03-31,"Westchester","NY","New York",41,3531,0.00426621160409556,0.0167002591419522,0.00512382578992314,182336
2018-03-31,"Milwaukee","WI","Milwaukee",42,1153,0.000868055555555556,0.00874890638670166,0.00260869565217391,119727
2018-03-31,"Fresno","CA","Fresno",43,1340,0.00374531835205993,0.0159211523881729,0.0379550735863672,211464
2018-03-31,"Shelby","TN","Memphis",44,1044,0.000958772770853308,0.00288184438040346,0.0135922330097087,285083
2018-03-31,"Fulton","GA","Atlanta",45,1743,0.00230017251293847,0.00926462072958888,0.0468468468468468,282165
2018-03-31,"Mecklenburg","NC","Charlotte",46,1421,0.000704225352112676,0.00282286520818631,0.0463917525773196,323723
2018-03-31,"Erie","NY","Buffalo",47,1292,-0.00308641975308642,0.0031055900621118,-0.0471976401179941,236184
2018-03-31,"Du Page","IL","Chicago",48,1966,0.0010183299389002,-0.00152361604875571,0.0102774922918808,297712
2018-03-31,"Fairfield","CT","Stamford",49,2389,0.00462573591253154,0.00125733445096396,-0.0192939244663383,252027
2018-03-31,"Pinellas","FL","Tampa",50,1464,0.00618556701030928,0.0159611380985427,0.0331686661961891,364109
2018-03-31,"Bergen","NJ","New York",51,2475,-0.00322190898107128,-0.0119760479041916,0.00938009787928222,251308
2018-03-31,"Marion","IN","Indianapolis",52,1139,-0.00087719298245614,0,0.043040293040293,270723
2018-03-31,"Wake","NC","Raleigh",53,1503,0.00066577896138482,0.00333778371161549,0.00669792364367046,306222
2018-03-31,"Hartford","CT","Hartford",54,1659,-0.00539568345323741,-0.00777511961722488,0.00241691842900302,244398
2018-03-31,"Duval","FL","Jacksonville",55,1227,0.00904605263157895,0.0259197324414716,0.0276381909547739,285550
2018-03-31,"Prince Georges","MD","Washington",56,1954,0.00205128205128205,0.00566134843026248,0.0198329853862213,263913
2018-03-31,"New Haven","CT","New Haven",57,1686,0.00237812128418549,0.00897666068222621,0.00656716417910448,229550
2018-03-31,"Macomb","MI","Detroit",58,1304,0,0.000767459708365311,0.044035228182546,292238
2018-03-31,"Kern","CA","Bakersfield",59,1301,0.000769230769230769,0.00231124807395994,0.0350039777247414,194915
2018-03-31,"Ventura","CA","Ventura",60,2752,0.00291545189504373,0.00916758342500917,0.0535987748851455,208906
2018-03-31,"Middlesex","NJ","New York",61,2192,-0.000455996352029184,0.00182815356489945,0.01528485409912,215871
2018-03-31,"Gwinnett","GA","Atlanta",62,1484,0.00202565833896016,0.00746775288526816,0.0319888734353268,236432
2018-03-31,"San Francisco","CA","San Francisco",63,4194,-0.000952834683182468,-0.00710227272727273,-0.00897920604914934,145469
2018-03-31,"Baltimore","MD","Baltimore",64,1716,0.000583090379008746,-0.004062681369704,0.0183976261127596,265169
2018-03-31,"Hamilton","OH","Cincinnati",65,1248,0.00402252614641995,0.00970873786407767,0.0391340549542048,234890
2018-03-31,"El Paso","TX","El Paso",66,1004,0.000997008973080758,0,0.0100603621730382,193103
2018-03-31,"Montgomery","PA","Philadelphia",67,1941,0.00674273858921162,0.0162303664921466,0.0340969632392115,249275
2018-03-31,"Worcester","MA","Worcester",68,1715,0.00527549824150059,0.00704638872577804,0.0226595110316041,209912
2018-03-31,"Pierce","WA","Seattle",69,1807,0.00333148250971682,0.0100614868641699,0.0885542168674699,226594
2018-03-31,"Essex","NJ","New York",70,1948,-0.00561510974987238,-0.0126710593005575,0.023646873357856,156488
2018-03-31,"Collin","TX","Dallas-Fort Worth",71,1958,-0.000510464522715671,-0.00558659217877095,0.00204708290685773,240620
2018-03-31,"Hidalgo","TX","McAllen",72,1005,0.00099601593625498,0.0131048387096774,-0.0175953079178886,172353
2018-03-31,"Monroe","NY","Rochester",73,1448,-0.00275482093663912,-0.0102529049897471,0.0190007037297678,210586
2018-03-31,"Essex","MA","Boston",74,2305,0.00655021834061135,0.00831146106736658,0.0122968818620993,189080
2018-03-31,"Jefferson","KY","Louisville/Jefferson County",75,1206,-0.000828500414250207,0,0.0396551724137931,341420
2018-03-31,"Multnomah","OR","Portland",76,1883,-0.0037037037037037,-0.0141361256544503,0.0101931330472103,225068
2018-03-31,"Suffolk","MA","Boston",77,2631,0.00114155251141553,0.0115340253748558,0.0245327102803738,106983
2018-03-31,"Oklahoma","OK","Oklahoma City",78,1044,0.00191938579654511,0.00481231953801732,0.00869565217391304,249605
2018-03-31,"San Mateo","CA","San Francisco",79,3984,0.00201207243460765,0.000251067034898318,0.0239013107170393,184856
2018-03-31,"Snohomish","WA","Seattle",80,2154,0.00139470013947001,0,0.0574374079528719,213671
2018-03-31,"Lake","IL","Chicago",81,1868,0.00322234156820623,0.00268384326355341,0.0349030470914127,216282
2018-03-31,"Dekalb","GA","Atlanta",82,1347,0.003725782414307,0.0112612612612613,0.0548159749412686,205854
2018-03-31,"Cobb","GA","Atlanta",83,1590,0.00442198357548958,0.00888324873096447,0.06,216589
2018-03-31,"San Joaquin","CA","Stockton",84,1663,0.00120409391932571,0,0.0406758448060075,159789
2018-03-31,"Will","IL","Chicago",85,1711,-0.00058411214953271,-0.00175029171528588,0.0325890162945081,243252
2018-03-31,"Jackson","MO","Kansas City",86,1115,0.000897666068222621,0.000897666068222621,0.0762548262548263,217114
2018-03-31,"Norfolk","MA","Boston",87,2617,0.00692574066948826,0.0307207562032296,0.051004016064257,189239
2018-03-31,"Denton","TX","Dallas-Fort Worth",88,1846,0.000542005420054201,0.00217155266015201,0.0221483942414175,186982
2018-03-31,"Bernalillo","NM","Albuquerque",89,1221,0.00246305418719212,0.00909090909090909,0.0158069883527454,203759
2018-03-31,"Jefferson","AL","Birmingham",90,988,0,0.00101317122593718,0.0477200424178155,238641
2018-03-31,"Hudson","NJ","New York",91,2193,-0.00136612021857924,0.00274348422496571,0.026685393258427,117513
2018-03-31,"Monmouth","NJ","New York",92,2415,0.00792988313856427,0.0181281618887015,0.0045757071547421,212662
2018-03-31,"Davidson","TN","Nashville",93,1603,0.00124921923797626,0.00627746390458255,0.0315315315315315,183735
2018-03-31,"Providence","RI","Providence",94,1639,0.0123533045089561,0.0288763339610797,0.0360303413400759,126054
2018-03-31,"Bucks","PA","Philadelphia",95,1913,0.00157068062827225,-0.00416449765747007,-0.00364583333333333,196301
2018-03-31,"El Paso","CO","Colorado Springs",96,1537,0.00391900718484651,0.0105193951347798,0.0688456189151599,195608
