"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-03-31,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim",0,2730,0.00404560500183891,0.012987012987013,0.05,1488322
2018-03-31,"Cook","IL","Chicago",1,1743,0.00114876507754164,0.00519031141868512,0.0289256198347107,919240
2018-03-31,"Harris","TX","Houston",2,1518,0.00198019801980198,0.00796812749003984,0.0133511348464619,1035150
2018-03-31,"Maricopa","AZ","Phoenix",3,1446,0.00207900207900208,0.00626304801670146,0.0373027259684362,1103164
2018-03-31,"San Diego","CA","San Diego",4,2681,0.00374391613627855,0.00600375234521576,0.0513725490196078,582311
2018-03-31,"Orange","CA","Los Angeles-Long Beach-Anaheim",5,3187,0.00251651462724127,0.00568002524455664,0.032059585492228,607935
2018-03-31,"Kings","NY","New York",6,2358,-0.0092436974789916,-0.0179092044981258,-0.0183180682764363,74803
2018-03-31,"Miami-Dade","FL","Miami-Fort Lauderdale",7,2150,0.00326644890340644,0.0112888052681091,0.0146295422369042,451981
2018-03-31,"Dallas","TX","Dallas-Fort Worth",8,1520,0.00263852242744063,0.00529100529100529,0.0432395332875772,527220
2018-03-31,"Queens","NY","New York",9,2307,-0.00173085244482908,-0.00816852966466036,0.00610553859572612,179702
2018-03-31,"Riverside","CA","Riverside",10,2000,0.00200400801603206,0.00857286938981341,0.0626992561105207,547430
2018-03-31,"San Bernardino","CA","Riverside",11,1730,0.0069848661233993,0.0170487948265726,0.069221260815822,498232
2018-03-31,"Clark","NV","Las Vegas",12,1355,0.0022189349112426,0.00743494423791822,0.0439137134052388,525228
2018-03-31,"King","WA","Seattle",13,2515,0,-0.00592885375494071,0.0206980519480519,499116
2018-03-31,"Wayne","MI","Detroit",14,851,0,0.00235571260306243,0.0327669902912621,689292
2018-03-31,"Tarrant","TX","Dallas-Fort Worth",15,1527,-0.000654450261780105,-0.00261267145656434,0.0352542372881356,512398
2018-03-31,"Santa Clara","CA","San Jose",16,3659,0.00274047684297068,0.00356555128908393,0.0232102908277405,345663
2018-03-31,"Broward","FL","Miami-Fort Lauderdale",17,2031,0.00296296296296296,0.0129675810473815,0.0273141122913505,456779
2018-03-31,"Bexar","TX","San Antonio",18,1304,0.000767459708365311,0.000767459708365311,0.0171606864274571,497676
2018-03-31,"New York","NY","New York",19,3889,0.000772002058672157,-0.0226187484292536,-0.00942435048395313,21596
2018-03-31,"Philadelphia","PA","Philadelphia",20,1392,-0.0050035739814153,-0.0134656272147413,0.00288184438040346,122473
2018-03-31,"Alameda","CA","San Francisco",21,3215,0.00186974135244624,0.0031201248049922,0.030779095864059,312233
2018-03-31,"Middlesex","MA","Boston",22,2619,0.000381970970206264,0.00383288616328095,0.026656213249706,295218
2018-03-31,"Sacramento","CA","Sacramento",23,1750,0.00229095074455899,0.00690448791714614,0.0651247717589775,366316
2018-03-31,"Bronx","NY","New York",24,1889,0.00265392781316348,0.00962052378407269,0.0547180346175321,29041
2018-03-31,"Nassau","NY","New York",25,3018,0,0.00232480903354367,0.0233977619532045,347972
2018-03-31,"Palm Beach","FL","Miami-Fort Lauderdale",26,2288,0.00527240773286467,0.0114942528735632,0.0182465509568313,331041
2018-03-31,"Cuyahoga","OH","Cleveland",27,1151,0.00261324041811847,0.00876424189307625,0.003487358326068,364237
2018-03-31,"Hillsborough","FL","Tampa",28,1454,0.00206753962784287,0.00345065562456867,0.00762300762300762,323477
2018-03-31,"Allegheny","PA","Pittsburgh",29,1159,0.00259515570934256,0.0139982502187227,-0.00770547945205479,381016
2018-03-31,"Oakland","MI","Detroit",30,1675,0.00661057692307692,0.0139225181598063,0.0462211118051218,348164
2018-03-31,"Franklin","OH","Columbus",31,1369,0.00513950073421439,0.00146305779078274,0.027006751687922,304176
2018-03-31,"Hennepin","MN","Minneapolis-St Paul",32,1828,0.00716253443526171,0.0200892857142857,0.0529953917050691,288891
2018-03-31,"Orange","FL","Orlando",33,1541,0.00982961992136304,0.0300802139037433,0.0287049399198932,299615
2018-03-31,"Fairfax","VA","Washington",34,2902,0.00241796200345423,0.0041522491349481,0.0115022655977693,195800
2018-03-31,"Contra Costa","CA","San Francisco",35,2803,-0.00106913756236636,0.00286225402504472,0.0431708224786007,294549
2018-03-31,"Salt Lake","UT","Salt Lake City",36,1645,0.00121728545343883,0.00427350427350427,0.0695708712613784,256858
2018-03-31,"Travis","TX","Austin",37,1837,0.00163576881134133,-0.00217273221075502,-0.0144849785407725,254153
2018-03-31,"Saint Louis","MO","St. Louis",38,1279,0.00947119179163378,0.0166931637519873,0.0314516129032258,350869
2018-03-31,"Pima","AZ","Tucson",39,1214,0.0066334991708126,0.0142021720969089,0.0501730103806228,254918
2018-03-31,"Montgomery","MD","Washington",40,2584,0.00155038759689922,0.00583884780070066,0.0121425773599687,195707
2018-03-31,"Honolulu","HI","Urban Honolulu",41,2560,-0.000390472471690746,-0.00736719658782474,-0.0415574691126919,153530
2018-03-31,"Westchester","NY","New York",42,3608,0.00417478430281102,0.0160518163897494,-0.0077007700770077,168694
2018-03-31,"Milwaukee","WI","Milwaukee",43,1136,0.0017636684303351,0.00798580301685892,0.00620017714791851,106671
2018-03-31,"Fresno","CA","Fresno",44,1341,0.00299177262528048,0.0120754716981132,0.037122969837587,207644
2018-03-31,"Shelby","TN","Memphis",45,992,0.00100908173562059,0.00710659898477157,0.015353121801433,263705
2018-03-31,"Fulton","GA","Atlanta",46,1806,0.00221975582685905,0.00893854748603352,0.0409221902017291,229641
2018-03-31,"Mecklenburg","NC","Charlotte",47,1448,0.00207612456747405,0.00625434329395414,0.041726618705036,280694
2018-03-31,"Erie","NY","Buffalo",48,1290,-0.00309119010819165,0.00233100233100233,-0.047970479704797,238343
2018-03-31,"Du Page","IL","Chicago",49,2040,0.00641341884558461,0.00542138984721538,0.01543056246889,258163
2018-03-31,"Fairfield","CT","Stamford",50,2526,0.00677560781187724,0.00878594249201278,-0.0391783948269304,208111
2018-03-31,"Pinellas","FL","Tampa",51,1505,0.0053440213760855,0.0162052667116813,0.0365013774104683,275292
2018-03-31,"Bergen","NJ","New York",52,2475,-0.00322190898107128,-0.0115814696485623,0.00896860986547085,249475
2018-03-31,"Marion","IN","Indianapolis",53,1139,-0.00087719298245614,0.000878734622144112,0.043040293040293,259683
2018-03-31,"Wake","NC","Raleigh",54,1505,0.00133067198935462,0.00133067198935462,0.0053440213760855,307874
2018-03-31,"Hartford","CT","Hartford",55,1705,-0.00583090379008746,-0.0127388535031847,0.00117439812096301,208517
2018-03-31,"Duval","FL","Jacksonville",56,1237,0.00814995925020375,0.028262676641729,0.0308333333333333,265179
2018-03-31,"Prince Georges","MD","Washington",57,2023,0.00347222222222222,0.0115,0.0289928789420142,208072
2018-03-31,"New Haven","CT","New Haven",58,1747,0.000572737686139748,0.00866050808314088,0.00924321201617562,194590
2018-03-31,"Macomb","MI","Detroit",59,1312,-0.00455235204855842,-0.0105580693815988,0.0429252782193959,252376
2018-03-31,"Kern","CA","Bakersfield",60,1302,0,0.00308166409861325,0.034154090548054,193890
2018-03-31,"Ventura","CA","Ventura",61,2826,0.00497866287339972,0.00964630225080386,0.0451183431952663,172924
2018-03-31,"Middlesex","NJ","New York",62,2203,0.000454132606721163,0.00318761384335155,0.0184928340268146,213418
2018-03-31,"Gwinnett","GA","Atlanta",63,1493,0.00268636668905306,0.00742240215924426,0.0353675450762829,228365
2018-03-31,"San Francisco","CA","San Francisco",64,4164,-0.00119932837610938,-0.00715307582260372,-0.00998573466476462,101642
2018-03-31,"Baltimore","MD","Baltimore",65,1729,0.00115807759119861,-0.00173210161662818,0.018856806128462,247766
2018-03-31,"El Paso","TX","El Paso",66,1002,0,0.002,0.0100806451612903,199106
2018-03-31,"Montgomery","PA","Philadelphia",67,1968,0.00408163265306122,0.0154798761609907,0.0298273155416013,234589
2018-03-31,"Worcester","MA","Worcester",68,1735,0.00463231036479444,0.00696459663377829,0.0181924882629108,191487
2018-03-31,"Pierce","WA","Seattle",69,1799,0.00278706800445931,0.0112422709387296,0.0896426408237432,231540
2018-03-31,"Essex","NJ","New York",70,1947,-0.00561797752808989,-0.0116751269035533,0.0151199165797706,157859
