"RegionName","StateName","RegionType","CBSA Title","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"United States",,"Country",,1,138,140.5,140.75,134,121.25,112,108.5,108.25,111.25,115.25,118.75,123,127.75,130.25,128.75,123.75,117,112.5,112.25,114.75,118.75,122.25,124.25,126.25,128.25,128.75,125.5,116.75,107.5,103.75,104.25,106.5,109.25,111.25,113.75,118.25,122.75,123,115.75,104,95.25,91.75,91,91.75,93.75,96.75,100.5,105.75,112.25,115.25,109.75,98.25,89.25,86,86.75,90,94,98,102.25,108,114.25,115.25,106,92,84,82.75,84.5,87.75,91,94.75,99.25,104.75,111.25,112.75,103.75,90.25,82.25,80.5,81.5,84.25,87.75,91,94.25,99,104.5,104.75,95.5,83,75.5,73,73.5,75.75,78.25,80.75,83,86.75,91.5,93
"Ada","ID","County","""Boise City, ID""",169,144,157,166.875,153.25,126.375,113.375,115.75,121.875,120,113.25,117.25,124.25,119.25,110,104.25,101.75,100.5,96,91.75,93,95.25,97,102.75,113.75,116.375,108,103.875,97.75,85,74.375,70.25,71.875,76.375,83,93,101.25,103.375,102.5,92.75,76.25,66.25,63,62.25,64,67.75,72.5,80.75,92,101.5,105.5,94,72.5,62,65.5,74,78.625,77.5,79.625,88.25,94.875,96,91.125,77,63.5,61,63.25,64.75,66.5,68.5,71.5,77.25,87,96.125,90.875,72.625,59.875,56.25,56.25,59.75,63.75,65.5,69.75,76.75,82,85.75,81.75,66.5,53.75,51,52,52.5,53.5,55.25,56,58,64.125,69.5,69
"Bay","FL","County","""Panama City, FL""",350,151,151.5,162,187.75,198.375,176.5,161.625,151.125,150,148.375,145,158.75,160.25,146.5,130.5,112.75,117.25,131.125,131.25,136.25,143,143.875,136.375,126.25,129.375,133.5,145.75,164.5,154,131.875,127,126,123.625,124.375,130.625,138,137.75,137.375,138.75,132.375,120,116.75,124.625,123.625,114.5,118.5,126,121.375,119.375,124.25,124.125,117.375,111,110.625,112.625,112,113.75,119.375,124.375,128.5,128,124.875,123.75,118.5,110.625,109,110.75,108.75,114.25,128,130.25,127,130.625,131.125,126,121.375,116.5,112.375,112.125,117.5,120.125,116.5,117.125,126.875,133.25,127.25,120.5,112,101.75,97,94.75,96.375,102.5,106.375,101.75,99.75,105.75,106
"Lee","FL","County","""Cape Coral-Fort Myers, FL""",101,151,134.375,133.375,146.625,153.25,138.5,117.75,107.25,108.75,113.125,112.5,109.375,107.5,111.5,120.75,132.25,141.25,134.75,107.75,84,84.25,93.75,98,103,112.5,120,123.125,123.25,120.625,123.5,128.25,127.125,121,113.25,110,112.125,119.5,123.375,122.75,122.75,123.25,126.125,122.625,109.5,98.375,96.25,99.25,103.25,107.25,109.5,111.25,110.25,109,114.25,117.5,117.25,117.125,113,106.125,102.75,105.75,107.25,101.5,97,101.5,108.25,112,115.25,112.25,102.75,97.5,97.5,99.75,101,99,99.25,105.75,112.5,115.75,116.25,115.25,113.5,111.125,113.5,119.375,120.25,114.25,110.625,114.75,123.375,129.5,129.25,129,127,120.25,114.875,112,109
"Bell","TX","County","""Killeen-Temple, TX""",206,129.5,137.125,121.25,102.25,96.25,98.125,101,103.125,106.25,111.5,125.125,138,137.375,125.5,109.75,107.75,119.75,132.25,138.5,137.5,137.25,137.625,135.625,131.125,129.875,140.25,146.5,135.5,122,117.25,118.625,123.375,131.375,139,140,135.125,132.5,133.5,127.75,112.25,106.375,116.75,124.125,123.5,122,125.125,127.625,123.375,121.5,128.875,132.5,118.375,105,105,107.125,106,103.625,108,118.125,121,119.5,119,113.625,107.75,104.75,104.375,104.875,106,109,112,118.25,122.625,123.25,120.75,108.625,96,92,91.25,91.25,96.125,101.125,101,105,109.625,106.625,103.5,99.375,91.375,89.5,91.875,90.25,84.25,76.5,78.875,88.5,93.875,94.75,88
"Bibb","GA","County","""Macon, GA""",381,210,143.75,114.333333333333,104,113.333333333333,122.5,119.25,117,119.75,115.75,122.125,135.666666666667,134.25,124.833333333333,127,126.625,124.75,126.25,123.75,122.75,134.5,139.875,128,119.833333333333,145,162.5,152.25,144.125,134.75,118.5,109.25,112.375,121.125,127.375,126.625,124.75,121,116.25,112.25,101.25,99.25,109.75,115.75,121.875,125,118.75,117.5,115,105.875,110.125,118.625,112.125,107.375,112.875,111.625,121.5,136.25,126.5,119.25,122.5,133.625,140,121.875,111.5,121,127,115.5,110.5,129.5,152.25,164.75,156.875,131.25,113.375,113.25,113,113,112.75,104.333333333333,115.5,135,131.75,124.25,114,102.875,100,116.25,122.75,107.625,99,98.75,97,93.25,94.25,98.25,100.25,99.125,86.5
"Cass","ND","County","""Fargo, ND-MN""",389,200,151.375,136.75,150.875,147.375,120.5,107.25,108.75,113.75,119.125,114.5,103.833333333333,110,127.666666666667,127.625,136.25,144.125,121.25,100.875,109.375,126.75,134.75,123.875,113.166666666667,129.5,142.666666666667,138.25,126.75,104.375,92,90.125,86,81.5,83,87.375,96,111.125,138,145.75,111.25,81.25,75.125,71.625,71.625,75.25,75,74.625,82.75,97,107.5,99.625,78.75,70.625,72.25,70.5,71,73.75,72.5,67.25,67.125,80.5,88.875,81,73.375,69,65.875,66.75,70.5,73.5,73.875,75.5,80.875,94.5,111.75,109.625,92.25,82.375,77.375,74,76.125,81.25,84.25,86.25,93.5,111.75,127.75,116.625,93,81.375,76.25,75.5,79.75,83.5,89,96.25,103.25,107.5,104
"Clay","FL","County","""Jacksonville, FL""",317,158.5,184.375,197.5,175.25,162.625,158.25,138.25,126,127.875,133.5,139,138.5,137.125,144.25,144.5,141.625,142.25,129.625,117.875,119.25,132.75,146.125,144.75,135.5,125.875,129.875,137.875,136,134.5,132.875,128.5,127.375,134.125,139.125,138.625,143,146.625,135.625,116.75,116.25,119.125,102.375,95.75,104.875,111,116,118.25,122.375,135,140.875,132.75,122.625,116,110.625,102.75,97.375,102.5,109.375,111.75,116,123.25,122.5,114.75,110.25,104.75,99.125,97.75,99.875,102,105.75,111.25,114.25,118.25,122,118.25,106.375,98.75,95.375,89,88.25,96.5,105,107.875,108.75,109.625,101.5,88.25,82.75,82,80,77,75.75,78.125,82.75,84.875,87.75,90,78
"Clay","MO","County","""Kansas City, MO-KS""",279,125,125.75,130.25,127,112,103.5,105.25,106.25,110.25,126.25,138,142,143.5,136.875,138.125,139.125,124.625,120.5,134.5,137.5,127.25,127.625,140.5,144.875,144,150.5,145.25,124.25,105.75,101.5,107.25,110,114.75,125.625,124.75,114.375,112.375,117,122.375,120.25,109,100.875,97.125,93.375,94.625,103.5,110,109,111.25,122.5,121.25,101,91.75,96.25,100.625,102.625,103.75,106.5,104.75,98.875,101.375,105.25,94.75,79.25,71,73,78,78.25,77.25,81.25,91.625,99.5,104.75,107.25,96.125,78,68.5,66,66,67.75,68.375,70.25,73.625,77.75,84.875,83.125,69.125,60.125,59,58.5,56.5,55.125,57,59.375,59.25,60.5,66,72
"Cobb","GA","County","""Atlanta-Sandy Springs-Roswell, GA""",86,148,143.875,141.5,143,136.25,125.125,119.25,117.25,123.875,130.75,133,140.75,148.125,150.5,150.5,141.125,125.5,118.25,119,122.125,130.25,135.5,128.75,120,119.75,124.75,124,112,99,96.25,99.5,101,102.25,102.75,103.25,108.25,109.75,104,95.5,84.25,77.75,77.75,77.5,78.25,80.75,82,82.5,89.5,100.875,103.25,93.375,79.125,71.75,71.25,72.25,76.125,82,86.125,87.375,89.875,96.375,93.625,78,68.375,67,67,67.75,68.25,69.5,73.75,81.5,92.25,101.875,96.5,77.375,64.5,62,62.75,64,67,71.75,74.25,76.5,81.25,85,80.25,67,57.75,56,56.75,58.75,61.75,66,69.5,70.25,73.25,77,72
