RegionID,3101,139,1090,2841,1286,2964,978,1347,2832,3250,445,207,3136,1561,386,2452,3175,1510,2801,2046,2993,2241,2614,2339,1694,3159,2840,1440,3130,2347,3148,2804,1018,1388,1020,3102,157,1682,2694,874,2337,489,2815,1155,204,2061,2802,3227,1690,2981,2879,1322,1776,1223,503,2742,2810,2045,2463,2842,984,135,1804,1948,2889,2732,1106,2441,2243,3001,414,1689,80,201,285,3289,989,2127,2251,1558,1822,1404,2986,771,2980,2734,3069,2776,1676,322,1349,1611,221,2482,2312,146,1396,2033,2465,1746,1442,3286,215,448,3229,2538,2444,1208,385,1585,3247,3166,971,66,2596,2507,2528,2661,1290,3223,367,231,1712,2897,1146,1325,373,1171,1887,2515,1771,823,1150,1849,3112,2255,1701,2877,3013,1549,2616,1670,2775,2911,159,1057,2987,3261,563,1900,1650,2849,3025,329,625,2575,1138,1509,3173,2156,3061,2914,1283,802,126,418,2529,2885,2583,3070,2619,3219,1809,3109,2086,895,3129,2206,341,347,3043,1832,118,2955,1314,1092,1448,1525,2691,2023,1380,2341,2449,860,1225,2805,67,1837,202,2800,706,1330,2242,2138,1975,2650,1133,3004,704,2714,2679,1544,2824,1156,3149,1176,2695,1951,938,2368,3168,1218,1703,255,2572,2900,2351,2628,1819,711,3071,2851,2364,1296,1333,1393,2748,2394,3249,2370,1513,2434,1952,3151,1678,371,2892,1644,2601,2578,2624,2283,362,1343,2039,2608,2724,1261,2924,906,2966,1718,3044,2386,2265,735,2299,542,1729,2846,3240,1945,1602,3088,929,1112,2567,2766,3045,2195,158,2585,3237,1941,1755,1909,1214,932,1619,2281,1540,2620,1233,3015,2785,1842,976,1479,3248,304,3258,3066,2214,142,630,1539,382,3147,2687,1175,2292,1364,1024,1468,2060,1753,773,491,2287,2369,1060,2119,2248,654,1880,2643,1113,2548,3089,2566,2042,3288,1301,2461,2367,885,2920,1806,211,505,2231,829,1621,3192,824,2038,622,3197,141,862,2755,282,224,2148,779,2688,2854,699,1427,1517,466,878,1786,1329,1606,1324,2681,487,268,2522,2313,403,1256,528,3091,3022,389
RegionName,Los Angeles,Cook,Harris,San Diego,Orange,Miami-Dade,Dallas,Queens,Riverside,San Bernardino,Clark,King,Santa Clara,Broward,Bexar,New York,Philadelphia,Alameda,Middlesex,Suffolk,Palm Beach,Cuyahoga,Allegheny,Hennepin,Fairfax,Contra Costa,Salt Lake,Travis,Saint Louis,Honolulu,Westchester,Milwaukee,Fresno,Shelby,Fulton,Mecklenburg,Erie,Du Page,Fairfield,Bergen,Hartford,Duval,New Haven,Macomb,Kern,Ventura,Middlesex,San Francisco,El Paso,Montgomery,Worcester,Pierce,Hidalgo,Monroe,Essex,Jefferson,Multnomah,Suffolk,Oklahoma,San Mateo,Dekalb,Cobb,Jackson,Norfolk,Bernalillo,Jefferson,Hudson,Monmouth,Davidson,Providence,Bucks,El Paso,Lee,Kent,Polk,District of Columbia,Denver,Arapahoe,Delaware,Bristol,Johnson,Summit,New Castle,Union,Montgomery,Jefferson,Washington,Lancaster,Douglas,Utah,Ramsey,Chester,Lake,Plymouth,Guilford,Dane,Sonoma,Spokane,Onondaga,Hampden,Tulare,Virginia Beach City,Knox,Clark,Santa Barbara,Seminole,Monterey,Mobile,Berks,Cameron,Prince William,Hillsborough,Dakota,Ada,Waukesha,Richland,Sarasota,Clackamas,Orange,Saint Charles,Allen,Lane,Forsyth,Charleston,Lehigh,Placer,Anoka,Marion,Loudoun,Rockland,Henrico,Albany,Lorain,Larimer,Northampton,Dutchess,Fayette,Winnebago,Rockingham,Boulder,Anchorage,Douglas,Lancaster,Cumberland,Erie,Greene,New London,San Luis Obispo,Horry,Madison,Dauphin,Saint Joseph,Santa Cruz,Weld,Marin,Thurston,Kitsap,Alachua,Norfolk City,Buncombe,Washington,Cumberland,Oneida,Weber,Clay,Butte,Saratoga,Barnstable,Trumbull,Washington,Arlington,Richmond City,Jackson,New Hanover,Whatcom,Broome,Saint Louis,Clermont,York,Yuma,Tuscaloosa,Kanawha,Clay,Litchfield,Peoria,Hawaii,Ulster,Baldwin,El Dorado,Shawnee,Shasta,Hernando,Muskegon,Beaver,Monroe,Minnehaha,Bay,Kenosha,Kent,Middlesex,Scott,Porter,Davidson,Beaufort,Portage,Charlotte,Kenton,Rensselaer,Sarpy,Hampshire,Deschutes,Berrien,Penobscot,Madera,Yellowstone,Martin,Fairfield,Olmsted,Citrus,Kootenai,Indian River,Monroe,Fayette,Napa,Tazewell,Chautauqua,Humboldt,Berkshire,Johnson,Scott,Washington,Strafford,Kennebec,Oswego,Potter,Skagit,Jefferson,Lycoming,Saint Lawrence,La Porte,Allegan,Missoula,Ontario,Androscoggin,Douglas,Allen,Bonneville,Cowlitz,Woodbury,Tompkins,Ashtabula,Franklin,Adams,Putnam,Steuben,Albemarle,Highlands,Nevada,Eau Claire,Cabell,Monongalia,Garland,Tuscarawas,Lawrence,Flathead,Story,Gallatin,Grant,Grafton,Sherburne,Grand Traverse,Newport,Cascade,Cattaraugus,Cayuga,Island,Sullivan,Kosciusko,Twin Falls,Cheshire,Erie,Umatilla,Cape Girardeau,Natrona,Hancock,Madison,Monroe,Chelan,Clallam,Franklin,Belmont,Armstrong,Morgan,Rutherford,Marquette,Klamath,Dallas,Warren,Saint Francois,Rice,Lewis and Clark,Washington,Columbia,Coos,Mason,Belknap,Barry,Walla Walla,Edgecombe,Marion,Franklin,Saline,Fulton,Walton,Venango,Hancock,Union,Eagle,Franklin,La Plata,Greene,Allegany,Delaware,Noble,Lincoln,Calaveras,Itasca,Siskiyou,Cerro Gordo,Sullivan,Stevens,Charlottesville City,Ottawa,Okanogan,Kittitas,Bonner,Des Moines,Jackson,Knox,Essex,Crawford,Amador,Clatsop,Scotts Bluff,Albany,Steuben,Macon,Transylvania,Coos,Becker,Jefferson,Pine,Lake,Bradford,Upson,Edgefield,Tillamook,Routt,Teller,Aransas,Curry,Blaine,Hubbard,Plumas,Chaffee,Pitkin,Dickinson,Dukes,Park,San Juan,Gunnison,Brown,Nelson,Grand,Clear Creek,San Miguel,Boise
State,CA,IL,TX,CA,CA,FL,TX,NY,CA,CA,NV,WA,CA,FL,TX,NY,PA,CA,MA,NY,FL,OH,PA,MN,VA,CA,UT,TX,MO,HI,NY,WI,CA,TN,GA,NC,NY,IL,CT,NJ,CT,FL,CT,MI,CA,CA,NJ,CA,TX,PA,MA,WA,TX,NY,MA,KY,OR,MA,OK,CA,GA,GA,MO,MA,NM,AL,NJ,NJ,TN,RI,PA,CO,FL,MI,FL,DC,CO,CO,PA,MA,KS,OH,DE,NJ,OH,CO,OR,PA,NE,UT,MN,PA,IN,MA,NC,WI,CA,WA,NY,MA,CA,VA,TN,WA,CA,FL,CA,AL,PA,TX,VA,NH,MN,ID,WI,SC,FL,OR,NY,MO,IN,OR,NC,SC,PA,CA,MN,OR,VA,NY,VA,NY,OH,CO,PA,NY,KY,IL,NH,CO,AK,CO,NE,ME,PA,MO,CT,CA,SC,IL,PA,IN,CA,CO,CA,WA,WA,FL,VA,NC,MN,PA,NY,UT,MO,CA,NY,MA,OH,PA,VA,VA,OR,NC,WA,NY,MN,OH,ME,AZ,AL,WV,FL,CT,IL,HI,NY,AL,CA,KS,CA,FL,MI,PA,PA,SD,FL,WI,RI,CT,IA,IN,NC,SC,OH,FL,KY,NY,NE,MA,OR,MI,ME,CA,MT,FL,OH,MN,FL,ID,FL,IN,PA,CA,IL,NY,CA,MA,IA,MN,RI,NH,ME,NY,TX,WA,NY,PA,NY,IN,MI,MT,NY,ME,OR,OH,ID,WA,IA,NY,OH,MO,PA,NY,NY,VA,FL,CA,WI,WV,WV,AR,OH,PA,MT,IA,MT,WA,NH,MN,MI,RI,MT,NY,NY,WA,NY,IN,ID,NH,OH,OR,MO,WY,OH,NY,FL,WA,WA,MA,OH,PA,IN,NC,MI,OR,IA,NY,MO,MN,MT,NY,NY,OR,WA,NH,MI,WA,NC,WV,VA,KS,NY,FL,PA,ME,OH,CO,NY,CO,NY,NY,NY,IN,OR,CA,MN,CA,IA,NH,WA,VA,OH,WA,WA,ID,IA,NC,ME,NY,KS,CA,OR,NE,WY,IN,NC,NC,NH,MN,WA,MN,MT,FL,GA,SC,OR,CO,CO,TX,OR,ID,MN,CA,CO,CO,IA,MA,CO,WA,CO,IN,VA,CO,CO,CO,ID
Metro,Los Angeles-Long Beach-Anaheim,Chicago,Houston,San Diego,Los Angeles-Long Beach-Anaheim,Miami-Fort Lauderdale,Dallas-Fort Worth,New York,Riverside,Riverside,Las Vegas,Seattle,San Jose,Miami-Fort Lauderdale,San Antonio,New York,Philadelphia,San Francisco,Boston,New York,Miami-Fort Lauderdale,Cleveland,Pittsburgh,Minneapolis-St Paul,Washington,San Francisco,Salt Lake City,Austin,St. Louis,Urban Honolulu,New York,Milwaukee,Fresno,Memphis,Atlanta,Charlotte,Buffalo,Chicago,Stamford,New York,Hartford,Jacksonville,New Haven,Detroit,Bakersfield,Ventura,New York,San Francisco,El Paso,Philadelphia,Worcester,Seattle,McAllen,Rochester,Boston,Louisville/Jefferson County,Portland,Boston,Oklahoma City,San Francisco,Atlanta,Atlanta,Kansas City,Boston,Albuquerque,Birmingham,New York,New York,Nashville,Providence,Philadelphia,Colorado Springs,Fort Myers,Grand Rapids,Lakeland,Washington,Denver,Denver,Philadelphia,Providence,Kansas City,Akron,Philadelphia,New York,Dayton,Denver,Portland,Lancaster,Omaha,Provo,Minneapolis-St Paul,Philadelphia,Chicago,Boston,,Madison,Santa Rosa,Spokane,Syracuse,Springfield,Visalia,Virginia Beach,Knoxville,Portland,Santa Maria-Santa Barbara,Orlando,Salinas,Mobile,Reading,Brownsville,Washington,Manchester,Minneapolis-St Paul,Boise City,Milwaukee,Columbia,North Port-Sarasota-Bradenton,Portland,New York,St. Louis,Fort Wayne,Eugene,Winston-Salem,Charleston,Allentown,Sacramento,Minneapolis-St Paul,Salem,Washington,New York,Richmond,Albany,Cleveland,Fort Collins,Allentown,New York,Lexington,Rockford,Boston,Boulder,Anchorage,Denver,Lincoln,Portland,Erie,Springfield,New London,San Luis Obispo,Myrtle Beach,St. Louis,Harrisburg,South Bend,Santa Cruz,Greeley,San Francisco,Olympia,Bremerton,Gainesville,Virginia Beach,Asheville,Minneapolis-St Paul,Harrisburg,Utica,Ogden,Kansas City,Chico,Albany,Cape Cod,Youngstown,Pittsburgh,Washington,Richmond,Medford,Wilmington,Bellingham,Binghamton,Duluth,Cincinnati,Portland,Yuma,Tuscaloosa,Charleston,Jacksonville,Torrington,Peoria,Hilo,Kingston,Daphne,Sacramento,Topeka,Redding,Tampa,Muskegon,Pittsburgh,East Stroudsburg,Sioux Falls,Panama City,Chicago,Providence,Hartford,Davenport,Chicago,Winston-Salem,Hilton Head Island,Akron,Punta Gorda,Cincinnati,Albany,Omaha,Springfield,Bend,Niles,Bangor,Madera,Billings,Port St. Lucie,Columbus,Rochester,Homosassa Springs,Coeur d'Alene,Vero Beach,Bloomington,Pittsburgh,Napa,Peoria,Jamestown,Eureka,Pittsfield,Iowa City,Minneapolis-St Paul,Providence,Boston,Augusta,Syracuse,Amarillo,Mount Vernon,Watertown,Williamsport,Ogdensburg,Michigan City,Holland,Missoula,Rochester,Lewiston,Roseburg,Lima,Idaho Falls,Longview,Sioux City,Ithaca,Ashtabula,St. Louis,Gettysburg,New York,Corning,Charlottesville,Sebring,Truckee,Eau Claire,Huntington,Morgantown,Hot Springs,New Philadelphia,New Castle,Kalispell,Ames,Bozeman,Moses Lake,Claremont,Minneapolis-St Paul,Traverse City,Providence,Great Falls,Olean,Auburn,Oak Harbor,,Warsaw,Twin Falls,Keene,Sandusky,Hermiston-Pendleton,Cape Girardeau,Casper,Findlay,Syracuse,Key West,Wenatchee,Port Angeles,Greenfield Town,Wheeling,Pittsburgh,Indianapolis,Forest City,Marquette,Klamath Falls,Des Moines,Glens Falls,Farmington,Faribault,Helena,Glens Falls,Hudson,Coos Bay,Shelton,Laconia,Grand Rapids,Walla Walla,Rocky Mount,Fairmont,Roanoke,Salina,Gloversville,Crestview-Fort Walton Beach-Destin,Oil City,,Columbus,Edwards,Malone,Durango,,,,Kendallville,Newport,,,,Mason City,Claremont,Spokane,Charlottesville,Port Clinton,,Ellensburg,Sandpoint,Burlington,Cullowhee,,,Pittsburg,,Astoria,Scottsbluff,Laramie,Angola,,Brevard,Berlin,,,,,,Thomaston,Augusta,,Steamboat Springs,Colorado Springs,Corpus Christi,Brookings,Hailey,,,,Glenwood Springs,Spirit Lake,Vineyard Haven,Denver,,,Indianapolis,Charlottesville,,Denver,,Boise City
StateCodeFIPS,06,17,48,06,06,12,48,36,06,06,32,53,06,12,48,36,42,06,25,36,12,39,42,27,51,06,49,48,29,15,36,55,06,47,13,37,36,17,09,34,09,12,09,26,06,06,34,06,48,42,25,53,48,36,25,21,41,25,40,06,13,13,29,25,35,01,34,34,47,44,42,08,12,26,12,11,08,08,42,25,20,39,10,34,39,08,41,42,31,49,27,42,18,25,37,55,06,53,36,25,06,51,47,53,06,12,06,01,42,48,51,33,27,16,55,45,12,41,36,29,18,41,37,45,42,06,27,41,51,36,51,36,39,08,42,36,21,17,33,08,02,08,31,23,42,29,09,06,45,17,42,18,06,08,06,53,53,12,51,37,27,42,36,49,29,06,36,25,39,42,51,51,41,37,53,36,27,39,23,04,01,54,12,09,17,15,36,01,06,20,06,12,26,42,42,46,12,55,44,09,19,18,37,45,39,12,21,36,31,25,41,26,23,06,30,12,39,27,12,16,12,18,42,06,17,36,06,25,19,27,44,33,23,36,48,53,36,42,36,18,26,30,36,23,41,39,16,53,19,36,39,29,42,36,36,51,12,06,55,54,54,05,39,42,30,19,30,53,33,27,26,44,30,36,36,53,36,18,16,33,39,41,29,56,39,36,12,53,53,25,39,42,18,37,26,41,19,36,29,27,30,36,36,41,53,33,26,53,37,54,51,20,36,12,42,23,39,08,36,08,36,36,36,18,41,06,27,06,19,33,53,51,39,53,53,16,19,37,23,36,20,06,41,31,56,18,37,37,33,27,53,27,30,12,13,45,41,08,08,48,41,16,27,06,08,08,19,25,08,53,08,18,51,08,08,08,16
MunicipalCodeFIPS,037,031,201,073,059,086,113,081,065,071,003,033,085,011,029,061,101,001,017,103,099,035,003,053,059,013,035,453,189,003,119,079,019,157,121,119,029,043,001,003,003,031,009,099,029,111,023,075,141,091,027,053,215,055,009,111,051,025,109,081,089,067,095,021,001,073,017,025,037,007,017,041,071,081,105,001,031,005,045,005,091,153,003,039,113,059,067,071,055,049,123,029,089,023,081,025,097,063,067,013,107,810,093,011,083,117,053,097,011,061,153,011,037,001,133,079,115,005,071,183,003,039,067,019,077,061,003,047,107,087,087,001,093,069,095,027,067,201,015,013,020,035,109,005,049,077,011,079,051,119,043,141,087,123,041,067,035,001,710,021,163,041,065,057,047,007,091,001,155,125,013,760,029,129,073,007,137,025,031,027,125,039,019,005,143,001,111,003,017,177,089,053,121,007,089,099,005,059,003,007,163,127,057,013,133,015,117,083,153,015,017,021,019,039,111,085,045,109,017,055,061,105,051,055,179,013,023,003,103,139,009,017,011,075,375,057,045,081,089,091,005,063,069,001,019,003,019,015,193,109,007,071,001,079,101,003,055,057,035,011,061,051,157,073,029,169,031,025,009,141,055,005,013,009,011,029,105,085,083,005,043,059,031,025,063,053,087,007,009,011,013,005,109,161,103,035,049,113,187,131,049,115,021,011,045,001,015,071,065,049,067,169,035,131,121,009,159,037,033,067,039,003,025,113,041,009,061,093,033,019,065,540,123,047,037,017,057,099,013,031,037,005,007,157,001,151,113,175,007,005,031,115,047,007,293,037,057,107,119,007,015,013,057,063,015,097,059,007,093,055,051,013,125,049,019,113,015
SizeRank,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377
1996-04,94318,101684,49147,78125,86419,60060,52927,,55658,53534,66393,91396,130983,38319,40536,,65251,113040,83426,88228,33006,48449,40197,56699,81291,141777,98347,90723,65475,157774,172075,68175,45892,42262,66919,,63544,60822,,85375,,,52990,45494,43202,104287,59671,199173,47648,66910,58511,86123,,62050,71569,47135,91961,97677,,130844,61224,54186,39731,86442,90015,,84108,113826,56881,61581,74183,70580,40699,83503,39609,89063,65591,54314,50806,83927,,50662,63800,67823,54502,67400,,72211,,154191,44807,81154,,70105,48397,93927,135414,54158,54748,54695,55814,,43443,84058,147039,33669,150895,30713,65871,,60968,,57968,,,51091,53938,91047,81560,58522,,71169,43054,,68395,103930,62390,50067,88040,111924,61662,71249,67487,72238,,86211,,63970,55411,85045,,262754,54807,65446,,,,116913,,76290,65607,42097,160005,67222,,101773,90237,,70659,,83906,57792,46547,64160,111415,,60883,61496,34563,,108418,,101491,,,40472,,55989,44703,,,,,78563,,,,,96139,,83001,23880,,41009,,,32485,70793,67945,71988,,,,172885,56973,37452,43566,60897,153133,76559,,58800,,74322,,37041,,49914,28634,,37672,94725,,162844,,46873,,65190,,75624,86030,,36798,38298,,83711,,,23649,,60280,,56837,,49729,33390,,60124,,,38134,,,98263,,,25481,106679,90256,,,35805,,,,,,,,78943,67178,89020,,35932,47544,141500,,42351,,58020,55599,,,,62240,48522,80783,82927,,53820,,,,,,30396,,65748,,,,44059,72527,,75016,,65041,,56588,,,,31588,,,,63628,,,,46335,,44200,46675,68572,79476,,,,,52482,,61604,,,,,,,48786,,87993,77027,,,,,,,32440,116749,,,30451,,71180,75122,,,54657,128326,,52256,,,,,,,,,111314,78064,,,,
1996-05,93934,103455,49293,77366,86187,60194,53497,,55785,53732,66464,91540,132298,38278,40623,,65258,112805,83871,88427,32989,48579,40281,56888,81001,139876,98056,90411,65911,157166,171720,67627,45761,43182,67186,,63385,60708,,85253,,,52256,46116,42498,103135,59759,199919,47330,66788,58364,86718,,61540,72398,47298,93120,98507,,131707,62336,54321,40040,86780,89041,,83988,114145,57339,62892,74169,70851,41062,84572,39298,89223,66202,54669,50755,83481,,50918,64253,68710,49596,68728,,72829,,148824,46410,81122,,70801,48651,94349,135062,54319,54207,53396,55382,,44003,86064,149192,33453,152498,31086,65073,,60773,,58992,,,50348,53805,91871,80971,58284,,71724,42811,,69099,104008,64367,49761,88802,112739,62624,70671,67776,72821,,86023,,63971,52435,85058,,260507,54405,65316,,,,116088,,75583,66157,41383,160724,67129,,101885,90618,,69532,,84242,58040,46079,64592,111424,,60772,61705,34449,,108121,,102489,,,40528,,56902,44722,,,,,79251,,,,,97242,,82255,23834,,40679,,,31862,71381,67904,71505,,,,174835,57177,37533,43911,59645,153240,75323,,59275,,75233,,36478,,49817,29035,,37375,92865,,162555,,47210,,66396,,76133,87114,,37083,38443,,83427,,,23686,,60616,,57950,,50483,32881,,60109,,,38491,,,97912,,,25554,108031,90361,,,36093,,,,,,,,75790,65138,89001,,35807,48099,142102,,41784,,56776,55086,,,,62347,47553,81246,83484,,54122,,,,,,30721,,64581,,,,44096,72230,,75206,,65528,,56811,,,,31802,,,,65146,,,,46338,,44589,46121,69402,80386,,,,,51830,,61973,,,,,,,47364,,89561,77433,,,,,,,33205,116197,,,31143,,71497,75602,,,54662,128704,,51317,,,,,,,,,108782,78006,,,,
1996-06,93613,105269,49188,76683,85751,60344,52964,,55636,54086,66551,92043,133284,38141,40646,,65084,112417,84346,88445,32988,48892,40271,57146,80892,137259,97838,91745,65872,158314,171904,67424,46120,44192,67892,,63823,60768,,84850,,,51429,46373,42378,102267,60106,199407,47021,66791,58092,86962,,60812,72872,47462,94139,99320,,133076,63629,54728,39963,87672,88963,,84108,114463,58418,63809,74197,71092,41115,85054,39344,89313,66692,55047,50859,82753,,51262,64335,69228,47267,69803,,73160,,143792,47770,81110,,71473,48803,94931,134909,54500,53910,51863,55105,,44339,88167,152313,33044,151426,31179,64639,,60828,,59786,,,50082,53923,92375,80048,58191,,72536,42651,,69970,104255,65235,49509,89475,113194,63292,69746,66959,73236,,86031,,63284,50374,85154,,257122,54392,64359,,,,115814,,74567,66618,40415,160809,67218,,102319,91002,,68559,,84848,58217,45159,65322,112381,,60709,61879,34590,,108017,,103222,,,40387,,57890,44370,,,,,80200,,,,,98060,,81821,24024,,40235,,,31473,72752,67722,69498,,,,177005,57429,37725,44329,58597,155179,73446,,59496,,76653,,36119,,49463,29234,,37029,90126,,163461,,47689,,67522,,75809,88487,,37181,38259,,83331,,,23613,,62033,,58634,,50651,32121,,60508,,,38866,,,97871,,,25707,107869,89649,,,35712,,,,,,,,74811,65186,88984,,35854,48716,142986,,40645,,56376,55589,,,,62030,46867,81536,84006,,54198,,,,,,30848,,63228,,,,44205,71921,,75632,,66107,,57552,,,,32070,,,,66139,,,,46537,,44740,45424,70272,81348,,,,,51585,,62284,,,,,,,45987,,91872,77799,,,,,,,34269,115974,,,31505,,71488,76176,,,54811,129043,,49957,,,,,,,,,106352,76467,,,,
