"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","44240","OH","""Akron, OH""",3136,73,9.6,70,0.714285714285714,3.93854748603352
"Zip","44203","OH","""Akron, OH""",3216,73,11.7647058823529,79,4.64285714285714,3.93854748603352
"Zip","44224","OH","""Akron, OH""",3303,73,10,67,0.357142857142857,3.93854748603352
"Zip","44266","OH","""Akron, OH""",4379,73,7.64331210191083,90,3.57142857142857,3.93854748603352
"Zip","44221","OH","""Akron, OH""",4384,73,11.1111111111111,68.5,2.14285714285714,3.93854748603352
"Zip","44312","OH","""Akron, OH""",4462,73,14.6118721461187,78,5,3.93854748603352
"Zip","44313","OH","""Akron, OH""",5142,73,11.0526315789474,80,4.28571428571429,3.93854748603352
"Zip","44319","OH","""Akron, OH""",6457,73,14.1791044776119,84,7.5,3.93854748603352
"Zip","44310","OH","""Akron, OH""",6578,73,9.2436974789916,79.5,2.85714285714286,3.93854748603352
"Zip","44306","OH","""Akron, OH""",6962,73,16.9642857142857,92.5,9.64285714285714,3.93854748603352
"Zip","44236","OH","""Akron, OH""",6982,73,15.8227848101266,68,3.92857142857143,3.93854748603352
"Zip","44305","OH","""Akron, OH""",7021,73,10.6666666666667,93,5.71428571428571,3.93854748603352
"Zip","44087","OH","""Akron, OH""",7223,73,10.6194690265487,78.5,3.21428571428571,3.93854748603352
"Zip","44320","OH","""Akron, OH""",7239,73,15.0793650793651,82,8.57142857142857,3.93854748603352
"Zip","44067","OH","""Akron, OH""",7303,73,17.5925925925926,76,6.42857142857143,3.93854748603352
"Zip","44202","OH","""Akron, OH""",7394,73,8.69565217391304,77.5,2.5,3.93854748603352
"Zip","44223","OH","""Akron, OH""",7673,73,7.8125,76,1.42857142857143,3.93854748603352
"Zip","44314","OH","""Akron, OH""",7693,73,16.3793103448276,77,6.07142857142857,3.93854748603352
"Zip","44333","OH","""Akron, OH""",7862,73,15.5038759689922,92,9.28571428571429,3.93854748603352
"Zip","44278","OH","""Akron, OH""",7975,73,12.5,66,1.78571428571429,3.93854748603352
"Zip","44241","OH","""Akron, OH""",8005,73,16,78,6.78571428571429,3.93854748603352
"Zip","44321","OH","""Akron, OH""",8703,73,19.5652173913043,75,7.14285714285714,3.93854748603352
"Zip","44301","OH","""Akron, OH""",8740,73,13.1578947368421,95,8.92857142857143,3.93854748603352
"Zip","44260","OH","""Akron, OH""",9239,73,23.9130434782609,74,8.21428571428571,3.93854748603352
"Zip","44056","OH","""Akron, OH""",9501,73,11.2903225806452,66,1.07142857142857,3.93854748603352
"Zip","44216","OH","""Akron, OH""",10128,73,17.9487179487179,71.5,5.35714285714286,3.93854748603352
"Zip","44303","OH","""Akron, OH""",10136,73,14.2857142857143,83,7.85714285714286,3.93854748603352
"Zip","44286","OH","""Akron, OH""",10629,73,22.4137931034483,116,10,3.93854748603352
"Zip","12180","NY","""Albany-Schenectady-Troy, NY""",2240,60,9.78260869565217,111,4.51612903225806,4.48324022346369
"Zip","12065","NY","""Albany-Schenectady-Troy, NY""",2674,60,7.66773162939297,99,2.58064516129032,4.48324022346369
"Zip","12866","NY","""Albany-Schenectady-Troy, NY""",2824,60,6.76691729323308,108,2.90322580645161,4.48324022346369
"Zip","12020","NY","""Albany-Schenectady-Troy, NY""",4179,60,6.77966101694915,91,1.61290322580645,4.48324022346369
"Zip","12203","NY","""Albany-Schenectady-Troy, NY""",4905,60,13.6054421768707,99,5.80645161290323,4.48324022346369
"Zip","12309","NY","""Albany-Schenectady-Troy, NY""",5213,60,13.5746606334842,109.5,6.45161290322581,4.48324022346369
"Zip","12303","NY","""Albany-Schenectady-Troy, NY""",5229,60,8.15217391304348,120,5.48387096774194,4.48324022346369
"Zip","12205","NY","""Albany-Schenectady-Troy, NY""",5502,60,6.34920634920635,92,0.645161290322581,4.48324022346369
"Zip","12302","NY","""Albany-Schenectady-Troy, NY""",5564,60,8.37988826815642,95,3.2258064516129,4.48324022346369
"Zip","12306","NY","""Albany-Schenectady-Troy, NY""",5804,60,12.1693121693122,116,8.06451612903226,4.48324022346369
"Zip","12208","NY","""Albany-Schenectady-Troy, NY""",6556,60,10.3448275862069,94,3.54838709677419,4.48324022346369
"Zip","12047","NY","""Albany-Schenectady-Troy, NY""",6682,60,10.4651162790698,89,2.25806451612903,4.48324022346369
"Zip","12144","NY","""Albany-Schenectady-Troy, NY""",7065,60,13.5135135135135,96,4.19354838709677,4.48324022346369
"Zip","12304","NY","""Albany-Schenectady-Troy, NY""",7327,60,16.5137614678899,103,7.09677419354839,4.48324022346369
"Zip","12189","NY","""Albany-Schenectady-Troy, NY""",7383,60,14.7540983606557,93,4.83870967741935,4.48324022346369
"Zip","12110","NY","""Albany-Schenectady-Troy, NY""",7651,60,7.00636942675159,87,0.967741935483871,4.48324022346369
"Zip","12054","NY","""Albany-Schenectady-Troy, NY""",8118,60,6.52173913043478,84,0.32258064516129,4.48324022346369
"Zip","12831","NY","""Albany-Schenectady-Troy, NY""",8293,60,8.46153846153846,115,5.16129032258065,4.48324022346369
"Zip","12118","NY","""Albany-Schenectady-Troy, NY""",8385,60,11.2359550561798,126,8.38709677419355,4.48324022346369
"Zip","12182","NY","""Albany-Schenectady-Troy, NY""",8641,60,15.6626506024096,105,7.74193548387097,4.48324022346369
"Zip","12019","NY","""Albany-Schenectady-Troy, NY""",8694,60,6.95187165775401,120.5,3.87096774193548,4.48324022346369
"Zip","12308","NY","""Albany-Schenectady-Troy, NY""",8964,60,14.2857142857143,127,10,4.48324022346369
"Zip","12188","NY","""Albany-Schenectady-Troy, NY""",9453,60,6.38297872340426,93,1.29032258064516,4.48324022346369
"Zip","12211","NY","""Albany-Schenectady-Troy, NY""",9621,60,13.75,107,6.7741935483871,4.48324022346369
"Zip","12209","NY","""Albany-Schenectady-Troy, NY""",9872,60,22.8571428571429,111,9.35483870967742,4.48324022346369
"Zip","12061","NY","""Albany-Schenectady-Troy, NY""",9943,60,12,111,6.12903225806452,4.48324022346369
"Zip","12803","NY","""Albany-Schenectady-Troy, NY""",10061,60,11.6279069767442,117,7.41935483870968,4.48324022346369
"Zip","12033","NY","""Albany-Schenectady-Troy, NY""",10341,60,17.3913043478261,111,9.03225806451613,4.48324022346369
"Zip","12009","NY","""Albany-Schenectady-Troy, NY""",10401,60,12.2448979591837,153,9.67741935483871,4.48324022346369
"Zip","12077","NY","""Albany-Schenectady-Troy, NY""",10545,60,7.57575757575758,88.5,1.93548387096774,4.48324022346369
"Zip","12822","NY","""Albany-Schenectady-Troy, NY""",10575,60,11.1111111111111,149.5,8.70967741935484,4.48324022346369
"Zip","87111","NM","""Albuquerque, NM""",1588,59,16.3522012578616,84,4.58333333333333,7.24860335195531
"Zip","87114","NM","""Albuquerque, NM""",1599,59,15.2439024390244,88,3.33333333333333,7.24860335195531
"Zip","87120","NM","""Albuquerque, NM""",1765,59,19.0283400809717,90,7.91666666666667,7.24860335195531
"Zip","87121","NM","""Albuquerque, NM""",1893,59,14.010989010989,80,0.416666666666667,7.24860335195531
"Zip","87124","NM","""Albuquerque, NM""",2147,59,14.75,79.5,0.833333333333333,7.24860335195531
"Zip","87109","NM","""Albuquerque, NM""",2590,59,15.9340659340659,77,2.08333333333333,7.24860335195531
"Zip","87112","NM","""Albuquerque, NM""",2642,59,16.8067226890756,83,4.16666666666667,7.24860335195531
"Zip","87105","NM","""Albuquerque, NM""",2784,59,11.4754098360656,98,2.91666666666667,7.24860335195531
"Zip","87123","NM","""Albuquerque, NM""",2915,59,14.5522388059701,102,7.08333333333333,7.24860335195531
"Zip","87110","NM","""Albuquerque, NM""",2931,59,15.546218487395,89.5,5,7.24860335195531
"Zip","87108","NM","""Albuquerque, NM""",2961,59,17.1052631578947,94.5,7.5,7.24860335195531
"Zip","87031","NM","""Albuquerque, NM""",3681,59,10.1398601398601,100,1.66666666666667,7.24860335195531
"Zip","87144","NM","""Albuquerque, NM""",4060,59,18.0412371134021,72,3.75,7.24860335195531
"Zip","87107","NM","""Albuquerque, NM""",4877,59,19.8830409356725,101,8.75,7.24860335195531
"Zip","87106","NM","""Albuquerque, NM""",5201,59,10.377358490566,100,2.5,7.24860335195531
"Zip","87102","NM","""Albuquerque, NM""",6514,59,13.3928571428571,101.5,5.41666666666667,7.24860335195531
"Zip","87002","NM","""Albuquerque, NM""",7460,59,10.4294478527607,130,6.25,7.24860335195531
"Zip","87122","NM","""Albuquerque, NM""",8437,59,18.6335403726708,108,9.58333333333333,7.24860335195531
"Zip","87113","NM","""Albuquerque, NM""",8774,59,11.6279069767442,86,1.25,7.24860335195531
"Zip","87104","NM","""Albuquerque, NM""",8987,59,17.8571428571429,108.5,9.16666666666667,7.24860335195531
"Zip","87048","NM","""Albuquerque, NM""",9726,59,10,144.5,5.83333333333333,7.24860335195531
"Zip","87059","NM","""Albuquerque, NM""",9826,59,26.0869565217391,137,10,7.24860335195531
"Zip","87043","NM","""Albuquerque, NM""",10602,59,11.3924050632911,130,6.66666666666667,7.24860335195531
"Zip","87047","NM","""Albuquerque, NM""",10628,59,17.1875,102.5,8.33333333333333,7.24860335195531
"Zip","18103","PA","""Allentown-Bethlehem-Easton, PA-NJ""",2825,67,15.7894736842105,82,6.17647058823529,6.34078212290503
"Zip","18104","PA","""Allentown-Bethlehem-Easton, PA-NJ""",3097,67,18.8888888888889,81,5.58823529411765,6.34078212290503
"Zip","18102","PA","""Allentown-Bethlehem-Easton, PA-NJ""",3260,67,5.52486187845304,99,1.47058823529412,6.34078212290503
"Zip","18042","PA","""Allentown-Bethlehem-Easton, PA-NJ""",3501,67,12.7659574468085,96,4.41176470588235,6.34078212290503
"Zip","18017","PA","""Allentown-Bethlehem-Easton, PA-NJ""",3579,67,19.3548387096774,85,7.64705882352941,6.34078212290503
"Zip","18018","PA","""Allentown-Bethlehem-Easton, PA-NJ""",4200,67,12.3893805309735,81,1.17647058823529,6.34078212290503
"Zip","07840","NJ","""Allentown-Bethlehem-Easton, PA-NJ""",5180,67,13.1818181818182,114,8.23529411764706,6.34078212290503
"Zip","08865","NJ","""Allentown-Bethlehem-Easton, PA-NJ""",5279,67,19.047619047619,124,10,6.34078212290503
"Zip","18015","PA","""Allentown-Bethlehem-Easton, PA-NJ""",5469,67,10.2189781021898,100,3.23529411764706,6.34078212290503
"Zip","18052","PA","""Allentown-Bethlehem-Easton, PA-NJ""",5565,67,9.57446808510638,79,0.588235294117647,6.34078212290503
"Zip","18045","PA","""Allentown-Bethlehem-Easton, PA-NJ""",5711,67,13.7404580152672,89,5.29411764705882,6.34078212290503
"Zip","18064","PA","""Allentown-Bethlehem-Easton, PA-NJ""",6640,67,14.6788990825688,99,8.52941176470588,6.34078212290503
"Zip","18062","PA","""Allentown-Bethlehem-Easton, PA-NJ""",6670,67,13.6842105263158,79,2.64705882352941,6.34078212290503
"Zip","18067","PA","""Allentown-Bethlehem-Easton, PA-NJ""",7628,67,13.2530120481928,85,4.70588235294118,6.34078212290503
