"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"10025","New York","NY","New York","New York",1,,,,,,,,,2575,2700,2800,2700,2600,2800,2825,2900,2725,2825,3160,3000,2950,3080,3000,2850,2997.5,2800,2900,2900,2950,2900,3195,3200,3300,3300,3195,3150,3250,3300,3200,3250,3150,2950,3200,3307.5,3405,3500,3500,3440,3390,3385,3380,3395,3400,3400,3350,3400,3450,3400,3400,3400,3400,3400,3400,3400,3397.5,3390,3440,3500,3500,3500,3500,3500,3497.5,3450,3500,3490,3400,3400,3422.5,3450,3500,3500,3500,3450,3405,3397.5,3500,3440,3440,3405,3470,3402.5,3400,3495,3500,3402.5,3402.5,3395
"60657","Chicago","IL","Chicago","Cook",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,2000,2000,1995,1900,1900,1897.5,1900,1925,2100,2000,2150,2000,1962.5,1995,1965,1925,1950,1900,1950,1875,1900,1995,2000,1950,1745,1797.5,1750,1885,1872.5,1950,1900,2000,2100,2100,2155,2000,1850,1816,1800,1750,1795,1750,1895
"10023","New York","NY","New York","New York",3,,,,,,,,,,,,,,3475,3400,3295,3243,3300,3450,3600,3600,3600,3445.5,3400,3500,3350,3350,3495,3600,3500,3500,3550,3500,3412.5,3400,3400,3395,3425,3340,3300,3399,3400,3360,3500,3500,3500,3600,3675,3675,3700,3795,3700,3950,3750,3800,3800,3878,3799.5,3737.5,3800,3700,3750,3750,3795,3795,3850,3800,3800,3800,3775,3795,3795,3800,3800,3750,3750,3700,3650,3650,3500,3600,3595,3600,3695,3690,3697,3725,3750,3750,3800,3700,3600,3587.5,3698.5,3700,3700,3550,3500
"75070","McKinney","TX","Dallas-Fort Worth","Collin",4,,,,,,,,,,,,,1450,1495,1500,1595,1595,1550,1550,1600,1590,1595,1550,1585,1595,1575,1650,1650,1595,1600,1600,1595,1595,1599.5,1650,1650,1650,1631,1650,1650,1695,1650,1650,1700,1695,1695,1662.5,1650,1650,1675,1675,1700,1700,1700,1700,1700,1700,1700,1700,1750,1700,1750,1750,1750,1750,1795,1795,1800,1795,1795,1800,1795,1795,1795,1799,1800,1800,1850,1850,1850,1862.5,1895,1795,1850,1850,1885,1850,1850,1895,1850,1850,1860,1850,1850,1850,1850,1850,1850
"77494","Cinco Ranch","TX","Houston","Fort Bend",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,2000,2100,1900,1850,1887.5,2100,2100,2000,2097,2000,2099.5,2100,2200,2250,2100,2235,2295,2150,2150,2200,2240,2200,2200,2290,2250,2200,2300,2300,2200,2200,2200,2150,2100,2100,2100,2197.5,2100,2150,2100,2000,2200,2100,1900,2000,1950,2000,2000,2000,2000,2000,2100,2100,2200,2260,2200,2200,2100,2100,2100
"60614","Chicago","IL","Chicago","Cook",6,,,1800,2000,1800,1750,1800,1950,2200,2225,2400,2100,1950,1750,1725,1925,1900,1900,1900,1982.5,1962.5,1995,2030,1975,2000,2000,2005,2100,2095,2100,2100,2025,2100,1995,1855,1800,1771,1750,1700,1780,1800,1750,1729,1800,2090,2100,2100,2100,2177.5,2180,2200,2000,2200,2300,2200,2250,2200,2200,2250,2300,2250,2225,2150,2100,2272.5,2197.5,2192.5,2150,2150,2095,2050,2180,2295,2200,2150,2250,2200,2300,2185,2185,1945,1950,2000,2040,2052.5,2200,2250,2300,2300,2400,2400,2300,2192.5,2200,2200,2200,2200,2099.5
"79936","El Paso","TX","El Paso","El Paso",7,,,,,,,,,,,,,,,1100,1100,1050,1050,1000,1012.5,1060,1060,1000,1050,1050,1095,1085,1000,1100,1100,1050,1050,1000,1000,985,975,985,995,995,995,995,995,995,995,995,975,995,980,995,995,995,1000,1000,995,995,995,995,1000,995,995,995,1000,1050,1050,1070,1075,1050,1050,1050,1000,1000,1000,1000,1050,1050,1000,1050,1000,995,995,1050,975,992.5,1000,1000,1050,1050,1050,1050,1092.5,1050,1025,1000,1000,995,1000,995,1000
"77084","Houston","TX","Houston","Harris",8,,,,,,,,,,,,,1050,1100,1125,1150,1125,1150,1150,1150,1150,1195,1185,1200,1150,1100,1125,1195,1195,1200,1197.5,1150,983.5,1150,1195,1120,1087,1195,1150,1200,1349.5,1200,1225,1250,1297.5,1300,1300,1300,1300,1300,1325,1325,1324.5,1350,1375,1362.5,1350,1395,1350,1350,1375,1395,1400,1400,1445,1450,1400,1400,1400,1400,1400,1395,1400,1425,1412.5,1400,1449,1400,1400,1395,1400,1375,1395,1400,1400,1400,1400,1400,1400,1457.5,1450,1450,1450,1425,1400,1417.5,1450,1450
"10002","New York","NY","New York","New York",9,,,,,,,,,,,,,,,,,,,,,,2800,3000,2695,2800,2700,2650,2750,2795,2750,2695,2695,2800,2800,2850,2850,2800,2850,2800,2800,2850,2987.5,3095,2925,2700,3100,2700,2995,3000,3100,3112.5,3112.5,3125,3200,3300,3347.5,3195,3300,3300,3397.5,3200,3197.5,3125,3112.5,3195,3200,3300,3125,3125,3050,3125,3197.5,3197.5,3175,3000,3050,3100,3100,3100,2900,2937.5,2850,2800,3125,3300,3195,3200,3225,3295,3295,3112.5,2850,3100,2920,3050,3050,3100,3100
"10467","New York","NY","New York","Bronx",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1150,1150,1200,1272.5,1150,1150,1175,1200,1200,1200,1175,1200,1175,1295,1400,1400
"60640","Chicago","IL","Chicago","Cook",11,,,,,,,,,,,,1395,1300,1250,1225,1115,1100,1150,1195,1200,1200,1300,1295,1295,1302.5,1275,1295,1200,1200,1237.5,1275,1200,1195,1195,1195,1200,1200,1200,1200,1195,1200,1195,1215,1350,1350,1375,1350,1350,1300,1350,1375,1445,1520,1550,1500,1450,1412.5,1450,1450,1475,1500,1497.5,1400,1450,1495,1550,1550,1495,1450,1462.5,1447.5,1520,1495,1475,1450,1450,1450,1450,1447.5,1440,1500,1450,1450,1500,1550,1612.5,1550,1522.5,1525,1495,1495,1495,1447.5,1450,1450,1450,1400,1400
"77449","Houston","TX","Houston","Harris",12,,,,,,,,,,,,1275,1200,1200,1250,1200,1200,1200,1195,1200,1200,1195,1200,1200,1200,1250,1250,1295,1250,1250,1250,1262.5,1200,1250,1275,1250,1195,1300,1300,1350,1350,1300,1375,1391.5,1362.5,1395,1350,1350,1300,1300,1327.5,1375,1375,1400,1400,1400,1400,1400,1400,1400,1400,1400,1475,1475,1475,1450,1450,1450,1450,1450,1447.5,1425,1450,1450,1475,1450,1462.5,1485,1450,1402.5,1430,1444,1400,1400,1400,1400,1400,1425,1425,1425,1425,1437.5,1425,1450,1450,1467,1475,1475
"94109","San Francisco","CA","San Francisco","San Francisco",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3497.5,4000,4050,4200,4400,4000,4050,3950,4000,4250,4250,3995,3725,4000,4200,4345,4397.5
"11226","New York","NY","New York","Kings",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1950,1845,1800,1799,1800,1845,1900,1900,1845,1800,1800,1800,1800,1625,1650,1697.5,1875,1650,1725,1547.5,1545,1499,1545,1650,1675,1547.5,1499,1522.5,1499.5,1499.5,1500,1625,1625
"10016","New York","NY","New York","New York",15,,,,,,,,,,,,,,,2900,2900,2995,3000,3000,2999.5,3030,3100,3000,2995,3000,3000,3050,3125,3200,3195,3195,3200,3200,3200,3195,3100,3100,3150,3195,3200,3200,3200,3200,3200,3395,3400,3400,3475,3475,3455,3400,3395,3348.5,3400,3500,3500,3500,3500,3499,3500,3500,3500,3475,3500,3500,3500,3500,3500,3500,3512.5,3500,3500,3500,3500,3550,3550,3487.5,3500,3500,3497.5,3452.5,3450,3400,3500,3500,3500,3540,3500,3550,3512.5,3500,3500,3500,3497.5,3500,3545,3402.5,3450
"11235","New York","NY","New York","Kings",16,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1412.5,1400,1452.5,1400,1475,1550,1575,1550,1600,1550,1562.5,1650,1675,1700,1700,1600,1587.5,1700,1825,1837.5,1800,1850,1925,1925,1950,2000,1985.5,2125,2150,2100,2100,2000,2000,2000,1975,2200,2300,2450,2500,2700,2495,2550,2500,2850,2900,2500,2700,2525,2300,2400,2250,2000,2100,2100,2150,2500,2600,2500,2400,2300,2325,2300,2300,2400,2450,2500,2450,2400,2500,2500,2375,2300
