"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"10025","New York","NY","New York","New York",1,,,,,2517.5,2600,2600,2750,2775,2762.5,2750,2825,2775,2775,2700,2695,2775,2800,2895,2800,2895,2850,2997,3117,3295,3135,2995,2995,3000,3100,3199,3200,3250,3200,3200,3200,3250,3200,3200,3244,3205,3250,3295,3250,3200,3195,3000,3175,3158,3100,3150,3110,3195,3194.5,3185,3100,3095,3095,3100,3150,3195,3195,3182.5,3150,3168.5,3175,3025,3025,3240,3200,3095,3200,3295,3200,3000,3200,3100,3100,3112,3100,3070,3200,3250,3295,3200,3100,3115,3189.5,3145,3078.5
"60657","Chicago","IL","Chicago","Cook",2,,,,,,1197.5,1230,1250,1350,1295,1265,1295,1295,1250,1250,1350,1475,1400,1450,1495,1600,1600,1497.5,1575,1547.5,1575,1500,1500,1505,1495,1525,1550,1535,1425,1490,1400,1350,1425,1410,1495,1500,1450,1495,1500,1500,1500,1445,1425,1545,1565,1575,1600,1525,1550,1650,1695,1745,1695,1525,1545,1475,1457.5,1450,1432.5,1505,1575,1575,1595,1650,1550,1460,1450,1500,1435,1450,1460,1510,1550,1550,1600,1650,1595,1595,1595,1575,1517.5,1525,1592.5,1550,1575
"10023","New York","NY","New York","New York",3,,,,,,,,,,,3197.5,3330,3120,3148.5,3262.5,3195,3200,3195,3200,3250,3272.5,3200,3350,3300,3300,3325,3200,3200,3100,3222.5,3195,3200,3300,3300,3397,3495,3500,3400,3400,3400,3400,3440,3450,3450,3495,3400,3497,3408,3395,3440,3380,3369,3450,3470,3495,3300,3300,3400,3422.5,3427,3300,3295,3300,3250,3250,3250,3300,3300,3200,3250,3200,3285,3350,3284,3200,3162,3230,3200,3200,3245,3299,3400,3300,3300,3410,3375,3303,3362.5,3350,3195
"60614","Chicago","IL","Chicago","Cook",4,,,,,1475,1445,1500,1550,1595,1500,1425,1520,1550,1650,1600,1600,1585,1595,1645,1750,1845,1770,1671,1645,1697.5,1694,1600,1700,1694,1699,1695,1840,1800,1825,1700,1665,1595,1665,1670,1750,1700,1650,1675,1642,1799,1750,1750,1800,1895,1950,1895,1940,1850,1695,1745,1895,2000,1895,1895,1845,1800,1920,1962.5,1897.5,1971,1900,1875,1900,1950,1850,1670,1725,1590,1662.5,1595,1650,1675,1750,1750,1800,1875,1950,1880,1875,1850,1850,1894,1857.5,1800,1837.5
"10002","New York","NY","New York","New York",5,,,,,,,,,,,,,,,,,2500,2547.5,2675,2600,2600,2600,2595,2572.5,2737.5,2800,2600,2595,2600,2650,2695,2700,2750,2750,2750,2750,2800,2763.5,2735,2750,2700,2795,2795,2795,2875,2950,3047.5,3000,3000,3025,3100,2995,3000,2995,2972.5,2895,3150,3150,3199,3295,3100,3095,3000,3100,3100,3083.5,2950,2997.5,3300,3075,3197.5,3254,2995,3200,2979,2900,3200,3050,3050,3200,3200,3200,3195,3100,2995,2925.5,2895,2855,2887,3000
"10467","New York","NY","New York","Bronx",6,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1200,1175,1294,1300,1300,1250,1297.5,1293.5,1262.5,1275,1275,1250,1250,1200,1200,1237,1250,1250,1250,1200,1205,1250,1300,1300,1250,1290,1300,1300,1300,1300,1300,1300,1350,1400,1400,1400,1400,1400,1400,1400,1400,1400,1450,1400,1425,1450,1400,1450,1500,1475,1450,1450,1490,1490,1500,1500,1500,1500,1550,1525,1550,1500,1550,1550,1600,1600
"60640","Chicago","IL","Chicago","Cook",7,,,,799.5,825,930,875,875,839,850,845,800,800,897,895,995,995,1000,1060,1075,999.5,1025,1147.5,1095,1150,1175,1145,1145,1136.5,1145,1100,1100,1125,1147.5,1150,1195,1175,1175,1152.5,1190,1175,1175,1175,1175,1175,1195,1195,1200,1200,1250,1220,1200,1200,1195,1195,1200,1217.5,1300,1280,1250,1285,1295,1275,1250,1275,1350,1325,1300,1300,1287.5,1200,1225,1245,1195,1175,1200,1295,1295,1350,1350,1350,1350,1350,1300,1350,1300,1375,1395,1450,1429
"94109","San Francisco","CA","San Francisco","San Francisco",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750,3600,3350,3200,3400,3600,3600,3625,3800,3825,3995,3947.5,4000,4200,3975,3850,3875,3850,3900,3995,3995,3825,3795,3795,3600,4000,3900,3601.5,3995,4200,3725,4000,3550,3600,3497.5,3600,3600,3500,3450,3450,3300,3555,3525,3500,3397.5,3295,3200,3150,3497.5,3395,3495,3495
"11226","New York","NY","New York","Kings",9,,,,,,,,,,,,,,1487.5,1400,1385,1300,1295,1325,1275,1350,1400,1400,1350,1399.5,1375,1500,1550,1497.5,1500,1499,1600,1700,1700,1750,1700,1600,1550,1600,1650,1650,1650,1675,1750,1795,1775,1750,1750,1800,1800,1795,1750,1750,1800,1850,1950,1850,1825,1895,1895,1950,1900,1900,1900,1900,1900,1900,1950,1999,1999,1955.5,2100,1925,2000,1849.5,1900,1900,1950,1950,1975,2000,2050,2000,2000,2000,1950,1950,1999,2000,1999
"10016","New York","NY","New York","New York",10,,,,2500,2500,2700,2747.5,2800,2850,2895,2900,2900,2950,2995,2900,2900,2900,2900,2930,3095,3095,3095,3160.5,3150,3161,3125,3050,3000,3000,3000,3000,3100,3100,3170.5,3200,3195,3185,3100,3100,3085,3100,3125,3150,3200,3200,3451,3435,3395,3375,3400,3448,3395,3400,3495,3450,3425,3400,3395,3395,3350,3302,3300,3295,3250,3295,3295,3295,3332.5,3300,3300,3295,3350,3400,3300,3300,3220,3285,3300,3385.5,3400,3395,3400,3400,3398,3395,3300,3300,3300,3300,3300
