"RegionID","RegionName","City","State","Metro","CountyName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
91982,"77494","Katy","TX","Houston","Harris",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354905,359069,363424,367523,372560,377187,377374,374083,374307,381265,390879,396734,397494,395377,392617,388319,383465,379411,375047,371546,368170,363380,359402,359961,360046,357657,355043,353899,353311,349889,350321,354488,354633,349755,348728,349609,351114,353315,356142,358180,358987,359715,362286,365572,367558,368131,368142,367822,369004,371889,373829,374881,376241,377791,375958,373357,374380,378665,382151,385882,389713,392917,394799,396700,399518,402707,404007,403584,403873,406704,410969,414454,416508,417792,419244,420812,422398,424604,425981,425924,426767,430421,433719,436254,438340,439661,440502,441689,442606,443419,442175,438917,438163,441984,446039,447164,446393,445629,444982,445009,445149,444687,442353,439120,436881,437530,439143,440705,441161,440981,440579,440424,441416,444090,445992,445952,445601
84616,"60614","Chicago","IL","Chicago","Cook",2,819101,839111,845972,845890,842859,839142,825328,811233,806823,810821,804534,785224,779506,783956,792742,790417,779846,765953,770712,800918,841472,865070,877194,883748,887616,902439,941418,986573,1023104,1051712,1064814,1068003,1075509,1074910,1063261,1056877,1062837,1068404,1071325,1076902,1087796,1101422,1109111,1115165,1123058,1143214,1167388,1191999,1206736,1216406,1223121,1239360,1260357,1272030,1293628,1322261,1339597,1355009,1376728,1393800,1403430,1407529,1411968,1421179,1431162,1446431,1467526,1474606,1479598,1492978,1514135,1535482,1554891,1567584,1578603,1594526,1611197,1629862,1641777,1650997,1660444,1670263,1675520,1679734,1686185,1692030,1691113,1685937,1684488,1694674,1707012,1699872,1688756,1695181,1710370,1723153,1743590,1755890,1767510,1779908,1784858,1787398,1804609,1831361,1854553,1867803,1876716,1881127,1883772,1898207,1911379,1912510,1929675,1948602,1947662,1953002,1973112,1986077,1989700,1997898,2002797,2007382,2014923,2023487,2019824,2020179,2028123,2027413,2022000,2023201,2030414,2026476,2014164,2003864,2000909,1993346,1984249,1967971,1952347,1948787,1951342,1939112,1916559,1898354,1891068,1876091,1851537,1828062,1810641,1795547,1787641,1779429,1766515,1755835,1747766,1735088,1717899,1696727,1680343,1672185,1665287,1654998,1652262,1654264,1652558,1647295,1638773,1630013,1623026,1625314,1624810,1618406,1604187,1590466,1569451,1550869,1540067,1546408,1557383,1561010,1549441,1540619,1534633,1538777,1552487,1567923,1562835,1552739,1557560,1560656,1554707,1559285,1574871,1586055,1601946,1620499,1640232,1657564,1671269,1679384,1685541,1693559,1704875,1720745,1746235,1779407,1809941,1832216,1842591,1851514,1861771,1869647,1870310,1866802,1861107,1862442,1868532,1874836,1873440,1870796,1875320,1884030,1894971,1906122,1905341,1895128,1898249,1914325,1930811,1941445,1958337,1966174,1961925,1960996,1980365,2002854,2017295,2023796,2033035,2038684,2046507,2053236,2052902,2049285,2050656,2050047,2054959,2064197,2070642,2078233,2085117,2086748,2088668,2092811,2097835,2105048,2113668,2117004,2120189,2122395,2131367,2148625,2164078,2169539
93144,"79936","El Paso","TX","El Paso","El Paso",3,167066,170121,172762,172188,169057,166327,165742,166477,166548,167778,169680,170248,169563,170184,170841,169981,170188,174541,180371,182410,182240,181409,181695,182828,184271,181798,178331,177283,178529,179288,178889,179170,179024,177096,176135,178557,179852,180971,183564,185918,186091,185360,184877,185630,186681,187482,187829,187783,187681,188082,187953,187725,186919,185402,183785,182941,182833,183233,182572,180775,179201,178241,178094,177828,178026,178310,177957,177580,178415,178815,178722,178587,177957,176984,175720,175861,176669,176791,175821,175754,175789,176009,176388,176113,175721,176331,178010,178907,179104,179686,180986,181408,182115,183556,185534,188547,192709,195758,197138,198093,199492,201462,204247,206791,208992,213143,217846,221190,225022,229146,230984,233327,237815,240366,240299,241243,243780,245714,246672,247716,249787,253303,258884,263782,266675,270362,275804,279805,281544,282205,283152,284829,284321,281753,280816,281783,282081,283161,286094,288447,287526,284327,281503,279843,277331,274388,272820,272488,271684,270964,270551,270085,269782,270241,270523,270253,270302,270513,268535,267328,270364,272922,271213,270244,271585,271868,273113,274736,275180,277094,281568,281916,278472,275911,275099,273249,272746,273990,274268,274047,276554,277626,275238,273192,272638,271308,270452,269892,268567,266946,265948,264583,262765,261816,261261,260554,260183,260947,261426,262610,265220,267859,267991,267478,267499,268083,270453,274060,274554,271669,269611,268184,266284,265268,265503,266073,266609,266266,265556,264768,263060,261891,262393,263725,263884,264582,266907,268188,266922,265371,264566,263261,261765,261450,262345,264002,264667,263306,261097,259075,257399,257178,256453,254847,254859,255967,256916,256590,254833,253256,252561,253604,255679,256640,256213,257438,259888,263021,263452,262406,263423,266004,266632,266752
91733,"77084","Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184952,181472,178307,174281,171527,171564,170091,165666,162462,162510,162881,163389,164543,166706,169096,171358,173033,174581,173752,170652,167929,167540,168107,169482,171194,172773,173706,174008,174181,174503,174098,173219,173490,174786,176643,179845,183013,184988,185780,186279,186398,186751,187232,187686,186477,184302,182809,181832,181022,180394,179748,178950,178410,177281,177109,178647,181192,184081,186734,188074,188803,189198,189734,191646,194200,195806,196265,196010,195651,195922,196676,197322,197492,197880,198791,199549,200090,200452,199001,195820,193214,191621,190294,189487,189065,188603,188096,187569,187064,186765,186639,186642,186580,186316,185837,185227,185257,186185,186783,186876,187294,188022,188078,187204,186351,186285,186515,186997,186900,185524,183906,182825,181841,180806,179991,179707,180342,180981,180997,179799,177912,176438,176314,176315,176017,175775,176189,177589,178762,178919,179192,180404,182135,183838,184937,185202,185263,185674,186679,187016,186504,186086,185903,186281,187083,188042,188855,190208,191066,191967,193001,194527,196276,198286,200242,202034,203496,204331,204306,204065,204725,206001,207246,207986,209105,210745,212124,213256,215124,218094,222527,226576,229039,230417,231800,233195,234739,236096,237663,239371,240941,241523,241184,241010,241535,241972,241963,242378,243518,245238,246620,246963,246782,246884,246797,247157,248295,249026,249489,250649,251872
91940,"77449","Katy","TX","Houston","Harris",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159150,150762,145487,145832,148024,149394,149969,149931,149545,149586,149599,150322,149391,145416,142480,144051,147156,149802,151696,152628,152903,153006,153291,154089,152567,148312,145368,146110,147897,149199,150183,151208,151957,152503,153059,153520,154205,155047,156427,158969,162012,163978,165465,166980,168171,168827,168831,168927,168908,168005,166727,166011,165276,164783,164594,164655,164158,163207,163097,164024,165129,165802,165947,165579,165500,165353,165590,166077,166447,166509,166939,167549,167646,167305,167295,167978,169141,170343,170688,170954,172705,175082,175873,175158,173400,171109,169324,169291,170208,171448,172224,172315,171912,171505,171071,170861,170821,170700,170569,170417,170341,168870,165763,162549,160264,159125,158558,157505,157361,158871,160065,159808,158323,158279,160758,163021,163451,163468,163775,164129,163387,161250,159781,158893,157831,156380,154821,153243,152196,151576,151375,151042,150809,151304,152125,152335,152400,152923,154602,157340,159417,159679,159627,160887,162897,164704,165820,166706,167640,168322,168293,168027,168653,170229,171548,172264,172996,173417,173780,174834,176533,178214,179694,180859,181824,182667,183704,184782,185739,186735,188216,190113,191843,193047,194051,195220,196435,197533,198455,199306,200323,201610,203561,206148,208809,210704,212333,213566,213790,213020,212517,212307,211413,210462,210698,211735,212454,213138,213239,214034,216552,220306,223749,226566,229306,232303,234645
96107,"90250","Hawthorne","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",6,206515,207140,208072,208396,208053,207694,207943,208510,209849,210241,209514,209336,210390,211650,213045,215002,218739,222198,223898,224719,226900,230030,233310,235191,236122,236452,235846,234285,233099,232286,230681,229790,231384,234182,235421,235355,235005,235180,236464,238962,241457,243901,246516,248172,249384,251575,254715,257847,261061,263711,265387,266360,266463,266410,266917,268744,271216,273829,275831,278456,282048,285997,290011,293623,295960,298778,302758,305409,306951,309441,312164,314669,317157,320972,326004,332330,339015,345939,353284,362139,370074,375378,379876,384404,389484,394077,399601,408189,418999,427466,436702,448897,461661,473396,487023,501005,515043,530521,545781,556689,565478,575283,583437,589757,597734,607886,618726,630352,641071,649996,659305,670190,682313,696886,710995,719537,724491,729212,734302,741001,747564,751552,753749,753843,753341,753248,752492,750994,749740,747900,744782,742063,739632,735573,728199,718583,707553,695593,683264,673223,666447,660007,648282,631817,616059,604222,594879,587276,579974,572994,566410,560776,555733,550810,545661,539547,531831,522878,516592,514893,513933,510532,507309,505576,503374,499499,496280,496324,498372,498016,492594,483809,476726,471419,466898,462156,457786,454991,451880,446068,440658,437173,435159,435068,435445,436281,438252,440264,442132,443874,445193,446897,448615,451649,457687,462682,467611,472398,477028,479603,479705,480584,489357,501817,514740,529315,539724,543406,545321,549864,555763,563956,570397,573847,574592,576678,576074,575415,579398,589692,596817,601161,602714,600909,601204,607276,616002,622468,630628,641137,650816,654072,654108,654134,656348,660998,666695,673137,681346,690916,696555,696660,696831,703193,715335,727590,735347,742730,754888,766972,776288,785221,794995,802718,809390,816188,824840,834318,845457,858477,872001,881635,882297,878917
93123,"79912","El Paso","TX","El Paso","El Paso",7,276208,274940,273879,274172,276578,278941,279662,278845,278123,278689,280036,280535,280132,279935,280817,281066,279867,278691,279422,281527,280914,276814,272993,271650,271269,271220,271125,270904,271314,272779,274772,276233,276833,276855,277893,280277,282635,284315,284851,284543,285577,287554,288749,289783,291597,293294,294698,295464,296766,298407,299136,299019,297408,293085,288200,285289,284362,285012,284325,282083,279049,276863,276121,275782,274777,274478,275018,275171,275586,275373,274991,275503,276523,276271,275641,276512,277635,278292,278513,279728,281377,282810,284045,285508,286839,287941,288390,288579,289383,290208,291588,293774,296531,300746,305400,309049,312824,317003,320637,323914,327072,329754,332201,333464,335086,337922,341719,344915,348039,350816,353976,357202,360755,364606,367348,369374,371849,374227,376494,379689,382130,384505,388712,392641,395981,401712,408122,412653,414451,415825,417194,419252,421955,425571,428365,430340,431264,431430,432159,432889,431219,426927,421735,417653,414847,412978,411126,409385,407674,405940,404248,402961,403021,403823,404338,404139,403451,401959,400455,400758,402606,404008,405655,407980,409429,409310,410326,411241,410327,409077,409174,410307,410764,410161,409832,410121,409537,409234,409137,409497,411602,413254,412486,410281,408673,407199,404914,402411,401548,401451,400467,397906,395212,394337,394345,392758,390849,389987,388883,387754,388241,389284,390006,391402,392798,393511,393578,392594,391100,389836,388951,388613,388740,389499,391701,394360,396609,398027,398953,399857,400468,400294,399685,398709,398024,397771,396631,394652,393013,391583,390750,391153,391927,393497,396200,398482,399864,400410,400071,399618,399358,399278,400813,403102,404540,405138,405665,406154,406669,407588,408944,410073,410417,410879,411335,412109,413677,415734,417285,418755,419412,419438,419278,419182
97771,"94565","Pittsburg","CA","San Francisco","Contra Costa",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681200,697146,715937,732712,748886,771922,787064,776412,758224,750848,746080,741685,737980,733885,729924,726238,724635,728085,730552,724883,716694,712258,712033,712414,705738,691362,676964,663185,649338,641662,638430,632368,621067,607998,593488,580295,571308,567789,563625,551464,525451,486429,453469,438297,433036,426710,419261,410748,402159,393483,385078,377391,370211,365700,365641,367702,368960,368617,366670,364565,363358,362262,361069,360659,361506,363133,362610,356035,345370,336791,332016,328649,326691,325033,320452,316304,317869,321396,321131,319016,318564,319077,321275,326206,331295,335054,338377,341977,347550,356047,364271,370882,377044,383001,387726,389649,389031,390813,397905,407689,416055,422154,424272,424503,425524,430035,434824,438866,442768,446521,447777,447370,446679,446893,448733,451908,456176,460590,463490,465071,467550,470605,474652,478881,482473,485295,488037,490676,494062,496821,500957,506400,509506,509695,512930,518777,523102,527226,534876,543802,550692,555742,558426,560296,563485,567772,570806,572652,576058,581233,587702,593123,596916,600406,603819,607385,612352,618700,623826
71067,"30349","Riverdale","GA","Atlanta","Clayton",9,199303,202099,203825,203525,203727,201198,195134,186489,183174,183346,179323,173296,170847,170042,171021,174494,175999,176356,177090,179091,180253,180424,181861,185269,188053,190184,193462,196962,198834,199355,199950,203129,209997,216750,220833,223810,225634,224553,221653,219602,219796,220789,222355,224162,225553,227668,231706,234671,234942,234833,235082,235467,237774,241992,246377,247618,244698,240456,238432,238817,241522,245058,248165,250351,251648,253226,255675,259217,262463,264470,263392,261054,259655,260276,260637,259592,257539,255659,254620,255240,256934,258545,260565,262572,262920,262137,261684,262247,263536,264500,263907,262317,260047,258603,258740,259227,259407,259920,259846,258012,255308,253027,251894,250566,250725,252366,253532,253726,255727,259155,262558,264935,266827,269785,272983,275983,278436,280882,282850,282416,279179,275202,272256,271636,273694,275933,277344,277843,277661,277058,276200,276467,275852,272320,268529,266435,263152,258619,254793,251506,247845,243306,238059,233878,231556,229882,228294,226478,224165,221779,219594,217191,214641,212157,209864,207276,204292,201268,198843,197708,197517,196804,195352,193823,193122,193351,193871,193226,191612,189823,186791,182324,178666,176164,173496,171231,169282,166575,163944,162408,162241,162907,164411,165904,166090,165290,164663,164145,163287,162711,162335,162461,162741,162944,162880,162582,162191,161892,162492,163648,164672,165708,167642,169826,171295,172997,175155,176875,177820,179279,180598,182288,184554,186581,186539,185244,184927,185948,186700,187780,190713,194212,196326,197137,197377,196806,196283,197222,198316,198412,198840,199483,199032,197256,195528,194343,193933,194668,196720,199070,202054,205527,208218,209969,211513,213564,216291,218850,220555,222002,223505,225052,226067,226124,225754,225800,226560,227891,228963,229606,230734,233019,235835,238137
66126,"20002","Washington","DC","Washington","District of Columbia",10,129559,129797,128455,126721,127428,130008,132844,135093,137434,139477,141098,142216,142975,143722,144098,144430,145220,146365,145871,144360,144255,146991,150509,151825,152794,156353,163612,169775,172540,173668,177092,181313,184174,183222,179913,177957,179113,180043,179205,176898,173971,171776,170351,167570,165889,166924,167397,165612,163796,165106,169220,174878,179460,182535,186317,192284,197832,200991,203050,205794,208172,209893,213609,218295,223164,228466,233629,239950,247436,254805,264109,272329,276774,279068,279340,280357,283992,286061,285207,284856,286407,289868,294720,304316,317764,327579,330702,335180,344773,357423,369624,381808,393533,405931,418155,431521,446540,462556,478024,490551,495765,501022,510532,518708,522866,526970,528920,528535,527312,527679,531962,538691,546346,553294,558433,560849,563949,565543,569207,573942,575373,574224,577978,581418,580703,579713,580317,581516,583914,587317,591390,595041,597725,601401,604417,602670,598945,594862,590706,585586,578970,572439,565849,558837,554640,551031,545795,541635,539626,538076,536856,534753,532858,531543,530566,529247,527128,525141,519531,516412,517083,516739,515912,519886,522519,521962,522222,523217,523224,522015,523502,524093,525044,526618,525846,525266,531328,538012,540161,539630,538975,539020,543520,549391,553919,556424,559319,560957,562082,566504,570204,570755,573325,580070,583815,587673,592344,599377,608129,615565,618927,620467,623317,629589,637709,646821,654871,660849,665213,670674,676016,679997,682563,686401,689577,693658,699220,702440,702902,702807,703378,704739,705935,708218,710627,712559,719458,731752,740732,748293,756640,763550,767858,771842,777055,783202,788939,793079,796087,801383,810165,818600,825773,829957,831167,832681,841531,853400,864382,872180,879630,882066,881093,879828,881588,887015,896153,904164,903903,898111,893617,893893,899063,905047
