"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-03-31,61639,"10025","NY","New York","New York","New York",0,1139543,0.000221190196358964,-0.00144585534611586,0.0687129786284227,0.0597815010471112,0.027963839517785,"2017-12","2017-Q4",1141193,-0.00144585534611586,"2017-12"
2018-03-31,84654,"60657","IL","Chicago","Cook","Chicago",1,345798,-0.00129387776320882,-0.00388883127657368,0.0212792349516972,0.0435486171315616,0.00669841284369177,"2005-12","2005-Q4",349809,-0.0114662573004125,"2005-08"
2018-03-31,61637,"10023","NY","New York","New York","New York",2,1579506,0.00248032810399607,-0.00012407403421658,-0.0132712790879275,0.0423073102772769,0.0193873939082401,"2016-11","2016-Q4",1616437,-0.0228471632361793,"2016-01"
2018-03-31,84616,"60614","IL","Chicago","Cook","Chicago",3,424873,0.00254604831592708,0.000433258219544184,0.0240272448566415,0.0559658070420288,0.0125085619271992,"2018-03","2018-Q1",424873,0,"2018-03"
2018-03-31,93144,"79936","TX","El Paso","El Paso","El Paso",4,120540,0.000107859649705045,-0.00238355348098123,0.0198314663778808,0.0113646437744455,-0.00724772376298866,"2007-11","2007-Q4",132932,-0.0932205939879036,"2007-01"
2018-03-31,61616,"10002","NY","New York","New York","New York",5,987917,0.00310806859073814,-0.00496050731133453,0.0564172043654655,0.0561738555975335,0.0240771738799144,"2017-10","2017-Q4",1002643,-0.0146871817785593,"2017-07"
2018-03-31,61807,"10467","NY","New York","Bronx","New York",6,387610,0.00129420912456182,0.00356520545888104,0.0655798545724457,0.0725530674634931,0.00561033826888768,"2007-06","2007-Q2",394109,-0.0164903618034605,"2007-03"
2018-03-31,84640,"60640","IL","Chicago","Cook","Chicago",7,243196,0.00861818694581076,0.0280998862814892,0.050608905266523,0.0651946220617163,-0.00478494633584892,"2007-01","2007-Q1",271269,-0.103487681968821,"2004-11"
2018-03-31,91940,"77449","TX","Houston","Harris","Katy",8,177770,0.00899622555836195,0.0290414638240725,0.0611930586978194,0.0837144679722181,0.0280501024155404,"2018-03","2018-Q1",177770,0,"2018-03"
2018-03-31,97564,"94109","CA","San Francisco","San Francisco","San Francisco",9,1264421,0.00215740838345754,-0.000786302686231247,0.107185200881951,0.0810557214746852,0.0512076641098553,"2017-12","2017-Q4",1265416,-0.000786302686231247,"2017-12"
2018-03-31,62037,"11226","NY","New York","Kings","New York",10,743618,0.00208605657148247,0.0268796787419233,0.137724697483633,0.107444647362128,0.0331634462888477,"2018-03","2018-Q1",743618,0,"2018-03"
2018-03-31,61630,"10016","NY","New York","New York","New York",11,1028752,0.000861006336422903,-0.00128340293998295,-0.039222077256201,0.0428209978620415,0.0138075116707823,"2017-02","2017-Q1",1085269,-0.0520764897919318,"2016-02"
2018-03-31,71831,"32162","FL","The Villages","Sumter","The Villages",12,248888,0.000663388588912163,0.00366968037487196,0.00899995135161431,0.0345797278493039,0.0113761351303618,"2017-08","2017-Q3",251250,-0.00940099502487562,"2017-06"
2018-03-31,62087,"11375","NY","New York","Queens","New York",13,978588,0.00255200046716669,0.0139883616830797,0.0787083119760578,0.0867420344423919,0.0423528512730973,"2018-03","2018-Q1",978588,0,"2018-03"
