"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-03-31,"10025","NY","New York","New York","New York",0,3513,0.00142531356898518,-0.0118143459915612,-0.0109797297297297,22431
2018-03-31,"60657","IL","Chicago","Cook","Chicago",1,1862,-0.00534188034188034,-0.0127253446447508,-0.00693333333333333,32223
2018-03-31,"10023","NY","New York","New York","New York",2,3766,-0.00344006350886478,-0.0258665287118469,-0.0159393781029527,29114
2018-03-31,"75070","TX","Dallas-Fort Worth","Collin","McKinney",3,1907,-0.000524109014675052,-0.00832033281331253,-0.0139607032057911,28948
2018-03-31,"77494","TX","Houston","Harris","Katy",4,2200,0.00319197446420429,0.0133578995854445,0.0232558139534884,31576
2018-03-31,"60614","IL","Chicago","Cook","Chicago",5,2054,-0.00772946859903382,-0.0200381679389313,-0.0256166982922201,33150
2018-03-31,"79936","TX","El Paso","El Paso","El Paso",6,1003,0.000998003992015968,0.004004004004004,0.0110887096774194,31486
2018-03-31,"77084","TX","Houston","Harris","Houston",7,1448,0.00207612456747405,0.00625434329395414,0.016140350877193,26718
2018-03-31,"10002","NY","New York","New York","New York",8,3694,0.000812787862367922,-0.0149333333333333,0.0153930731170973,9172
2018-03-31,"10467","NY","New York","Bronx","New York",9,1801,-0.000554938956714761,0.00278396436525612,0.0600353148911124,7339
2018-03-31,"60640","IL","Chicago","Cook","Chicago",10,1612,0.00186451211932878,0.0043613707165109,0.0100250626566416,22477
2018-03-31,"77449","TX","Houston","Harris","Katy",11,1449,0.00138217000691085,0.00555170020818876,0.0139958012596221,31979
2018-03-31,"94109","CA","San Francisco","San Francisco","San Francisco",12,4413,0.00432407828857533,0.0045526974732529,-0.00742240215924426,9561
2018-03-31,"11226","NY","New York","Kings","New York",13,2287,-0.00218150087260035,0.00483304042179262,0.0597775718257646,10575
2018-03-31,"10016","NY","New York","New York","New York",14,3658,0.000547045951859956,-0.0185135497719345,0.0102181717757526,26908
2018-03-31,"11375","NY","New York","Queens","New York",15,2109,0.00237642585551331,0.00476417341591234,-0.020891364902507,22413
2018-03-31,"11235","NY","New York","Kings","New York",16,2278,-0.00306345733041575,0.00175901495162709,0.0079646017699115,16914
2018-03-31,"37013","TN","Nashville","Davidson","Nashville",17,1462,0.00412087912087912,0.00827586206896552,0.031757233592096,22726
2018-03-31,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",18,2692,0.0029806259314456,0.0105105105105105,0.0640316205533597,14870
2018-03-31,"60647","IL","Chicago","Cook","Chicago",19,1792,0.00111731843575419,-0.000557724484104852,0.0152974504249292,20165
2018-03-31,"37211","TN","Nashville","Davidson","Nashville",20,1548,0.00129366106080207,0.0045425048669695,0.0313124583610926,20517
2018-03-31,"10009","NY","New York","New York","New York",21,3751,-0.00318894499069891,-0.0259672812256557,-0.00688377018797988,9251
