"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-03-31,"10025","NY","New York","New York","New York",0,3623,-0.00247797356828194,-0.0168249660786974,-0.0221322537112011,11590
2018-03-31,"60657","IL","Chicago","Cook","Chicago",1,2056,-0.00676328502415459,-0.0143815915627996,-0.0124879923150817,19955
2018-03-31,"10023","NY","New York","New York","New York",2,3893,-0.00688775510204082,-0.0373392680514342,-0.0184064548663641,16863
2018-03-31,"75070","TX","Dallas-Fort Worth","Collin","McKinney",3,1922,-0.00103950103950104,-0.00723140495867769,-0.0123329907502569,27381
2018-03-31,"77494","TX","Houston","Harris","Katy",4,2270,0.00398053958425475,0.0142984807864164,0.0197663971248877,26710
2018-03-31,"60614","IL","Chicago","Cook","Chicago",5,2259,-0.00528401585204756,-0.0156862745098039,-0.0292221744735711,22779
2018-03-31,"79936","TX","El Paso","El Paso","El Paso",6,1011,-0.0029585798816568,-0.00394088669950739,0.00999000999000999,29177
2018-03-31,"77084","TX","Houston","Harris","Houston",7,1448,0.00277008310249307,0.00695410292072323,0.0190007037297678,25525
2018-03-31,"10002","NY","New York","New York","New York",8,3685,0.00381367474802506,-0.00378480670451473,0.0276073619631902,3802
2018-03-31,"10467","NY","New York","Bronx","New York",9,1795,0.000557413600891862,0.00786075238629983,0.0602480803307738,1043
2018-03-31,"60640","IL","Chicago","Cook","Chicago",10,1654,-0.00241254523522316,-0.00181050090525045,0.000604960677555959,15051
2018-03-31,"77449","TX","Houston","Harris","Katy",11,1447,0.0013840830449827,0.0062586926286509,0.0182969739619986,29511
2018-03-31,"94109","CA","San Francisco","San Francisco","San Francisco",12,4441,0.00452386337932594,0.00908884344467167,-0.000225123818099955,6444
2018-03-31,"11226","NY","New York","Kings","New York",13,2388,-0.00624219725343321,-0.00292275574112735,0.0275387263339071,2383
2018-03-31,"10016","NY","New York","New York","New York",14,3764,0.00614808874632451,0.00159659393294305,0.0261723009814613,12425
2018-03-31,"11375","NY","New York","Queens","New York",15,2119,0.00189125295508274,0.0042654028436019,-0.0189814814814815,14260
2018-03-31,"11235","NY","New York","Kings","New York",16,2309,-0.0043122035360069,-0.00129757785467128,0.00522420548541576,8672
2018-03-31,"37013","TN","Nashville","Davidson","Nashville",17,1464,0.00480439258750858,0.00895933838731909,0.0288123682361209,20170
2018-03-31,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",18,2811,0.00644468313641246,0.0173724212812161,0.073720397249809,10712
2018-03-31,"60647","IL","Chicago","Cook","Chicago",19,1979,-0.00352467270896274,-0.0134596211365902,0.00558943089430894,11867
2018-03-31,"37211","TN","Nashville","Davidson","Nashville",20,1579,-0.00126502213788741,-0.000632911392405063,0.0436219431592862,18679
2018-03-31,"10009","NY","New York","New York","New York",21,4158,0.00241080038572806,-0.0230263157894737,-0.0130548302872063,1910
2018-03-31,"78660","TX","Austin","Travis","Pflugerville",22,1627,-0.00184049079754601,-0.00671550671550672,-0.011543134872418,21745
2018-03-31,"60618","IL","Chicago","Cook","Chicago",23,1992,-0.00250375563345018,-0.0123946455131383,-0.0119047619047619,13018
2018-03-31,"10029","NY","New York","New York","New York",24,3389,0.000295159386068477,-0.0107997664915353,-0.00206124852767962,1569
2018-03-31,"10011","NY","New York","New York","New York",25,4389,0.00159744408945687,-0.0261814954515199,-0.0244498777506112,10867
2018-03-31,"10128","NY","New York","New York","New York",26,3704,-0.0043010752688172,-0.0247498683517641,0.0109170305676856,11139
2018-03-31,"77573","TX","Houston","Galveston","League City",27,2002,-0.00149625935162095,0.000499750124937531,0.0030060120240481,24390
2018-03-31,"77584","TX","Houston","Brazoria","Pearland",28,1896,0.00211416490486258,0.00743889479277365,-0.0135275754422477,21614
2018-03-31,"28269","NC","Charlotte","Mecklenburg","Charlotte",29,1371,0.00292611558156547,0.00957290132547865,0.0489671002295333,25170
2018-03-31,"11201","NY","New York","Kings","New York",30,2989,-0.00233644859813084,-0.0135313531353135,0.0335408022130014,9360
