"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-03-31,"10025","NY","New York","New York","New York",0,3631,-0.00466008771929825,-0.022347872913301,-0.0241870464928783,923
2018-03-31,"60657","IL","Chicago","Cook","Chicago",1,3299,-0.000605877006967586,-0.0155177558937631,-0.0443221320973349,3317
2018-03-31,"10023","NY","New York","New York","New York",2,3837,-0.0018210197710718,-0.0229182582123759,-0.0199233716475096,1398
2018-03-31,"75070","TX","Dallas-Fort Worth","Collin","McKinney",3,1929,-0.0015527950310559,-0.00669412976313079,-0.0107692307692308,27611
2018-03-31,"77494","TX","Houston","Harris","Katy",4,2209,0.0036347114947751,0.0123739688359303,0.0241075567918405,31105
2018-03-31,"60614","IL","Chicago","Cook","Chicago",5,5187,0.00135135135135135,-0.00632183908045977,-0.0722589876587373,4692
2018-03-31,"79936","TX","El Paso","El Paso","El Paso",6,1007,0,0.00099403578528827,0.00901803607214429,29274
2018-03-31,"77084","TX","Houston","Harris","Houston",7,1452,0.0020703933747412,0.00623700623700624,0.0132588974180042,25578
2018-03-31,"10002","NY","New York","New York","New York",8,4233,0.00165641268338855,-0.0196850393700787,-0.00188634755953784,264
2018-03-31,"10467","NY","New York","Bronx","New York",9,1832,-0.00109051254089422,-0.00163487738419619,0.0682215743440233,1257
2018-03-31,"60640","IL","Chicago","Cook","Chicago",10,2286,-0.0125269978401728,-0.0419111483654652,-0.0650306748466258,2055
2018-03-31,"77449","TX","Houston","Harris","Katy",11,1450,0.00138121546961326,0.00554785020804438,0.013277428371768,31637
2018-03-31,"94109","CA","San Francisco","San Francisco","San Francisco",12,5946,-0.00167897918065816,0.0113964960027215,-0.000672268907563025,762
2018-03-31,"11226","NY","New York","Kings","New York",13,2460,-0.00565885206143896,-0.00121802679658952,0.0288582183186951,1588
2018-03-31,"10016","NY","New York","New York","New York",14,3893,-0.00256213169356905,-0.0382905138339921,0.0062031532695787,1202
2018-03-31,"11375","NY","New York","Queens","New York",15,2703,-0.0255948089401586,-0.056544502617801,0.0131184407796102,5358
2018-03-31,"11235","NY","New York","Kings","New York",16,2383,-0.00873544093178037,-0.0120232172470978,-0.0201480263157895,2682
2018-03-31,"37013","TN","Nashville","Davidson","Nashville",17,1507,0.000664010624169987,0.00266134397870925,0.0385940730530668,19113
2018-03-31,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",18,2805,0.00681981335247667,0.0177793904208999,0.0755368098159509,9314
2018-03-31,"60647","IL","Chicago","Cook","Chicago",19,2017,-0.000495540138751239,-0.0103042198233562,-0.0127263827704356,5630
2018-03-31,"37211","TN","Nashville","Davidson","Nashville",20,1631,-0.0048810250152532,-0.0048810250152532,0.0448430493273543,15797
2018-03-31,"10009","NY","New York","New York","New York",21,4057,0.000493218249075216,-0.0226451457480125,-0.00806845965770171,339
2018-03-31,"78660","TX","Austin","Travis","Pflugerville",22,1630,-0.00122549019607843,-0.00549115314215985,-0.0115221346270467,22429
2018-03-31,"60618","IL","Chicago","Cook","Chicago",23,2100,-0.00190114068441065,-0.0117647058823529,-0.0300230946882217,8001
2018-03-31,"10029","NY","New York","New York","New York",24,3162,-0.00970873786407767,-0.0152600436001246,-0.0140318054256314,311
2018-03-31,"10011","NY","New York","New York","New York",25,4573,0.00373134328358209,-0.0309387582114855,-0.0370604337755317,1092
2018-03-31,"10128","NY","New York","New York","New York",26,3534,0.00113314447592068,0.00483366505544498,0.00827389443651926,1115
2018-03-31,"77573","TX","Houston","Galveston","League City",27,1998,-0.00149925037481259,0.000500751126690035,0.000500751126690035,24836
2018-03-31,"77584","TX","Houston","Brazoria","Pearland",28,1887,0.000530222693531283,0.005863539445629,-0.0125588697017268,22737
2018-03-31,"28269","NC","Charlotte","Mecklenburg","Charlotte",29,1401,0.00142959256611866,0.0043010752688172,0.0424107142857143,22882
2018-03-31,"11201","NY","New York","Kings","New York",30,3116,-0.0120481927710843,-0.0397534668721109,0.061307901907357,1447
2018-03-31,"79912","TX","El Paso","El Paso","El Paso",31,1259,0.000794912559618442,0.00159108989657916,-0.00631412786108919,18943
2018-03-31,"78572","TX","McAllen","Hidalgo","Mission",32,1104,0.00454959053685168,0.0327408793264733,0.015639374425023,19273
2018-03-31,"94565","CA","San Francisco","Contra Costa","Pittsburg",33,2241,0.000446428571428571,0.000446428571428571,0.0531015037593985,21004
2018-03-31,"30349","GA","Atlanta","Clayton","Riverdale",34,1175,0.00427350427350427,0.0120585701981051,0.0633484162895928,21812
2018-03-31,"20002","DC","Washington","District of Columbia","Washington",35,2556,-0.000781860828772478,-0.0146491904394757,-0.0369253956292389,1090
2018-03-31,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",36,5930,0.00118183353030559,0.00118183353030559,-0.00185154014475677,6008
2018-03-31,"78130","TX","San Antonio","Comal","New Braunfels",37,1475,-0.001354096140826,-0.00472334682860999,0.00958247775496235,20146
2018-03-31,"78613","TX","Austin","Williamson","Cedar Park",38,1747,0.000572737686139748,0.00287026406429392,0.00517836593785961,22109
2018-03-31,"20009","DC","Washington","District of Columbia","Washington",39,2660,0.00681302043906132,0.00757575757575758,-0.00560747663551402,570
2018-03-31,"75052","TX","Dallas-Fort Worth","Dallas","Grand Prairie",40,1605,0.00124766063630692,0.00753295668549906,0.0354838709677419,23783
2018-03-31,"10462","NY","New York","Bronx","New York",41,1849,0.00434546442151005,0.0215469613259669,0.0452232899943471,1044
2018-03-31,"10456","NY","New York","Bronx","New York",42,1920,0.00893326326852338,0.00470957613814757,0.0395235517054683,619
2018-03-31,"37042","TN","Clarksville","Montgomery","Clarksville",43,953,-0.0010482180293501,0.00527426160337553,0.0192513368983957,24945
2018-03-31,"10003","NY","New York","New York","New York",44,4324,0.00185356811862836,-0.0261261261261261,-0.00961978928080623,895
2018-03-31,"77429","TX","Houston","Harris","Cypress",45,1766,0.00569476082004556,0.0149425287356322,0.0108757870635375,25550
2018-03-31,"11206","NY","New York","Kings","New York",46,2549,-0.004296875,-0.01430781129157,-0.0226226993865031,383
2018-03-31,"63376","MO","St. Louis","Saint Charles","Saint Peters",47,1486,0.00814111261872456,0.0143344709897611,0.0262430939226519,22501
2018-03-31,"60613","IL","Chicago","Cook","Chicago",48,2557,-0.00814584949573313,-0.0657654366094264,-0.11246095105866,2263
2018-03-31,"77479","TX","Houston","Fort Bend","Sugar Land",49,2343,0.00213857998289136,0.0086095566078347,-0.0184331797235023,25516
2018-03-31,"30044","GA","Atlanta","Gwinnett","Lawrenceville",50,1389,0.00433839479392625,0.0153508771929825,0.0483018867924528,21333
2018-03-31,"73099","OK","Oklahoma City","Canadian","Yukon",51,1242,0.00323101777059774,0.00811688311688312,0.0230642504118616,25690
2018-03-31,"77036","TX","Houston","Harris","Houston",52,1540,0.00391134289439374,0.0111621799080762,0.0252996005326232,5098
2018-03-31,"77433","TX","Houston","Harris","Cypress",53,1764,0.00742432895488293,0.0190641247833622,0.0132107983917289,24879
