c_id,zhvi_tier,zhvi_tier_value,year,hvi_tier_id
21,zhvi_bottomtier,32159,2010,1
21,zhvi_middletier,77709,2010,2
21,zhvi_toptier,147588,2010,3
21,zhvi_bottomtier,31373,2011,4
21,zhvi_middletier,76419,2011,5
21,zhvi_toptier,144974,2011,6
21,zhvi_bottomtier,32004,2012,7
21,zhvi_middletier,74184,2012,8
21,zhvi_toptier,145089,2012,9
21,zhvi_bottomtier,33813,2013,10
21,zhvi_middletier,79005,2013,11
21,zhvi_toptier,148162,2013,12
21,zhvi_bottomtier,34720,2014,13
21,zhvi_middletier,83451,2014,14
21,zhvi_toptier,155985,2014,15
21,zhvi_bottomtier,35557,2015,16
21,zhvi_middletier,85887,2015,17
21,zhvi_toptier,160264,2015,18
21,zhvi_bottomtier,35677,2016,19
21,zhvi_middletier,88226,2016,20
21,zhvi_toptier,165167,2016,21
21,zhvi_bottomtier,37730,2017,22
21,zhvi_middletier,92108,2017,23
21,zhvi_toptier,170091,2017,24
1,zhvi_bottomtier,81840,2010,25
1,zhvi_middletier,144433,2010,26
1,zhvi_toptier,245660,2010,27
1,zhvi_bottomtier,77659,2011,28
1,zhvi_middletier,141877,2011,29
1,zhvi_toptier,237586,2011,30
1,zhvi_bottomtier,77708,2012,31
1,zhvi_middletier,141606,2012,32
1,zhvi_toptier,239778,2012,33
1,zhvi_bottomtier,77932,2013,34
1,zhvi_middletier,141048,2013,35
1,zhvi_toptier,239090,2013,36
1,zhvi_bottomtier,68406,2014,37
1,zhvi_middletier,134099,2014,38
1,zhvi_toptier,262619,2014,39
1,zhvi_bottomtier,79979,2015,40
1,zhvi_middletier,141817,2015,41
1,zhvi_toptier,260561,2015,42
1,zhvi_bottomtier,86842,2016,43
1,zhvi_middletier,141437,2016,44
1,zhvi_toptier,234838,2016,45
1,zhvi_bottomtier,87053,2017,46
1,zhvi_middletier,147791,2017,47
1,zhvi_toptier,242582,2017,48
11,zhvi_bottomtier,131352,2010,49
11,zhvi_middletier,171926,2010,50
11,zhvi_toptier,271854,2010,51
11,zhvi_bottomtier,116211,2011,52
11,zhvi_middletier,158926,2011,53
11,zhvi_toptier,261272,2011,54
11,zhvi_bottomtier,116180,2012,55
11,zhvi_middletier,158106,2012,56
11,zhvi_toptier,267805,2012,57
11,zhvi_bottomtier,131046,2013,58
11,zhvi_middletier,178523,2013,59
11,zhvi_toptier,298133,2013,60
11,zhvi_bottomtier,143953,2014,61
11,zhvi_middletier,195044,2014,62
11,zhvi_toptier,316938,2014,63
11,zhvi_bottomtier,151692,2015,64
11,zhvi_middletier,205424,2015,65
11,zhvi_toptier,325957,2015,66
11,zhvi_bottomtier,166791,2016,67
11,zhvi_middletier,225227,2016,68
11,zhvi_toptier,347384,2016,69
11,zhvi_bottomtier,187268,2017,70
11,zhvi_middletier,250506,2017,71
11,zhvi_toptier,384181,2017,72
15,zhvi_bottomtier,122144,2010,73
15,zhvi_middletier,89650,2010,74
15,zhvi_middletier,99027,2010,75
15,zhvi_middletier,124029,2010,76
