c_id,zhvi_type,zhvi_type_value,year,hvi_type_id
11,zhvi_1bedroom,116306,2010,1
11,zhvi_2bedroom,125726,2010,2
11,zhvi_3bedroom,157234,2010,3
11,zhvi_1bedroom,102005,2011,4
11,zhvi_2bedroom,113335,2011,5
11,zhvi_3bedroom,142325,2011,6
11,zhvi_1bedroom,109273,2012,7
11,zhvi_2bedroom,111901,2012,8
11,zhvi_3bedroom,142374,2012,9
11,zhvi_1bedroom,108909,2013,10
11,zhvi_2bedroom,123761,2013,11
11,zhvi_3bedroom,158811,2013,12
11,zhvi_1bedroom,114757,2014,13
11,zhvi_2bedroom,133671,2014,14
11,zhvi_3bedroom,175211,2014,15
11,zhvi_1bedroom,123713,2015,16
11,zhvi_2bedroom,143618,2015,17
11,zhvi_3bedroom,185742,2015,18
11,zhvi_1bedroom,141473,2016,19
11,zhvi_2bedroom,158572,2016,20
11,zhvi_3bedroom,200357,2016,21
11,zhvi_1bedroom,161861,2017,22
11,zhvi_2bedroom,179507,2017,23
11,zhvi_3bedroom,223380,2017,24
17,zhvi_1bedroom,108462,2010,25
17,zhvi_2bedroom,66978,2010,26
17,zhvi_2bedroom,127059,2010,27
17,zhvi_2bedroom,146401,2010,28
17,zhvi_3bedroom,124450,2010,29
17,zhvi_3bedroom,166882,2010,30
17,zhvi_3bedroom,183410,2010,31
17,zhvi_1bedroom,102411,2011,32
17,zhvi_2bedroom,63131,2011,33
17,zhvi_2bedroom,123950,2011,34
17,zhvi_2bedroom,137504,2011,35
17,zhvi_3bedroom,116727,2011,36
17,zhvi_3bedroom,161791,2011,37
17,zhvi_3bedroom,172753,2011,38
17,zhvi_1bedroom,101464,2012,39
17,zhvi_2bedroom,60795,2012,40
17,zhvi_2bedroom,125132,2012,41
17,zhvi_2bedroom,136108,2012,42
17,zhvi_3bedroom,114055,2012,43
17,zhvi_3bedroom,171088,2012,44
17,zhvi_3bedroom,171485,2012,45
17,zhvi_1bedroom,96705,2013,46
17,zhvi_2bedroom,61317,2013,47
17,zhvi_2bedroom,130639,2013,48
17,zhvi_2bedroom,141850,2013,49
17,zhvi_3bedroom,116972,2013,50
17,zhvi_3bedroom,166556,2013,51
17,zhvi_3bedroom,187725,2013,52
17,zhvi_1bedroom,101101,2014,53
17,zhvi_2bedroom,61896,2014,54
17,zhvi_2bedroom,134260,2014,55
17,zhvi_2bedroom,159837,2014,56
17,zhvi_3bedroom,120864,2014,57
17,zhvi_3bedroom,172568,2014,58
17,zhvi_3bedroom,208724,2014,59
17,zhvi_1bedroom,107544,2015,60
17,zhvi_2bedroom,64702,2015,61
17,zhvi_2bedroom,140098,2015,62
17,zhvi_2bedroom,191434,2015,63
17,zhvi_3bedroom,129334,2015,64
17,zhvi_3bedroom,177512,2015,65
17,zhvi_3bedroom,244497,2015,66
17,zhvi_1bedroom,110030,2016,67
17,zhvi_2bedroom,69502,2016,68
17,zhvi_2bedroom,138980,2016,69
17,zhvi_2bedroom,224983,2016,70
17,zhvi_3bedroom,138600,2016,71
17,zhvi_3bedroom,172852,2016,72
17,zhvi_3bedroom,277588,2016,73
17,zhvi_1bedroom,108689,2017,74
17,zhvi_2bedroom,77562,2017,75
17,zhvi_2bedroom,145443,2017,76
17,zhvi_2bedroom,253415,2017,77
17,zhvi_3bedroom,154414,2017,78
17,zhvi_3bedroom,181638,2017,79
17,zhvi_3bedroom,305028,2017,80
16,zhvi_1bedroom,64866,2010,81
16,zhvi_2bedroom,90365,2010,82
16,zhvi_3bedroom,141660,2010,83
16,zhvi_1bedroom,46677,2011,84
16,zhvi_2bedroom,72253,2011,85
16,zhvi_3bedroom,126987,2011,86
16,zhvi_1bedroom,45374,2012,87
16,zhvi_2bedroom,67104,2012,88
16,zhvi_3bedroom,119548,2012,89
16,zhvi_1bedroom,45454,2013,90
16,zhvi_2bedroom,68541,2013,91
16,zhvi_3bedroom,121660,2013,92
16,zhvi_1bedroom,45560,2014,93
16,zhvi_2bedroom,70587,2014,94
16,zhvi_3bedroom,127343,2014,95
16,zhvi_1bedroom,44906,2015,96
16,zhvi_2bedroom,73450,2015,97
16,zhvi_3bedroom,133562,2015,98
16,zhvi_1bedroom,52260,2016,99
16,zhvi_2bedroom,78964,2016,100
16,zhvi_3bedroom,147121,2016,101
16,zhvi_1bedroom,58054,2017,102
16,zhvi_2bedroom,91446,2017,103
16,zhvi_3bedroom,163173,2017,104
28,zhvi_1bedroom,229063,2010,105
28,zhvi_2bedroom,310607,2010,106
28,zhvi_3bedroom,422391,2010,107
28,zhvi_1bedroom,194779,2011,108
28,zhvi_2bedroom,281258,2011,109
28,zhvi_3bedroom,391125,2011,110
28,zhvi_1bedroom,192170,2012,111
28,zhvi_2bedroom,283679,2012,112
28,zhvi_3bedroom,404296,2012,113
28,zhvi_1bedroom,247589,2013,114
28,zhvi_2bedroom,354820,2013,115
28,zhvi_3bedroom,502676,2013,116
28,zhvi_1bedroom,308598,2014,117
28,zhvi_2bedroom,419569,2014,118
28,zhvi_3bedroom,577940,2014,119
28,zhvi_1bedroom,360772,2015,120
28,zhvi_2bedroom,482850,2015,121
28,zhvi_3bedroom,651874,2015,122
28,zhvi_1bedroom,410465,2016,123
28,zhvi_2bedroom,543306,2016,124
28,zhvi_3bedroom,702795,2016,125
28,zhvi_1bedroom,452680,2017,126
28,zhvi_2bedroom,597265,2017,127
28,zhvi_3bedroom,761640,2017,128
8,zhvi_1bedroom,127604,2010,129
8,zhvi_2bedroom,152240,2010,130
8,zhvi_2bedroom,159107,2010,131
8,zhvi_3bedroom,188483,2010,132
8,zhvi_3bedroom,192253,2010,133
8,zhvi_1bedroom,122369,2011,134
8,zhvi_2bedroom,150171,2011,135
8,zhvi_2bedroom,151872,2011,136
8,zhvi_3bedroom,184102,2011,137
8,zhvi_3bedroom,190495,2011,138
8,zhvi_1bedroom,113686,2012,139
8,zhvi_2bedroom,147213,2012,140
8,zhvi_2bedroom,151708,2012,141
8,zhvi_3bedroom,182069,2012,142
8,zhvi_3bedroom,193407,2012,143
8,zhvi_1bedroom,120187,2013,144
8,zhvi_2bedroom,149190,2013,145
8,zhvi_2bedroom,158894,2013,146
8,zhvi_3bedroom,185192,2013,147
8,zhvi_3bedroom,202320,2013,148
8,zhvi_1bedroom,122323,2014,149
8,zhvi_2bedroom,150088,2014,150
8,zhvi_2bedroom,163797,2014,151
8,zhvi_3bedroom,185830,2014,152
8,zhvi_3bedroom,209376,2014,153
8,zhvi_1bedroom,123915,2015,154
8,zhvi_2bedroom,149065,2015,155
8,zhvi_2bedroom,164318,2015,156
8,zhvi_3bedroom,187981,2015,157
8,zhvi_3bedroom,210746,2015,158
8,zhvi_1bedroom,125850,2016,159
8,zhvi_2bedroom,153906,2016,160
8,zhvi_2bedroom,166070,2016,161
8,zhvi_3bedroom,191425,2016,162
8,zhvi_3bedroom,214009,2016,163
8,zhvi_1bedroom,132241,2017,164
8,zhvi_2bedroom,165233,2017,165
8,zhvi_2bedroom,169290,2017,166
8,zhvi_3bedroom,204086,2017,167
8,zhvi_3bedroom,216290,2017,168
22,zhvi_1bedroom,142361,2010,169
22,zhvi_2bedroom,152240,2010,170
22,zhvi_2bedroom,159107,2010,171
22,zhvi_3bedroom,188483,2010,172
22,zhvi_3bedroom,192253,2010,173
22,zhvi_1bedroom,140603,2011,174
22,zhvi_2bedroom,150171,2011,175
22,zhvi_2bedroom,151872,2011,176
22,zhvi_3bedroom,184102,2011,177
22,zhvi_3bedroom,190495,2011,178
22,zhvi_1bedroom,138629,2012,179
22,zhvi_2bedroom,147213,2012,180
22,zhvi_2bedroom,151708,2012,181
22,zhvi_3bedroom,182069,2012,182
22,zhvi_3bedroom,193407,2012,183
22,zhvi_1bedroom,141599,2013,184
22,zhvi_2bedroom,149190,2013,185
22,zhvi_2bedroom,158894,2013,186
22,zhvi_3bedroom,185192,2013,187
22,zhvi_3bedroom,202320,2013,188
22,zhvi_1bedroom,143172,2014,189
22,zhvi_2bedroom,150088,2014,190
22,zhvi_2bedroom,163797,2014,191
22,zhvi_3bedroom,185830,2014,192
22,zhvi_3bedroom,209376,2014,193
22,zhvi_1bedroom,142561,2015,194
22,zhvi_2bedroom,149065,2015,195
22,zhvi_2bedroom,164318,2015,196
22,zhvi_3bedroom,187981,2015,197
22,zhvi_3bedroom,210746,2015,198
22,zhvi_1bedroom,143917,2016,199
22,zhvi_2bedroom,153906,2016,200
22,zhvi_2bedroom,166070,2016,201
22,zhvi_3bedroom,191425,2016,202
22,zhvi_3bedroom,214009,2016,203
22,zhvi_1bedroom,152444,2017,204
22,zhvi_2bedroom,165233,2017,205
22,zhvi_2bedroom,169290,2017,206
22,zhvi_3bedroom,204086,2017,207
22,zhvi_3bedroom,216290,2017,208
38,zhvi_1bedroom,141642,2010,209
38,zhvi_2bedroom,176003,2010,210
38,zhvi_3bedroom,241725,2010,211
38,zhvi_1bedroom,143657,2011,212
38,zhvi_2bedroom,166629,2011,213
38,zhvi_3bedroom,232912,2011,214
38,zhvi_1bedroom,134267,2012,215
38,zhvi_2bedroom,166059,2012,216
38,zhvi_3bedroom,230548,2012,217
38,zhvi_1bedroom,141251,2013,218
38,zhvi_2bedroom,166078,2013,219
38,zhvi_3bedroom,234834,2013,220
38,zhvi_1bedroom,129528,2014,221
38,zhvi_2bedroom,167888,2014,222
38,zhvi_3bedroom,240088,2014,223
38,zhvi_1bedroom,124609,2015,224
38,zhvi_2bedroom,170239,2015,225
38,zhvi_3bedroom,247490,2015,226
38,zhvi_1bedroom,131992,2016,227
38,zhvi_2bedroom,171909,2016,228
38,zhvi_3bedroom,254293,2016,229
38,zhvi_1bedroom,133987,2017,230
38,zhvi_2bedroom,182153,2017,231
38,zhvi_3bedroom,263322,2017,232
70,zhvi_1bedroom,95501,2010,233
70,zhvi_2bedroom,95005,2010,234
70,zhvi_3bedroom,111569,2010,235
70,zhvi_1bedroom,83880,2011,236
70,zhvi_2bedroom,88709,2011,237
70,zhvi_3bedroom,103856,2011,238
