c_id,medianrentalprice_type,medianrentalprice_value,medianrentalprice_type_per_sqft,medianrentalpricepersqft_value,year,rl_id
28,1bedroom,2230.166667,1bedroom,3.22061341,2017,1
28,1bedroom,2230.166667,2bedroom,2.670954781,2017,2
28,1bedroom,2230.166667,3bedroom,2.194065032,2017,3
28,1bedroom,2230.166667,4bedroom,1.817579302,2017,4
28,1bedroom,2230.166667,5bedroomOrMore,1.344442745,2017,5
28,1bedroom,2230.166667,allhomes,2.187895786,2017,6
28,2bedroom,2611.541667,1bedroom,3.22061341,2017,7
28,2bedroom,2611.541667,2bedroom,2.670954781,2017,8
28,2bedroom,2611.541667,3bedroom,2.194065032,2017,9
28,2bedroom,2611.541667,4bedroom,1.817579302,2017,10
28,2bedroom,2611.541667,5bedroomOrMore,1.344442745,2017,11
28,2bedroom,2611.541667,allhomes,2.187895786,2017,12
28,3bedroom,3115.75,1bedroom,3.22061341,2017,13
28,3bedroom,3115.75,2bedroom,2.670954781,2017,14
28,3bedroom,3115.75,3bedroom,2.194065032,2017,15
28,3bedroom,3115.75,4bedroom,1.817579302,2017,16
28,3bedroom,3115.75,5bedroomOrMore,1.344442745,2017,17
28,3bedroom,3115.75,allhomes,2.187895786,2017,18
28,4bedroom,3579.541667,1bedroom,3.22061341,2017,19
28,4bedroom,3579.541667,2bedroom,2.670954781,2017,20
28,4bedroom,3579.541667,3bedroom,2.194065032,2017,21
28,4bedroom,3579.541667,4bedroom,1.817579302,2017,22
28,4bedroom,3579.541667,5bedroomOrMore,1.344442745,2017,23
28,4bedroom,3579.541667,allhomes,2.187895786,2017,24
28,5bedroomOrMore,3523.041667,1bedroom,3.22061341,2017,25
28,5bedroomOrMore,3523.041667,2bedroom,2.670954781,2017,26
28,5bedroomOrMore,3523.041667,3bedroom,2.194065032,2017,27
28,5bedroomOrMore,3523.041667,4bedroom,1.817579302,2017,28
28,5bedroomOrMore,3523.041667,5bedroomOrMore,1.344442745,2017,29
28,5bedroomOrMore,3523.041667,allhomes,2.187895786,2017,30
28,allhomes,2997.916667,1bedroom,3.22061341,2017,31
28,allhomes,2997.916667,2bedroom,2.670954781,2017,32
28,allhomes,2997.916667,3bedroom,2.194065032,2017,33
28,allhomes,2997.916667,4bedroom,1.817579302,2017,34
28,allhomes,2997.916667,5bedroomOrMore,1.344442745,2017,35
28,allhomes,2997.916667,allhomes,2.187895786,2017,36
28,studio,2087.875,1bedroom,3.22061341,2017,37
28,studio,2087.875,2bedroom,2.670954781,2017,38
28,studio,2087.875,3bedroom,2.194065032,2017,39
28,studio,2087.875,4bedroom,1.817579302,2017,40
28,studio,2087.875,5bedroomOrMore,1.344442745,2017,41
28,studio,2087.875,allhomes,2.187895786,2017,42
52,1bedroom,909.9583333,1bedroom,1.416310116,2017,43
52,1bedroom,909.9583333,2bedroom,1.126288475,2017,44
52,1bedroom,909.9583333,3bedroom,0.989389704,2017,45
52,1bedroom,909.9583333,4bedroom,0.693176963,2017,46
52,1bedroom,909.9583333,5bedroomOrMore,0.414456139,2017,47
52,1bedroom,909.9583333,allhomes,0.979189079,2017,48
52,2bedroom,1142,1bedroom,1.416310116,2017,49
52,2bedroom,1142,2bedroom,1.126288475,2017,50
52,2bedroom,1142,3bedroom,0.989389704,2017,51
52,2bedroom,1142,4bedroom,0.693176963,2017,52
52,2bedroom,1142,5bedroomOrMore,0.414456139,2017,53
52,2bedroom,1142,allhomes,0.979189079,2017,54
52,3bedroom,1367,1bedroom,1.416310116,2017,55
52,3bedroom,1367,2bedroom,1.126288475,2017,56
52,3bedroom,1367,3bedroom,0.989389704,2017,57
52,3bedroom,1367,4bedroom,0.693176963,2017,58
52,3bedroom,1367,5bedroomOrMore,0.414456139,2017,59
52,3bedroom,1367,allhomes,0.979189079,2017,60
52,4bedroom,1480.791667,1bedroom,1.416310116,2017,61
52,4bedroom,1480.791667,2bedroom,1.126288475,2017,62
52,4bedroom,1480.791667,3bedroom,0.989389704,2017,63
52,4bedroom,1480.791667,4bedroom,0.693176963,2017,64
52,4bedroom,1480.791667,5bedroomOrMore,0.414456139,2017,65
52,4bedroom,1480.791667,allhomes,0.979189079,2017,66
52,5bedroomOrMore,1211.416667,1bedroom,1.416310116,2017,67
52,5bedroomOrMore,1211.416667,2bedroom,1.126288475,2017,68
52,5bedroomOrMore,1211.416667,3bedroom,0.989389704,2017,69
52,5bedroomOrMore,1211.416667,4bedroom,0.693176963,2017,70
52,5bedroomOrMore,1211.416667,5bedroomOrMore,0.414456139,2017,71
52,5bedroomOrMore,1211.416667,allhomes,0.979189079,2017,72
52,allhomes,1232.416667,1bedroom,1.416310116,2017,73
52,allhomes,1232.416667,2bedroom,1.126288475,2017,74
52,allhomes,1232.416667,3bedroom,0.989389704,2017,75
52,allhomes,1232.416667,4bedroom,0.693176963,2017,76
52,allhomes,1232.416667,5bedroomOrMore,0.414456139,2017,77
52,allhomes,1232.416667,allhomes,0.979189079,2017,78
52,studio,866.4166667,1bedroom,1.416310116,2017,79
52,studio,866.4166667,2bedroom,1.126288475,2017,80
52,studio,866.4166667,3bedroom,0.989389704,2017,81
