c_id,zri_allhomes,zripersqft_allhomes,year,rv_id
1,1260,0.79,2010,1
1,1314,0.806166667,2011,2
1,1345,0.8275,2013,3
1,1239,0.8015,2017,4
1,1327,0.812666667,2014,5
1,1352,0.816,2012,6
1,1193,0.759833333,2015,7
1,1292,0.827,2016,8
3,1344,0.762,2012,9
3,1454,0.7945,2013,10
3,1370,0.748333333,2014,11
3,1561,0.8595,2015,12
3,1631,0.960666667,2016,13
3,1687,0.9395,2017,14
8,1557,1.045,2010,15
8,1512,1.003166667,2011,16
8,1455,1.015,2012,17
8,1461,1.008333333,2013,18
8,1461,0.838833333,2013,19
8,1434,0.9935,2014,20
8,1434,0.897166667,2014,21
8,1581,0.959666667,2015,22
8,1581,1.072833333,2015,23
8,1630,1.106833333,2016,24
8,1630,0.959,2016,25
8,1663,0.95,2017,26
8,1663,1.127666667,2017,27
9,1145,0.697666667,2013,28
9,1170,0.701666667,2014,29
9,1200,0.7285,2015,30
9,1205,0.741833333,2016,31
9,1202,0.7425,2017,32
10,1563,1.104,2010,33
10,1511,1.064666667,2011,34
10,1506,1.048666667,2012,35
10,1534,1.066333333,2013,36
10,1469,1.027166667,2014,37
10,1537,1.071333333,2015,38
10,1525,1.067,2016,39
10,1522,1.065833333,2017,40
11,992,0.6445,2012,41
11,1048,0.680333333,2013,42
11,1141,0.719833333,2014,43
11,1195,0.752833333,2015,44
11,1282,0.794,2016,45
11,1333,0.844,2017,46
12,919,0.657,2010,47
12,932,0.6645,2011,48
12,918,0.654166667,2012,49
12,843,0.6165,2013,50
12,898,0.6415,2014,51
12,919,0.665,2015,52
12,929,0.677166667,2016,53
12,966,0.698833333,2017,54
13,1574,1.18,2010,55
13,1591,1.134666667,2011,56
13,1641,1.172166667,2012,57
13,1651,1.200333333,2013,58
13,1702,1.2255,2014,59
13,1902,1.417166667,2015,60
13,1914,1.338166667,2016,61
13,1935,1.378833333,2017,62
15,1214,0.763,2010,63
15,1268,0.6345,2011,64
15,1670,0.806333333,2015,65
15,1406,1.012,2013,66
15,1670,0.760166667,2015,67
15,1772,0.8585,2016,68
15,1268,0.787666667,2011,69
15,1406,0.816666667,2013,70
15,1772,0.704166667,2016,71
15,1772,0.840166667,2016,72
15,1406,0.674333333,2013,73
15,1772,0.778666667,2016,74
15,1214,0.613,2010,75
15,1772,0.823166667,2016,76
15,1323,0.755,2012,77
15,1406,0.547833333,2013,78
15,1772,1.290833333,2016,79
15,1772,0.6145,2016,80
15,1214,0.898,2010,81
15,1830,1.324,2017,82
15,1509,0.7575,2014,83
15,1323,0.792666667,2012,84
15,1830,0.768166667,2017,85
