newvars,oldvars
total_population,B01001_001E
total_male,B01001_002E
male_under_5,B01001_003E
male_5_to_9,B01001_004E
male_10_to_14,B01001_005E
male_15_to_17,B01001_006E
male_18_to_19,B01001_007E
male_20,B01001_008E
male_21,B01001_009E
male_22_to_24,B01001_010E
male_25_to_29,B01001_011E
male_30_to_34,B01001_012E
male_35_to_39,B01001_013E
male_40_to_44,B01001_014E
male_45_to_49,B01001_015E
male_50_to_54,B01001_016E
male_55_to_59,B01001_017E
male_60_to_61,B01001_018E
male_62_to_64,B01001_019E
male_65_to_66,B01001_020E
male_67_to_69,B01001_021E
male_70_to_74,B01001_022E
male_75_to_79,B01001_023E
male_80_to_84,B01001_024E
male_85_plus,B01001_025E
total_female,B01001_026E
female_under_5,B01001_027E
female_5_to_9,B01001_028E
female_10_to_14,B01001_029E
female_15_to_17,B01001_030E
female_18_to_19,B01001_031E
female_20,B01001_032E
female_21,B01001_033E
female_22_to_24,B01001_034E
female_25_to_29,B01001_035E
female_30_to_34,B01001_036E
female_35_to_39,B01001_037E
female_40_to_44,B01001_038E
female_45_to_49,B01001_039E
female_50_to_54,B01001_040E
female_55_to_59,B01001_041E
female_60_to_61,B01001_042E
female_62_to_64,B01001_043E
female_65_to_66,B01001_044E
female_67_to_69,B01001_045E
female_70_to_74,B01001_046E
female_75_to_79,B01001_047E
female_80_to_84,B01001_048E
female_85_plus,B01001_049E
