newvars,oldvars
total_households,B19001_001E
income_less_10k,B19001_002E
income_10k_to_15k,B19001_003E
income_15k_to_20k,B19001_004E
income_20k_to_25k,B19001_005E
income_25k_to_30k,B19001_006E
income_30k_to_35k,B19001_007E
income_35k_to_40k,B19001_008E
income_40k_to_45k,B19001_009E
income_45k_to_50k,B19001_010E
income_50k_to_60k,B19001_011E
income_60k_to_75k,B19001_012E
income_75k_to_100k,B19001_013E
income_100k_to_125k,B19001_014E
income_125k_to_150k,B19001_015E
income_150k_to_200k,B19001_016E
income_200k_plus,B19001_017E
total_income,B19051_002E
total_no_income,B19051_003E
