newvars,oldvars,age,income
age_less_25_income_less_10k,B19037_003E,25_less,10k_less
age_less_25_income_10k_to_15k,B19037_004E,25_less,income_10k_to_15k
age_less_25_income_15k_to_20k,B19037_005E,25_less,income_15k_to_20k
age_less_25_income_20k_to_25k,B19037_006E,25_less,income_20k_to_25k
age_less_25_income_25k_to_30k,B19037_007E,25_less,income_25k_to_30k
age_less_25_income_30k_to_35k,B19037_008E,25_less,income_30k_to_35k
age_less_25_income_35k_to_40k,B19037_009E,25_less,income_35k_to_40k
age_less_25_income_40k_to_45k,B19037_010E,25_less,income_40k_to_45k
age_less_25_income_45k_to_50k,B19037_011E,25_less,income_45k_to_50k
age_less_25_income_50k_to_60k,B19037_012E,25_less,income_50k_to_60k
age_less_25_income_60k_to_75k,B19037_013E,25_less,income_60k_to_75k
age_less_25_income_75k_to_100k,B19037_014E,25_less,income_75k_to_100k
age_less_25_income_100k_to_125k,B19037_015E,25_less,income_100k_to_125k
age_less_25_income_125k_to_150k,B19037_016E,25_less,income_125k_to_150k
age_less_25_income_150k_to_200k,B19037_017E,25_less,income_150k_to_200k
age_less_25_income_200k_plus,B19037_018E,25_less,income_200k_plus
age_25_to_44_income_less_10k,B19037_020E,25_to_44,10k_less
age_25_to_44_income_10k_to_15k,B19037_021E,25_to_45,income_10k_to_15k
age_25_to_44_income_15k_to_20k,B19037_022E,25_to_46,income_15k_to_20k
age_25_to_44_income_20k_to_25k,B19037_023E,25_to_47,income_20k_to_25k
age_25_to_44_income_25k_to_30k,B19037_024E,25_to_48,income_25k_to_30k
age_25_to_44_income_30k_to_35k,B19037_025E,25_to_49,income_30k_to_35k
age_25_to_44_income_35k_to_40k,B19037_026E,25_to_50,income_35k_to_40k
age_25_to_44_income_40k_to_45k,B19037_027E,25_to_51,income_40k_to_45k
age_25_to_44_income_45k_to_50k,B19037_028E,25_to_52,income_45k_to_50k
age_25_to_44_income_50k_to_60k,B19037_029E,25_to_53,income_50k_to_60k
age_25_to_44_income_60k_to_75k,B19037_030E,25_to_54,income_60k_to_75k
age_25_to_44_income_75k_to_100k,B19037_031E,25_to_55,income_75k_to_100k
age_25_to_44_income_100k_to_125k,B19037_032E,25_to_56,income_100k_to_125k
age_25_to_44_income_125k_to_150k,B19037_033E,25_to_57,income_125k_to_150k
age_25_to_44_income_150k_to_200k,B19037_034E,25_to_58,income_150k_to_200k
age_25_to_44_income_200k_plus,B19037_035E,25_to_59,income_200k_plus
age_45_to_64_income_less_10k,B19037_037E,45_to_64,10k_less
age_45_to_64_income_10k_to_15k,B19037_038E,45_to_64,income_10k_to_15k
age_45_to_64_income_15k_to_20k,B19037_039E,45_to_64,income_15k_to_20k
age_45_to_64_income_20k_to_25k,B19037_040E,45_to_64,income_20k_to_25k
age_45_to_64_income_25k_to_30k,B19037_041E,45_to_64,income_25k_to_30k
age_45_to_64_income_30k_to_35k,B19037_042E,45_to_64,income_30k_to_35k
age_45_to_64_income_35k_to_40k,B19037_043E,45_to_64,income_35k_to_40k
age_45_to_64_income_40k_to_45k,B19037_044E,45_to_64,income_40k_to_45k
age_45_to_64_income_45k_to_50k,B19037_045E,45_to_64,income_45k_to_50k
age_45_to_64_income_50k_to_60k,B19037_046E,45_to_64,income_50k_to_60k
age_45_to_64_income_60k_to_75k,B19037_047E,45_to_64,income_60k_to_75k
age_45_to_64_income_75k_to_100k,B19037_048E,45_to_64,income_75k_to_100k
age_45_to_64_income_100k_to_125k,B19037_049E,45_to_64,income_100k_to_125k
age_45_to_64_income_125k_to_150k,B19037_050E,45_to_64,income_125k_to_150k
age_45_to_64_income_150k_to_200k,B19037_051E,45_to_64,income_150k_to_200k
age_45_to_64_income_200k_plus,B19037_052E,45_to_64,income_200k_plus
age_65_plus_income_less_10k,B19037_054E,65_plus,10k_less
age_65_plus_income_10k_to_15k,B19037_055E,65_plus,income_10k_to_15k
age_65_plus_income_15k_to_20k,B19037_056E,65_plus,income_15k_to_20k
age_65_plus_income_20k_to_25k,B19037_057E,65_plus,income_20k_to_25k
age_65_plus_income_25k_to_30k,B19037_058E,65_plus,income_25k_to_30k
age_65_plus_income_30k_to_35k,B19037_059E,65_plus,income_30k_to_35k
age_65_plus_income_35k_to_40k,B19037_060E,65_plus,income_35k_to_40k
age_65_plus_income_40k_to_45k,B19037_061E,65_plus,income_40k_to_45k
age_65_plus_income_45k_to_50k,B19037_062E,65_plus,income_45k_to_50k
age_65_plus_income_50k_to_60k,B19037_063E,65_plus,income_50k_to_60k
age_65_plus_income_60k_to_75k,B19037_064E,65_plus,income_60k_to_75k
age_65_plus_income_75k_to_100k,B19037_065E,65_plus,income_75k_to_100k
age_65_plus_income_100k_to_125k,B19037_066E,65_plus,income_100k_to_125k
age_65_plus_income_125k_to_150k,B19037_067E,65_plus,income_125k_to_150k
age_65_plus_income_150k_to_200k,B19037_068E,65_plus,income_150k_to_200k
age_65_plus_income_200k_plus,B19037_069E,65_plus,income_200k_plus
