newvars,oldvars
contract_rent_universe,B25056_001E
contract_rent_cash,B25056_002E
contract_rent_100_less,B25056_003E
contract_rent_100_to_149,B25056_004E
contract_rent_150_to_199,B25056_005E
contract_rent_200_to_249,B25056_006E
contract_rent_250_to_299,B25056_007E
contract_rent_300_to_349,B25056_008E
contract_rent_350_to_399,B25056_009E
contract_rent_400_to_449,B25056_010E
contract_rent_450_to_499,B25056_011E
contract_rent_500_to_549,B25056_012E
contract_rent_550_to_599,B25056_013E
contract_rent_600_to_649,B25056_014E
contract_rent_650_to_699,B25056_015E
contract_rent_700_to_749,B25056_016E
contract_rent_750_to_799,B25056_017E
contract_rent_800_to_899,B25056_018E
contract_rent_900_to_999,B25056_019E
contract_rent_1000_to_1249,B25056_020E
contract_rent_1250_to_1499,B25056_021E
contract_rent_1500_to_1999,B25056_022E
contract_rent_2000_to_2499,B25056_023E
contract_rent_2500_to_2999,B25056_024E
asked_rent_universe,B25061_001E
asked_rent_100_less,B25061_002E
asked_rent_100_to_149,B25061_003E
asked_rent_150_to_199,B25061_004E
asked_rent_200_to_249,B25061_005E
asked_rent_250_to_299,B25061_006E
asked_rent_300_to_349,B25061_007E
asked_rent_350_to_399,B25061_008E
asked_rent_400_to_449,B25061_009E
asked_rent_450_to_499,B25061_010E
asked_rent_500_to_549,B25061_011E
asked_rent_550_to_599,B25061_012E
asked_rent_600_to_649,B25061_013E
asked_rent_650_to_699,B25061_014E
asked_rent_700_to_749,B25061_015E
asked_rent_750_to_799,B25061_016E
asked_rent_800_to_899,B25061_017E
asked_rent_900_to_999,B25061_018E
asked_rent_1000_to_1249,B25061_019E
asked_rent_1250_to_1499,B25061_020E
asked_rent_1500_to_1999,B25061_021E
asked_rent_2000_to_2499,B25061_022E
aggregate_rent_asked,B25062_001E
gross_rent_universe,B25063_001E
gross_rent_cash,B25063_002E
gross_rent_100_less,B25063_003E
gross_rent_100_to_149,B25063_004E
gross_rent_150_to_199,B25063_005E
gross_rent_200_to_249,B25063_006E
gross_rent_250_to_299,B25063_007E
gross_rent_300_to_349,B25063_008E
gross_rent_350_to_399,B25063_009E
gross_rent_400_to_449,B25063_010E
gross_rent_450_to_499,B25063_011E
gross_rent_500_to_549,B25063_012E
gross_rent_550_to_599,B25063_013E
gross_rent_600_to_649,B25063_014E
gross_rent_650_to_699,B25063_015E
gross_rent_700_to_749,B25063_016E
gross_rent_750_to_799,B25063_017E
gross_rent_800_to_899,B25063_018E
gross_rent_900_to_999,B25063_019E
gross_rent_1000_to_1249,B25063_020E
gross_rent_1250_to_1499,B25063_021E
gross_rent_1500_to_1999,B25063_022E
gross_rent_2000_to_2499,B25063_023E
gross_rent_2500_to_2999,B25063_024E
gross_rent_rooms_universe,B25068_001E
gross_rent_rooms_none,B25068_002E
gross_rent_rooms_none_cash,B25068_003E
gross_rent_rooms_none_300_less,B25068_004E
gross_rent_rooms_none_300_to_499,B25068_005E
gross_rent_rooms_none_500_to_749,B25068_006E
gross_rent_rooms_none_750_to_999,B25068_007E
gross_rent_rooms_none_1000_to_1499,B25068_008E
gross_rent_rooms_none_1500_plus,B25068_009E
gross_rent_rooms_none_no_cash,B25068_010E
gross_rent_rooms_1,B25068_011E
gross_rent_rooms_1_cash,B25068_012E
gross_rent_rooms_1_300_less,B25068_013E
gross_rent_rooms_1_300_to_499,B25068_014E
gross_rent_rooms_1_500_to_749,B25068_015E
gross_rent_rooms_1_750_to_999,B25068_016E
gross_rent_rooms_1_1000_to_1499,B25068_017E
gross_rent_rooms_1_1500_plus,B25068_018E
gross_rent_rooms_1_no_cash,B25068_019E
gross_rent_rooms_2,B25068_020E
gross_rent_rooms_2_cash,B25068_021E
gross_rent_rooms_2_300_less,B25068_022E
gross_rent_rooms_2_300_to_499,B25068_023E
gross_rent_rooms_2_500_to_749,B25068_024E
gross_rent_rooms_2_750_to_999,B25068_025E
gross_rent_rooms_2_1000_to_1499,B25068_026E
gross_rent_rooms_2_1500_plus,B25068_027E
gross_rent_rooms_2_no_cash,B25068_028E
gross_rent_rooms_3_plus,B25068_029E
gross_rent_rooms_3_plus_cash,B25068_030E
gross_rent_rooms_3_plus_300_less,B25068_031E
gross_rent_rooms_3_plus_300_to_499,B25068_032E
gross_rent_rooms_3_plus_500_to_749,B25068_033E
gross_rent_rooms_3_plus_750_to_999,B25068_034E
gross_rent_rooms_3_plus_1000_to_1499,B25068_035E
gross_rent_rooms_3_plus_1500_plus,B25068_036E
gross_rent_rooms_3_plus_no_cash,B25068_037E
gross_rent_as_income_percent_universe,B25070_001E
gross_rent_as_income_percent_10_less,B25070_002E
gross_rent_as_income_percent_10_to_14,B25070_003E
gross_rent_as_income_percent_15_to_19,B25070_004E
gross_rent_as_income_percent_20_to_24,B25070_005E
gross_rent_as_income_percent_25_to_29,B25070_006E
gross_rent_as_income_percent_30_to_34,B25070_007E
gross_rent_as_income_percent_35_to_39,B25070_008E
gross_rent_as_income_percent_40_to_49,B25070_009E
gross_rent_as_income_percent_50_plus,B25070_010E
gross_rent_as_income_percent_not_computed,B25070_011E
