newvars,oldvars
total_hu,B25002_001E
occupied_hu,B25002_002E
vacant_hu,B25002_003E
status_hu_total,B25004_001E
status_hu_for_rent,B25004_002E
status_hu_rented_not_occupied,B25004_003E
status_hu_for_sale_only,B25004_004E
status_hu_sold_not_occupied,B25004_005E
status_hu_occasional_use,B25004_006E
status_hu_for_migrant_workers,B25004_007E
status_hu_other_vacant,B25004_008E
hu_rooms_universe,B25017_001E
rooms_hu_1,B25017_002E
rooms_hu_2,B25017_003E
rooms_hu_3,B25017_004E
rooms_hu_4,B25017_005E
rooms_hu_5,B25017_006E
rooms_hu_6,B25017_007E
rooms_hu_7,B25017_008E
rooms_hu_8,B25017_009E
rooms_hu_9_plus,B25017_010E
units_hu_universe,B25024_001E
units_hu_1_detached,B25024_002E
units_hu_1_attached,B25024_003E
units_hu_2,B25024_004E
units_hu_3_to_4,B25024_005E
units_hu_5_to_9,B25024_006E
units_hu_10_to_19,B25024_007E
units_hu_20_to_49,B25024_008E
units_hu_50_plus,B25024_009E
units_hu_mobile,B25024_010E
units_hu_other,B25024_011E
year_built_hu_universe,B25034_001E
year_built_hu_2014_plus,B25034_002E
year_built_hu_2010_to_2013,B25034_003E
year_built_hu_2000_to_2009,B25034_004E
year_built_hu_1990_to_1999,B25034_005E
year_built_hu_1980_to_1989,B25034_006E
year_built_hu_1970_to_1979,B25034_007E
year_built_hu_1960_to_1969,B25034_008E
year_built_hu_1950_to_1959,B25034_009E
year_built_hu_1940_to_1949,B25034_010E
bedrooms_hu_universe,B25041_001E
bedrooms_hu_no_bedrooms,B25041_002E
bedrooms_hu_1,B25041_003E
bedrooms_hu_2,B25041_004E
bedrooms_hu_3,B25041_005E
bedrooms_hu_4,B25041_006E
bedrooms_hu_5_plus,B25041_007E
