newvars,oldvars
aggregate_time_to_work,B08135_001E
aggregate_time_to_work_10_minutes_less,B08135_002E
aggregate_time_to_work_10_to_14_minutes,B08135_003E
aggregate_time_to_work_15_to_19_minutes,B08135_004E
aggregate_time_to_work_20_to_24_minutes,B08135_005E
aggregate_time_to_work_25_to_29_minutes,B08135_006E
aggregate_time_to_work_30_to_34_minutes,B08135_007E
aggregate_time_to_work_35_to_44_minutes,B08135_008E
aggregate_time_to_work_45_to_59_minutes,B08135_009E
aggregate_time_to_work_60_mintues_plus,B08135_010E
time_leaving_home,B08302_001E
time_leaving_home_00am_to_5am,B08302_002E
time_leaving_home_5am,B08302_003E
time_leaving_home_530am,B08302_004E
time_leaving_home_6am,B08302_005E
time_leaving_home_630am,B08302_006E
time_leaving_home_7am,B08302_007E
time_leaving_home_730am,B08302_008E
time_leaving_home_8am,B08302_009E
time_leaving_home_830am,B08302_010E
time_leaving_home_9am,B08302_011E
time_leaving_home_10am,B08302_012E
time_leaving_home_11am,B08302_013E
time_leaving_home_12pm,B08302_014E
time_leaving_home_4pmm,B08302_015E
travel_time_to_work_total,B08303_001E
aggregate_time_to_work_5_minutes_less,B08303_002E
aggregate_time_to_work_5_to_9_minutes,B08303_003E
aggregate_time_to_work_10_to_14_minutes,B08303_004E
aggregate_time_to_work_15_to_19_minutes,B08303_005E
aggregate_time_to_work_20_to_24_minutes,B08303_006E
aggregate_time_to_work_25_to_29_minutes,B08303_007E
aggregate_time_to_work_30_to_34_minutes,B08303_008E
aggregate_time_to_work_35_to_39_minutes,B08303_009E
aggregate_time_to_work_40_to_44_minutes,B08303_010E
aggregate_time_to_work_45_to_59_minutes,B08303_011E
aggregate_time_to_work_60_to_89_minutes,B08303_012E
aggregate_time_to_work_90_minutes_plus,B08303_013E
