newvars,oldvars
tenure_total_pop,B25003_001E
tenure_pop_owner,B25003_002E
tenure_pop_renter,B25003_003E
tenure_total_pop_white,B25003A_001E
tenure_pop_owner_white,B25003A_002E
tenure_pop_renter_white,B25003A_003E
tenure_total_pop_black,B25003B_001E
tenure_pop_owner_black,B25003B_002E
tenure_pop_renter_black,B25003B_003E
tenure_total_pop_native,B25003C_001E
tenure_pop_owner_native,B25003C_002E
tenure_pop_renter_native,B25003C_003E
tenure_total_pop_asian,B25003D_001E
tenure_pop_owner_asian,B25003D_002E
tenure_pop_renter_asian,B25003D_003E
tenure_total_pop_islander,B25003E_001E
tenure_pop_owner_islander,B25003E_002E
tenure_pop_renter_islander,B25003E_003E
tenure_total_pop_other,B25003F_001E
tenure_pop_owner_other,B25003F_002E
tenure_pop_renter_other,B25003F_003E
tenure_total_pop_two_races,B25003G_001E
tenure_pop_owner_two_races,B25003G_002E
tenure_pop_renter_two_races,B25003G_003E
tenure_total_pop_white_alone,B25003H_001E
tenure_pop_owner_white_alone,B25003H_002E
tenure_pop_renter_white_alone,B25003H_003E
tenure_total_pop_latino,B25003I_001E
tenure_pop_owner_latino,B25003I_002E
tenure_pop_renter_latino,B25003I_003E
tenure_by_age_total,B25007_001E
tenure_by_age_owner,B25007_002E
tenure_by_age_owner_15_to_24,B25007_003E
tenure_by_age_owner_25_to_34,B25007_004E
tenure_by_age_owner_35_to_44,B25007_005E
tenure_by_age_owner_45_to_54,B25007_006E
tenure_by_age_owner_55_to_59,B25007_007E
tenure_by_age_owner_60_to_64,B25007_008E
tenure_by_age_owner_65_to_74,B25007_009E
tenure_by_age_owner_75_to_84,B25007_010E
tenure_by_age_owner_85_plus,B25007_011E
tenure_by_age_renter,B25007_012E
tenure_by_age_renter_15_to_24,B25007_013E
tenure_by_age_renter_25_to_34,B25007_014E
tenure_by_age_renter_35_to_44,B25007_015E
tenure_by_age_renter_45_to_54,B25007_016E
tenure_by_age_renter_55_to_59,B25007_017E
tenure_by_age_renter_60_to_64,B25007_018E
tenure_by_age_renter_65_to_74,B25007_019E
tenure_by_age_renter_75_to_84,B25007_020E
tenure_by_age_renter_85_plus,B25007_021E
tenure_by_hu_units_total,B25008_001E
tenure_by_hu_units_owner,B25008_002E
tenure_by_hu_units_renter,B25008_003E
tenure_by_hh_size_total,B25009_001E
tenure_by_hh_size_owner_total,B25009_002E
tenure_by_hh_size_owner_1,B25009_003E
tenure_by_hh_size_owner_2,B25009_004E
tenure_by_hh_size_owner_3,B25009_005E
tenure_by_hh_size_owner_4,B25009_006E
tenure_by_hh_size_owner_5,B25009_007E
tenure_by_hh_size_owner_6,B25009_008E
tenure_by_hh_size_owner_7_plus,B25009_009E
tenure_by_hh_size_renter_total,B25009_010E
tenure_by_hh_size_renter_1,B25009_011E
tenure_by_hh_size_renter_2,B25009_012E
tenure_by_hh_size_renter_3,B25009_013E
tenure_by_hh_size_renter_4,B25009_014E
tenure_by_hh_size_renter_5,B25009_015E
tenure_by_hh_size_renter_6,B25009_016E
tenure_by_hh_size_renter_7_plus,B25009_017E
tenire_by_rooms_total,B25020_001E
tenure_by_rooms_owner,B25020_002E
tenure_by_rooms_owner_1,B25020_003E
tenure_by_rooms_owner_2,B25020_004E
tenure_by_rooms_owner_3,B25020_005E
tenure_by_rooms_owner_4,B25020_006E
tenure_by_rooms_owner_5,B25020_007E
tenure_by_rooms_owner_6,B25020_008E
tenure_by_rooms_owner_7,B25020_009E
tenure_by_rooms_owner_8,B25020_010E
tenure_by_rooms_owner_9_plus,B25020_011E
tenure_by_rooms_renter,B25020_012E
tenure_by_rooms_renter_1,B25020_013E
tenure_by_rooms_renter_2,B25020_014E
tenure_by_rooms_renter_3,B25020_015E
tenure_by_rooms_renter_4,B25020_016E
tenure_by_rooms_renter_5,B25020_017E
tenure_by_rooms_renter_6,B25020_018E
tenure_by_rooms_renter_7,B25020_019E
tenure_by_rooms_renter_8,B25020_020E
tenure_by_rooms_renter_9_plus,B25020_021E
tenure_by_units_hh_total,B25032_001E
tenure_by_units_hh_owner,B25032_002E
tenure_by_units_hh_owner_1_detached,B25032_003E
tenure_by_units_hh_owner_1_attached,B25032_004E
tenure_by_units_hh_owner_2,B25032_005E
tenure_by_units_hh_owner_3_to_4,B25032_006E
