newvars,oldvars,gender,occupation
,C24010_005E,male,management
,C24010_006E,male,business finance
,C24010_008E,male,computer
,C24010_009E,male,architecture
,C24010_010E,male,social science
,C24010_012E,male,community
,C24010_013E,male,legal
,C24010_014E,male,education
,C24010_015E,male,arts and media
,C24010_017E,male,health practitioner
,C24010_018E,male,health tech
,C24010_020E,male,health support
,C24010_022E,male,fire fighting
,C24010_023E,male,law enforcement
,C24010_024E,male,food preparation
,C24010_025E,male,janitorial
,C24010_026E,male,personal care
,C24010_028E,male,sales
,C24010_029E,male,admin
,C24010_031E,male,farming
,C24010_032E,male,construction
,C24010_033E,male,maintenance
,C24010_035E,male,production
,C24010_036E,male,transportation
,C24010_037E,male,moving
,C24010_041E,female,management
,C24010_042E,female,business finance
,C24010_044E,female,computer
,C24010_045E,female,architecture
,C24010_046E,female,social science
,C24010_048E,female,community
,C24010_049E,female,legal
,C24010_050E,female,education
,C24010_051E,female,arts and media
,C24010_053E,female,health practitioner
,C24010_054E,female,health tech
,C24010_056E,female,health support
,C24010_058E,female,fire fighting
,C24010_059E,female,law enforcement
,C24010_060E,female,food preparation
,C24010_061E,female,janitorial
,C24010_062E,female,personal care
,C24010_064E,female,sales
,C24010_065E,female,admin
,C24010_067E,female,farming
,C24010_068E,female,construction
,C24010_069E,female,maintenance
,C24010_071E,female,production
,C24010_072E,female,transportation
,C24010_073E,female,moving
