newvars,oldvars,valuation_type,value_type
hu_value_10k_less,B25075_002E,actual,10k less
hu_value_10k_to_15k,B25075_003E,actual,10k to 15k
hu_value_15k_to_20k,B25075_004E,actual,15k to 20k
hu_value_20k_to_25k,B25075_005E,actual,20k to 25k
hu_value_25k_to_30k,B25075_006E,actual,25k to 30k
hu_value_30k_to_35k,B25075_007E,actual,30k to 35k
hu_value_35k_to_40k,B25075_008E,actual,35k to 40k
hu_value_40k_to_50k,B25075_009E,actual,40k to 50k
hu_value_50k_to_60k,B25075_010E,actual,50k to 60k
hu_value_60k_to_70k,B25075_011E,actual,60k to 70k
hu_value_70k_to_80k,B25075_012E,actual,70k to 80k
hu_value_80k_to_90k,B25075_013E,actual,80k to 90k
hu_value_90k_to_100k,B25075_014E,actual,90k to 100k
hu_value_100k_to_125k,B25075_015E,actual,100k to 125k
hu_value_125k_to_150k,B25075_016E,actual,125k to 150k
hu_value_150k_to_175k,B25075_017E,actual,150k to 175k
hu_value_175k_to_200k,B25075_018E,actual,175k to 200k
hu_value_200k_to_250k,B25075_019E,actual,200k to 250k
hu_value_250k_to_300k,B25075_020E,actual,250k to 300k
hu_value_300k_to_400k,B25075_021E,actual,300k to 400k
hu_value_400k_to_500k,B25075_022E,actual,400k to 500k
hu_value_500k_to_750k,B25075_023E,actual,500k to 750k
hu_value_750k_to_1000k,B25075_024E,actual,750k to 1000k
hu_value_1000k_to_1500k,B25075_025E,actual,1000k to 1500k
hu_price_asked_10k_less,B25085_002E,asked,10k less
hu_price_asked_10k_to_15k,B25085_003E,asked,10k to 15k
hu_price_asked_15k_to_20k,B25085_004E,asked,15k to 20k
hu_price_asked_20k_to_25k,B25085_005E,asked,20k to 25k
hu_price_asked_25k_to_30k,B25085_006E,asked,25k to 30k
hu_price_asked_30k_to_35k,B25085_007E,asked,30k to 35k
hu_price_asked_35k_to_40k,B25085_008E,asked,35k to 40k
hu_price_asked_40k_to_50k,B25085_009E,asked,40k to 50k
hu_price_asked_50k_to_60k,B25085_010E,asked,50k to 60k
hu_price_asked_60k_to_70k,B25085_011E,asked,60k to 70k
hu_price_asked_70k_to_80k,B25085_012E,asked,70k to 80k
hu_price_asked_80k_to_90k,B25085_013E,asked,80k to 90k
hu_price_asked_90k_to_100k,B25085_014E,asked,90k to 100k
hu_price_asked_100k_to_125k,B25085_015E,asked,100k to 125k
hu_price_asked_125k_to_150k,B25085_016E,asked,125k to 150k
hu_price_asked_150k_to_175k,B25085_017E,asked,150k to 175k
hu_price_asked_175k_to_200k,B25085_018E,asked,175k to 200k
hu_price_asked_200k_to_250k,B25085_019E,asked,200k to 250k
hu_price_asked_250k_to_300k,B25085_020E,asked,250k to 300k
hu_price_asked_300k_to_400k,B25085_021E,asked,300k to 400k
hu_price_asked_400k_to_500k,B25085_022E,asked,400k to 500k
hu_price_asked_500k_to_750k,B25085_023E,asked,500k to 750k
hu_price_asked_750k_to_1000k,B25085_024E,asked,750k to 1000k
hu_price_asked_1000k_to_1500k,B25085_025E,asked,1000k to 1500k
