state_code,blkgrp_count
None,0
01,3438
02,534
04,4178
05,2147
06,23212
08,3532
09,2585
10,574
11,450
12,11442
13,5533
15,875
16,963
17,9691
18,4814
19,2630
20,2351
21,3285
22,3471
23,1086
24,3926
25,4985
26,8205
27,4111
28,2164
29,4506
30,842
31,1633
32,1836
33,922
34,6320
35,1449
36,15464
37,6155
38,572
39,9238
40,2965
41,2634
42,9740
44,815
45,3059
46,654
47,4125
48,15811
49,1690
50,522
51,5332
53,4783
54,1592
55,4489
56,410
72,1
60,43
66,219
69,57
78,89
