Geoid,Sec_neigh
170310701022,LINCOLN PARK
170318363002,HYDE PARK
170311102002,JEFFERSON PARK
170314303001,"SOUTH SHORE, GRAND CROSSING"
170318350003,"MARQUETTE PARK,GAGE PARK"
170310615001,LAKE VIEW
170314206001,WOODLAWN
170312432001,"WICKER PARK,WEST TOWN"
170315303002,WEST PULLMAN
170316805001,ENGLEWOOD
170310602002,LAKE VIEW
170315102001,SOUTHEAST SIDE
170314206002,WOODLAWN
170316502001,WEST LAWN
170310302004,EDGEWATER
170317203003,BEVERLY
170318383001,RIVER NORTH
170316603021,"MARQUETTE PARK,GAGE PARK"
170315804003,"BRIGHTON PARK,MCKINLEY PARK"
170317001001,ASHBURN
170310311001,UPTOWN
170312207023,LOGAN SQUARE
170310319001,UPTOWN
170312413001,"WICKER PARK,WEST TOWN"
170313510002,BRONZEVILLE
170315401014,RIVERDALE
170312409001,HUMBOLDT PARK
170311301002,"NORTH PARK,ALBANY PARK"
170317202003,BEVERLY
170318382002,"LITTLE ITALY, UIC"
170317505003,"MOUNT GREENWOOD,MORGAN PARK"
170314906001,"WASHINGTON HEIGHTS,ROSELAND"
170315102003,SOUTHEAST SIDE
170318431001,NORTH LAWNDALE
170315401022,RIVERDALE
170311703001,DUNNING
170311003001,NORWOOD PARK
170318368001,GARFIELD PARK
170316110001,BACK OF THE YARDS
170315103004,SOUTHEAST SIDE
170317505001,"MOUNT GREENWOOD,MORGAN PARK"
170317004011,ASHBURN
170317504001,"MOUNT GREENWOOD,MORGAN PARK"
170311006004,NORWOOD PARK
170318381002,UNITED CENTER
170317305004,"WASHINGTON HEIGHTS,ROSELAND"
170311104001,JEFFERSON PARK
170317003024,ASHBURN
170318349002,ENGLEWOOD
170315703004,"ARCHER HEIGHTS,WEST ELSDON"
170312517001,AUSTIN
170314905002,"WASHINGTON HEIGHTS,ROSELAND"
170312510001,AUSTIN
170314909022,"WASHINGTON HEIGHTS,ROSELAND"
170317306002,"WASHINGTON HEIGHTS,ROSELAND"
170314602002,SOUTH CHICAGO
170317403002,"MOUNT GREENWOOD,MORGAN PARK"
170317004012,ASHBURN
170318366001,HUMBOLDT PARK
170315401013,RIVERDALE
170318382001,"LITTLE ITALY, UIC"
170310314006,UPTOWN
170310203023,WEST RIDGE
170311003004,NORWOOD PARK
170311906012,"BELMONT CRAGIN,HERMOSA"
170317608032,OHARE
170315305011,WEST PULLMAN
170314910005,"WASHINGTON HEIGHTS,ROSELAND"
170314402022,"CHATHAM,BURNSIDE"
170311003006,NORWOOD PARK
170311201002,"SAUGANASH,FOREST GLEN"
170311003002,NORWOOD PARK
170311504023,PORTAGE PARK
170311005003,NORWOOD PARK
170317402003,"MOUNT GREENWOOD,MORGAN PARK"
170312518003,AUSTIN
170311003003,NORWOOD PARK
170312712001,GARFIELD PARK
170312508001,AUSTIN
170312714001,GARFIELD PARK
170317306003,"WASHINGTON HEIGHTS,ROSELAND"
170311904012,"BELMONT CRAGIN,HERMOSA"
170314312002,"SOUTH SHORE, GRAND CROSSING"
170317103001,AUBURN GRESHAM
170317004013,ASHBURN
170312713001,GARFIELD PARK
170317110002,AUBURN GRESHAM
170311906022,"BELMONT CRAGIN,HERMOSA"
170311904022,"BELMONT CRAGIN,HERMOSA"
170315602003,MIDWAY AIRPORT
170315302005,WEST PULLMAN
170315305014,WEST PULLMAN
170316913001,"SOUTH SHORE, GRAND CROSSING"
170318346002,ENGLEWOOD
170311203004,"SAUGANASH,FOREST GLEN"
170313301002,NEAR SOUTH SIDE
170314908003,"WASHINGTON HEIGHTS,ROSELAND"
170314907003,"WASHINGTON HEIGHTS,ROSELAND"
170313814001,BRONZEVILLE
170318343006,"AVALON PARK,CALUMET HEIGHTS"
170318312002,"BELMONT CRAIGIN,HERMOSA"
170317003011,ASHBURN
170310203013,WEST RIDGE
170317506003,"MOUNT GREENWOOD,MORGAN PARK"
170318403002,"BRIGHTON PARK,MCKINLEY PARK"
170310203012,WEST RIDGE
170316809001,ENGLEWOOD
170310818002,RIVER NORTH
170318342002,"SOUTH SHORE, GRAND CROSSING"
170317005011,ASHBURN
170310202001,WEST RIDGE
170314909013,"WASHINGTON HEIGHTS,ROSELAND"
170317005014,ASHBURN
170311005001,NORWOOD PARK
170317005013,ASHBURN
170317003012,ASHBURN
170317502004,"MOUNT GREENWOOD,MORGAN PARK"
170310202002,WEST RIDGE
170317304003,"WASHINGTON HEIGHTS,ROSELAND"
170311002004,NORWOOD PARK
170317304001,"WASHINGTON HEIGHTS,ROSELAND"
170317206001,BEVERLY
170311503005,PORTAGE PARK
170314909012,"WASHINGTON HEIGHTS,ROSELAND"
170313510003,BRONZEVILLE
170314406001,"CHATHAM,BURNSIDE"
170316715003,ENGLEWOOD
170317111003,AUBURN GRESHAM
170318358001,BRONZEVILLE
170318407003,LITTLE VILLAGE
170312801002,WEST LOOP
170311102001,JEFFERSON PARK
170314910002,"WASHINGTON HEIGHTS,ROSELAND"
170314910004,"WASHINGTON HEIGHTS,ROSELAND"
170310902005,EDISON PARK
170318331002,WEST LOOP
170317104005,AUBURN GRESHAM
170318348002,ENGLEWOOD
170311002003,NORWOOD PARK
170312512004,AUSTIN
170317002003,ASHBURN
170311303003,"NORTH PARK,ALBANY PARK"
170312515004,AUSTIN
170312002002,"BELMONT CRAIGIN,HERMOSA"
170314909023,"WASHINGTON HEIGHTS,ROSELAND"
170311001001,NORWOOD PARK
170316103002,BACK OF THE YARDS
170310206011,WEST RIDGE
170316809004,ENGLEWOOD
170318395001,BRONZEVILLE
170317207003,BEVERLY
170314107001,HYDE PARK
170311006003,NORWOOD PARK
170315306002,WEST PULLMAN
170318415002,NORTH LAWNDALE
170317302012,"WASHINGTON HEIGHTS,ROSELAND"
170311002002,NORWOOD PARK
